,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Ílhavo,3.8,3.2,4,4.1,4.8,3.9,3.3,4,4.1,4.8
Murtosa,13.2,13.9,11.7,12.9,16,13.2,13.9,11.7,12.9,16
Oliveira do Bairro,6.5,8.2,7.2,7.1,4.4,6.7,8.7,7.2,7.1,4.5
Ovar,3.8,5.4,3.2,3.2,3.6,5,5.7,3.6,5.1,5.5
Sever do Vouga,1.9,1.6,6,6.2,1.3,1.9,1.6,6,6.2,1.3
Vagos,6,7.4,6,5.6,5.3,6.1,7.4,6,5.9,5.5
Região de Coimbra,3.9,5.8,4,3.7,3.1,4.1,6.1,4.2,3.9,3.2
Arganil,2.4,4.5,2.3,2.3,1.7,2.6,5.2,2.3,2.3,2
Cantanhede,4.1,7.4,2.9,3.3,4,4.2,7.7,3,3.4,4
Coimbra,4.4,6.3,4.7,4.5,3.4,4.7,6.6,5.2,4.8,3.7
Condeixa-a-Nova,4.1,3.2,6.4,4.7,3.7,4.1,3.2,6.4,4.7,3.7
Figueira da Foz,4.5,7.9,4.6,3.9,3.5,4.9,8.8,5.4,4.3,3.6
Góis,2.4,2.5,2.3,2.3,//,2.7,2.8,2.6,2.6,//
Lousã,4.8,9.8,10.8,6.7,2,5.2,14.4,11.6,7.1,2
Mealhada,3.7,7.3,4.4,3.8,2.3,3.8,7.4,4.4,3.8,2.3
Mira,3.4,6.8,4.1,2.4,2.4,3.5,7.2,4.1,2.5,2.5
Miranda do Corvo,3.9,5.4,3.3,3.3,4.1,3.9,5.6,3.3,3.3,4.1
Montemor-o-Velho,3.6,6,3.6,3.3,2.4,3.8,6,3.6,3.5,2.7
Mortágua,3.9,4.4,3.8,3.7,3.5,3.9,4.4,3.8,3.7,3.5
Oliveira do Hospital,3.6,7.1,3.1,3,2.8,3.6,7.3,3.1,3.1,2.8
Pampilhosa da Serra,2.4,2.8,2.2,2.2,2.2,2.4,2.8,2.2,2.2,2.2
Penacova,2.7,2.2,2.5,2.6,3.6,2.7,2.2,2.5,2.6,3.7
Penela,2,2.8,2.5,2.5,0.7,2.3,3.9,3,2.9,0.7
Soure,3.7,5.8,5.1,2.9,2.6,3.7,5.8,5.1,2.9,2.6
Tábua,3,3.8,2.1,3.3,2.9,3.1,3.8,2.2,3.3,2.9
Vila Nova de Poiares,2.8,3.5,2.5,2.5,2.5,2.9,3.5,2.6,2.6,2.6
Região de Leiria,4.5,6.4,4.6,4.3,3.5,4.7,7,4.8,4.5,3.6
Alvaiázere,2.2,4.8,2.6,2.6,1.3,2.2,5.2,2.6,2.6,1.3
Ansião,3.1,6.5,6.2,6.2,1.6,3.1,6.5,6.2,6.2,1.6
Batalha,4.8,5.8,4.4,4.2,4.6,5.2,6.4,4.7,4.9,4.6
Castanheira de Pêra,1.2,2.3,0.9,0.9,//,1.2,2.3,0.9,0.9,//
Figueiró dos Vinhos,1.6,2.7,2.5,1.2,1.2,1.6,2.8,2.5,1.2,1.2
Leiria,6,7.8,5.5,5.8,5,6.2,8.4,5.7,6,5.1
Marinha Grande,4.5,6.9,3.7,3.8,4.2,4.8,7.5,3.9,4.1,4.5
Pedrógão Grande,1.5,3.7,1.3,1.3,1.2,1.5,3.7,1.3,1.3,1.3
Pombal,4.3,5,5.1,4.5,3.5,4.5,6.1,5.1,4.5,3.5
Porto de Mós,4.6,6,5.7,3.5,4.2,4.6,6.2,6,3.5,4.2
Viseu Dão Lafões,3.9,5,3.5,3.5,3.8,4.3,5.6,3.7,3.7,4.2
Aguiar da Beira,6.8,17.7,5.5,5.7,5.6,6.8,17.7,5.5,5.7,5.6
Carregal do Sal,2.6,2.5,2,2.4,3.8,2.6,2.6,2,2.5,3.8
Castro Daire,3.5,5.4,4.3,3.1,2.5,3.6,6.4,4.3,3.1,2.5
Mangualde,4.4,5,4.9,4.4,3.7,4.4,5,4.9,4.4,3.7
Nelas,4.1,8.5,3.6,3.3,3.2,4.4,11.2,3.6,3.5,3.5
Oliveira de Frades,6.1,4.8,6.9,7.1,6.9,6.1,4.8,6.9,7.1,6.9
Penalva do Castelo,2.5,4.2,3.7,1.9,1.9,2.5,4.2,3.7,1.9,1.9
Santa Comba Dão,3.1,3.2,2.3,3.5,3.5,3.1,3.3,2.3,3.5,3.5
São Pedro do Sul,3.7,4.5,3,3.9,3.4,6.6,8.9,4.5,6.6,6.5
Sátão,3.3,4.4,2.2,2.9,4.4,3.3,4.4,2.2,2.9,4.4
Tondela,2.5,3,2.3,2.1,2.6,2.8,3.3,2.5,2.4,3
Vila Nova de Paiva,2.9,4.5,3.8,2.9,1.8,3.2,4.6,4.2,3.2,2.1
Viseu,5.1,6.9,4.3,4.2,5,5.5,7.7,4.7,4.5,5.5
Vouzela,2.9,2.9,2.4,2.9,3.2,3.1,3.6,2.4,3,3.2
Beira Baixa,4,5.6,3.8,3.5,3.4,4.4,5.9,4.5,3.9,3.8
Castelo Branco,4.5,7,4.7,4,3.5,4.6,7.2,4.7,4,3.7
Idanha-a-Nova,3,8,2.2,2.2,2.5,8.9,10.3,17.1,13.2,5.2
Oleiros,3.9,1,//,68,//,4.3,1.1,//,68,//
Penamacor,2.1,3.4,1.7,1.8,1.7,2.1,3.4,1.7,1.8,1.7
Proença-a-Nova,4,10.8,3.1,3,3.1,4,10.8,3.1,3,3.1
Vila Velha de Ródão,1.9,1.9,1.9,1.9,//,1.9,1.9,2,1.9,//
Médio Tejo,3.5,3.7,3.5,3.4,3.5,3.9,4.4,3.7,3.6,3.9
Abrantes,3.5,1.9,6,6.2,4.6,4.1,2.4,6,6.2,4.6
Alcanena,3.6,4.5,5.5,3,2.8,3.6,4.8,5.5,3,2.8
Constância,2.3,1.6,2.7,2.7,2.7,2.3,1.6,2.7,2.7,2.7
Entroncamento,4.5,5.5,5.9,4.4,3.5,4.6,5.9,6.1,4.4,3.5
Ferreira do Zêzere,3.4,3.9,3.2,3.2,3.3,3.4,3.9,3.2,3.2,3.3
Mação,3.4,8.8,2.9,2.8,2.8,3.4,9.4,2.9,2.8,2.8
Ourém,4.1,5.2,3.5,3.4,4.2,4.2,5.3,3.5,3.5,4.4
Sardoal,2.1,5.9,1.7,1.6,1.7,2.1,5.9,1.7,1.6,1.7
Sertã,4.7,4,5.8,6.6,4,88.6,//,//,//,29
Tomar,3.6,4.9,2.9,3.3,3.5,3.9,6.6,2.9,3.3,3.8
Torres Novas,3,3.8,2.9,2.7,2.6,3.3,3.9,3,2.9,3.2
Vila de Rei,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
Vila Nova da Barquinha,3.2,6,2.6,2.6,2.5,3.2,6.2,2.6,2.6,2.5
Beiras e Serra da Estrela,3.4,5.7,3.3,3,2.8,3.6,6.2,3.5,3,2.9
Almeida,1.9,2,1.9,1.9,1.9,1.9,2,1.9,1.9,1.9
Belmonte,2.9,10.8,2,2,2,2.9,10.8,2,2,2
Celorico da Beira,3.9,12.3,3,3.1,3,3.9,12.3,3,3.1,3
Covilhã,3.6,5.7,4.1,2.9,2.9,3.7,6.6,4.2,2.9,3
Figueira de Castelo Rodrigo,2.4,16.9,2,1.5,1.5,2.4,16.9,2,1.5,1.5
Fornos de Algodres,2.6,3.4,2.4,2.4,2.4,2.7,4.1,2.4,2.4,2.4
Fundão,3.6,10.2,3.9,3,2.4,4.1,11.2,4,3.2,3.1
Gouveia,3.1,4.2,4,2.5,2.6,3.1,4.3,4,2.5,2.6
Guarda,4,7.2,3.1,3.6,3.3,4.1,7.8,3.4,3.6,3.3
Manteigas,2.8,4.8,2.6,2.5,2.4,2.8,4.8,2.6,2.5,2.4
Mêda,3.9,3.9,3.9,3.9,3.9,4.3,4.2,4.6,4.2,4.4
Pinhel,2.9,10.4,1.9,2.5,2.5,2.9,10.4,1.9,2.5,2.5
Sabugal,4.4,5.7,4.8,4.1,3.5,4.5,5.7,5,4.1,3.5
Seia,3.3,3.1,3.6,3.9,2.9,3.7,3.4,4.2,4.1,3.5
Trancoso,3.2,4.7,5.6,3,2.5,3.2,4.8,5.6,3,2.5
A. M. Lisboa,5.2,7.2,5.1,4.9,4.1,5.6,8.2,5.5,5.2,4.3
Alcochete,7.2,10.6,9.1,8.9,4,7.4,11.8,9.2,9,4
Almada,5.8,8.5,6,5.2,4.3,6.3,9.3,6.4,5.6,4.9
Amadora,3.9,6,4.4,3.8,2.4,4.1,6.3,4.8,4.1,2.5
Barreiro,5,7.4,5.8,5.6,3.3,5.4,9.2,6.1,5.9,3.4
Cascais,5.6,6.8,5.3,5.2,4.9,6.1,8,5.8,5.6,5.3
Lisboa,4.5,5.8,4.4,4.3,3.8,4.8,6.5,4.7,4.5,4
Loures,4.9,8.7,4.9,4,3.2,5.5,11.3,5.6,4.3,3.2
Mafra,8.2,7.6,9.1,9.3,7.4,8.5,7.8,9.3,9.7,8
Moita,4.5,10.2,4.1,3.6,3,4.7,11.3,4.4,3.8,3
Montijo,6.1,11.8,6.4,5.1,4,7.4,13,6.5,5.5,6.5
Odivelas,6.5,9.7,6,5.7,5.1,7.1,11.9,6.7,6,5.1
Oeiras,5.6,5.8,5.2,5.7,5.5,6.2,6.4,5.7,6.3,6
Palmela,8,8.7,5.1,8.7,10.5,8.2,9.3,5.2,8.8,10.8
Seixal,5.6,11.4,5.1,4.5,3.9,6.3,14.1,6.3,4.9,4.1
Sesimbra,6,7.7,5.6,5.4,5.2,6.2,8.6,5.7,5.5,5.2
Setúbal,5.2,7.8,4.8,5.1,3.8,5.5,8.8,5,5.4,4
Sintra,5.6,7.6,5,5,4.7,5.8,8.4,5.1,5.1,4.7
Vila Franca de Xira,6.1,6.7,7.1,6.7,4.5,6.4,7.7,7.2,6.8,4.5
Alentejo,3.8,4.7,3.7,3.5,3.5,4.1,5,3.9,3.7,3.7
Alentejo Litoral,3.8,5.7,3.5,3.1,3.3,3.9,6.1,3.6,3.2,3.4
Alcácer do Sal,3.8,5.2,3.1,2.9,4.8,3.8,5.2,3.1,2.9,4.8
Grândola,5.6,14.7,5.6,4.6,3.6,5.6,15.6,5.6,4.6,3.6
Odemira,3.1,3.7,2.7,2.6,3.6,3.4,4.4,2.9,2.9,3.6
Santiago do Cacém,3.8,5,3.7,3.2,3.5,3.9,5.2,3.7,3.3,3.7
Sines,3.8,12.1,3.8,2.8,2.4,3.9,12.1,3.8,3,2.4
Baixo Alentejo,3.7,5.5,3.3,3.2,3,4,5.9,3.6,3.5,3.3
Aljustrel,3.1,6.7,2.1,2.3,2.6,3.1,6.7,2.1,2.3,2.6
Almodôvar,2.8,10.7,2,1.9,2,3.5,10.7,2.5,2.6,2.5
Alvito,2.7,3.4,3.2,2.9,2.3,2.7,3.4,3.2,2.9,2.3
Barrancos,1.9,2,1.9,1.9,//,1.9,2,1.9,1.9,//
Beja,5.5,7,6.4,5.6,4,6.4,7.9,7,6.2,5.1
Castro Verde,3.4,4,3.5,3.3,2.9,3.4,4,3.5,3.3,2.9
Cuba,2.2,2.1,2.2,2.2,2.3,2.2,2.1,2.2,2.2,2.3
Ferreira do Alentejo,4.9,9,3.6,3.6,3.6,5.3,10,3.8,3.8,3.9
Mértola,1.9,2.5,1.8,1.8,1.5,2.2,4.1,2.1,2.1,1.7
Moura,3.6,6,2.6,2.9,3.4,4,6.7,3,3.2,3.6
Ourique,3.2,11.6,2.3,2.4,2.4,3.5,11.6,2.5,2.6,2.6
Serpa,3.7,7.2,3.6,3.4,2.5,3.7,7.5,3.6,3.5,2.5
Vidigueira,3,2.8,2.6,2.6,5.2,3.1,2.8,2.6,2.6,5.4
Lezíria do Tejo,4.6,5.9,4.5,4.1,3.9,4.9,6.3,4.8,4.5,4.2
Almeirim,4.2,3.5,5.7,5,3.6,4.3,3.6,5.7,5,3.6
Alpiarça,3.1,3.6,2.9,2.9,2.9,3.2,4.2,2.9,2.9,2.9
Azambuja,4.8,7,4,3.9,4.4,5,7.1,4.7,4.1,4.4
Benavente,10,17.5,12.7,9.6,4.7,10,17.5,12.7,9.6,4.7
Cartaxo,4.7,7.9,4.7,4,3.4,5.4,7.9,7,5.1,3.4
Chamusca,2.9,6.5,2.2,2.2,2.3,3.2,6.5,2.5,2.5,2.5
Coruche,3.2,9.4,4,2.4,2.1,4.5,9.4,4.4,3.7,3.2
Golegã,2.5,3.3,2.2,2.3,2.2,2.9,8.7,2.2,2.3,2.2
Rio Maior,4.4,3.8,4.9,5.1,4.3,4.6,4.1,5.2,5.4,4.3
Salvaterra de Magos,5.7,8.6,5.1,5.1,5.2,6.2,8.8,6,5.8,5.2
Santarém,4.4,5.3,3.7,3.8,4.6,4.5,5.5,3.7,3.9,4.9
Alto Alentejo,3,2.9,2.8,2.9,3.6,3.1,2.9,2.9,3,3.6
Alter do Chão,1.9,9.4,1.2,1.4,2,2.2,9.4,1.4,1.6,2.2
Arronches,1,1,1,1,1,1,1,1,1,1
Avis,2.9,13.5,1.9,1.9,//,2.9,15.4,1.9,1.9,//
Campo Maior,4,4.2,4.1,3.7,3.7,4,4.2,4.1,3.7,3.7
Castelo de Vide,2.1,11.5,1.3,1.3,//,2.1,11.5,1.3,1.3,//
Crato,8.4,14.5,11,15,4.4,8.4,14.5,11,15,4.4
Elvas,2.8,1.8,4.2,4.4,3.5,2.8,1.8,4.3,4.4,3.5
Fronteira,3.4,3.2,3.5,3.6,//,3.7,3.3,4.2,3.9,//
Gavião,1.4,1.5,1.3,1.3,//,1.4,1.5,1.3,1.3,//
Marvão,1.5,1.2,1.9,1.9,//,1.5,1.2,1.9,1.9,//
Monforte,6.2,14.6,4,4,//,8.9,14.6,6.9,6.4,//
Nisa,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Ponte de Sor,4.1,4.2,2.9,4.7,4.8,4.2,4.2,2.9,4.7,4.8
Portalegre,4.3,5.9,3.5,4,4.1,4.3,6,3.5,4,4.1
Sousel,2.3,2.5,2.2,2.2,2.3,2.3,2.5,2.2,2.2,2.3
Alentejo Central,3.7,4.2,3.8,3.6,3.4,4,4.5,4,3.9,3.6
Alandroal,2.7,3.3,2.3,2.4,//,2.7,3.3,2.3,2.4,//
Arraiolos,2.9,3.5,2.7,2.8,2.7,3,3.7,2.7,2.8,2.7
Borba,2.9,6.7,2,2,//,3.3,19,2,2,//
Estremoz,5.2,5.7,3.2,4.6,6.6,5.4,5.9,3.2,4.8,7.3
Évora,4.6,6.6,4.6,4.5,3.5,5.1,7.3,4.8,5.2,4
Montemor-o-Novo,4,4.4,4.7,4,3.1,4.1,4.6,4.7,4,3.1
Mora,1.6,3.7,1.3,1.3,1.3,1.6,3.7,1.3,1.3,1.3
Mourão,3.5,3.8,3.4,3.3,//,4.4,5,3.8,4.1,//
Portel,4,7.6,2.9,2.9,3,4,7.6,2.9,2.9,3
Redondo,4.3,4.4,4.2,4.2,4.2,4.3,4.4,4.2,4.2,4.2
Reguengos de Monsaraz,4.9,6.8,3.9,4.2,4.9,5.2,9,3.9,4.2,5.2
Vendas Novas,2.3,1,6,5,3.5,2.5,1,17.5,8.1,3.5
Viana do Alentejo,3.8,4.2,3.6,3.7,3.7,3.8,4.2,3.6,3.7,3.7
Vila Viçosa,2.4,6.4,5.1,1.7,1.7,2.4,6.4,5.1,1.7,1.7
Algarve,5,5.7,5.1,5,4.1,5.2,6.2,5.3,5.2,4.3
Albufeira,6.5,9.1,7,7.1,4.1,6.9,11.8,7,7.1,4.2
Alcoutim,1.1,0.7,2.2,2.2,//,1.1,0.7,2.2,2.2,//
Aljezur,5.8,6.4,5.4,5.2,//,5.8,6.4,5.4,5.2,//
Castro Marim,5.3,5.8,4.8,4.8,//,7.8,19.4,4.8,4.8,//
Faro,4.6,5.3,4.8,5,3.8,5.3,6,5.1,5.3,4.7
Lagoa,3.9,5.9,3.5,3.4,2.8,3.9,5.9,3.5,3.4,2.8
Lagos,5.1,5,7.5,5.5,4,5.2,5.3,7.5,5.5,4
Loulé,5.1,5.7,5.2,5,4.3,5.1,5.9,5.3,5,4.3
Monchique,3.2,3.3,3.1,3.2,//,3.2,3.3,3.1,3.2,//
Olhão,5.2,6,4.9,4.8,5,5.3,6.2,4.9,4.8,5
Portimão,4.4,4.5,4.6,4.5,4.2,4.9,5.1,5.4,5.4,4.3
