,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Batalha,34.3,2.6,4.8,30.2,2.4,4.2
Castanheira de Pêra,33.2,2.4,4.2,29.5,2.2,3.7
Figueiró dos Vinhos,35.7,2.6,4.9,31.9,2.4,4.3
Leiria,37.4,2.8,5.5,32.5,2.5,4.6
Marinha Grande,34.3,2.5,4.7,29.9,2.3,4
Pedrógão Grande,35.8,2.7,5.4,32.3,2.5,4.8
Pombal,34.7,2.7,5,30.9,2.5,4.4
Porto de Mós,34.2,2.5,4.6,30.1,2.3,4
Viseu Dão Lafões,38.7,3,5.8,34.2,2.7,5
Aguiar da Beira,35.6,2.6,5.1,32.2,2.5,4.6
Carregal do Sal,35.1,2.7,4.8,31.2,2.5,4.2
Castro Daire,36.4,2.7,5.8,33.2,2.5,5.2
Mangualde,36.7,2.8,5.4,32.5,2.6,4.7
Nelas,35.9,2.8,5,31.9,2.5,4.4
Oliveira de Frades,34,2.6,4.6,30.4,2.4,4
Penalva do Castelo,36,2.7,5.4,32.6,2.6,4.9
Santa Comba Dão,35.4,2.7,4.7,31.5,2.5,4.1
São Pedro do Sul,37.8,2.7,5.8,33.8,2.6,5.1
Sátão,38.2,2.9,5.9,34.3,2.7,5.2
Tondela,35.9,2.7,4.9,31.9,2.5,4.3
Vila Nova de Paiva,38.2,3,6.1,34.5,2.8,5.3
Viseu,40.1,3.2,6.4,35.2,2.9,5.3
Vouzela,36.7,2.5,4.6,32.1,2.4,4.1
Beira Baixa,37.1,2.8,5.3,32.6,2.5,4.5
Castelo Branco,37.3,2.8,5.6,32.6,2.5,4.7
Idanha-a-Nova,35.1,2.5,4.4,30.9,2.3,3.9
Oleiros,35.3,2.5,4.6,31.6,2.3,4.1
Penamacor,33.8,2.5,4.3,30.1,2.4,3.8
Proença-a-Nova,37,2.8,5.5,33.1,2.6,4.7
Vila Velha de Ródão,32.9,2.5,4.3,28.9,2.3,3.7
Médio Tejo,36.3,2.7,5.1,32,2.5,4.4
Abrantes,36.1,2.7,5.1,31.7,2.4,4.3
Alcanena,34.4,2.4,4.5,30.3,2.3,3.9
Constância,33.6,2.7,4.8,29.6,2.4,4.1
Entroncamento,35.6,2.9,5.5,31.3,2.5,4.6
Ferreira do Zêzere,33.3,2.5,4.2,29.9,2.3,3.8
Mação,34.3,2.5,4.6,30.3,2.3,4
Ourém,35.2,2.6,4.9,31.2,2.4,4.3
Sardoal,35.6,2.5,4.9,31.4,2.4,4.3
Sertã,36.2,2.7,4.8,32.3,2.5,4.3
Tomar,38.4,2.9,5.7,33.8,2.6,4.9
Torres Novas,36.2,2.7,5.1,31.7,2.4,4.3
Vila de Rei,32.1,2.4,4,28.8,2.3,3.6
Vila Nova da Barquinha,32.8,2.6,4.7,28.9,2.3,4
Beiras e Serra da Estrela,37.6,2.8,5.4,33.3,2.6,4.7
Almeida,35.4,2.8,5.2,31.8,2.5,4.6
Belmonte,34.2,2.6,4.6,30.6,2.4,4.1
Celorico da Beira,36.2,2.8,5.6,32.4,2.6,4.9
Covilhã,37.5,2.6,5.1,32.7,2.4,4.4
Figueira de Castelo Rodrigo,37.6,2.7,6.1,34,2.6,5.4
Fornos de Algodres,36.4,2.7,5.1,32.6,2.5,4.6
Fundão,36.4,2.8,5.3,32.4,2.5,4.6
Gouveia,36.5,2.6,4.9,32.4,2.4,4.3
Guarda,38.7,3.1,6,33.9,2.7,5
Manteigas,34.5,2.4,4,30.8,2.3,3.6
Mêda,37.8,2.8,6.1,34,2.7,5.4
Pinhel,36.7,2.8,5.7,33.1,2.6,5.1
Sabugal,36.8,2.8,6.3,33.4,2.6,5.7
Seia,35.9,2.6,4.7,31.8,2.4,4.1
Trancoso,38,2.8,6.1,34.2,2.6,5.3
A. M. Lisboa,43.4,3.4,7.5,37.5,3,6
Alcochete,43.6,3.5,7.4,37.6,3,5.8
Almada,41.1,3.4,7.1,35.8,2.9,5.8
Amadora,39.2,3.1,6.6,34.4,2.8,5.5
Barreiro,36.8,2.9,5.6,32.2,2.5,4.7
Cascais,47.2,4,8.8,40.6,3.3,6.9
Lisboa,49,4.6,10.5,42.5,3.7,8
Loures,39.6,3,6.4,34.5,2.7,5.3
Mafra,41.2,3.4,7,36,3,5.7
Moita,34.7,2.7,5.3,30.8,2.4,4.5
Montijo,39.8,3.3,6.7,35,2.9,5.5
Odivelas,38.9,3.2,6.6,34.2,2.8,5.4
Oeiras,43.6,3.9,8,37.5,3.2,6.2
Palmela,39.5,3.2,6.4,34.6,2.8,5.2
Seixal,38.2,3,6.1,33.3,2.6,5
Sesimbra,37.7,3,5.9,33,2.7,4.9
Setúbal,40.2,3.2,6.6,35.1,2.8,5.4
Sintra,39,3,6.2,33.9,2.6,5.1
Vila Franca de Xira,35.5,2.7,5.4,31,2.4,4.5
Alentejo,37.1,2.7,5.3,32.5,2.5,4.5
Alentejo Litoral,39.6,2.9,6,34.6,2.6,5
Alcácer do Sal,35.5,2.6,4.7,31.2,2.4,4.1
Grândola,42.3,2.9,5.6,36.1,2.6,4.7
Odemira,36.3,2.6,5.4,32.2,2.4,4.8
Santiago do Cacém,39.6,3.3,6.3,34.5,2.9,5.1
Sines,39.1,3.1,6.2,34,2.7,5.1
Baixo Alentejo,37.4,2.9,5.4,32.9,2.6,4.6
Aljustrel,34.5,2.8,4.8,30.2,2.4,4.1
Almodôvar,38.2,3.3,6,34,2.9,5
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,38.3,2.9,5.7,33.4,2.6,4.7
Castro Verde,37.2,3,5.7,32.5,2.6,4.7
Cuba,36.5,2.8,5.3,32.2,2.5,4.4
Ferreira do Alentejo,35.5,2.5,4.7,31.3,2.3,4.1
Mértola,34.5,2.5,4.5,30.7,2.3,3.9
Moura,36.6,2.8,5.5,32.7,2.6,4.9
Ourique,36,2.7,5.4,32,2.5,4.7
Serpa,36.1,2.7,5.2,32.1,2.5,4.5
Vidigueira,35,2.6,5,31.1,2.4,4.3
Lezíria do Tejo,37,2.8,5.2,32.4,2.5,4.5
Almeirim,36.8,2.9,5.4,32.7,2.6,4.6
Alpiarça,36.6,2.7,5,32.3,2.5,4.4
Azambuja,34.4,2.6,4.8,30.3,2.4,4.2
Benavente,37.3,2.7,5.3,32.4,2.4,4.5
Cartaxo,36,2.7,5.3,31.7,2.4,4.5
Chamusca,33.1,2.4,4.1,29.5,2.2,3.7
Coruche,35.2,2.5,4.5,31,2.4,4
Golegã,35,2.6,4.6,30.6,2.4,3.9
Rio Maior,36.1,2.7,5,31.8,2.4,4.3
Salvaterra de Magos,35.7,2.7,5,31.5,2.5,4.3
Santarém,38.9,3,5.8,34,2.7,4.9
Alto Alentejo,36.3,2.7,4.9,31.9,2.4,4.2
Alter do Chão,34.6,2.4,4.6,30.3,2.3,3.9
Arronches,33.3,2.6,4.4,29.7,2.3,3.8
Avis,34,2.4,4.2,29.9,2.2,3.6
Campo Maior,38.2,2.4,4.4,32.5,2.2,3.8
Castelo de Vide,35.5,2.6,4.9,31.3,2.4,4.2
Crato,32.2,2.4,4.4,28.6,2.2,3.8
Elvas,36.8,2.7,5.1,32.2,2.5,4.4
Fronteira,35.6,2.5,4.8,31.5,2.3,4.2
Gavião,32.4,2.3,3.9,28.8,2.2,3.5
Marvão,33.8,2.5,4.3,30.3,2.3,3.9
Monforte,//,//,//,//,//,//
Nisa,33.9,2.6,4.6,30.1,2.4,4
Ponte de Sor,36.7,2.7,5.1,32.6,2.4,4.5
Portalegre,36.8,2.8,5.3,32.1,2.5,4.4
Sousel,34.1,2.5,4.3,30.4,2.3,3.9
Alentejo Central,36,2.6,4.9,31.3,2.3,4.2
Alandroal,30.3,2.2,3.7,26.8,2.1,3.3
Arraiolos,33,2.4,4.2,28.9,2.2,3.6
Borba,31.6,2.2,4,27.9,2.1,3.5
Estremoz,34.3,2.4,4.4,29.7,2.2,3.8
Évora,37.5,2.8,5.5,32.3,2.5,4.4
Montemor-o-Novo,35,2.5,4.6,30.4,2.2,3.9
Mora,33.6,2.3,4,29.3,2.1,3.5
Mourão,//,//,//,//,//,//
Portel,32.3,2.4,4,28.6,2.2,3.6
Redondo,33.1,2.4,4.3,29.2,2.2,3.8
Reguengos de Monsaraz,35.4,2.6,4.6,31.1,2.4,4.1
Vendas Novas,34.3,2.5,4.9,30.1,2.3,4.1
Viana do Alentejo,33.8,2.5,4.4,29.8,2.3,3.9
Vila Viçosa,32.9,2.3,4.2,28.8,2.1,3.6
Algarve,40.9,3.2,7,36.1,2.9,6
Albufeira,41.5,3.3,7.6,37.1,3,6.7
Alcoutim,//,//,//,//,//,//
Aljezur,41.1,3.1,7.5,36.5,2.9,6.5
Castro Marim,37.6,2.9,5.9,33.7,2.7,5.2
Faro,41.9,3.4,7.4,36.5,3,6.1
Lagoa,40,3.1,6.8,35.5,2.8,5.9
Lagos,41.6,3.1,7.4,36.7,2.8,6.4
Loulé,42.9,3.2,7.2,37.7,2.9,6.2
Monchique,37.4,2.7,5.9,33.5,2.6,5.2
Olhão,38.3,3,6.3,33.9,2.7,5.4
Portimão,40.3,3.1,6.9,35.6,2.8,5.8
São Brás de Alportel,40.4,3.3,7.2,35.8,2.9,6.1
Silves,37.5,2.9,6.1,33.4,2.7,5.3
Tavira,41.2,3.1,6.7,36.6,2.8,5.8
Vila do Bispo,39.3,3,6.7,35,2.8,5.8
Vila Real de Santo António,38,3,6.3,33.8,2.7,5.4
R. A. Açores,40.6,3.1,6.6,36.9,2.9,5.8
Santa Maria,45.3,3.2,7.8,40.7,3,6.7
Vila do Porto,45.3,3.2,7.8,40.7,3,6.7
São Miguel,42.1,3.3,7.2,38.3,3.1,6.3
Lagoa (R.A.A.),41.8,3.1,7,38.2,2.9,6.3
Nordeste,36.1,2.6,5.3,33.6,2.5,5.1
Ponta Delgada,41.9,3.4,6.7,37.8,3.1,5.8
Povoação,37.4,2.6,5.7,34.9,2.5,5.3
Ribeira Grande,39.4,2.9,6.6,36.4,2.8,6.1
Vila Franca do Campo,41.4,3,7.2,38.3,2.8,6.5
Terceira,38.5,3,5.8,35,2.7,5.1
Angra do Heroísmo,39.7,3.1,6.2,35.8,2.8,5.4
Vila da Praia da Vitória,36.1,2.8,5.3,33,2.6,4.7
Graciosa,37.9,2.8,5.8,34.6,2.6,5.2
Santa Cruz da Graciosa,37.9,2.8,5.8,34.6,2.6,5.2
São Jorge,36.9,2.7,5.9,34.1,2.6,5.4
Calheta (R.A.A.),35.6,2.5,5.6,33.1,2.4,5.1
Velas,37.4,2.8,6,34.5,2.6,5.5
Pico,36.4,2.6,5.6,33.1,2.4,5
Lajes do Pico,35.8,2.5,5.2,32.6,2.4,4.7
Madalena,35.3,2.5,5.3,32.1,2.3,4.7
São Roque do Pico,38.8,2.9,6.7,35.4,2.7,5.9
Faial,38.5,2.8,5.6,34.8,2.6,4.9
Horta,38.5,2.8,5.6,34.8,2.6,4.9
Flores,38.2,2.9,5.6,35,2.7,5.1
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,41.4,3.4,7.1,37.1,3.1,6.2
Calheta (R.A.M.),42,3.4,9.2,38.7,3.2,8.3
Câmara de Lobos,35.3,2.6,5.3,32.6,2.5,4.9
Funchal,43,3.7,7.6,38.1,3.3,6.4
Machico,36.8,2.8,6.1,33.8,2.7,5.5
Ponta do Sol,40.7,3.2,8.2,37.6,3,7.4
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,37,2.9,6.1,34,2.7,5.6
Santa Cruz,38.1,3.2,6.4,34.3,2.9,5.6
Santana,36.6,2.7,5.7,33.9,2.6,5.3
São Vicente,39.5,3,7.9,36.2,2.9,7
Porto Santo,39.7,3.2,6.5,35.2,2.8,5.5
