,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Viseu Dão Lafões,7620,9983,14193,22548,11821,35266,20478,17845,21943,10040
Aguiar da Beira,7409,9333,12666,19300,218,782,372,352,331,116
Carregal do Sal,7620,9594,13131,20056,401,1357,726,666,665,238
Castro Daire,6214,8937,11379,17595,836,2227,1044,885,737,248
Mangualde,7935,10249,14447,21833,764,2535,1544,1444,1695,576
Nelas,7614,9992,14011,21856,604,1889,1118,990,1189,437
Oliveira de Frades,7696,9624,12979,20431,443,1563,873,686,795,270
Penalva do Castelo,6668,9318,12468,18809,366,1084,588,519,485,134
Santa Comba Dão,7624,9709,13357,20591,488,1687,977,830,894,317
São Pedro do Sul,6953,9319,12476,19575,820,2399,1232,1047,1071,402
Sátão,6613,9315,12659,19929,625,1698,839,755,841,279
Tondela,7874,10092,13632,21400,1081,3743,2466,1942,2239,801
Vila Nova de Paiva,6730,9189,12217,19591,240,655,332,253,308,98
Viseu,8071,10753,16455,26085,4520,12176,7518,6794,9898,5905
Vouzela,7578,9677,13019,20194,415,1471,849,682,795,219
Beira Baixa,7853,10140,14459,22776,3608,12373,7108,6396,7716,3599
Castelo Branco,8242,10700,15600,24603,2289,7364,4584,4172,5584,2878
Idanha-a-Nova,7292,9320,12039,18529,408,1600,784,648,622,185
Oleiros,6872,9162,11916,17964,233,945,418,381,286,136
Penamacor,7356,9396,12588,18480,216,761,420,367,321,89
Proença-a-Nova,7118,9450,13054,20458,357,1178,584,528,578,218
Vila Velha de Ródão,8306,10353,14100,21576,105,525,318,300,325,93
Médio Tejo,7676,10091,14156,22370,11160,34642,21087,18464,21338,9548
Abrantes,7735,10133,14027,22371,1641,5252,3296,2815,3146,1468
Alcanena,7515,9624,12796,19866,679,2282,1300,1048,1130,333
Constância,8361,10650,15756,23936,159,557,332,324,422,185
