,"Quintiles of gross reported income by tax household, 1st quintile, €","Quintiles of gross reported income by tax household, 2nd quintile, €","Quintiles of gross reported income by tax household, 3rd quintile, €","Quintiles of gross reported income by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of tax households by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of tax households by gross reported income class, 32 500 € or more, No."
Castelo de Vide,7833,10494,15016,24464,143,489,295,237,327,175
Crato,7802,10250,14099,22227,147,488,329,282,281,149
Elvas,7620,10245,14351,24139,1107,2948,1950,1560,1870,1132
Fronteira,7743,9876,13895,23166,123,513,274,235,259,152
Gavião,7994,10004,13571,20635,130,585,356,302,299,118
Marvão,6953,9538,12973,20710,189,543,273,243,261,114
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,7556,10108,13976,22373,307,982,617,513,548,313
Ponte de Sor,6531,9317,12552,19952,1060,2684,1522,1188,1145,645
Portalegre,8271,11087,16626,27771,984,3055,2019,1838,2327,1817
Sousel,6926,9450,12627,20239,247,773,438,328,329,174
Alentejo Central,8302,11000,15666,25415,6290,20555,14320,12952,14797,9783
Alandroal,7656,9777,12898,19423,223,910,563,458,429,134
Arraiolos,8319,10706,14832,23559,249,974,663,584,645,327
Borba,8160,10713,14662,21757,256,898,616,617,562,289
Estremoz,8264,10825,15221,24484,501,1762,1284,1059,1239,696
Évora,8773,12066,18520,30560,2113,6250,4559,4297,5948,5035
Montemor-o-Novo,8325,10760,15162,23899,593,2158,1482,1334,1433,820
Mora,7847,10201,14198,20920,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,7354,9494,12810,19494,261,961,540,446,431,154
Redondo,7639,9699,12876,19903,295,1083,646,503,461,231
Reguengos de Monsaraz,7746,10535,14355,22936,495,1372,969,830,876,496
Vendas Novas,8352,11210,15758,25153,513,1389,1028,1044,1056,725
Viana do Alentejo,7943,10416,14169,22223,221,733,525,432,442,246
Vila Viçosa,8484,10900,14894,23006,277,1035,771,735,700,378
Algarve,6125,9468,13478,22859,39038,69640,41321,34219,39198,26229
Albufeira,4552,8731,11895,20036,5708,7354,4053,3256,3401,2145
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,5606,8929,12130,20529,508,918,473,347,418,237
Castro Marim,6440,9367,13037,22141,477,1062,551,465,564,291
Faro,6967,10466,15889,27944,4975,9083,5744,5091,6589,5856
Lagoa,5859,9323,13156,21978,1990,3506,2086,1696,1877,1201
Lagos,6032,9385,12976,22018,2746,4808,2964,2285,2538,1632
Loulé,5962,9401,13320,22139,6521,11181,6625,5668,6093,4014
Monchique,6473,9183,12142,19005,//,//,//,//,//,//
Olhão,6829,9750,13787,23175,2964,6212,3818,3111,3651,2242
Portimão,6171,9559,13653,23244,5041,8985,5421,4502,5193,3541
São Brás de Alportel,6646,9928,14501,24478,791,1488,910,810,967,672
Silves,6257,9449,13033,21356,2980,5673,3549,2840,3125,1618
Tavira,6268,9276,13142,22517,2043,4244,2267,1797,2169,1441
Vila do Bispo,5840,9039,12161,20098,468,899,508,368,429,205
Vila Real de Santo António,6670,9493,13448,21965,1351,2956,1687,1454,1643,866
R. A. Açores,7416,10268,15350,25801,12902,30600,19852,15804,20634,15748
Santa Maria,7193,10299,16284,27536,321,692,425,349,517,433
Vila do Porto,7193,10299,16284,27536,321,692,425,349,517,433
São Miguel,7159,10149,15138,25949,7341,17025,10623,8097,11070,8686
Lagoa (R.A.A.),6598,9572,13043,23050,867,1970,1105,784,1004,720
Nordeste,6216,9331,11490,18877,304,690,399,247,286,120
Ponta Delgada,8043,11103,17583,29928,3293,7968,5561,4656,6623,6019
Povoação,5667,8846,11279,19252,434,912,427,307,346,189
Ribeira Grande,6617,9638,13176,22427,1777,3908,2317,1637,2227,1262
Vila Franca do Campo,6166,9259,11433,19766,666,1577,814,466,584,376
Terceira,7990,10810,16113,26535,2711,6753,4755,4058,5059,3921
Angra do Heroísmo,7894,10740,16175,27352,1782,4420,3046,2533,3202,2686
Vila da Praia da Vitória,8184,10895,15996,25263,929,2333,1709,1525,1857,1235
Graciosa,7162,9904,13823,23453,241,583,349,264,332,222
Santa Cruz da Graciosa,7162,9904,13823,23453,241,583,349,264,332,222
São Jorge,7010,9912,13676,21781,510,1229,771,611,718,390
Calheta (R.A.A.),6617,9778,12755,20823,231,520,369,238,285,132
Velas,7371,9966,14597,23122,279,709,402,373,433,258
Pico,7370,10067,14341,22921,777,1957,1248,1049,1162,730
Lajes do Pico,7496,10140,14219,22141,217,577,400,334,329,204
Madalena,7371,10140,14532,23295,354,892,576,483,581,327
São Roque do Pico,7021,9848,14105,23545,206,488,272,232,252,199
Faial,8081,10907,16646,27684,730,1779,1303,1083,1424,1151
Horta,8081,10907,16646,27684,730,1779,1303,1083,1424,1151
Flores,6751,9936,13835,22396,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,7354,10223,14905,25876,13875,30980,19859,15795,20075,15657
Calheta (R.A.M.),5638,9177,12064,20727,719,1269,634,529,564,372
Câmara de Lobos,6604,9268,11733,18260,1766,4517,2664,1799,1680,768
Funchal,7812,10926,16810,29459,5781,12891,8648,7340,9761,9268
Machico,6985,9780,13437,22420,1169,2571,1646,1265,1453,832
Ponta do Sol,5804,9112,11806,20259,549,1024,563,391,446,256
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,6876,9472,12566,20502,611,1651,940,701,732,400
Santa Cruz,7811,10920,16871,27464,2192,4515,3194,2606,4044,2795
Santana,6670,9290,11952,19468,359,956,534,366,391,200
São Vicente,6338,9221,12414,20811,//,//,//,//,//,//
Porto Santo,8295,11783,17400,29571,303,582,544,435,601,505
