,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Sobral de Monte Agraço,43.9,3.4,7.7,39.9,3.1,6.6
Torres Vedras,44,3.4,7.7,40,3.1,6.7
Região de Aveiro,43.4,3.3,7.4,39.4,3,6.4
Águeda,41.5,2.9,6,37.8,2.7,5.4
Albergaria-a-Velha,39.6,3,6.1,36.5,2.8,5.5
Anadia,43.9,3.1,6.7,39.5,2.9,5.9
Aveiro,45.8,3.8,8.9,41.3,3.3,7.4
Estarreja,41.2,3.2,6.9,37.8,3,6.1
Ílhavo,44.3,3.5,8.3,40.3,3.2,7.1
Murtosa,44.1,3.8,10.3,40.7,3.5,9.2
Oliveira do Bairro,40.5,3.1,6.6,37.3,2.9,5.8
Ovar,42.7,3.2,7.1,38.8,3,6.2
Sever do Vouga,39.4,3,5.9,36.1,2.8,5.4
Vagos,41.5,3.1,6.8,37.9,2.9,6.1
Região de Coimbra,44.3,3.4,7.6,40,3.1,6.4
Arganil,38.1,2.7,5.7,35.3,2.6,5.3
Cantanhede,42.4,3.4,7.6,38.9,3.2,6.7
Coimbra,47,4.1,9.2,42,3.5,7.4
Condeixa-a-Nova,41.8,3.4,7.2,38.2,3.1,6.3
Figueira da Foz,43.3,3.5,7.7,39.2,3.1,6.6
Góis,37.7,2.7,5.8,34.9,2.6,5.2
Lousã,40.4,3.2,6.7,37.1,2.9,5.9
Mealhada,40.8,3.2,6.8,37.4,3,6
Mira,43.2,3.4,7.7,39.6,3.2,6.8
Miranda do Corvo,39.1,3,6,36,2.8,5.4
Montemor-o-Velho,39.1,3.1,6,35.9,2.8,5.3
Mortágua,39.5,2.8,6,36.3,2.7,5.4
Oliveira do Hospital,38,2.7,5.4,35.1,2.6,5
Pampilhosa da Serra,34.5,2.6,4.5,31.9,2.5,4.1
Penacova,37.7,3,5.9,35,2.9,5.4
Penela,40,3,5.8,36.6,2.8,5.2
Soure,38,3,5.8,35,2.8,5.1
Tábua,41.4,2.8,5.7,38.2,2.7,5.3
Vila Nova de Poiares,39,3,6.3,36.2,2.9,5.7
Região de Leiria,41.4,3.2,6.6,37.7,2.9,5.8
Alvaiázere,38.3,2.8,5.7,35.2,2.7,5.2
Ansião,38.5,2.9,5.7,35.4,2.7,5.1
Batalha,39.7,3,6,36.4,2.8,5.4
Castanheira de Pêra,//,//,//,//,//,//
Figueiró dos Vinhos,39,2.9,6.1,35.7,2.7,5.4
Leiria,42.8,3.3,7.1,38.7,3,6.1
Marinha Grande,40.7,3.2,6.8,37.1,2.9,5.9
Pedrógão Grande,38.4,2.8,5.8,35.4,2.7,5.2
Pombal,39.2,2.9,6.2,36.1,2.8,5.6
Porto de Mós,39,2.9,5.8,35.8,2.7,5.2
Viseu Dão Lafões,42.5,3.2,7,38.7,3,6.1
Aguiar da Beira,38.8,2.7,5.6,35.7,2.6,5.1
Carregal do Sal,38.9,2.8,5.9,35.8,2.6,5.3
Castro Daire,39.5,3,6.5,36.6,2.8,5.9
Mangualde,39.4,2.9,5.8,36.1,2.8,5.2
Nelas,41.3,3.1,6.3,37.5,2.9,5.6
Oliveira de Frades,38.4,2.8,5.8,35.4,2.7,5.3
Penalva do Castelo,38.4,3,6,35.6,2.8,5.6
Santa Comba Dão,39.2,2.9,5.9,35.9,2.7,5.2
São Pedro do Sul,40.9,3,6.5,37.5,2.8,5.8
Sátão,40.8,3.2,6.8,37.6,3,6.1
Tondela,39.3,2.9,5.8,36,2.7,5.2
Vila Nova de Paiva,40.6,3.1,6.8,37.4,2.9,6.1
Viseu,44.7,3.6,8.3,40.5,3.2,7
Vouzela,38.3,2.8,5.5,35,2.7,5
Beira Baixa,41.8,3.2,6.5,37.9,2.9,5.7
Castelo Branco,42.5,3.3,7,38.5,3,6
Idanha-a-Nova,37.4,2.7,5.1,34.3,2.5,4.7
Oleiros,39.6,2.7,5.4,36.4,2.6,5
Penamacor,38,2.7,5.4,34.7,2.5,4.9
Proença-a-Nova,40.1,3.1,6.3,36.7,2.9,5.5
Vila Velha de Ródão,36.4,2.8,5.2,33.2,2.6,4.7
Médio Tejo,41.2,3.2,6.7,37.6,2.9,5.8
Abrantes,41.4,3.1,6.6,37.7,2.9,5.7
Alcanena,38.7,2.8,5.7,35.4,2.6,5.2
Constância,39.8,3.2,6.5,36.4,2.9,5.6
Entroncamento,41.6,3.6,7.7,38,3.2,6.5
Ferreira do Zêzere,37.5,2.9,5.5,34.7,2.8,5.1
Mação,38.2,2.7,5.5,34.9,2.5,4.8
Ourém,40.1,3,6.5,36.8,2.8,5.9
Sardoal,39.7,2.8,5.7,36.1,2.6,5
Sertã,39.9,3,5.8,36.7,2.8,5.3
Tomar,43,3.3,7.5,39.1,3,6.5
Torres Novas,41.1,3.2,6.6,37.5,2.9,5.7
Vila de Rei,36.3,2.8,5,33.7,2.6,4.6
Vila Nova da Barquinha,39.4,3.3,6.3,36.1,2.9,5.4
Beiras e Serra da Estrela,41.6,3,6.5,37.8,2.8,5.7
Almeida,39,3.2,6.3,35.8,2.9,5.6
Belmonte,38.5,2.7,5.8,35.5,2.6,5.2
Celorico da Beira,39,3,6.1,36.1,2.8,5.6
Covilhã,42,2.9,6.2,38,2.7,5.4
Figueira de Castelo Rodrigo,41.4,3.1,7,38.2,2.9,6.4
Fornos de Algodres,38.9,2.8,6,35.6,2.6,5.4
Fundão,40.3,3,6.4,36.9,2.8,5.7
Gouveia,40.4,3,6.2,36.9,2.8,5.5
Guarda,43.5,3.5,7.6,39.4,3.1,6.4
Manteigas,37.4,2.5,4.9,34.1,2.4,4.6
Mêda,40.1,3,6.6,36.6,2.8,5.8
Pinhel,39.3,3,6,36.2,2.9,5.6
Sabugal,39.4,3,6.5,36.4,2.8,5.9
Seia,39.4,2.8,5.6,36,2.7,5.1
Trancoso,42,3.1,6.9,38.5,2.9,6.3
A. M. Lisboa,48.4,4,10,43.4,3.5,8.3
Alcochete,48.9,4.1,9.8,43.8,3.6,8.1
Almada,46.5,3.9,9.6,42,3.4,8
Amadora,44.6,3.6,8.9,40.6,3.2,7.5
Barreiro,41.9,3.3,7.5,38.2,2.9,6.4
Cascais,51.8,4.7,12,46.2,4,9.8
Lisboa,53.9,5.3,14.4,48.3,4.3,11.3
Loures,45.2,3.6,8.6,40.9,3.2,7.3
Mafra,46.5,4,9.4,42.1,3.5,7.9
Moita,40.2,3.2,7.1,37.1,2.9,6.3
Montijo,45.2,3.8,9.2,41.2,3.3,7.8
Odivelas,44.6,3.8,9.1,40.7,3.4,7.7
Oeiras,49.2,4.7,11.1,44,3.9,8.8
Palmela,45.3,3.8,8.6,41.1,3.4,7.3
Seixal,43.9,3.6,8.3,39.8,3.2,7.1
Sesimbra,43.1,3.6,8.1,39.1,3.2,7
Setúbal,45.5,3.8,9.2,41.2,3.4,7.8
Sintra,44.4,3.5,8.5,40.3,3.2,7.3
Vila Franca de Xira,41.4,3.4,7.3,37.9,3,6.3
Alentejo,42.4,3.2,7.1,38.6,2.9,6.2
Alentejo Litoral,45.6,3.6,8.7,41.4,3.3,7.5
Alcácer do Sal,40.4,2.9,6,36.7,2.7,5.4
Grândola,43.7,3.2,7.1,39.4,3,6.2
Odemira,43.3,3.2,7.8,39.8,3,7.2
Santiago do Cacém,45.4,3.8,8.9,41.1,3.4,7.4
Sines,45.4,3.8,9.1,41.1,3.4,7.6
Baixo Alentejo,42.2,3.2,7.3,38.5,2.9,6.3
Aljustrel,40.2,3.2,6.5,36.7,2.9,5.5
Almodôvar,43,3.7,7.7,39.4,3.3,6.7
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,43.4,3.5,7.8,39.4,3.1,6.6
Castro Verde,43.2,3.6,7.3,39.1,3.1,6
Cuba,43.3,3.3,8.3,39.7,3.1,7.5
Ferreira do Alentejo,41.3,3.1,7,37.9,2.9,6.4
Mértola,37.7,2.7,5.6,34.7,2.6,5.1
Moura,40.8,3,7,37.4,2.8,6.3
Ourique,40.4,3.1,7,37.2,2.9,6.2
Serpa,39.8,2.9,6.5,36.6,2.7,5.8
Vidigueira,39.8,2.9,6.4,36.4,2.7,5.7
Lezíria do Tejo,42.3,3.2,7.1,38.5,3,6.2
Almeirim,42,3.4,7.4,38.6,3.2,6.6
Alpiarça,41.5,3.2,6.8,38.1,3,6
Azambuja,40.5,3.1,6.6,37.2,2.9,5.9
Benavente,43.3,3.3,7.5,39.2,3,6.5
Cartaxo,41.2,3.2,6.9,37.6,2.9,6
Chamusca,36.7,2.6,4.9,33.5,2.5,4.4
Coruche,39.7,3,5.7,36.3,2.8,5.1
Golegã,39.1,2.9,5.9,35.6,2.7,5.2
Rio Maior,41.7,3.2,7,38.2,3,6.3
Salvaterra de Magos,41.4,3.2,6.9,37.9,3,6.1
Santarém,44.5,3.5,7.8,40.3,3.2,6.7
Alto Alentejo,41.2,3.1,6.6,37.6,2.8,5.8
Alter do Chão,37.8,2.6,5.3,34.5,2.5,4.6
Arronches,38.7,2.9,5.5,35.5,2.7,4.8
Avis,38,2.7,5.6,34.9,2.5,5.1
Campo Maior,40.6,3,6.1,37,2.8,5.4
Castelo de Vide,41.7,3.1,6.1,37.7,2.9,5.4
Crato,37.4,2.8,5.6,34.4,2.6,5
Elvas,42.3,3.2,7,38.4,2.9,6.2
Fronteira,40.2,3,5.7,36.7,2.8,5.1
Gavião,36.5,2.6,4.8,33.7,2.4,4.4
Marvão,38.6,3,6.3,35.7,2.8,5.9
Monforte,//,//,//,//,//,//
Nisa,39.1,3,6,35.9,2.8,5.3
Ponte de Sor,41.2,3.1,7,37.8,2.9,6.2
Portalegre,42.5,3.4,7,38.5,3,6
Sousel,39.1,2.9,6.1,36.1,2.7,5.5
Alentejo Central,41.2,3.1,6.2,37.3,2.8,5.4
Alandroal,34.7,2.5,4.7,32,2.4,4.3
Arraiolos,37.7,2.8,5.3,34.5,2.6,4.8
Borba,37.6,2.7,5.4,34.4,2.5,4.9
Estremoz,39,3,5.6,35.5,2.7,4.9
Évora,43.3,3.5,7.4,39.1,3.1,6.1
Montemor-o-Novo,39.9,2.9,5.7,36.1,2.6,5
Mora,38.3,2.7,5,34.7,2.5,4.5
Mourão,//,//,//,//,//,//
Portel,35.7,2.7,5,32.9,2.5,4.6
Redondo,38.6,2.6,5.5,35.3,2.5,4.9
Reguengos de Monsaraz,40.1,3,6.4,36.7,2.7,5.7
Vendas Novas,40.1,3,6.6,36.7,2.8,5.8
Viana do Alentejo,37.6,2.8,5.7,34.7,2.6,5.1
Vila Viçosa,38.2,2.7,5.5,34.8,2.6,4.8
Algarve,45.4,3.7,10,41.5,3.4,8.8
Albufeira,47.4,4.4,13.3,43.8,4.1,11.7
Alcoutim,//,//,//,//,//,//
Aljezur,45.3,3.7,10.3,41.6,3.4,9.4
Castro Marim,43,3.4,7.9,39.4,3.2,7.2
Faro,46.9,4,10.6,42.5,3.6,8.9
Lagoa,44.6,3.8,10.1,41.1,3.5,9
Lagos,45.6,3.7,10.4,41.6,3.4,9.3
Loulé,46.3,3.7,10.2,42.3,3.5,9
Monchique,40.1,2.9,7.4,37.1,2.8,6.7
Olhão,42.8,3.4,8.4,39.2,3.1,7.4
Portimão,45.2,3.8,9.8,41.2,3.5,8.6
São Brás de Alportel,44.6,3.7,9.7,40.9,3.4,8.4
Silves,42,3.4,8.6,38.8,3.2,7.7
Tavira,44.6,3.6,9.1,40.8,3.3,7.9
Vila do Bispo,43.7,3.4,8.8,40.4,3.2,8.1
Vila Real de Santo António,42,3.3,8,38.5,3.1,7.3
R. A. Açores,45.1,3.5,8.3,42,3.3,7.4
Santa Maria,51.3,3.8,10.4,47.3,3.6,9.1
Vila do Porto,51.3,3.8,10.4,47.3,3.6,9.1
São Miguel,46,3.6,8.8,42.8,3.4,7.8
Lagoa (R.A.A.),46.4,3.5,8.6,43,3.3,7.8
Nordeste,40.7,3,7.3,38.6,2.9,7
Ponta Delgada,46.2,3.7,8.9,42.8,3.4,7.7
Povoação,42.4,3.4,8.5,40.3,3.3,7.9
Ribeira Grande,43.6,3.4,8,41,3.3,7.5
Vila Franca do Campo,43.7,3.2,9,41.2,3.1,8.3
Terceira,43.7,3.3,7.8,40.7,3.1,7
Angra do Heroísmo,44.8,3.5,8.2,41.6,3.2,7.3
Vila da Praia da Vitória,41.4,3.1,7.2,38.7,2.9,6.6
Graciosa,43.3,3.3,8,40.5,3.1,7.2
Santa Cruz da Graciosa,43.3,3.3,8,40.5,3.1,7.2
São Jorge,41.1,3.1,7.3,38.7,3,6.8
Calheta (R.A.A.),40,3.1,7,37.8,3,6.6
Velas,41.6,3.1,7.4,39.2,3,6.9
Pico,41.7,3.1,7.2,39.2,3,6.6
Lajes do Pico,41,3,6.7,38.4,2.8,6.2
Madalena,41,3.2,7.1,38.7,3,6.4
São Roque do Pico,43.9,3.4,8.6,41,3.2,7.7
Faial,44.7,3.4,7.9,41.6,3.2,7.1
Horta,44.7,3.4,7.9,41.6,3.2,7.1
Flores,43.6,3.3,7.8,41.1,3.2,7.3
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,44.9,3.5,8.8,41.1,3.2,7.6
Calheta (R.A.M.),44.4,3.7,10.9,41.5,3.5,10.2
Câmara de Lobos,38.4,2.8,6.3,36.1,2.7,5.9
Funchal,46.6,3.8,9.4,42.4,3.3,7.9
Machico,40.8,3.2,7.6,38.1,3,6.9
Ponta do Sol,43.3,3.5,8.7,40.5,3.3,8.1
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,40.3,3,6.7,37.6,2.8,6
Santa Cruz,42.9,3.5,8.5,39.7,3.2,7.5
Santana,39.6,2.9,6.4,37,2.8,5.7
São Vicente,41.7,3.3,8.2,38.9,3.1,7.3
Porto Santo,44.3,3.6,9,40.3,3.2,7.6
