,"Tax Households, No.","Taxable person, No.","Gross reported income, thousands euros","Taxable income, thousands euros","Personal income paid tax, thousands euros","Gross reported income less personal income paid tax, thousands euros"
Viseu Dão Lafões,117393,171434,2061014,1430356,209759,1851256
Aguiar da Beira,2171,3292,32541,20941,2437,30105
Carregal do Sal,4053,5900,62938,41730,5062,57876
Castro Daire,5977,8865,80353,49843,5596,74757
Mangualde,8558,12691,144210,97923,12977,131233
Nelas,6227,9227,105801,71723,10213,95588
Oliveira de Frades,4630,6640,71945,47420,5731,66214
Penalva do Castelo,3176,4783,45846,29077,3179,42667
Santa Comba Dão,5193,7484,82842,55144,7070,75772
São Pedro do Sul,6971,10110,106473,70033,9077,97396
Sátão,5037,7561,76297,50060,6205,70092
Tondela,12272,17695,202152,136656,18139,184013
Vila Nova de Paiva,1886,2812,28021,18607,2307,25714
Viseu,46811,67921,953327,696357,116167,837160
Vouzela,4431,6453,68268,44843,5599,62669
Beira Baixa,40800,58207,727184,506514,76613,650571
Castelo Branco,26871,38441,517896,369988,59428,458467
Idanha-a-Nova,4247,5921,61295,39528,4665,56630
Oleiros,2399,3441,34817,22169,2689,32128
Penamacor,2174,3100,31882,20648,2587,29295
Proença-a-Nova,3443,4934,54007,35962,4843,49165
Vila Velha de Ródão,1666,2370,27286,18218,2400,24887
Médio Tejo,116239,163992,2003504,1386485,197233,1806271
Abrantes,17618,24938,305246,210094,30464,274782
Alcanena,6772,9358,103620,67880,8554,95065
Constância,1979,2842,36013,25342,3570,32443
Entroncamento,10237,14536,218895,162869,26316,192579
Ferreira do Zêzere,3840,5462,55753,35655,3890,51863
Mação,3221,4522,50037,32923,4157,45879
Ourém,22031,31062,354600,241120,31360,323240
Sardoal,1896,2622,29862,19944,2689,27174
Sertã,7009,10111,101200,65205,7968,93232
Tomar,18868,26332,329583,230877,35407,294175
Torres Novas,17629,24871,325600,229465,34031,291569
Vila de Rei,1547,2145,22943,14690,1576,21367
Vila Nova da Barquinha,3592,5191,70152,50422,7250,62901
Beiras e Serra da Estrela,103529,148934,1722453,1167055,164865,1557588
Almeida,3040,4312,48537,33138,4348,44190
Belmonte,2940,4255,44233,28584,3330,40903
Celorico da Beira,3019,4413,45793,29995,3528,42265
Covilhã,23989,33704,413354,281922,42214,371140
Figueira de Castelo Rodrigo,2592,3744,37233,24195,2898,34335
Fornos de Algodres,1889,2792,27321,17422,2112,25210
Fundão,13120,18816,207815,138951,18415,189399
Gouveia,5870,8434,88085,56859,7351,80734
Guarda,19506,28414,394047,284926,46655,347392
Manteigas,1559,2209,22552,14166,1658,20894
Mêda,2110,3128,30983,20175,2618,28365
Pinhel,4103,6096,59523,38095,4579,54944
Sabugal,5008,7121,74663,50025,6055,68608
Seia,10876,15740,169292,109589,13949,155342
Trancoso,3908,5756,59022,39013,5155,53867
A. M. Lisboa,1527319,2041802,34387822,26415054,5342456,29045367
Alcochete,9226,12917,231454,179778,36980,194474
Almada,93595,125046,1980153,1498224,280436,1699718
Amadora,92683,120827,1727226,1261618,209014,1518212
Barreiro,41893,56610,806766,587532,93969,712797
Cascais,111162,149554,2847313,2261636,523303,2324009
Lisboa,316712,403695,8890843,7245647,1813049,7077793
Loures,105704,142873,2119742,1563768,272508,1847233
Mafra,41821,59162,916375,691793,125993,790382
Moita,33368,45082,566062,396016,54012,512050
Montijo,27810,38013,548258,403870,67645,480613
Odivelas,80077,108327,1580105,1164796,194816,1385289
Oeiras,91970,123240,2642825,2137716,494678,2148147
Palmela,33306,46514,686209,509413,88129,598081
Seixal,85310,117220,1734196,1286293,219955,1514240
Sesimbra,26575,37594,536330,395465,65176,471154
Setúbal,63649,87087,1323726,989464,177015,1146711
Sintra,201407,269196,3825264,2799478,463055,3362209
Vila Franca de Xira,71051,98845,1424975,1042547,162721,1262253
Alentejo,365808,507806,6375568,4433108,665965,5709602
Alentejo Litoral,53612,72024,910550,640453,102940,807610
Alcácer do Sal,5867,8137,94992,64162,8938,86054
Grândola,6666,9210,116601,82439,13300,103301
Odemira,19024,23949,237714,151183,20029,217685
Santiago do Cacém,14459,20253,302289,224257,39631,262658
Sines,7596,10475,158954,118412,21042,137912
Baixo Alentejo,56665,78954,981636,681975,102631,879005
Aljustrel,4459,6355,81927,57606,8659,73268
Almodôvar,3558,5077,61099,42369,6309,54790
Alvito,1034,1471,17190,11676,1585,15604
Barrancos,700,991,10654,6997,825,9829
Beja,16967,23259,337177,244604,41347,295830
Castro Verde,3268,4682,70136,51961,8999,61137
Cuba,2244,3133,36229,24425,3488,32741
Ferreira do Alentejo,3899,5277,57552,37490,5024,52528
Mértola,3119,4386,45263,29349,3507,41756
Moura,5862,8244,89248,59477,7801,81447
Ourique,2483,3364,38056,25564,3452,34604
Serpa,6504,9131,96904,63713,8136,88768
Vidigueira,2568,3584,40201,26744,3498,36703
Lezíria do Tejo,121582,169398,2124827,1475878,218470,1906357
Almeirim,11398,15832,180754,120920,16290,164464
Alpiarça,3634,5092,57648,38021,4972,52676
Azambuja,10798,15103,187073,129472,17939,169134
Benavente,15096,20957,276710,196518,30579,246131
Cartaxo,12267,17033,220441,155694,22789,197653
Chamusca,4375,6128,64662,41266,4839,59822
Coruche,8776,12561,142320,93772,12402,129918
Golegã,2836,3983,48480,32981,4535,43945
Rio Maior,11025,15253,179191,121658,16850,162341
Salvaterra de Magos,11001,15576,183846,124691,17353,166493
Santarém,30376,41880,583702,420884,69923,513779
Alto Alentejo,55252,77116,923986,631070,88859,835127
Alter do Chão,1627,2277,25796,17131,2247,23549
Arronches,1482,2062,23476,15877,2022,21454
Avis,2051,2822,30376,19460,2436,27940
Campo Maior,3971,5598,72646,51162,7371,65275
Castelo de Vide,1666,2322,29421,20506,3061,26360
Crato,1676,2378,26212,17399,2110,24101
Elvas,10567,14555,180324,125772,18705,161619
Fronteira,1556,2229,25534,17021,2245,23288
Gavião,1790,2547,27161,17483,1956,25204
Marvão,1623,2248,23585,15351,1781,21803
Monforte,1390,1931,21116,13892,1738,19378
Nisa,3280,4612,51877,34710,4397,47480
Ponte de Sor,8244,11497,120325,78135,10122,110203
Portalegre,12040,16864,232954,166038,26166,206788
Sousel,2289,3174,33184,21133,2500,30684
Alentejo Central,78697,110314,1434569,1003732,153066,1281503
Alandroal,2717,3808,38360,23980,2618,35742
Arraiolos,3442,4890,57542,38642,4978,52564
Borba,3238,4725,52499,34440,4263,48236
Estremoz,6541,9230,112796,76742,10684,102113
Évora,28202,38854,602176,445654,79165,523011
Montemor-o-Novo,7820,11053,136332,93648,13527,122805
Mora,2282,3186,36185,23418,3066,33119
Mourão,1155,1638,17582,11587,1384,16198
Portel,2793,3976,39351,24249,2601,36750
Redondo,3219,4506,48271,31584,3898,44373
Reguengos de Monsaraz,5038,7124,82951,56087,7579,75371
Vendas Novas,5755,8164,103130,71730,10015,93115
Viana do Alentejo,2599,3630,41393,27534,3399,37994
Vila Viçosa,3896,5530,66000,44435,5889,60111
Algarve,249645,334021,4049723,2851876,444697,3605026
Albufeira,25917,33767,368624,252998,37198,331426
Alcoutim,1324,1838,19839,12908,1566,18273
Aljezur,2901,3885,42650,29756,4290,38360
Castro Marim,3410,4717,52680,35666,4999,47682
Faro,37338,49501,721801,535272,98061,623740
Lagoa,12356,16725,192353,133498,19138,173215
Lagos,16973,22528,268463,189293,29580,238883
Loulé,40102,53704,650310,460812,73383,576927
Monchique,2425,3384,33860,22042,2671,31189
Olhão,21998,29694,354700,247247,35610,319089
Portimão,32683,43303,534456,375940,58865,475591
São Brás de Alportel,5638,7743,96616,68995,10877,85740
Silves,19785,26670,295945,200803,26609,269336
Tavira,13961,19075,222454,154493,23728,198725
Vila do Bispo,2877,3851,41513,27868,3682,37831
Vila Real de Santo António,9957,13636,153460,104285,14440,139020
R. A. Açores,115540,163227,2145511,1549351,183382,1962129
Santa Maria,2737,3852,60002,45169,6886,53115
Vila do Porto,2737,3852,60002,45169,6886,53115
São Miguel,62842,89246,1171519,848778,103439,1068080
Lagoa (R.A.A.),6450,9343,109444,76590,9050,100393
Nordeste,2046,2935,27568,17818,1372,26196
Ponta Delgada,34120,47516,723907,542671,73340,650568
Povoação,2615,3737,35619,23097,1889,33730
Ribeira Grande,13128,19194,210475,144726,13727,196747
Vila Franca do Campo,4483,6521,64507,43876,4062,60445
Terceira,27257,38254,517786,375414,43427,474360
Angra do Heroísmo,17669,24397,343850,251309,30691,313159
Vila da Praia da Vitória,9588,13857,173936,124106,12735,161200
Graciosa,1991,2856,33350,23082,2406,30945
Santa Cruz da Graciosa,1991,2856,33350,23082,2406,30945
São Jorge,4229,5926,66419,45641,4133,62286
Calheta (R.A.A.),1775,2492,25951,17413,1460,24491
Velas,2454,3434,40468,28229,2673,37795
Pico,6923,9817,114713,79515,7706,107007
Lajes do Pico,2061,3003,33707,23228,2177,31530
Madalena,3213,4533,53057,36611,3409,49648
São Roque do Pico,1649,2281,27948,19675,2120,25828
Faial,7470,10437,147155,107516,12917,134238
Horta,7470,10437,147155,107516,12917,134238
Flores,1864,2534,30404,21272,2125,28278
Lajes das Flores,727,999,11544,8024,804,10740
Santa Cruz das Flores,1137,1535,18859,13248,1321,17538
Corvo,227,305,4165,2965,343,3822
Corvo,227,305,4165,2965,343,3822
R. A. Madeira,116241,160278,2114852,1519440,218496,1896356
Calheta (R.A.M.),4087,5777,59898,41077,4639,55258
Câmara de Lobos,13194,18411,178228,113385,9985,168243
Funchal,53689,72435,1110421,830018,137951,972469
Machico,8936,12777,138046,92168,9910,128136
Ponta do Sol,3229,4476,46096,31287,3335,42761
Porto Moniz,1058,1451,15552,10403,1216,14336
Ribeira Brava,5035,7068,74375,49571,5107,69268
Santa Cruz,19346,27125,363397,261832,34525,328872
Santana,2806,3952,39751,25699,2569,37182
São Vicente,1891,2668,27711,18458,2040,25671
Porto Santo,2970,4138,61377,45542,7219,54158
