,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Marvão,185731,185731,87304,41134,45269,33769,35166,35166,0,0,0,0
Monforte,320827,320827,125376,11921,141959,108163,0,0,0,0,51023,26700
Nisa,721392,684470,111557,92765,136351,101552,318381,240698,0,35332,50152,15588
Ponte de Sor,1430849,1116437,0,0,261510,261510,303239,281032,0,0,449030,93924
Portalegre,1313757,1121180,402929,361993,138061,138061,456974,315154,15758,0,93421,30256
Sousel,254516,254516,67988,67988,101855,101855,46904,0,46904,0,34656,34656
Alentejo Central,16108347,13805024,2147301,1144189,1651176,1221106,4455621,1793559,922773,311180,3699856,1240588
Alandroal,857955,857955,239907,0,87387,84287,182731,75631,0,0,0,0
Arraiolos,713506,613891,202781,89801,83028,83028,114427,87428,1199,0,58072,58072
Borba,884802,707082,5904,5904,23436,23436,502866,0,502866,0,169058,49580
Estremoz,805850,772910,357230,288574,170821,90924,107781,50698,0,34766,57220,57220
Évora,3581787,2599447,164557,29034,80402,0,1314978,396290,58801,21905,567216,0
Montemor-o-Novo,2271906,1914039,148352,0,190666,121950,962755,463840,181883,20627,401462,143418
Mora,705996,688138,396187,396187,13365,13365,55131,39309,0,0,108142,28306
Mourão,313791,310198,14297,0,56070,56070,55814,31382,0,1156,153440,0
Portel,1134657,864580,119774,112388,216640,183284,217702,30798,41296,99435,129305,108515
Redondo,1051818,1051818,228583,58564,333046,233480,169399,106220,16580,46599,186060,152560
Reguengos de Monsaraz,741041,741041,30123,30123,167300,105983,133617,133617,0,0,406299,406299
Vendas Novas,363633,363633,0,0,85967,82251,221532,133352,85400,0,19972,19972
Viana do Alentejo,1936202,1872787,190628,89370,143048,143048,359247,244994,1670,86692,1105569,0
Vila Viçosa,745403,447505,48978,44244,0,0,57641,0,33078,0,338041,216646
Algarve,41591909,34380425,5781731,4200499,5809225,4218967,10808515,4243822,856039,1808945,9352180,6403374
Albufeira,2133737,1977179,155985,155985,355313,217000,1222982,369178,670500,0,232306,230270
Alcoutim,691827,671107,199509,114146,44247,29769,372136,176145,14994,0,5660,2240
Aljezur,521322,499602,96085,71331,1502,0,219914,115104,0,55606,95235,2063
Castro Marim,1507354,1505778,123847,41548,92872,84286,68159,61754,0,0,1116073,960003
Faro,3183012,2626227,764287,760920,558560,503078,607485,32046,17876,0,442495,442495
Lagoa,5989408,3029189,51946,51946,446163,270592,1855017,1674753,0,151780,559000,559000
Lagos,5187346,4693810,781503,741352,598103,463676,1842618,636611,0,832268,1178410,1178410
Loulé,7963759,7112892,731290,222999,1171534,620569,3032721,27017,0,538395,1762896,1010744
Monchique,373484,373484,39956,0,36756,36756,203780,68647,91633,0,0,0
Olhão,1467388,1396211,215333,214480,540098,411974,80272,0,0,80272,441743,88743
Portimão,2782888,2421033,945545,945545,490081,490081,0,0,0,0,461416,461416
São Brás de Alportel,1162362,1134367,128681,19755,156064,156064,72681,71478,0,0,559458,50642
Silves,3035552,3008940,670677,206013,307728,299232,390256,348822,0,33433,1580586,1054648
Tavira,2281945,2206786,791914,571842,490895,359936,488289,436758,40000,11531,234750,234750
Vila do Bispo,1889594,302889,0,0,98804,56452,33931,33931,0,0,87147,87147
Vila Real de Santo António,1420931,1420931,85173,82637,420505,219502,318274,191578,21036,105660,595005,40803
R. A. Açores,13594858,11236206,765398,607183,1269124,937656,4347934,1369144,340982,537869,3700407,1956637
Santa Maria,642799,306330,0,0,161882,161882,0,0,0,0,90517,65723
Vila do Porto,642799,306330,0,0,161882,161882,0,0,0,0,90517,65723
São Miguel,6461870,5447271,571091,482176,665719,402799,1671964,777858,132576,302383,2297378,916811
Lagoa (R.A.A.),692456,580390,0,0,4679,4679,39139,34564,0,0,536572,332150
Nordeste,235866,235866,2980,2980,19724,19724,169577,159957,0,9620,29000,29000
Ponta Delgada,2886390,2867532,174580,85665,174280,66836,898007,225743,132576,292763,1449046,314003
Povoação,114690,61544,0,0,59604,59604,0,0,0,0,1500,1500
Ribeira Grande,1534875,744695,228058,228058,180079,98233,199147,0,0,0,137411,137411
Vila Franca do Campo,997593,957244,165473,165473,227353,153723,366094,357594,0,0,143849,102747
Terceira,3279411,2653293,51946,2949,108663,56740,1827782,260886,0,149947,367531,99673
Angra do Heroísmo,2554717,2177099,51946,2949,0,0,1827782,260886,0,149947,0,0
Vila da Praia da Vitória,724694,476194,0,0,108663,56740,0,0,0,0,367531,99673
Graciosa,158997,138057,17154,1936,18372,18372,9686,0,9686,0,63692,63692
Santa Cruz da Graciosa,158997,138057,17154,1936,18372,18372,9686,0,9686,0,63692,63692
São Jorge,455959,444434,91165,91165,6724,6724,71510,0,69510,0,137250,137250
Calheta (R.A.A.),78772,67247,0,0,0,0,0,0,0,0,1000,1000
Velas,377187,377187,91165,91165,6724,6724,71510,0,69510,0,136250,136250
Pico,1480734,1288277,22881,17796,269895,269895,395116,177769,0,49539,386095,386095
Lajes do Pico,513065,353193,5085,0,75893,75893,219289,158280,0,0,11134,11134
Madalena,543313,543313,17796,17796,146146,146146,133883,0,0,27084,147358,147358
São Roque do Pico,424356,391771,0,0,47856,47856,41944,19489,0,22455,227603,227603
Faial,808993,660801,0,0,16625,0,371726,152481,129210,36000,135542,64991
Horta,808993,660801,0,0,16625,0,371726,152481,129210,36000,135542,64991
Flores,268084,259732,11161,11161,0,0,150,150,0,0,222402,222402
Lajes das Flores,129236,129236,11161,11161,0,0,150,150,0,0,96980,96980
Santa Cruz das Flores,138848,130496,0,0,0,0,0,0,0,0,125422,125422
Corvo,38011,38011,0,0,21244,21244,0,0,0,0,0,0
Corvo,38011,38011,0,0,21244,21244,0,0,0,0,0,0
R. A. Madeira,8754895,8298637,814920,798677,1193185,1192177,2835439,487156,1142076,1785,2367589,1582161
Calheta (R.A.M.),419543,419543,0,0,12302,12302,144625,144625,0,0,103200,103200
Câmara de Lobos,1439822,1331227,61686,61632,205954,204946,774953,0,739477,1785,156255,125894
Funchal,2962489,2851161,297181,297181,669942,669942,1354303,217309,0,0,319451,319451
Machico,816031,766572,439864,439864,100335,100335,0,0,0,0,226373,100763
Ponta do Sol,1042267,862308,75,0,30162,30162,308915,41128,262087,0,392170,160879
Porto Moniz,75315,75315,0,0,17027,17027,0,0,0,0,0,0
Ribeira Brava,150537,147537,0,0,58927,58927,0,0,0,0,46114,46114
Santa Cruz,842998,842998,4114,0,53920,53920,106246,0,78209,0,486774,88608
Santana,108882,108882,0,0,0,0,0,0,0,0,32139,32139
São Vicente,284624,280707,0,0,21200,21200,137707,75404,62303,0,121800,121800
Porto Santo,612387,612387,12000,0,23416,23416,8690,8690,0,0,483313,483313
