,Total de despesas em atividades e equipamentos desportivos (Euros),"Despesas correntes , Total (Euros)","Despesas correntes , das quais, Atividades desportivas  (Euros)","Despesas correntes , das quais, Associações desportivas (Euros)","Despesas correntes , das quais, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, Total, Construção e manutenção de infraestruturas desportivas (Euros)","Despesas de capital, das quais, Atividades desportivas  (Euros)","Despesas de capital, das quais, Associações desportivas (Euros)","Despesas de capital, das quais, Construção e manutenção de infraestruturas desportivas (Euros)"
Ribeira de Pena,1699632,466642,26290,138950,272978,1232990,0,0,769312
Valpaços,655569,655569,447435,208134,0,0,0,0,0
Vila Pouca de Aguiar,1650782,1377798,303405,227473,10183,272984,0,140000,0
Tâmega e Sousa,17463912,9258849,2836388,5152584,874468,8205063,461193,1116233,5660822
Amarante,1788197,1242244,683085,282528,154931,545953,0,0,304786
Baião,557592,345327,33692,155700,57972,212265,0,75154,22804
Castelo de Paiva,299225,247774,165817,70500,7507,51451,0,51451,0
Celorico de Basto,1205194,882471,235527,195914,406759,322723,678,0,86460
Cinfães,1084248,480423,266309,214114,0,603825,0,0,603825
Felgueiras,1154960,0,0,0,0,1154960,460515,366000,303445
Lousada,1075588,345992,36030,257933,52029,729596,0,0,729596
Marco de Canaveses,1724429,497461,34219,463242,0,1226968,0,623628,257405
Paços de Ferreira,2643295,2643295,200220,2440094,0,0,0,0,0
Penafiel,5072112,1747059,1060000,687059,0,3325053,0,0,3325053
Resende,859072,826803,121489,385500,195270,32269,0,0,27448
Douro,8826323,5941103,2050458,1579354,1651205,2885220,0,218050,1389387
Alijó,328729,325389,283499,40500,0,3340,0,0,0
Armamar,1286552,382262,311607,49130,0,904290,0,0,782325
Carrazeda de Ansiães,247362,247362,35272,15000,117338,0,0,0,0
Freixo de Espada à Cinta,446190,446190,259118,0,31102,0,0,0,0
Lamego,527313,515666,0,234070,267703,11647,0,0,10970
Mesão Frio,754280,39576,0,39250,0,714704,0,0,0
Moimenta da Beira,483004,483004,255029,175922,26879,0,0,0,0
Murça,188074,79656,9769,69887,0,108418,0,0,108418
Penedono,110728,110728,0,110728,0,0,0,0,0
Peso da Régua,407538,407538,407538,0,0,0,0,0,0
Sabrosa,170941,170941,134691,36250,0,0,0,0,0
Santa Marta de Penaguião,506697,445383,0,102889,255978,61314,0,0,61314
São João da Pesqueira,129705,34669,6770,27899,0,95036,0,0,0
Sernancelhe,639180,408232,151412,58684,188569,230948,0,0,21341
Tabuaço,53385,49600,0,49600,0,3785,0,0,0
Tarouca,277975,277975,95094,110800,24905,0,0,0,0
Torre de Moncorvo,107201,17201,15000,0,0,90000,0,90000,0
Vila Nova de Foz Côa,137787,137787,20327,73000,2252,0,0,0,0
Vila Real,2023682,1361944,65332,385745,736479,661738,0,128050,405019
Terras de Trás-os-Montes,3958654,3540101,1383450,1252978,378118,418553,0,11000,96045
Alfândega da Fé,311593,300593,72927,202111,0,11000,0,11000,0
Bragança,966532,791096,465623,264400,19182,175436,0,0,0
Macedo de Cavaleiros,644080,644080,240753,75000,108348,0,0,0,0
Miranda do Douro,271867,136514,1700,88714,0,135353,0,0,74824
Mirandela,529769,524219,145598,358300,0,5550,0,0,5550
Mogadouro,558298,547527,214035,48000,153112,10771,0,0,5850
Vila Flor,308635,245697,135293,93175,3910,62938,0,0,0
Vimioso,78339,78339,20000,56500,1839,0,0,0,0
Vinhais,289541,272036,87521,66778,91727,17505,0,0,9821
Centro,98088510,76839482,21398139,21375263,21962912,21249028,140105,4544683,8575316
Oeste,11295782,8529888,1980837,3338414,2348427,2765894,13839,1542196,880659
Alcobaça,1361243,742205,55919,529760,153562,619038,0,213702,357218
Alenquer,566764,462595,43449,186217,95508,104169,0,0,620
Arruda dos Vinhos,351910,351910,93628,225844,13443,0,0,0,0
Bombarral,348833,348833,0,0,330687,0,0,0,0
Cadaval,68520,68520,10000,58520,0,0,0,0,0
Caldas da Rainha,2411272,1845641,70765,1085343,273636,565631,1918,375545,10635
Lourinhã,475490,451203,69336,240000,26423,24287,0,19189,5098
Nazaré,2015902,1854771,604005,372318,796351,161131,0,11175,149956
Óbidos,387244,387244,338694,48550,0,0,0,0,0
Peniche,1069137,821447,308151,0,443276,247690,11921,0,235769
Sobral de Monte Agraço,574071,418058,194127,13850,210081,156013,0,34650,121363
Torres Vedras,1665396,777461,192763,578012,5460,887935,0,887935,0
Região de Aveiro,13280547,10723190,1601672,3381983,4279512,2557357,12572,1094388,1214964
Águeda,1377614,1323629,236318,600004,457154,53985,0,0,53985
Albergaria-a-Velha,1871343,1727534,81874,223151,894127,143809,0,0,50844
Anadia,553836,283314,0,283314,0,270522,12572,0,257950
Aveiro,2331754,1814606,447200,777260,590069,517148,0,349660,140243
Estarreja,1383215,1102833,456207,266994,182294,280382,0,0,210133
Ílhavo,1322468,828503,11664,0,744614,493965,0,475969,15747
Murtosa,437225,433110,7350,66591,219805,4115,0,4115,0
Oliveira do Bairro,1095178,1095178,0,192415,424267,0,0,0,0
Ovar,1479855,1253588,0,614392,639196,226267,0,94681,131586
Sever do Vouga,763974,243099,34632,87700,106779,520875,0,169963,308187
Vagos,664085,617796,326427,270162,21207,46289,0,0,46289
Região de Coimbra,23083278,16961919,6182380,3643944,4569094,6121359,25609,691362,3699904
Arganil,481622,481622,204273,90915,186434,0,0,0,0
Cantanhede,1647113,1377840,15248,227479,617293,269273,609,231912,13242
Coimbra,7243176,5791063,2343110,812983,1984858,1452113,0,168400,1270453
Condeixa-a-Nova,320543,263950,58310,186475,17067,56593,0,0,56593
Figueira da Foz,1136879,921310,163264,449991,2740,215569,0,0,49848
Góis,154707,154707,17027,29407,80429,0,0,0,0
Lousã,1326797,1281783,854310,427473,0,45014,0,5000,4582
Mealhada,1757884,601998,459998,142000,0,1155886,0,0,709119
Mira,779837,364345,213415,88837,43136,415492,0,17750,391640
Miranda do Corvo,825243,527419,45693,132311,0,297824,0,39027,0
Montemor-o-Velho,1894322,1391948,209849,74698,1107401,502374,0,0,502374
Mortágua,902481,845481,443615,3693,321593,57000,25000,32000,0
Oliveira do Hospital,862096,634676,16517,370000,151081,227420,0,187179,24346
Pampilhosa da Serra,197284,197284,168884,28400,0,0,0,0,0
Penacova,1025089,1011464,414803,183108,43137,13625,0,0,12388
Penela,797386,121973,70864,30000,9160,675413,0,10094,665319
Soure,1189185,451902,128957,203736,4765,737283,0,0,0
Tábua,432360,431880,265669,141738,0,480,0,0,0
Vila Nova de Poiares,109274,109274,88574,20700,0,0,0,0,0
Região de Leiria,9434780,8029397,2619988,1961525,2270687,1405383,436,256569,695743
Alvaiázere,197865,197865,121365,76500,0,0,0,0,0
Ansião,715227,715227,119509,48865,528794,0,0,0,0
Batalha,539497,403702,291200,112502,0,135795,0,17644,118151
Castanheira de Pêra,24765,18000,18000,0,0,6765,0,0,0
Figueiró dos Vinhos,422609,422609,118212,102148,198715,0,0,0,0
Leiria,3139129,2913484,802130,421836,839680,225645,0,0,208223
Marinha Grande,1336816,1094333,461370,535472,11175,242483,0,83847,81325
Pedrógão Grande,257951,250167,3497,78710,148178,7784,0,0,7784
Pombal,2052007,1331319,420145,474932,307230,720688,436,92078,277037
Porto de Mós,748914,682691,264560,110560,236915,66223,0,63000,3223
Viseu Dão Lafões,10925759,9140862,3387042,2978017,1830074,1784897,2975,221321,456190
Aguiar da Beira,466148,466148,358024,50000,0,0,0,0,0
Carregal do Sal,369160,369160,237192,131968,0,0,0,0,0
Castro Daire,677783,566033,305055,260978,0,111750,0,0,111750
Mangualde,178903,178903,42359,32019,101767,0,0,0,0
Nelas,242675,242675,3500,223350,12000,0,0,0,0
Oliveira de Frades,331778,331778,169086,61000,48376,0,0,0,0
Penalva do Castelo,478910,478910,7472,212210,224164,0,0,0,0
Santa Comba Dão,364024,298948,269914,25000,0,65076,0,36930,26608
São Pedro do Sul,986169,803612,48010,300989,440540,182557,0,0,132557
Sátão,724766,724766,12804,275471,425710,0,0,0,0
Tondela,901746,879915,384615,440934,32366,21831,2975,0,16114
Vila Nova de Paiva,439799,439799,374244,65555,0,0,0,0,0
Viseu,4008911,2752931,835654,749014,439836,1255980,0,134128,71721
Vouzela,754987,607284,339113,149529,105315,147703,0,50263,97440
Beira Baixa,5084992,4174843,1242182,2047171,285665,910149,27474,81566,108301
Castelo Branco,2183087,1869365,281742,855762,282016,313722,0,9295,0
Idanha-a-Nova,1431237,1075452,275946,733250,3649,355785,0,12375,96044
Oleiros,416340,408462,225567,182895,0,7878,0,0,0
Penamacor,356926,263388,137050,126338,0,93538,0,0,12257
Proença-a-Nova,499310,387558,181259,118926,0,111752,0,59896,0
Vila Velha de Ródão,198092,170618,140618,30000,0,27474,27474,0,0
Médio Tejo,17185796,12504427,2131074,2044733,4501313,4681369,1101,361433,944192
Abrantes,3589211,2413557,517617,0,23319,1175654,0,0,0
Alcanena,1477853,689824,43481,72346,518249,788029,0,13380,11614
Constância,538837,529327,32438,32787,400137,9510,0,3108,6249
Entroncamento,709139,634065,12617,102257,422356,75074,0,0,69496
Ferreira do Zêzere,468520,456798,284998,24956,74289,11722,0,11722,0
Mação,2145650,643805,23201,75635,284612,1501845,0,0,407180
Ourém,2128063,1696501,135589,936259,468669,431562,0,318189,113373
Sardoal,611687,561662,328875,22588,6310,50025,1101,0,431
Sertã,1738613,1287925,173110,257529,664311,450688,0,0,335849
Tomar,1485514,1485514,313726,165539,749230,0,0,0,0
Torres Novas,1605611,1458351,57971,306152,718762,147260,0,15034,0
Vila de Rei,327440,327440,60609,38435,8503,0,0,0,0
Vila Nova da Barquinha,359658,319658,146842,10250,162566,40000,0,0,0
Beiras e Serra da Estrela,7797576,6774956,2252964,1979476,1878140,1022620,56099,295848,575363
Almeida,762680,616050,431310,114845,61770,146630,0,0,146630
Belmonte,76743,34626,0,34626,0,42117,0,24795,0
Celorico da Beira,137082,114327,7562,35000,60352,22755,0,0,0
Covilhã,1167729,929528,0,354922,451531,238201,0,206803,13260
Figueira de Castelo Rodrigo,57250,57250,0,57250,0,0,0,0,0
Fornos de Algodres,140023,80023,32874,47149,0,60000,0,60000,0
Fundão,823413,787968,270569,220740,189241,35445,0,0,17445
Gouveia,612014,541688,244408,127342,117201,70326,0,0,53402
Guarda,1300275,1244176,860605,316876,0,56099,56099,0,0
Manteigas,172523,172523,15584,118000,7477,0,0,0,0
Mêda,91410,91410,1410,90000,0,0,0,0,0
Pinhel,332772,332772,119840,25000,187932,0,0,0,0
Sabugal,875117,558988,21517,154487,360267,316129,0,0,315096
Seia,903835,890661,228191,136239,333219,13174,0,0,13174
Trancoso,344710,322966,19094,147000,109150,21744,0,4250,16356
A. M. Lisboa,53531166,38434823,17442484,11141458,4228800,15096343,265995,3130222,7159882
Alcochete,952759,775939,447973,325674,2292,176820,15938,0,160882
Almada,4231879,3837461,1146989,774599,1546222,394418,0,74600,258468
Amadora,2036805,1023623,391273,123158,25122,1013182,0,0,1013182
Barreiro,1253482,1169982,486700,345788,312594,83500,0,83500,0
Cascais,2403715,1315804,1259510,0,0,1087911,1273,347472,544203
Lisboa,9030302,7208991,1008711,3246401,8564,1821311,0,1580798,402
Loures,1669294,1653101,766684,328933,0,16193,213,0,0
Mafra,353565,138512,44176,91669,2545,215053,3567,0,85697
Moita,2235826,598531,435387,65652,8195,1637295,0,0,1630695
Montijo,633477,633477,0,188367,0,0,0,0,0
Odivelas,4613478,3814999,2377679,1266578,133915,798479,39227,88919,255712
Oeiras,3031840,1725060,427918,1162314,0,1306780,204289,653258,0
Palmela,808178,376263,311730,32375,0,431915,1488,55615,2030
Seixal,9280585,5160245,3836165,1324080,0,4120340,0,0,2151563
Sesimbra,1098530,822083,111541,649715,54736,276447,0,146945,114165
Setúbal,2294933,2112325,1559168,527576,1397,182608,0,10800,117778
Sintra,3699120,3134656,2544037,417739,35865,564464,0,80725,453020
Vila Franca de Xira,3903398,2933771,286843,270840,2097353,969627,0,7590,372085
Alentejo,39224419,31837949,11135672,8158272,7726612,7386470,311402,825723,2912552
Alentejo Litoral,6710327,5193414,2411306,1242910,1233923,1516913,60024,373750,617391
Alcácer do Sal,1975123,1194724,120207,185105,584137,780399,0,244206,70445
Grândola,1508356,1448332,1227997,0,220335,60024,60024,0,0
Odemira,1010035,895491,296843,598648,0,114544,0,114544,0
Santiago do Cacém,1379161,1250896,608886,292609,349401,128265,0,15000,113265
Sines,837652,403971,157373,166548,80050,433681,0,0,433681
Baixo Alentejo,6467130,5758499,2227626,1531653,684936,708631,14419,135827,360789
Aljustrel,912418,814653,508303,130751,82770,97765,0,0,2329
Almodôvar,565343,565343,203840,185540,0,0,0,0,0
Alvito,204899,204899,28775,173517,1310,0,0,0,0
Barrancos,89140,84640,27600,44940,0,4500,4500,0,0
Beja,922392,687150,87410,198199,207211,235242,0,0,203432
Castro Verde,552031,516219,178928,184864,92548,35812,0,35812,0
Cuba,241964,230084,190905,30600,3785,11880,0,4750,3565
Ferreira do Alentejo,278163,278163,0,113576,26329,0,0,0,0
Mértola,493895,338301,211243,107367,17125,155594,0,9525,139018
Moura,694060,611994,441267,111279,59448,82066,9919,72147,0
Ourique,176365,176365,124304,43965,8096,0,0,0,0
Serpa,798026,742030,122920,157980,137794,55996,0,0,2633
Vidigueira,538434,508658,102131,49075,48520,29776,0,13593,9812
Lezíria do Tejo,10420245,9176115,2218491,2134076,3764028,1244130,747,85871,701569
Almeirim,1365654,1119878,0,343834,554051,245776,0,0,0
Alpiarça,330973,326777,45668,26900,254209,4196,0,0,4196
Azambuja,511325,511325,270110,110215,48700,0,0,0,0
Benavente,2499779,2453383,95360,571838,1404428,46396,0,0,46396
Cartaxo,454087,418298,78814,0,213792,35789,747,0,7017
Chamusca,775406,164726,110426,54300,0,610680,0,0,590520
Coruche,449126,447626,240709,206917,0,1500,0,0,0
Golegã,163025,112997,36699,76298,0,50028,0,32519,17509
Rio Maior,1747268,1692835,112131,78917,1287142,54433,0,2629,35931
Salvaterra de Magos,663151,540844,397826,118151,0,122307,0,50723,0
Santarém,1460451,1387426,830748,546706,1706,73025,0,0,0
Alto Alentejo,7171491,5239749,2264604,1566295,383767,1931742,31458,10552,1085823
Alter do Chão,321845,147394,9177,47283,40990,174451,2500,0,81845
Arronches,276486,256836,22670,234166,0,19650,0,0,19650
Avis,1229967,721513,166409,46650,0,508454,0,0,0
Campo Maior,340000,340000,340000,0,0,0,0,0,0
Castelo de Vide,568611,507304,220024,49075,123159,61307,2121,4500,52369
Crato,243211,188626,78886,109740,0,54585,0,0,12841
Elvas,214447,202969,69235,107117,0,11478,0,6052,0
Fronteira,152914,152914,33996,36000,26545,0,0,0,0
Gavião,285352,67250,3500,63750,0,218102,0,0,134602
Marvão,43821,43821,33821,10000,0,0,0,0,0
Monforte,246540,246540,196136,50404,0,0,0,0,0
Nisa,536616,409091,111257,27515,52982,127525,26837,0,67310
Ponte de Sor,1133017,1133017,570601,562416,0,0,0,0,0
Portalegre,1234895,520784,337982,174498,0,714111,0,0,675127
Sousel,343769,301690,70910,47681,140091,42079,0,0,42079
Alentejo Central,8455226,6470172,2013645,1683338,1659958,1985054,204754,219723,146980
Alandroal,297876,297876,247787,0,0,0,0,0,0
Arraiolos,530850,330425,228463,58072,43890,200425,161425,39000,0
Borba,260489,205328,59147,20000,97530,55161,0,0,0
Estremoz,164492,164492,77058,87434,0,0,0,0,0
Évora,1082963,1007767,205725,261347,46578,75196,576,0,911
Montemor-o-Novo,1137917,904868,456301,386872,11657,233049,42753,180723,9573
Mora,360921,137666,57235,40601,9674,223255,0,0,0
Mourão,391533,333044,15443,8750,162631,58489,0,0,33238
Portel,1619005,528994,86797,112346,179073,1090011,0,0,88804
Redondo,304680,304680,85230,165440,24560,0,0,0,0
Reguengos de Monsaraz,993194,993194,14323,211897,766974,0,0,0,0
Vendas Novas,643197,634033,469934,125762,8889,9164,0,0,0
Viana do Alentejo,346997,317246,10202,112513,91354,29751,0,0,14454
Vila Viçosa,321112,310559,0,92304,217148,10553,0,0,0
Algarve,31618440,21551088,6314086,7688981,5201350,10067352,48270,313889,7026447
Albufeira,2395892,1942850,41188,1682371,213178,453042,0,5650,131499
Alcoutim,206008,206008,37893,102851,8436,0,0,0,0
Aljezur,456650,407346,164217,1199,231211,49304,0,0,49304
Castro Marim,387245,386064,256013,114400,15314,1181,0,0,1181
Faro,2340956,2248497,1519896,479278,24767,92459,0,92459,0
Lagoa,4267772,2499884,669786,593424,851753,1767888,0,15000,0
Lagos,3704988,3406386,752124,816543,1415074,298602,0,0,50058
Loulé,11549960,4950698,126930,1753203,2266294,6599262,0,0,6331031
Monchique,349018,349018,309471,39547,0,0,0,0,0
Olhão,943987,841491,392588,332145,10980,102496,0,56911,0
Portimão,643424,643424,0,643424,0,0,0,0,0
São Brás de Alportel,784659,696175,564437,131738,0,88484,0,82000,4501
Silves,1811798,1694065,1395869,274090,15885,117733,0,61869,54316
Tavira,1113624,659343,5650,653693,0,454281,5650,0,404557
Vila do Bispo,169160,126540,55465,71075,0,42620,42620,0,0
Vila Real de Santo António,493299,493299,22559,0,148458,0,0,0,0
R. A. Açores,7324503,4190719,694195,2059465,218413,3133784,0,710563,936698
Santa Maria,503337,308475,72124,80366,3320,194862,0,113420,0
Vila do Porto,503337,308475,72124,80366,3320,194862,0,113420,0
São Miguel,3515634,2383260,115302,1257706,30349,1132374,0,304630,192095
Lagoa (R.A.A.),199502,199502,0,199502,0,0,0,0,0
Nordeste,85881,85881,0,69657,0,0,0,0,0
Ponta Delgada,2063756,1583770,38944,738547,30349,479986,0,0,184701
Povoação,78024,15024,15024,0,0,63000,0,63000,0
Ribeira Grande,904940,315552,0,250000,0,589388,0,241630,7394
Vila Franca do Campo,183531,183531,61334,0,0,0,0,0,0
Terceira,1248300,694007,404574,167296,116470,554293,0,137992,290667
Angra do Heroísmo,1116620,562327,365106,75084,116470,554293,0,137992,290667
Vila da Praia da Vitória,131680,131680,39468,92212,0,0,0,0,0
Graciosa,622787,178329,0,137185,14777,444458,0,0,0
Santa Cruz da Graciosa,622787,178329,0,137185,14777,444458,0,0,0
São Jorge,342386,143046,64822,78224,0,199340,0,0,0
Calheta (R.A.A.),239340,40000,0,40000,0,199340,0,0,0
Velas,103046,103046,64822,38224,0,0,0,0,0
Pico,269914,161364,31894,120050,6217,108550,0,108550,0
Lajes do Pico,63550,1000,0,1000,0,62550,0,62550,0
Madalena,111886,111886,31132,73050,6217,0,0,0,0
São Roque do Pico,94478,48478,762,46000,0,46000,0,46000,0
Faial,600472,267738,5479,179138,47280,332734,0,45971,286763
Horta,600472,267738,5479,179138,47280,332734,0,45971,286763
Flores,214173,47000,0,32000,0,167173,0,0,167173
Lajes das Flores,4000,4000,0,4000,0,0,0,0,0
Santa Cruz das Flores,210173,43000,0,28000,0,167173,0,0,167173
Corvo,7500,7500,0,7500,0,0,0,0,0
Corvo,7500,7500,0,7500,0,0,0,0,0
R. A. Madeira,3193797,3163627,1321382,1469387,8009,30170,12366,0,7930
Calheta (R.A.M.),289615,281654,0,281654,0,7961,0,0,0
Câmara de Lobos,257824,257824,84303,169144,677,0,0,0,0
Funchal,1177820,1163541,1033918,0,0,14279,12366,0,0
Machico,568797,568797,52588,319937,2242,0,0,0,0
Ponta do Sol,255932,248002,0,205416,5090,7930,0,0,7930
Porto Moniz,135381,135381,70341,65040,0,0,0,0,0
Ribeira Brava,118553,118553,0,118553,0,0,0,0,0
Santa Cruz,47997,47997,0,47997,0,0,0,0,0
Santana,157306,157306,0,157306,0,0,0,0,0
São Vicente,139840,139840,47200,92640,0,0,0,0,0
Porto Santo,44732,44732,33032,11700,0,0,0,0,0
