,Total expenditures on sports activities and equipments (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Sports activities (Euros)","Current expenditures, of which, Sports associations (Euros)","Current expenditures, of which, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, Total, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, of which, Sports activities (Euros)","Capital expenditures, of which, Sports associations (Euros)","Capital expenditures, of which, Construction and maintenance of sports infrastructures (Euros)"
Covilhã,1029349,913259,0,325578,458522,116090,0,116090,0
Figueira de Castelo Rodrigo,47600,47600,30000,16000,1600,0,0,0,0
Fornos de Algodres,107328,107328,37839,33000,36489,0,0,0,0
Fundão,860762,690245,252662,220740,192554,170517,0,0,41598
Gouveia,651597,383823,221147,71075,47700,267774,0,0,0
Guarda,1299980,1213354,925755,256444,0,86626,86626,0,0
Manteigas,167638,96481,14134,53667,15488,71157,0,0,0
Mêda,35986,35986,986,35000,0,0,0,0,0
Pinhel,133825,133825,115005,0,18820,0,0,0,0
Sabugal,623185,486126,269853,174220,42053,137059,0,0,137059
Seia,903649,899248,207864,163026,331892,4401,0,0,411
Trancoso,332378,286835,17935,122500,98715,45543,0,0,12679
A. M. Lisboa,51728474,38797190,18757247,7520246,4626807,12931284,633863,2279877,3028828
Alcochete,1623416,782333,536176,246157,0,841083,0,0,0
Almada,3026825,2851653,1045199,64339,1495235,175172,0,62900,112272
Amadora,1205286,935477,199183,209744,10664,269809,0,12099,257710
Barreiro,1631610,1549136,451800,345322,681874,82474,0,82474,0
Cascais,3325363,2507567,597738,542638,0,817796,2099,405724,253779
Lisboa,7841081,7137866,3075678,874486,12675,703215,167486,380646,71083
Loures,1305634,1305634,496273,285691,0,0,0,0,0
Mafra,2188993,2070182,1998362,71820,0,118811,0,0,118811
Moita,876616,808972,143667,110443,354650,67644,0,13670,35208
Montijo,587451,587451,0,573732,13719,0,0,0,0
Odivelas,3168256,2926980,1993789,843073,70539,241276,42012,43780,35957
Oeiras,3256379,2600940,654285,1481769,0,655439,0,483954,0
Palmela,822710,287468,190704,25287,0,535242,1476,61620,409620
Seixal,9386141,4180691,3218853,207006,0,5205450,0,512414,0
Sesimbra,915993,541951,39099,457822,39985,374042,0,35728,176980
Setúbal,2435004,2382352,1755774,358158,188274,52652,8014,44638,0
Sintra,3289748,2736742,1965626,726579,34418,553006,412776,140230,0
Vila Franca de Xira,4841968,2603795,395041,96180,1724774,2238173,0,0,1557408
Alentejo,33425371,25779987,8861589,6532628,6352073,7645384,171907,1099835,3130045
Alentejo Litoral,4989087,4077924,1876994,1017181,587335,911163,79032,93405,690632
Alcácer do Sal,1544568,928327,104603,106388,282725,616241,0,0,568147
Grândola,1074743,995711,648906,185002,0,79032,79032,0,0
Odemira,450300,439321,157876,281445,0,10979,0,10979,0
Santiago do Cacém,1166797,1033549,510971,266990,255588,133248,0,23223,110025
Sines,752679,681016,454638,177356,49022,71663,0,59203,12460
Baixo Alentejo,6122210,5035794,1664541,1421713,586281,1086416,283,163048,272290
Aljustrel,705492,657369,382548,124195,65839,48123,0,0,0
Almodôvar,589770,589770,164525,158387,0,0,0,0,0
Alvito,215816,213316,24156,187745,0,2500,0,2500,0
Barrancos,231100,74400,45900,28500,0,156700,0,0,0
Beja,909375,674134,78333,303406,153639,235241,0,0,203432
Castro Verde,648272,583580,166706,199853,121921,64692,0,64692,0
Cuba,217203,203519,164709,34625,2424,13684,0,0,11531
Ferreira do Alentejo,65102,65102,0,9788,16616,0,0,0,0
Mértola,325118,278510,167814,82788,24200,46608,0,15080,29344
Moura,545481,437025,165545,124302,14140,108456,283,80776,25721
Ourique,215865,215865,122108,45450,48307,0,0,0,0
Serpa,867722,583482,98134,73651,90313,284240,0,0,2003
Vidigueira,585894,459722,84063,49023,48882,126172,0,0,259
Lezíria do Tejo,9101068,8100865,1902378,1591183,3740543,1000203,0,405001,400086
Almeirim,1146776,1026350,0,272093,565502,120426,0,0,0
Alpiarça,344771,337969,58821,37432,241716,6802,0,0,6802
Azambuja,488026,488026,268105,104321,36336,0,0,0,0
Benavente,1546495,1546495,30027,419718,962051,0,0,0,0
Cartaxo,547763,527738,67010,0,353759,20025,0,0,3589
Chamusca,571334,174981,141681,33300,0,396353,0,0,366791
Coruche,357587,346268,77631,139589,0,11319,0,11319,0
Golegã,116234,93330,24371,68959,0,22904,0,0,22904
Rio Maior,1949001,1897423,76452,75978,1576429,51578,0,51578,0
Salvaterra de Magos,826655,457434,341469,91335,0,369221,0,342104,0
Santarém,1206426,1204851,816811,348458,4750,1575,0,0,0
Alto Alentejo,6524298,3652209,1794455,1113246,357651,2872089,59810,196682,1711902
Alter do Chão,146412,73253,157,13457,44203,73159,0,0,43023
Arronches,381652,130694,8916,121778,0,250958,0,0,250958
Avis,321098,171021,118422,51937,662,150077,0,0,0
Campo Maior,262917,262917,262917,0,0,0,0,0,0
Castelo de Vide,489620,406199,159581,26000,112408,83421,2786,0,64560
Crato,73981,73981,73981,0,0,0,0,0,0
Elvas,488374,241698,0,144373,25509,246676,0,47010,136073
Fronteira,183566,12995,4095,8000,0,170571,0,0,100747
Gavião,39500,39500,0,39500,0,0,0,0,0
Marvão,28583,28583,28583,0,0,0,0,0,0
Monforte,240824,240824,202909,37915,0,0,0,0,0
Nisa,388493,319652,73597,69395,33503,68841,57024,0,0
Ponte de Sor,1162882,1003622,542731,460891,0,159260,0,149672,0
Portalegre,2034443,410235,295009,107000,0,1624208,0,0,1071623
Sousel,281953,237035,23557,33000,141366,44918,0,0,44918
Alentejo Central,6688708,4913195,1623221,1389305,1080263,1775513,32782,241699,55135
Alandroal,193842,193842,163514,0,0,0,0,0,0
Arraiolos,426730,261140,157230,84756,1539,165590,0,39547,12146
Borba,419040,99081,43158,16065,37130,319959,0,0,0
Estremoz,297285,297285,163851,130859,2575,0,0,0,0
Évora,758598,727941,159179,49859,44366,30657,739,0,0
Montemor-o-Novo,774620,699140,373683,297421,8219,75480,22391,32275,20814
Mora,155604,141351,74341,25882,11392,14253,0,0,0
Mourão,267183,216712,4882,3000,146402,50471,9652,0,8139
Portel,1307653,453708,74825,96850,153054,853945,0,0,0
Redondo,225690,225690,72660,110260,14560,0,0,0,0
Reguengos de Monsaraz,863460,863460,22023,239551,601886,0,0,0,0
Vendas Novas,467574,410661,304311,72249,12598,56913,0,0,0
Viana do Alentejo,394875,210962,9162,171105,30695,183913,0,169877,14036
Vila Viçosa,136554,112222,402,91448,15847,24332,0,0,0
Algarve,28032933,18538143,5538173,6008352,5313139,9494790,158739,627857,6382306
Albufeira,3084853,2805868,707500,1253957,470169,278985,0,54652,117258
Alcoutim,165663,158138,40606,77650,14608,7525,0,7525,0
Aljezur,381328,268557,31793,18806,197368,112771,0,89293,15868
Castro Marim,346826,346826,243330,85900,17596,0,0,0,0
Faro,1505051,751442,288879,462563,0,753609,0,0,753609
Lagoa,2900073,1812804,780158,378807,500288,1087269,112073,16100,140092
Lagos,3574120,2893358,779977,654000,1185983,680762,0,212441,6719
Loulé,9580995,3894042,73368,1365125,1796950,5686953,0,0,4993824
Monchique,276399,276399,247185,29214,0,0,0,0,0
Olhão,1128961,861261,575342,285919,0,267700,0,38208,121409
Portimão,544306,470246,0,470246,0,74060,0,74060,0
São Brás de Alportel,845954,744236,606720,137516,0,101718,0,85000,2487
Silves,1670323,1355452,1092631,180419,41592,314871,40950,50578,124188
Tavira,885240,778070,8848,587693,134938,107170,0,0,106852
Vila do Bispo,88089,82373,61836,20537,0,5716,5716,0,0
Vila Real de Santo António,1054752,1039071,0,0,953647,15681,0,0,0
R. A. Açores,7663247,4330938,752187,1959451,483870,3332309,2520,518239,1565038
Santa Maria,489641,365007,86266,82985,38511,124634,0,105800,0
Vila do Porto,489641,365007,86266,82985,38511,124634,0,105800,0
São Miguel,3495196,2354669,199261,1011683,255054,1140527,0,222700,115715
Lagoa (R.A.A.),172600,172600,0,172600,0,0,0,0,0
Nordeste,60618,60618,0,54550,0,0,0,0,0
Ponta Delgada,1591982,1591982,44333,513271,255054,0,0,0,0
Povoação,55181,20181,20181,0,0,35000,0,35000,0
Ribeira Grande,1480068,374541,0,271262,0,1105527,0,187700,115715
Vila Franca do Campo,134747,134747,134747,0,0,0,0,0,0
Terceira,1935829,712032,327149,284629,99176,1223797,2520,57356,769767
Angra do Heroísmo,1378148,448142,288123,59765,99176,930006,2520,57356,620958
Vila da Praia da Vitória,557681,263890,39026,224864,0,293791,0,0,148809
Graciosa,245822,217600,0,164766,29994,28222,0,0,0
Santa Cruz da Graciosa,245822,217600,0,164766,29994,28222,0,0,0
São Jorge,121560,121560,55820,61602,4138,0,0,0,0
Calheta (R.A.A.),34138,34138,0,30000,4138,0,0,0,0
Velas,87422,87422,55820,31602,0,0,0,0,0
Pico,280389,208305,73500,126000,0,72084,0,68894,0
Lajes do Pico,72084,0,0,0,0,72084,0,68894,0
Madalena,73500,73500,73500,0,0,0,0,0,0
São Roque do Pico,134805,134805,0,126000,0,0,0,0,0
Faial,1038364,295319,10191,185688,43150,743045,0,63489,679556
Horta,1038364,295319,10191,185688,43150,743045,0,63489,679556
Flores,47946,47946,0,33598,13847,0,0,0,0
Lajes das Flores,15936,15936,0,1588,13847,0,0,0,0
Santa Cruz das Flores,32010,32010,0,32010,0,0,0,0,0
Corvo,8500,8500,0,8500,0,0,0,0,0
Corvo,8500,8500,0,8500,0,0,0,0,0
R. A. Madeira,3249970,2904852,1342388,1095015,6462,345118,2118,0,0
Calheta (R.A.M.),352500,177500,0,177500,0,175000,0,0,0
Câmara de Lobos,277796,277796,70366,171738,4056,0,0,0,0
Funchal,1170583,1000465,797924,0,0,170118,2118,0,0
Machico,579671,579671,101520,250592,2406,0,0,0,0
Ponta do Sol,212382,212382,79776,130949,0,0,0,0,0
Porto Moniz,153400,153400,56750,96650,0,0,0,0,0
Ribeira Brava,142299,142299,142299,0,0,0,0,0,0
Santa Cruz,111908,111908,68425,43483,0,0,0,0,0
Santana,139717,139717,0,139717,0,0,0,0,0
São Vicente,91607,91607,19721,71886,0,0,0,0,0
Porto Santo,18107,18107,5607,12500,0,0,0,0,0
