,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Dias processados, HM, Nº","Dias processados, H, Nº","Dias processados, M, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Região de Aveiro,6244,2962,3282,453397,96754,356643,12216,3481,8735
Águeda,816,389,427,57939,12038,45901,1474,415,1059
Albergaria-a-Velha,436,205,231,32543,7013,25530,822,234,587
Anadia,352,169,183,25776,5590,20186,669,166,504
Aveiro,1433,688,745,103551,22851,80700,3263,965,2298
Estarreja,474,229,245,34301,7273,27028,799,239,561
Ílhavo,700,329,371,51186,10598,40588,1384,394,990
Murtosa,175,80,95,12262,2524,9738,292,84,208
Oliveira do Bairro,427,201,226,30284,6319,23965,773,226,547
Ovar,871,419,452,62804,14474,48330,1686,501,1186
Sever do Vouga,154,73,81,11655,2389,9266,286,76,210
Vagos,406,180,226,31096,5685,25411,768,182,586
Região de Coimbra,6458,3093,3365,466427,103988,362439,13327,3708,9619
Arganil,110,52,58,7672,1767,5905,176,53,123
Cantanhede,494,242,252,37243,8587,28656,1026,300,726
Coimbra,2227,1047,1180,161977,35638,126339,5430,1476,3954
Condeixa-a-Nova,286,133,153,21654,4833,16821,655,172,482
Figueira da Foz,841,397,444,62498,13467,49031,1691,482,1210
Góis,26,13,13,1480,477,1003,32,13,18
Lousã,279,135,144,19850,4378,15472,485,134,351
Mealhada,277,135,142,19836,4577,15259,548,164,384
Mira,157,78,79,10616,2509,8107,277,80,197
Miranda do Corvo,148,74,74,9939,2433,7506,243,69,174
Montemor-o-Velho,464,226,238,33103,7459,25644,922,246,676
Mortágua,121,59,62,8321,2053,6268,215,64,150
Oliveira do Hospital,340,162,178,23214,4788,18426,476,121,355
Pampilhosa da Serra,21,9,12,1578,286,1292,37,8,30
Penacova,117,66,51,7544,2019,5525,196,64,133
Penela,62,31,31,4792,1019,3773,122,33,90
Soure,232,113,119,17116,3603,13513,406,113,293
Tábua,192,91,101,13338,2913,10425,277,74,203
Vila Nova de Poiares,64,30,34,4656,1182,3474,112,42,70
Região de Leiria,4837,2343,2494,349002,77805,271197,9856,2970,6886
Alvaiázere,63,28,35,4109,858,3251,83,24,59
Ansião,151,73,78,11344,2885,8459,292,88,204
Batalha,290,141,149,20795,4669,16126,611,172,439
Castanheira de Pêra,26,13,13,1855,262,1593,35,7,27
Figueiró dos Vinhos,71,34,37,5290,1080,4210,120,36,84
Leiria,2380,1161,1219,170182,38113,132069,5048,1552,3495
Marinha Grande,722,349,373,52817,11799,41018,1506,473,1033
Pedrógão Grande,24,12,12,1253,360,893,29,11,18
Pombal,723,340,383,53800,11418,42382,1381,390,990
Porto de Mós,387,192,195,27557,6361,21196,752,216,536
Viseu Dão Lafões,3796,1804,1992,275705,59353,216352,7183,1921,5262
Aguiar da Beira,60,29,31,4585,934,3651,123,30,93
Carregal do Sal,126,62,64,9437,1941,7496,223,58,165
Castro Daire,153,73,80,11252,2666,8586,235,67,168
Mangualde,272,130,142,19038,4078,14960,467,147,320
Nelas,229,113,116,15230,3464,11766,378,111,268
Oliveira de Frades,159,75,84,11488,2458,9030,271,71,200
Penalva do Castelo,87,45,42,6212,1316,4896,129,37,93
Santa Comba Dão,145,69,76,10523,2142,8381,259,71,189
São Pedro do Sul,194,90,104,13971,2913,11058,305,83,223
Sátão,145,71,74,10555,2339,8216,242,59,182
Tondela,336,166,170,24802,5746,19056,700,203,497
Vila Nova de Paiva,42,18,24,3453,579,2874,85,16,68
Viseu,1721,804,917,126119,26822,99297,3555,910,2645
Vouzela,127,59,68,9040,1955,7085,210,59,151
Beira Baixa,1041,491,550,77501,16785,60716,2056,538,1518
Castelo Branco,760,359,401,57810,12475,45335,1614,406,1208
Idanha-a-Nova,100,45,55,6594,1364,5230,127,31,96
Oleiros,40,18,22,3174,774,2400,96,30,66
Penamacor,45,22,23,3333,752,2581,63,22,41
Proença-a-Nova,67,33,34,4688,979,3709,110,33,78
Vila Velha de Ródão,29,14,15,1902,441,1461,46,17,29
Médio Tejo,3285,1569,1716,235552,51394,184158,6029,1732,4298
Abrantes,426,196,230,32092,6450,25642,789,213,576
Alcanena,199,94,105,14431,3041,11390,346,94,252
Constância,55,28,27,3958,774,3184,105,31,74
Entroncamento,367,177,190,26680,5883,20797,752,231,521
Ferreira do Zêzere,93,51,42,6063,1674,4389,139,53,86
Mação,54,27,27,3704,822,2882,88,25,63
Ourém,678,331,347,48642,10689,37953,1259,364,895
Sardoal,53,26,27,4247,920,3327,90,30,60
Sertã,180,82,98,12582,2554,10028,288,74,214
Tomar,450,221,229,30703,7023,23680,764,237,527
Torres Novas,571,264,307,41172,9163,32009,1141,306,835
Vila de Rei,34,16,18,2495,535,1960,58,13,45
Vila Nova da Barquinha,125,56,69,8783,1866,6917,210,61,150
Beiras e Serra da Estrela,2571,1225,1346,189547,39760,149787,4754,1191,3563
Almeida,52,24,28,3703,783,2920,83,25,58
Belmonte,70,39,31,5207,1515,3692,140,40,100
Celorico da Beira,87,41,46,6074,1362,4712,127,40,87
Covilhã,574,262,312,43243,8535,34708,1158,284,874
Figueira de Castelo Rodrigo,68,32,36,5070,827,4243,108,21,88
Fornos de Algodres,72,36,36,5189,934,4255,117,25,92
Fundão,325,157,168,24648,5246,19402,641,152,489
Gouveia,113,54,59,8382,1642,6740,181,43,138
Guarda,600,285,315,45067,9182,35885,1247,310,937
Manteigas,33,15,18,2396,498,1898,62,13,49
Mêda,40,19,21,2767,707,2060,62,19,44
Pinhel,84,41,43,6159,1365,4794,139,35,104
Sabugal,96,47,49,6758,1411,5347,148,34,114
Seia,253,123,130,17408,4120,13288,390,109,281
Trancoso,104,50,54,7476,1633,5843,150,42,108
A. M. Lisboa,52458,23528,28930,3937768,790128,3147640,133906,37316,96589
Alcochete,310,148,162,21577,4803,16774,799,248,551
Almada,2932,1270,1662,222865,42225,180640,6769,1758,5012
Amadora,3333,1431,1902,255451,46231,209220,7235,1759,5476
Barreiro,1327,592,735,98207,19108,79099,2668,731,1936
Cascais,3306,1464,1842,248077,49040,199037,9171,2571,6600
Lisboa,10106,4590,5516,756926,158719,598207,34342,9849,24494
Loures,4003,1806,2197,300607,61203,239404,9599,2774,6824
Mafra,1587,740,847,118119,25197,92922,3937,1138,2798
Moita,1158,506,652,85910,16193,69717,2172,572,1600
Montijo,1244,546,698,92260,18237,74023,2818,803,2015
Odivelas,3105,1424,1681,230314,47863,182451,7602,2161,5442
Oeiras,3079,1403,1676,234849,49561,185288,10163,2943,7220
Palmela,1146,513,633,85669,17360,68309,2541,746,1795
Seixal,2977,1359,1618,224256,45501,178755,6764,1861,4903
Sesimbra,937,431,506,67963,14879,53084,1980,614,1366
Setúbal,1997,893,1104,148763,28678,120085,4361,1217,3144
Sintra,7177,3135,4042,542472,101974,440498,14822,3776,11046
Vila Franca de Xira,2734,1277,1457,203483,43356,160127,6163,1796,4367
Alentejo,11520,5317,6203,834452,168478,665974,21262,5848,15414
Alentejo Litoral,1472,687,785,108024,21587,86437,3071,940,2130
Alcácer do Sal,157,69,88,11378,2114,9264,271,67,204
Grândola,201,89,112,14892,2827,12065,357,94,264
Odemira,446,220,226,32367,6772,25595,805,226,579
Santiago do Cacém,419,193,226,31035,6161,24874,1061,352,709
Sines,249,116,133,18352,3713,14639,576,202,374
Baixo Alentejo,2023,935,1088,145176,29215,115961,3649,1045,2604
Aljustrel,151,76,75,11025,2571,8454,313,112,201
Almodôvar,90,41,49,6772,1472,5300,218,87,132
Alvito,36,15,21,2943,620,2323,73,28,45
Barrancos,19,11,8,1300,505,795,24,12,12
Beja,613,273,340,44913,8787,36126,1166,293,873
Castro Verde,107,54,53,7252,1684,5568,232,93,139
Cuba,83,42,41,5666,1192,4474,129,34,96
Ferreira do Alentejo,140,68,72,9500,1882,7618,230,64,166
Mértola,73,34,39,4794,963,3831,117,41,76
Moura,272,117,155,19794,3368,16426,383,80,303
Ourique,71,27,44,5312,831,4481,153,38,114
Serpa,248,123,125,17676,3816,13860,434,117,317
Vidigueira,120,54,66,8229,1524,6705,176,46,130
Lezíria do Tejo,3830,1778,2052,274495,56604,217891,6992,1954,5039
Almeirim,330,151,179,24529,5076,19453,609,163,446
Alpiarça,94,45,49,6025,1378,4647,149,42,107
Azambuja,371,176,195,26398,5528,20870,643,186,457
Benavente,622,283,339,45744,9005,36739,1164,334,830
Cartaxo,370,175,195,27070,5657,21413,669,177,492
Chamusca,125,57,68,8832,1636,7196,203,54,149
Coruche,237,106,131,17274,3479,13795,447,123,324
Golegã,68,30,38,4635,858,3777,134,33,100
Rio Maior,397,192,205,28770,5981,22789,666,179,487
Salvaterra de Magos,318,145,173,22079,4546,17533,540,163,377
Santarém,898,418,480,63139,13460,49679,1769,500,1269
Alto Alentejo,1600,701,899,117770,21265,96505,2700,620,2080
Alter do Chão,35,13,22,2298,306,1992,46,9,37
Arronches,32,16,16,1751,426,1325,47,13,34
Avis,57,24,33,4285,738,3547,92,20,72
Campo Maior,190,89,101,14543,2905,11638,321,80,240
Castelo de Vide,55,25,30,3951,795,3156,70,17,53
Crato,32,13,19,2728,307,2421,52,10,42
Elvas,342,143,199,25103,3911,21192,570,120,450
Fronteira,37,18,19,2786,740,2046,69,26,42
Gavião,30,14,16,2024,364,1660,38,9,29
Marvão,29,12,17,2310,388,1922,46,9,38
Monforte,59,27,32,4136,667,3469,66,12,54
Nisa,80,38,42,6004,1219,4785,145,34,111
Ponte de Sor,215,87,128,15840,2336,13504,344,72,272
Portalegre,356,160,196,26281,5528,20753,711,173,538
Sousel,51,22,29,3730,635,3095,84,16,67
Alentejo Central,2595,1216,1379,188987,39807,149180,4850,1290,3560
Alandroal,58,27,31,4308,764,3544,94,20,75
Arraiolos,101,51,50,7295,1599,5696,196,52,144
Borba,83,36,47,6382,1182,5200,143,35,108
Estremoz,216,97,119,16230,2971,13259,394,87,307
Évora,1082,513,569,76024,16956,59068,2250,610,1640
Montemor-o-Novo,240,113,127,17374,3681,13693,410,127,283
Mora,45,17,28,3669,472,3197,69,15,53
Mourão,58,27,31,4607,858,3749,78,15,62
Portel,100,49,51,7448,1634,5814,161,45,116
Redondo,75,35,40,5402,1274,4128,114,36,78
Reguengos de Monsaraz,170,80,90,12127,2347,9780,279,67,211
Vendas Novas,149,71,78,10858,2245,8613,262,66,196
Viana do Alentejo,112,54,58,8656,2034,6622,195,57,138
Vila Viçosa,106,46,60,8607,1790,6817,205,56,149
Algarve,8333,3696,4637,636413,118303,518110,16016,3949,12067
Albufeira,833,355,478,63180,10603,52577,1486,325,1161
Alcoutim,19,9,10,1214,245,969,31,6,25
Aljezur,96,48,48,7257,1698,5559,166,49,117
Castro Marim,103,48,55,7808,1685,6123,170,48,123
Faro,1303,586,717,99422,18892,80530,2854,671,2183
Lagoa,380,166,214,28831,5044,23787,663,156,507
Lagos,466,203,263,36267,6498,29769,873,194,678
Loulé,1384,607,777,106197,18857,87340,2637,689,1948
Monchique,68,37,31,4753,1253,3500,95,29,66
Olhão,808,347,461,63372,11288,52084,1571,384,1187
Portimão,1164,522,642,88856,17252,71604,2300,577,1722
São Brás de Alportel,186,83,103,14178,2631,11547,364,76,289
Silves,736,333,403,54291,10359,43932,1313,338,976
Tavira,381,172,209,29590,6286,23304,824,250,574
Vila do Bispo,95,42,53,7506,1256,6250,160,30,130
Vila Real de Santo António,311,138,173,23691,4456,19235,510,127,382
R. A. Açores,4842,2304,2538,335876,70470,265406,8810,2361,6449
Santa Maria,89,45,44,6391,1515,4876,328,208,121
Vila do Porto,89,45,44,6391,1515,4876,328,208,121
São Miguel,2939,1384,1555,200861,41421,159440,5029,1299,3730
Lagoa (R.A.A.),361,179,182,24899,5436,19463,578,148,430
Nordeste,72,33,39,4636,777,3859,78,16,62
Ponta Delgada,1414,667,747,98847,21505,77342,2797,780,2017
Povoação,108,47,61,6984,1165,5819,127,24,103
Ribeira Grande,780,367,413,51903,10138,41765,1149,265,885
Vila Franca do Campo,204,91,113,13592,2400,11192,300,67,233
Terceira,999,491,508,71306,15395,55911,1968,487,1481
Angra do Heroísmo,655,311,344,47922,9755,38167,1335,299,1036
Vila da Praia da Vitória,344,180,164,23384,5640,17744,634,188,445
Graciosa,72,32,40,4906,925,3981,117,34,82
Santa Cruz da Graciosa,72,32,40,4906,925,3981,117,34,82
São Jorge,147,70,77,10434,2213,8221,226,56,170
Calheta (R.A.A.),58,25,33,4185,766,3419,91,16,76
Velas,89,45,44,6249,1447,4802,135,40,95
Pico,246,113,133,17953,3673,14280,453,105,348
Lajes do Pico,73,31,42,5505,1052,4453,126,31,94
Madalena,135,67,68,9420,2134,7286,244,56,188
São Roque do Pico,38,15,23,3028,487,2541,83,17,66
Faial,283,140,143,18990,4439,14551,579,149,430
Horta,283,140,143,18990,4439,14551,579,149,430
Flores,61,…,…,4565,…,…,99,…,…
Lajes das Flores,31,…,…,2084,…,…,43,…,…
Santa Cruz das Flores,30,12,18,2481,425,2056,56,10,46
Corvo,6,…,…,470,…,…,11,…,…
Corvo,6,…,…,470,…,…,11,…,…
R. A. Madeira,3689,1816,1873,270170,59224,210946,7677,2021,5656
Calheta (R.A.M.),131,58,73,9914,1589,8325,216,43,173
Câmara de Lobos,631,306,325,47462,9891,37571,1097,268,829
Funchal,1507,735,772,110945,24202,86743,3658,996,2662
Machico,257,126,131,18874,4154,14720,471,118,353
Ponta do Sol,93,49,44,6591,1478,5113,145,33,112
Porto Moniz,25,13,12,1579,420,1159,44,13,31
Ribeira Brava,159,81,78,10840,2542,8298,265,68,197
Santa Cruz,734,374,360,53034,12805,40229,1543,422,1121
Santana,63,34,29,4392,1053,3339,90,26,65
São Vicente,52,22,30,4117,649,3468,91,19,72
Porto Santo,37,18,19,2422,441,1981,59,17,42
