,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Sátão,285,134,151,124,47,52,62,347
Tondela,266,139,127,69,31,58,108,341
Vila Nova de Paiva,104,59,45,35,16,20,33,129
Viseu,2701,1312,1389,1064,455,607,575,3431
Vouzela,63,36,27,21,11,11,20,54
Beira Baixa,1855,974,881,775,313,378,389,2112
Castelo Branco,1189,603,586,518,205,233,233,1310
Idanha-a-Nova,375,208,167,162,72,77,64,449
Oleiros,49,27,22,9,8,7,25,54
Penamacor,103,69,34,34,10,28,31,144
Proença-a-Nova,76,37,39,23,6,21,26,88
Vila Velha de Ródão,63,30,33,29,12,12,10,67
Médio Tejo,3828,1899,1929,1556,609,834,829,4331
Abrantes,994,512,482,410,162,232,190,1075
Alcanena,95,42,53,32,18,26,19,107
Constância,91,39,52,37,14,22,18,117
Entroncamento,500,218,282,249,100,92,59,512
Ferreira do Zêzere,95,44,51,36,13,23,23,118
Mação,101,61,40,20,16,28,37,132
Ourém,302,148,154,104,39,69,90,313
Sardoal,82,46,36,35,9,21,17,87
Sertã,234,133,101,67,29,51,87,278
Tomar,747,358,389,316,111,152,168,895
Torres Novas,395,200,195,156,65,89,85,482
Vila de Rei,28,15,13,10,3,6,9,30
Vila Nova da Barquinha,164,83,81,84,30,23,27,187
Beiras e Serra da Estrela,5577,2897,2680,2207,915,1219,1236,6842
Almeida,136,77,59,39,26,24,47,188
Belmonte,197,106,91,73,33,50,41,250
Celorico da Beira,184,87,97,64,38,31,51,226
Covilhã,1198,637,561,453,210,270,265,1490
Figueira de Castelo Rodrigo,277,145,132,143,51,45,38,334
Fornos de Algodres,82,44,38,25,9,23,25,93
Fundão,774,398,376,288,107,185,194,1046
Gouveia,364,185,179,156,61,80,67,404
Guarda,1057,537,520,462,191,205,199,1241
Manteigas,50,25,25,14,6,13,17,60
Mêda,62,26,36,17,11,10,24,67
Pinhel,134,73,61,55,11,33,35,162
Sabugal,304,170,134,137,49,63,55,374
Seia,633,322,311,242,93,158,140,760
Trancoso,125,65,60,39,19,29,38,146
A. M. Lisboa,69767,32598,37169,31308,11071,14474,12914,85882
Alcochete,321,159,162,147,44,71,59,392
Almada,6181,2859,3322,2797,969,1296,1119,7724
Amadora,4622,2040,2582,2230,763,885,744,5211
Barreiro,2805,1326,1479,1292,488,543,482,3666
Cascais,3372,1575,1797,1349,451,731,841,4200
Lisboa,19276,9728,9548,8283,3185,4176,3632,25052
Loures,4837,2230,2607,2295,756,924,862,5813
Mafra,793,374,419,332,94,213,154,920
Moita,2968,1282,1686,1421,472,577,498,3782
Montijo,1826,838,988,865,327,349,285,2282
Odivelas,3006,1370,1636,1326,461,616,603,3611
Oeiras,1770,790,980,737,259,379,395,2017
Palmela,788,356,432,292,101,198,197,895
Seixal,4363,1960,2403,1986,723,900,754,5305
Sesimbra,1185,491,694,552,174,245,214,1418
Setúbal,3341,1587,1754,1551,525,724,541,3995
Sintra,6041,2617,3424,2757,895,1228,1161,6892
Vila Franca de Xira,2272,1016,1256,1096,384,419,373,2708
Alentejo,18471,9233,9238,9098,3166,3570,2637,22156
Alentejo Litoral,1430,690,740,556,225,301,348,1709
Alcácer do Sal,166,83,83,73,22,32,39,184
Grândola,272,135,137,94,48,59,71,310
Odemira,295,153,142,98,41,73,83,371
Santiago do Cacém,335,153,182,113,52,67,103,425
Sines,362,166,196,178,62,70,52,420
Baixo Alentejo,5289,2703,2586,2957,883,847,602,6568
Aljustrel,322,169,153,176,53,55,38,424
Almodôvar,112,54,58,47,13,26,26,125
Alvito,74,43,31,35,17,12,10,80
Barrancos,67,30,37,32,10,20,5,72
Beja,1461,746,715,844,253,235,129,1765
Castro Verde,122,63,59,59,23,22,18,153
Cuba,187,98,89,99,31,42,15,219
Ferreira do Alentejo,202,102,100,99,40,33,30,248
Mértola,153,81,72,63,22,34,34,206
Moura,1438,732,706,889,233,179,137,1836
Ourique,96,45,51,27,14,26,29,105
Serpa,697,355,342,388,116,113,80,877
Vidigueira,358,185,173,199,58,50,51,459
Lezíria do Tejo,4408,2206,2202,2029,694,966,719,4963
Almeirim,349,167,182,155,53,83,58,303
Alpiarça,88,51,37,34,15,25,14,58
Azambuja,422,195,227,191,65,78,88,536
Benavente,674,317,357,350,118,118,88,728
Cartaxo,229,107,122,93,36,53,47,222
Chamusca,125,62,63,51,28,20,26,124
Coruche,509,256,253,286,94,82,47,609
Golegã,76,39,37,28,6,26,16,90
Rio Maior,289,134,155,127,35,73,54,279
Salvaterra de Magos,351,191,160,144,47,89,71,381
Santarém,1296,687,609,570,197,319,210,1633
Alto Alentejo,3684,1828,1856,1753,690,714,527,4524
Alter do Chão,134,62,72,59,29,28,18,164
Arronches,29,13,16,10,4,7,8,35
Avis,214,104,110,107,44,38,25,300
Campo Maior,366,199,167,198,73,53,42,438
Castelo de Vide,38,23,15,10,7,9,12,40
Crato,111,56,55,45,15,30,21,129
Elvas,1290,628,662,641,251,226,172,1575
Fronteira,31,14,17,10,5,7,9,38
Gavião,79,42,37,35,10,22,12,104
Marvão,50,27,23,23,7,14,6,61
Monforte,344,171,173,199,81,41,23,429
Nisa,160,83,77,65,22,42,31,214
Ponte de Sor,340,160,180,146,54,84,56,416
Portalegre,356,176,180,132,59,92,73,407
Sousel,142,70,72,73,29,21,19,173
Alentejo Central,3660,1806,1854,1803,674,742,441,4391
Alandroal,45,14,31,18,7,13,7,49
Arraiolos,66,38,28,23,6,25,12,70
Borba,270,130,140,133,48,55,34,352
Estremoz,454,233,221,219,87,95,53,598
Évora,1094,536,558,499,198,240,157,1292
Montemor-o-Novo,199,109,90,92,38,44,25,238
Mora,47,20,27,18,9,11,9,47
Mourão,313,157,156,191,61,46,15,367
Portel,133,69,64,75,28,22,8,169
Redondo,140,56,84,68,24,26,22,166
Reguengos de Monsaraz,457,220,237,233,95,81,48,585
Vendas Novas,169,94,75,95,32,28,14,170
Viana do Alentejo,126,58,68,69,18,25,14,140
Vila Viçosa,147,72,75,70,23,31,23,149
Algarve,8829,4475,4354,3855,1612,1830,1532,10410
Albufeira,815,420,395,351,190,157,117,830
Alcoutim,26,16,10,5,5,9,7,34
Aljezur,69,37,32,15,9,16,29,98
Castro Marim,169,92,77,94,28,30,17,193
Faro,1516,752,764,763,288,266,199,1855
Lagoa,508,270,238,227,98,88,95,634
Lagos,459,230,229,176,59,118,106,495
Loulé,1187,603,584,473,250,246,218,1548
Monchique,75,47,28,16,6,18,35,127
Olhão,915,450,465,408,158,184,165,1041
Portimão,1627,810,817,723,264,368,272,2071
São Brás de Alportel,182,94,88,64,30,49,39,216
Silves,451,227,224,208,81,90,72,442
Tavira,312,148,164,118,48,76,70,319
Vila do Bispo,37,17,20,15,5,11,6,48
Vila Real de Santo António,481,262,219,199,93,104,85,459
R. A. Açores,18544,9393,9151,8862,4051,3718,1913,19072
Santa Maria,188,94,94,82,47,37,22,179
Vila do Porto,188,94,94,82,47,37,22,179
São Miguel,14360,7375,6985,6956,3145,2901,1358,14699
Lagoa (R.A.A.),1418,729,689,691,294,298,135,1320
Nordeste,432,209,223,208,102,87,35,354
Ponta Delgada,5987,3113,2874,2750,1290,1279,668,6936
Povoação,619,308,311,265,129,147,78,589
Ribeira Grande,5181,2653,2528,2700,1183,933,365,4851
Vila Franca do Campo,723,363,360,342,147,157,77,649
Terceira,2807,1311,1496,1302,600,536,369,2954
Angra do Heroísmo,1569,735,834,747,319,302,201,1539
Vila da Praia da Vitória,1238,576,662,555,281,234,168,1415
Graciosa,274,142,132,140,68,45,21,232
Santa Cruz da Graciosa,274,142,132,140,68,45,21,232
São Jorge,207,103,104,70,36,54,47,213
Calheta (R.A.A.),87,43,44,31,16,19,21,104
Velas,120,60,60,39,20,35,26,109
Pico,286,143,143,128,71,57,30,295
Lajes do Pico,68,33,35,28,18,14,8,58
Madalena,157,81,76,77,39,29,12,166
São Roque do Pico,61,29,32,23,14,14,10,71
Faial,342,182,160,148,70,69,55,419
Horta,342,182,160,148,70,69,55,419
Flores,75,…,…,…,…,…,11,74
Lajes das Flores,22,...,...,...,...,...,4,23
Santa Cruz das Flores,53,28,25,24,10,12,7,51
Corvo,5,…,…,…,…,…,0,6
Corvo,5,…,…,…,…,…,0,6
R. A. Madeira,7060,3413,3647,2568,1025,1723,1744,8436
Calheta (R.A.M.),392,186,206,127,57,80,128,498
Câmara de Lobos,848,419,429,342,116,219,171,971
Funchal,3516,1693,1823,1288,548,878,802,4365
Machico,494,240,254,190,65,129,110,547
Ponta do Sol,228,99,129,72,27,40,89,280
Porto Moniz,42,26,16,7,7,9,19,59
Ribeira Brava,274,137,137,84,35,70,85,295
Santa Cruz,847,407,440,320,123,200,204,908
Santana,268,137,131,93,30,64,81,326
São Vicente,113,53,60,32,14,21,46,135
Porto Santo,38,16,22,13,3,13,9,53
