,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
R. A. Madeira,70064,66844,6610,6348,44101,42206,19353,18290
Calheta (R.A.M.),3514,3346,262,250,2262,2154,990,942
Câmara de Lobos,8175,7856,1017,982,4747,4579,2411,2295
Funchal,30374,28928,2509,2398,19585,18716,8280,7814
Machico,6343,6049,742,716,3910,3740,1691,1593
Ponta do Sol,2423,2292,192,185,1569,1483,662,624
Porto Moniz,1012,949,50,47,665,623,297,279
Ribeira Brava,4025,3816,445,424,2541,2425,1039,967
Santa Cruz,8537,8204,913,880,5263,5077,2361,2247
Santana,2543,2441,227,222,1575,1513,741,706
São Vicente,1838,1732,155,149,1146,1085,537,498
Porto Santo,1280,1231,98,95,838,811,344,325
