,"Valor médio anual das pensões, Total, €","Valor médio anual das pensões, Invalidez, €","Valor médio anual das pensões, Velhice, €","Valor médio anual das pensões, Sobrevivência, €","Valor médio de subsídios de desemprego  , HM, €","Valor médio de subsídios de desemprego  , H, €","Valor médio de subsídios de desemprego  , M, €","Valor médio de subsídios de doença, M, €","Número médio de dias de subsídios de desemprego  , HM, dias ","Número médio de dias de subsídios de desemprego  , H, dias ","Número médio de dias de subsídios de desemprego  , M, dias ","Número médio de dias de subsídios de doença, M, dias "
Lisboa,8191,6647,9446,4804,3692,3662,3724,1175,187,183,192,48
Loures,7278,6145,8378,4163,3455,3482,3432,1034,189,179,196,52
Mafra,6576,6510,7619,3706,3732,4146,3432,1471,192,193,190,71
Moita,6382,6688,7298,3851,3101,3260,2947,1996,175,167,183,96
Montijo,5746,5766,6626,3339,3168,3156,3178,2043,175,164,185,101
Odivelas,6976,6241,7938,3980,3224,3282,3175,1003,179,173,183,50
Oeiras,9255,7351,10568,5171,4131,4246,4037,1252,192,190,195,49
Palmela,6393,6164,7392,3573,3298,3523,3123,2125,175,169,179,97
Seixal,6837,6054,7743,4003,3321,3405,3251,1411,183,174,189,71
Sesimbra,6737,5731,7838,3797,3410,3720,3167,1713,181,172,188,80
Setúbal,6998,6421,8035,4089,3201,3328,3070,2258,173,165,182,99
Sintra,7157,6353,8250,4090,3300,3384,3239,986,183,175,188,51
Vila Franca de Xira,7262,6330,8390,4162,3423,3573,3298,1141,180,172,187,56
Alentejo,5143,5645,5895,3059,2772,2869,2690,1210,164,155,171,66
Alentejo Litoral,5443,5628,6321,3122,2649,2666,2626,1451,150,137,167,70
Alcácer do Sal,4889,5595,5633,2920,2531,2560,2513,1490,153,134,165,85
Grândola,4811,5220,5514,2851,2905,3105,2727,1523,165,160,170,84
Odemira,4477,4918,5125,2728,2141,1931,2430,846,130,113,155,51
Santiago do Cacém,6373,6717,7446,3446,3162,3421,2832,1724,170,162,179,71
Sines,6701,5519,7946,3767,3004,3109,2804,1714,158,147,177,72
Baixo Alentejo,4690,5026,5408,2881,2811,2942,2687,875,167,159,174,49
Aljustrel,5752,5506,6826,3139,3000,3363,2729,1278,170,164,175,63
Almodôvar,4528,4706,5239,2672,3148,3337,2915,1360,169,152,189,67
Alvito,4829,5350,5664,2834,2400,2468,2347,584,160,152,166,36
Barrancos,3983,4483,4530,2634,2851,2609,3254,602,190,179,208,48
Beja,4744,5286,5413,2956,2673,2745,2596,668,159,154,165,38
Castro Verde,5486,4936,6587,2951,3612,4095,2982,1391,174,172,177,58
Cuba,4604,5383,5202,2887,2721,2520,2865,876,170,139,193,48
Ferreira do Alentejo,4570,5005,5313,2758,2359,2426,2309,970,151,144,157,54
Mértola,4436,4626,5081,2821,2921,2939,2901,979,174,165,183,58
Moura,4300,4756,4868,2932,2852,2844,2859,778,176,166,186,52
Ourique,4334,4582,4962,2743,3212,3312,3115,1033,189,172,206,66
Serpa,4367,4781,4968,2817,2538,2630,2458,709,159,158,160,44
Vidigueira,4550,4880,5257,2759,2748,2953,2578,845,167,161,172,55
Lezíria do Tejo,5401,5854,6211,3144,2798,2950,2684,1333,165,158,170,73
Almeirim,4881,5406,5591,2814,2524,2385,2610,1212,156,134,169,73
Alpiarça,4647,5312,5325,2728,2730,3130,2479,1190,167,174,163,71
Azambuja,5895,5678,6847,3422,2868,3112,2671,1209,164,162,165,65
Benavente,5877,6262,6818,3355,2905,3158,2693,1440,165,163,167,70
Cartaxo,6174,6477,7193,3430,3030,3044,3018,1407,173,156,187,71
Chamusca,4814,5366,5513,2880,2213,2327,2133,1226,145,140,148,76
Coruche,4909,5428,5646,2929,2644,2758,2579,1371,163,150,171,82
Golegã,5129,5741,5831,3044,2795,2708,2872,1379,165,147,181,82
Rio Maior,5390,5739,6218,3086,2610,2622,2603,1294,161,151,166,74
Salvaterra de Magos,5484,5911,6309,3127,2828,3161,2600,1699,167,164,169,96
Santarém,5391,6030,6125,3231,2944,3065,2842,1222,171,166,176,65
Alto Alentejo,4825,5445,5485,2982,2814,2920,2729,1114,173,170,176,66
Alter do Chão,4650,5050,5328,2887,2778,3155,2426,1016,166,181,152,65
Arronches,4117,5521,4671,2668,2958,2542,3508,980,184,161,213,56
Avis,4699,5074,5327,2814,2810,2819,2807,1109,176,160,181,71
Campo Maior,5194,6106,6023,2944,3359,3386,3330,1055,195,187,204,53
Castelo de Vide,4922,5233,5623,2968,3523,3666,3347,1039,196,210,179,61
Crato,4923,5770,5469,3336,3276,3579,3087,1125,204,208,202,78
Elvas,4729,5112,5400,2991,2771,3000,2587,1046,170,176,165,61
Fronteira,4902,5395,5558,2829,3210,3400,3100,1031,193,186,196,67
Gavião,4973,5631,5695,3122,3033,3133,2938,1187,172,168,176,76
Marvão,4664,5225,5405,2755,2974,3155,2801,897,190,191,189,63
Monforte,4567,5047,5274,2703,2705,2753,2666,1027,187,183,190,57
Nisa,4972,5110,5606,3322,2927,3294,2597,1131,180,184,177,74
Ponte de Sor,4974,5751,5679,2950,2454,2419,2482,1327,155,142,165,82
Portalegre,4848,5420,5433,3053,2715,2738,2696,1129,168,163,172,65
Sousel,4464,5288,5121,2752,2734,2845,2672,1251,175,167,179,82
Alentejo Central,5174,5811,5859,3105,2781,2876,2717,1135,165,156,171,64
Alandroal,4713,5586,5328,2871,2754,3132,2562,1123,168,161,172,73
Arraiolos,4955,5162,5664,2999,3219,3673,2866,1003,186,191,183,60
Borba,5474,5773,6229,3170,2346,2290,2375,1282,154,135,165,77
Estremoz,5150,5608,5832,3171,2664,2943,2501,1210,164,170,161,74
Évora,5403,6240,6051,3243,2969,3050,2910,1039,168,160,174,54
Montemor-o-Novo,5109,5749,5801,3062,2613,2687,2560,992,153,146,158,60
Mora,5163,5573,5903,3040,2286,2094,2389,1226,141,120,152,74
Mourão,4690,5238,5341,2891,2717,2775,2668,913,167,165,169,60
Portel,4397,4994,4980,2727,2792,2571,2940,1026,174,152,189,65
Redondo,4747,5222,5449,2854,2440,2312,2514,869,160,144,169,52
Reguengos de Monsaraz,4943,5750,5623,2978,2867,3060,2740,959,174,165,181,62
Vendas Novas,5523,6177,6262,3305,2615,2778,2478,2137,153,150,155,106
Viana do Alentejo,4657,5321,5299,2921,2867,2988,2778,915,169,158,177,57
Vila Viçosa,5624,6100,6393,3287,2712,2609,2769,1090,161,138,174,69
Algarve,5278,5579,6025,3146,2911,2895,2923,1193,178,170,184,66
Albufeira,5446,5488,6250,3200,2961,2936,2982,1496,183,178,187,78
Alcoutim,4117,4967,4660,2559,2758,3170,2313,905,162,176,147,62
Aljezur,4507,5175,5130,2711,2618,2559,2664,1009,166,160,170,61
Castro Marim,4794,4910,5447,2928,2685,2764,2626,1317,163,158,168,78
Faro,5837,5921,6643,3418,3077,3099,3058,1164,175,170,180,61
Lagoa,5342,5856,6053,3213,2819,2678,2923,1069,175,161,186,57
Lagos,5206,5316,5989,3058,2960,2966,2956,1061,184,176,190,62
Loulé,5320,5728,6086,3103,2936,2903,2960,1428,177,167,184,78
Monchique,4410,5241,4948,2725,2801,2791,2807,1197,180,171,185,67
Olhão,5094,5357,5802,3173,2913,2944,2892,1093,175,163,184,61
Portimão,5681,5771,6444,3392,2905,2895,2913,986,181,171,188,55
São Brás de Alportel,4705,5598,5390,2777,3190,3276,3126,1530,178,171,184,78
Silves,5018,5607,5742,2993,2874,2856,2888,1182,176,168,182,69
Tavira,4750,4948,5445,2956,2584,2572,2593,1049,162,153,169,59
Vila do Bispo,5078,4737,5841,3072,2643,2572,2699,1127,170,161,176,79
Vila Real de Santo António,5120,5491,5851,3123,2720,2653,2764,1165,175,166,182,67
R. A. Açores,5185,6094,6054,3140,3068,3184,2946,1515,194,198,190,83
Santa Maria,5764,6789,6882,3452,3048,3103,3008,1296,196,193,199,64
Vila do Porto,5764,6789,6882,3452,3048,3103,3008,1296,196,193,199,64
São Miguel,5446,6342,6532,3269,3024,3122,2913,1720,192,196,188,90
Lagoa (R.A.A.),5303,5747,6795,3043,3137,3188,3066,1690,202,203,200,98
Nordeste,3746,5492,4237,2551,3235,3302,3149,1010,230,237,221,72
Ponta Delgada,6158,6891,7405,3624,3165,3285,3036,1878,190,195,185,92
Povoação,4208,5119,4895,2950,2748,2729,2766,1850,196,194,198,105
Ribeira Grande,4693,5746,5557,2856,2917,3017,2790,1524,189,193,184,86
Vila Franca do Campo,4350,5451,4889,3046,2638,2773,2504,1331,172,176,168,79
Terceira,5387,5773,6299,3229,3070,3284,2847,1295,185,192,177,71
Angra do Heroísmo,4986,5794,5705,3061,3090,3313,2853,1267,187,196,178,69
Vila da Praia da Vitória,6064,5737,7293,3511,3029,3222,2834,1338,180,185,176,73
Graciosa,3853,5134,4330,2598,3287,3295,3279,1403,222,215,227,96
Santa Cruz da Graciosa,3853,5134,4330,2598,3287,3295,3279,1403,222,215,227,96
São Jorge,4074,5729,4546,2725,3130,3409,2884,1112,210,229,193,68
Calheta (R.A.A.),3830,5458,4265,2626,3548,3789,3301,805,242,262,221,57
Velas,4259,5849,4787,2797,2961,3237,2732,1310,197,214,183,75
Pico,4440,5656,4945,2681,3272,3546,3088,1293,210,216,206,81
Lajes do Pico,4292,5546,4832,2562,3225,3740,2836,1256,211,235,194,81
Madalena,4571,5813,5032,2794,3337,3488,3251,1274,206,193,213,75
São Roque do Pico,4402,5446,4959,2647,3219,3344,3123,1380,216,225,210,90
Faial,4682,5744,5233,2796,3148,3111,3188,1394,201,198,204,81
Horta,4682,5744,5233,2796,3148,3111,3188,1394,201,198,204,81
Flores,4665,…,5096,…,3113,3019,3183,1365,214,204,221,80
Lajes das Flores,4381,…,5013,…,3167,3090,3225,1261,223,215,230,77
Santa Cruz das Flores,4843,7013,5150,3025,3058,2946,3140,1411,204,192,213,81
Corvo,4037,…,4707,…,2847,3315,2520,1076,181,206,163,55
Corvo,4037,…,4707,…,2847,3315,2520,1076,181,206,163,55
R. A. Madeira,5081,5654,5895,3033,3104,3196,3019,1859,194,193,195,90
Calheta (R.A.M.),3975,4697,4567,2432,2749,2914,2598,1863,186,193,180,109
Câmara de Lobos,4360,5067,5151,2505,2908,3027,2801,1324,189,188,190,76
Funchal,5727,6111,6640,3452,3262,3298,3229,1565,200,197,203,75
Machico,5065,6143,5718,3083,3005,3170,2797,3879,184,181,187,140
Ponta do Sol,4086,4902,4674,2454,2650,2739,2588,1709,184,185,184,95
Porto Moniz,3855,4627,4434,2430,3250,3190,3308,1879,209,206,212,122
Ribeira Brava,4417,5199,5080,2459,2854,2806,2898,1516,187,179,194,95
Santa Cruz,5108,5757,5903,3086,3194,3322,3087,1535,191,191,191,81
Santana,3998,4658,4621,2471,2585,2840,2358,1661,189,210,170,109
São Vicente,3979,4653,4611,2436,2998,3610,2386,1635,206,242,170,133
Porto Santo,5991,5882,7111,3294,3021,3213,2864,1564,197,204,191,72
