,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Miranda do Douro,873.26,1001.88,1288.58,1619.45,1000.33,717.98,714.68,843.86,782.13,717.37
Mirandela,927.85,1667.41,1435.81,1091.07,969.72,753.39,866.36,787.22,842.35,707.34
Mogadouro,844.35,1012.34,1230.52,954.99,990.79,685.4,748.66,861.33,800.44,681.24
Vila Flor,866.92,1784.46,1335.45,1207.93,972.22,730.94,788.64,877.95,794.47,757.19
Vimioso,838.23,1131.57,1089.86,977.29,1016.53,714.57,723.05,714.52,745.07,675.07
Vinhais,782.24,1716.47,1123.26,914.41,829.98,675.95,670.52,689.31,845.47,639.39
Centro,1032.83,1942.91,1567.8,1299.07,1003.53,787.77,797.03,939.87,986.31,767.1
Oeste,984.69,1800.53,1480.54,1287.28,979.08,790.67,830.5,903.49,965.65,751.34
Alcobaça,968.38,1768.91,1394.1,1190.2,971.01,768.83,760.2,928.54,956.77,738.66
Alenquer,1131.78,2679.31,1834.58,1590.44,1051.01,872.27,841.11,1010.58,925.04,847.26
Arruda dos Vinhos,1080.24,1599.37,1752.59,1118.08,942.41,770.66,967.6,927.34,1139.53,804.3
Bombarral,902.64,1396.71,1378.52,1150.6,983.72,795.54,758.3,827.14,829.5,764.54
Cadaval,943.74,1452.99,1401.07,1356.01,900.98,779.6,840.99,864.19,809.93,720.53
Caldas da Rainha,942.99,1598.82,1351.38,1200.58,964.65,770.12,732.51,895.93,1125.37,695.54
Lourinhã,904.18,1384.66,1307.98,1018.53,937.63,761.12,1052.44,846.11,948.04,728.84
Nazaré,881.09,1436.12,1304.23,1148.84,877.75,744.86,773.88,789.46,1002.41,743.39
Óbidos,966.82,1594.19,1357.67,1084.09,907.31,783.06,799.23,836.34,871.11,750.85
Peniche,904.2,1674.07,1375.87,1093.79,949.57,761.21,1013.29,794.55,877.15,755.78
Sobral de Monte Agraço,949.61,1387.62,1266.41,1126.35,1103.74,746.94,683.94,878.66,1031.12,723.11
Torres Vedras,1000.12,1924.45,1532.62,1350.29,996.41,823.36,734.62,882.56,915.81,768.76
Região de Aveiro,1091.01,2297.22,1639.98,1408.68,1026.72,818.68,793.96,970.6,973.11,785.19
Águeda,1031.59,2286.72,1409.21,1267.41,1000.59,837.39,808.99,987.15,860.83,781.22
Albergaria-a-Velha,1079.76,2419.15,1545.31,1378.9,1002.39,828.18,792.43,1006.64,964.88,799.76
Anadia,1006.54,1873.39,1421.23,1271.85,961.48,796.96,875.53,926.48,961.34,759.85
Aveiro,1196.5,2464.35,1770.38,1515.39,1097.88,853.77,777.19,1044.98,1102.08,801.41
Estarreja,1224.35,2415.54,1886.4,1734.62,1086.43,785.33,668.98,1063.36,1210.79,814.31
Ílhavo,1094.56,2532.69,1588.3,1422.82,1071.39,787.34,986.92,894.37,922.75,840.1
Murtosa,890.8,1692.46,1232.66,1187.55,1050.08,730.37,808.82,795.59,864.95,716.54
Oliveira do Bairro,1008.38,2072.94,1511.19,1275.85,967.47,795.89,699.18,892.17,909.12,807.01
Ovar,1032.42,2358.28,1632,1353.4,984.15,804.22,685.01,928.77,890.45,728.59
Sever do Vouga,1000.21,2011.53,1524.33,1208.76,987.75,769.94,742.15,959.48,847.66,715.46
Vagos,993.29,1824.28,1551.76,1248.21,982.43,768.46,813.6,900.43,871.65,776.27
Região de Coimbra,1052.5,1939.11,1627.12,1266.88,1011.38,789.91,795.01,927.82,1020.79,758.53
Arganil,851.37,1338.27,1326.97,994.48,925.95,734.24,810.39,764.83,908.84,685.75
Cantanhede,1051.27,2270.85,1500.83,1335.78,999.79,784.7,802.24,1004.19,998.94,743.49
Coimbra,1134.43,2094.96,1731.17,1276.55,1041.82,820.27,776.14,975.75,994.27,771.23
Condeixa-a-Nova,966.56,1712.21,1253.16,1066.72,1056.96,768.65,715.47,850.07,957.01,733.16
Figueira da Foz,1170.85,2016.2,1889.72,1482.86,1085.47,783.28,921.06,999.56,1265.61,832.83
Góis,784.42,964.24,1268.73,951.74,894.29,705.9,741.47,685.94,793.71,672.23
Lousã,964.45,1582.44,1413.11,1097.36,947.52,839.61,693.29,878.18,868.36,736.46
Mealhada,1076.14,2001.98,1488.01,1296.6,969.12,786.97,778.28,931.3,1207.33,738.71
Mira,923.87,1844.43,1465.65,971.59,899.76,717.92,871.04,867.87,790.5,758.83
Miranda do Corvo,866.99,1514.29,1228.74,992.11,924.36,730.98,767.94,846.52,803.18,736.4
Montemor-o-Velho,932.99,1567.12,1237.25,1139.44,950.45,740.3,721.8,823.01,1089.31,737.84
Mortágua,979.42,1904.03,1296.59,1213.91,911.41,835.88,883.34,862.13,879.27,735.16
Oliveira do Hospital,862.98,1525.4,1251.86,1167.43,912.32,747.76,724.08,797.99,748.21,695.83
Pampilhosa da Serra,840.89,1084.58,1292.23,1120.32,984.28,752.39,754.83,824.95,758.74,706.16
Penacova,961.62,1445.32,1323.62,1295.14,941.83,726.78,804.54,1051.15,881.94,709.22
Penela,893.31,1557.24,1115.2,1206.21,825.9,702.51,774.96,812.02,875.14,700.76
Soure,940.09,1595.11,1405.1,1138.5,1015.98,725.2,700.93,974.16,941.81,779.4
Tábua,859.13,2146.05,1244.09,1087.3,1063.2,747.41,685.82,753.7,733.76,732.68
Vila Nova de Poiares,934.31,2045.34,1425.53,983.98,949.54,782.05,687.07,802.62,980.99,763.11
Região de Leiria,1087.48,1915.09,1539.42,1340.49,1017.36,829.62,768.68,1034.84,1021.22,803.47
Alvaiázere,884.45,1224.15,1187.27,927.99,887.13,735.25,692.74,790.84,967.7,713.96
Ansião,890.16,1319.2,1305.65,1056.46,947.12,714.66,743.97,796.55,931.15,727.45
Batalha,1011.33,1771.33,1443.74,1283.54,975.92,810.97,776.91,945.83,945.54,788.31
Castanheira de Pêra,912.88,1532.54,1429.33,1153.67,1012.04,777.31,995.32,957.8,783.06,732.46
Figueiró dos Vinhos,875.35,1228.08,1131.4,1275.43,1040.03,699.97,754.03,790.78,830.9,678.6
Leiria,1091.98,1938.05,1587.95,1334.27,1005.18,863.39,780.88,1033.47,977.36,791.04
Marinha Grande,1303.58,2710.58,1587.94,1565.27,1090.8,828.88,707.24,1300.76,1177.52,976.89
Pedrógão Grande,850.35,1691.84,1203.46,1037.84,869.37,695.6,809.85,805.6,758.61,623.81
Pombal,996.93,1538.39,1420.66,1134.91,996.42,784.4,752.78,911.25,1016.04,780.55
Porto de Mós,1055.12,1863.97,1605.77,1323.45,1116.92,803.86,764.94,935.78,1053.67,765.38
Viseu Dão Lafões,986.58,1890.63,1543.5,1228.11,983.45,762.81,742.49,868.51,972.01,764.7
Aguiar da Beira,786.58,1094.41,1029.01,951.85,858.29,681.86,719.7,746.37,796.61,640.18
Carregal do Sal,945.95,2761.07,1312.13,1177.68,945.07,781.92,752.55,797.07,780.76,787.72
Castro Daire,848.52,1285.87,1219.97,1107.84,994.68,702.73,696.54,750.87,923.51,656.76
Mangualde,1098.4,1916.75,1623.02,1348.97,1077.19,766.43,699.71,962.48,1213.19,786.38
Nelas,1035.56,2916.64,1460.53,1408.9,1029.57,745.95,844.68,1005.61,860.21,763.89
Oliveira de Frades,1119.82,3007.21,1790.61,1496.79,1060.37,816.36,792.28,913.18,884.06,906.1
Penalva do Castelo,866.95,1670,1248.16,1254.74,1014.15,670.28,695.23,802.36,925.12,723.23
Santa Comba Dão,904.88,1339.35,1277.82,983.22,966.57,750.83,749.48,811.29,912.62,792.67
São Pedro do Sul,805.83,1430.44,1186.75,1074.87,903.05,706.6,772.27,739.25,723.39,667.64
Sátão,791.85,1089.11,1175.28,952.28,858.92,683.32,661.61,737.38,873.83,689.3
Tondela,1062.64,2480.65,1686.82,1263.31,1050.32,729.92,746.45,855.86,1088.88,838.19
Vila Nova de Paiva,811.6,1060.03,1152,896.07,978.29,739.22,676.16,707.28,853.73,670.42
Viseu,987.08,1705.48,1583.63,1176.63,953.3,789.87,724.89,859.87,892.54,741.59
Vouzela,904.47,2162.34,1343.23,1252.85,1021.88,749.37,706.52,887.79,795.03,708
Beira Baixa,961.39,1839.02,1510.41,1203.91,988.08,761.24,798.56,843.66,938.06,775.57
Castelo Branco,957.13,1866.86,1512.45,1200.25,964.84,776.21,753.73,845.08,863.4,771.27
Idanha-a-Nova,885.19,1597.54,1317.27,969.01,1051.29,699.88,878.01,768.79,775.72,803.39
Oleiros,935.73,1336.9,1338.68,1094.15,1163.31,675.59,759.72,806.65,1102.11,750.11
Penamacor,907.39,1935.8,1355.05,1032.74,1083.7,756.04,854.96,770.6,760.38,724.23
Proença-a-Nova,904.37,1300.5,1529.88,1144.69,964.26,702.44,748.7,806.44,881.28,658.82
Vila Velha de Ródão,1227.87,2735.11,1894.36,1637.2,1095.01,723.09,824.85,1087.5,1364.42,905.47
Médio Tejo,1019.1,1878.64,1560.12,1268.52,1008.36,770.83,799.65,977.98,995.82,759.5
Abrantes,1084.84,2452.79,1740.28,1383.81,1057.95,746.43,748.03,977.61,991.13,767.2
Alcanena,1063.07,2247.04,1581,1346.38,1070.31,862.51,1114.08,908.81,902.3,861.18
Constância,1239.61,3895.62,2588.67,1564.39,1098.78,721.58,1542.27,1257.92,1132.29,843.32
Entroncamento,1130.99,1913.34,1681.12,1253.87,1077.86,784.05,961.41,1132.81,1300.38,752.53
Ferreira do Zêzere,909.81,1934.52,1320.96,1128.07,926.8,771.62,851.89,824.21,1035.95,764.86
Mação,889.4,1869.67,1203.83,1111.87,945.59,724.07,793.21,950.32,846.69,652.05
Ourém,1004.55,1572.67,1373.12,1244.14,974.09,776.73,770.01,1084.43,1034.58,750.06
Sardoal,819.72,1715.86,1014.87,901.28,945.84,767.29,765.96,738.22,776.06,721.25
Sertã,867.82,1278.62,1413.57,1044.28,972.5,729.83,748.15,780.07,843.6,696.06
Tomar,990.96,1424.4,1582.66,1231.09,965.2,752.08,749.02,952.93,902.59,720.11
Torres Novas,1048.36,2296.79,1671.32,1268.52,1024.45,800.33,775.6,880.23,993.45,775.6
Vila de Rei,820.52,1529.69,1231.5,993.49,1003.56,679.57,710.9,740.92,926.43,696.69
Vila Nova da Barquinha,840.21,1997.47,1162.5,960.9,900.1,711.94,717.28,796.35,907.35,647.49
Beiras e Serra da Estrela,934.82,1579.63,1472.21,1121.47,975.44,735.95,743.93,796.68,936.64,718.6
Almeida,831.05,1317.36,1139.87,1059.67,1027.45,702.59,662.48,740.4,995.81,674.24
Belmonte,821.63,1801.92,1484.93,1173.96,924.24,722.1,761.59,708.82,657.86,684.12
Celorico da Beira,940.73,1443.04,1482.13,899.56,946.5,703.9,672.14,710.34,1213.9,675.29
Covilhã,943.36,1920.33,1566.37,1147.09,935.95,742.97,694.81,783.33,781.48,732.64
Figueira de Castelo Rodrigo,805.85,1055.47,1250.15,917.81,889.86,700.07,728.97,731.24,798.16,685.33
Fornos de Algodres,790.18,964.37,1167.72,807.9,858.31,681.06,707.38,685.6,1028.92,681.92
Fundão,921.19,1799.82,1393.47,1013.42,998.27,731.27,769.66,822.94,776.61,737.32
Gouveia,864.02,1537.87,1245.17,1033.57,951.16,741.02,778.83,745.18,829.49,712.98
Guarda,1054.8,1643.65,1572.7,1252.36,1022.54,763.08,727.39,887.06,1173.02,743.17
Manteigas,809.26,1417.47,1177.38,870.58,932.88,718.63,748.49,744.59,722.51,679.4
Mêda,850.81,1034.23,1272.14,1025.3,871.7,723.77,781.01,862.69,879.13,702.6
Pinhel,809.55,999.07,1280.28,895.12,947.24,689.69,664.31,742.96,819.89,663.16
Sabugal,846.3,1228.05,1300.47,970.95,1046.94,719.59,718.64,701.55,867.61,693.45
Seia,888.4,1547.02,1484.17,1166.22,974.18,729.98,716.72,771.42,789.71,703.66
Trancoso,904.22,1847.4,1305,983.51,1031.66,737.03,896.62,769.39,881.27,683.27
A. M. Lisboa,1440.11,3438.07,2082.44,1844.86,1208.74,900.08,820.51,1062.31,1082.6,823.31
Alcochete,2153.26,2457.88,1581.84,8545.31,1058.3,911.82,817.06,1064.99,1046.58,948.59
Almada,1117.59,2112.57,1864.28,1294.14,1080.24,794.44,742.26,893.01,949.28,746.1
Amadora,1387.78,3429.1,2242.74,1590.01,1176.91,814.91,767.59,947.06,936.56,779.57
Barreiro,1110.24,2084.01,1764.97,1337.79,1006.36,786.39,774.91,1059.37,1091.81,758.06
Cascais,1183.63,2460.69,1831.66,1347.23,1123.39,884.83,772.31,929.76,970.2,794.77
Lisboa,1616.1,3898.46,2134.38,1957.06,1270.03,952.1,894.72,1223.5,1056.59,856.16
Loures,1184.32,2767.84,1860.65,1550.89,1058.79,876.09,743.2,1050.8,1041.82,773.15
Mafra,973.52,1672.54,1482.85,1269.19,995.34,799.21,784.11,907.54,969.74,762.29
Moita,971.17,1836.6,1348.3,1181.3,1045.06,784.83,779.33,873.62,879.36,753.84
Montijo,1008.72,2304.27,1571.73,1274.35,1002.75,843.57,769.62,925.82,945.46,711
Odivelas,937.82,1556.46,1317.3,1066.99,943.83,797.68,709.81,863.75,872.93,724.74
Oeiras,1791.52,4501.91,2347.26,2020.39,1323.28,1005.39,723.73,1152.6,1115.73,926.68
Palmela,1339.26,3020.88,1800.62,1728.66,1391.85,845.72,805.61,1214.99,1297.17,856.72
Seixal,1250.18,1901.67,1496.48,2972.45,960.76,824.35,695.91,995.36,1020.82,758.39
Sesimbra,930.17,1690.27,1408.04,1066.92,961.45,768.3,1100.55,886.68,915.28,720.35
Setúbal,1181.18,2365.57,1737.53,1552.1,1202.51,801.25,835.91,977.09,1179.89,774.3
Sintra,1183.9,2578.95,1728.74,1554.78,1106.99,886.37,763.86,1033.78,1016.8,802.72
Vila Franca de Xira,1216.39,2713.58,1899.43,1542.14,1051.79,853.05,738.11,1138.76,1072.51,824.29
Alentejo,1051.09,1882.21,1718.59,1458.05,1028.41,787.84,854.53,983.69,1049.51,783.03
Alentejo Litoral,1184,1948.94,1972.94,1962.91,1160.81,797.84,860.86,996.25,1360.45,823.38
Alcácer do Sal,943.47,1964.63,1385.03,1156.55,1128.46,773,873.56,836.03,945.76,763.37
Grândola,958.06,2085.15,1366.54,1282.49,942.11,814.28,826.5,987.88,946.51,754.75
Odemira,924.06,1601.05,1649.85,1160.29,1079.81,780.06,808.07,827.13,862.16,840.2
Santiago do Cacém,1023.17,1511.63,1594.35,1240.98,1012.19,756.48,996.55,974.03,942.75,780.48
Sines,1739.57,2923.16,2921.44,2655.39,1507.33,890.75,859.1,1181.63,1620,879.14
Baixo Alentejo,1104.14,1587.74,1937.66,1443.58,1077.91,777.99,834.9,1102.68,1265.37,808.09
Aljustrel,1151.99,1670.17,1801.35,1464.38,1093.64,772.7,830.49,1348.56,1098.44,873.21
Almodôvar,877.41,1405.93,1260.32,1207.45,939.84,773.27,764.52,858.03,852.19,696.51
Alvito,1016.84,1485.15,1520.41,994.88,997.89,788.7,945.99,967.19,1087.81,729.98
Barrancos,809.87,1029.19,1237.41,995.41,949.16,761.22,750.57,748.47,…,743.34
Beja,1059.58,1899.2,1762.6,1255.66,1077.75,786.45,912.84,974.91,928.51,829.65
Castro Verde,1831.86,2406.76,3434.23,2586.66,1286.61,814.8,771.94,1655.36,1827.48,966.56
Cuba,909.28,1940.77,1381.5,1054.73,1026.37,754.27,905.56,827.65,877.66,741.64
Ferreira do Alentejo,965.27,1588.86,1724.77,1282.8,1063.39,769.39,878.09,771.25,996.36,851.15
Mértola,831.58,944.35,1342.15,918.74,1003.88,739.92,751.64,738.93,779.33,766.32
Moura,904.18,1052.35,1348.31,1036.42,1187.87,764.58,767.87,940.26,838.12,776
Ourique,839.09,1129.75,1195.45,1129.6,874.52,795.75,737.86,795.59,794.51,721.28
Serpa,853.44,1309.5,1337.31,985.4,988.94,751.88,757.01,749.36,838.01,732.67
Vidigueira,936.55,1381.15,1481.28,1080.76,1184.75,775.7,856.42,852.01,937.81,759.14
Lezíria do Tejo,1016,2032.02,1642.98,1350.61,977.05,797.75,821.03,955.43,891.03,760.59
Almeirim,929.99,1520.08,1394.41,1162.22,921.52,752.96,822.38,912.46,966.84,725.35
Alpiarça,851.79,1845.33,1400.1,1371.57,1009.96,772.16,885.17,845,844.89,671.04
Azambuja,1018.95,3299.34,1947.9,1672.19,953.64,902.17,948.56,1025.17,706.89,809.27
Benavente,1109.76,2355.31,1762.52,1451.51,1017.74,814.14,832.74,1053.39,999.27,834.28
Cartaxo,1008.04,1832.82,1553.07,1270.27,1030.6,789.77,689.27,919.26,981.46,767.72
Chamusca,948.66,1787.35,1369.85,1127.48,931.02,785.05,798.41,910.71,993.46,745.89
Coruche,1001.79,1827.74,1445.97,1188.09,1025.7,768.8,896.5,917.37,1067.46,802.9
Golegã,925.02,1847.1,1305.19,1101.95,1043.52,746.73,856.32,849.44,887.22,695.49
Rio Maior,1014.05,2029.94,1525.15,1248.74,988.56,796.86,758.73,923.3,1089.54,759.33
Salvaterra de Magos,942.87,1527.38,1492.73,1128.3,958.89,732.94,772.07,904.31,1042.75,775.48
Santarém,1041.57,1877.64,1685.67,1316.23,988.76,803.08,823.63,981.05,936.6,734.71
Alto Alentejo,968.23,1843.28,1446.65,1274.59,1027.07,745.66,872.68,894.54,984.04,761.31
Alter do Chão,844.96,1284.07,1156.69,1057.78,1007.78,696.22,909.7,946.73,821.83,729.16
