,"Museus , Visitantes por museu , N.º","Museus , Proporção de visitantes escolares, %","Despesa total das câmaras municipais em atividades culturais e criativas por habitante, Proporção de visitantes escolares, €","Despesa total das câmaras municipais em atividades e equipamentos desportivos por habitante, Proporção de visitantes escolares, €","Despesa das câmaras municipais em cultura e desporto no total de despesas , Proporção de visitantes escolares, %"
Vendas Novas,//,//,31.9,56.5,7.1
Viana do Alentejo,//,//,354,63.4,22.3
Vila Viçosa,1451,6,101.4,43.7,11.2
Algarve,36315,11.9,88.3,67.1,10.2
Albufeira,9522,8.4,47.5,53.3,5.3
Alcoutim,14335,3.1,278.5,82.9,9.3
Aljezur,1204,2.6,84.6,74.1,7.1
Castro Marim,//,//,227.5,58.5,10.9
Faro,19219,16.6,46.8,34.4,11.2
Lagoa,//,//,247.9,176.6,21.2
Lagos,…,…,154.6,110.4,14.2
Loulé,…,…,110,159.5,12.1
Monchique,//,//,69.3,64.8,6.3
Olhão,3629,44.8,32.9,21.2,6.8
Portimão,129080,33.4,45.9,10.6,4.8
São Brás de Alportel,…,…,102,68.9,13.6
Silves,19069,3.1,79,47.2,10.3
Tavira,57636,1.6,82.9,40.5,9.1
Vila do Bispo,//,//,325.7,29.2,14
Vila Real de Santo António,//,//,75,26,4.9
R. A. Açores,11203,14.5,56.8,30.6,9.1
Santa Maria,5971,11.1,117.2,91.8,15
Vila do Porto,5971,11.1,117.2,91.8,15
São Miguel,10751,16.1,47.8,26,9
Lagoa (R.A.A.),…,…,47.5,13.7,8.7
Nordeste,//,//,53.2,19.4,4.1
Ponta Delgada,36157,9.6,42.4,30.3,11
Povoação,…,…,19.5,13.3,2.2
Ribeira Grande,2471,23.1,48.1,28.4,9.9
Vila Franca do Campo,6919,15.5,96.2,17.7,8.8
Terceira,27480,15.5,61.3,23.3,9.5
Angra do Heroísmo,27480,15.5,75.4,32.9,11.9
Vila da Praia da Vitória,//,//,36.9,6.7,5.1
Graciosa,5230,12.3,38.7,151.5,16.6
Santa Cruz da Graciosa,5230,12.3,38.7,151.5,16.6
São Jorge,3842,25.5,53.9,40.4,4.6
Calheta (R.A.A.),3842,25.5,22.4,68.1,5.2
Velas,//,//,76.2,20.8,4.3
Pico,17465,10.6,104.4,19,8.4
Lajes do Pico,17465,10.6,116.8,14.5,8
Madalena,//,//,84.1,17.3,8.1
São Roque do Pico,//,//,127.6,28.4,9.7
Faial,11270,14.3,56.1,41.6,10.7
Horta,11270,14.3,56.1,41.6,10.7
Flores,11559,1.7,76.7,61.2,6.5
Lajes das Flores,//,//,90.7,2.8,3.3
Santa Cruz das Flores,11559,1.7,67,101.4,10.1
Corvo,//,//,90,17.8,2.4
Corvo,//,//,90,17.8,2.4
R. A. Madeira,18796,8,34.6,12.6,5.5
Calheta (R.A.M.),39807,15.5,38.3,26.4,5.2
Câmara de Lobos,…,…,44.5,8,8.9
Funchal,23783,6.2,27.8,11.1,4
Machico,16287,6.7,41.7,29.1,11.2
Ponta do Sol,//,//,122.7,30.1,20.9
Porto Moniz,//,//,30.2,54.2,3.2
Ribeira Brava,6852,39,11.7,9.2,2.7
Santa Cruz,//,//,19.5,1.1,3.7
Santana,…,…,16.8,24.2,3.9
São Vicente,…,…,58.6,28.8,4.7
Porto Santo,15105,6.3,116,8.5,12.5
