,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Proença-a-Nova,811442,724877,73467,3010,230751,197014,119383,111843,0,0,232036,200431
Vila Velha de Ródão,691863,640203,134565,0,73435,73435,234303,71581,159222,3500,42470,42470
Médio Tejo,16215547.999999998,12771261,1779981.0000000002,852242,3023094,2441232,2754138,972867,1045036.9999999999,81278,3956197.0000000005,2077724.9999999995
Abrantes,3366116,2370604,134242,87417,700599,607793,34830,0,0,13576,1419496,576024
Alcanena,739520,678876,40627,40627,138157,138157,219494,107031,54196,0,248120,248120
Constância,701696,688270,49680,49680,242865,170282,249508,0,231937,0,145094,145094
Entroncamento,1718872,634648,0,0,103568,72923,123208,41416,13808,923,391468,161034
Ferreira do Zêzere,486204,454543,0,0,98217,76089,69190,30106,8366,9112,180103,33228
Mação,929354,776513,206113,181695,140671,140671,148826,124409,0,7307,87040,87040
Ourém,1944562,1309675,194930,107118,128981,77562,594533,0,551437,28389,202484,124013
Sardoal,846564,662559,56465,0,148943,128043,160912,85155,90,626,151029,44966
Sertã,923769,902932,9596,7248,344302,286632,373048,240059,2500,21345,153244,153244
Tomar,1555205,1480627,701629,120696,261393,220012,331896,163302,138714,0,155000,155000
Torres Novas,2192494,2091691,270382,169359,613399,453612,348268,130519,5627,0,687257,217146
Vila de Rei,513174,513174,96357,88402,101999,69456,77829,50870,15766,0,34336,31290
Vila Nova da Barquinha,298018,207149,19960,0,0,0,22596,0,22596,0,101526,101526
Beiras e Serra da Estrela,15810898,13592136.999999998,1708401,1086466,2067590.0000000002,1621989.9999999995,3298777,1155539,1196369,159779.99999999997,4459701,2720649.0000000005
Almeida,828134,690625,373118,171698,84594,67794,89304,49706,0,0,68386,32941
Belmonte,722507,573807,13000,13000,13897,13897,445894,245990,74900,0,46599,46599
Celorico da Beira,325748,315158,33054,12065,80031,79046,977,0,0,0,169151,0
Covilhã,2092803,1204532,102572,102572,353773,249472,286551,163406,33009,17007,264831,260331
Figueira de Castelo Rodrigo,1000359,486591,1500,0,0,0,322539,161773,28804,0,80650,80650
Fornos de Algodres,145573,145573,20796,18951,38542,38542,57824,17850,9871,0,15000,15000
Fundão,1397814,1391488,156773,156773,299261,182911,254484,96785,0,11080,243205,0
Gouveia,583730,525796,87517,87517,109992,87135,49414,0,49414,0,93854,93854
Guarda,1809639,1770589,278975,153727,522319,522319,282860,0,282860,0,682935,263370
Manteigas,282737,282737,0,0,41762,19134,108020,78679,26829,1912,95396,95396
Mêda,170478,116728,0,0,109134,57405,7594,0,0,0,0,0
Pinhel,2473390,2247938,90398,90398,142018,84481,146611,96286,0,0,1523369,1523369
Sabugal,1089287,1076036,191076,75073,62027,62027,353573,88377,230045,0,213150,173150
Seia,1735469,1679750,185545,183826,147760,107852,273403,30936,0,129781,877849,60439
Trancoso,1153230,1084789,174077,20866,62480,49975,619729,125751,460637,0,85326,75550
A. M. Lisboa,121470740,109777857,29665297.000000004,14539048,11000237.000000002,9206121.999999998,21304800,5654122,2001073.0000000002,3565386,39972389.99999999,14074618
Alcochete,535409,515094,197273,181514,233117,233117,84650,43950,4437,39,0,0
Almada,7203460,6668837,983043,938571,1229456,1212025,2937147,539351,93223,947546,720592,520364
Amadora,3523473,3205775,224137,224137,677364,669120,766613,26935,508724,3346,794205,494014
Barreiro,1349385,1220921,105677,105677,348322,243411,439660,303801,0,15656,194665,194665
Cascais,7554352,6956173,2564640,2428502,1512271,982299,564643,474720,24600,0,1589834,1413897
Lisboa,59945770,56498526,19098382,5715158,433165,258714,8824587,1323811,18554,1275000,26220935,6538257
Loures,3296827,3152249,268593,181138,74767,74767,277342,162309,0,73382,2517330,664173
Mafra,2335084,2335084,610,610,939,939,176515,78802,68000,0,2125612,34500
Moita,1637819,1532435,260968,242737,483406,420839,382662,259898,55372,16702,375716,130045
Montijo,1517219,1422828,118589,118589,318068,141789,682488,0,49785,0,270646,270646
Odivelas,2161002,2093416,310400,64369,470621,283235,772112,70870,520133,135169,105645,36839
Oeiras,3419634,2440289,161469,45495,140766,140766,322111,252239,0,0,1582768,1582768
Palmela,5065450,3168689,758681,8234,900992,824978,627305,37606,54872,507731,427440,277487
Seixal,3418206,3418206,791199,791199,819386,819386,504593,335398,136088,6780,1292557,1292557
Sesimbra,2166909,1827272,124726,43766,675086,486651,371493,285010,56322,0,130686,130686
Setúbal,6621278,4930248,1227121,1219396,699975,555884,1263599,683098,34556,204743,1167483,289692
Sintra,4697370,4623690,1130572,905500,1012379,967108,1479862,413549,165095,345292,171449,96019
Vila Franca de Xira,5022093,3768125,1339217,1324456,970157,891094,827418,362775,211312,34000,284827,108009
Alentejo,65009155.99999997,52117833,8021956.000000002,4928133.000000001,8493905,7087048.000000001,14705139.999999996,7411208.999999997,2995034,1167638.0000000005,14425152,6371282
Alentejo Litoral,8244881,6986624,830726,739706,1725671,1318207,1582023,1170633,121614,52375,2281772,2145547
Alcácer do Sal,2464293,2172179,249008,198422,434876,287744,257586,168226,0,42299,1164607,1160189
Grândola,2382639,1510810,249007,220424,388193,300601,280414,200283,0,10076,450333,318526
Odemira,965160,937093,0,0,198067,125436,280523,221050,32900,0,327819,327819
Santiago do Cacém,1387447,1321200,226829,214978,570573,470464,22131,4651,0,0,339013,339013
Sines,1045342,1045342,105882,105882,133962,133962,741369,576423,88714,0,0,0
Baixo Alentejo,16145935.999999998,13196642,1994275.0000000002,1205220.0000000002,2293940,1820826,3771394,1415229,1116890,303582,2957945,1472892
Aljustrel,1712384,980675,139976,139976,164861,163709,437276,178344,45264,194968,184625,30879
Almodôvar,954118,948236,72899,27285,138758,138758,478824,101476,361856,0,165869,105243
Alvito,259172,256869,0,0,62708,53830,174286,0,173986,0,19875,19875
Barrancos,434080,387670,125730,95620,61090,39430,134400,119200,0,0,56000,56000
Beja,2995759,2638046,224460,137756,479730,475411,1110787,270232,205116,25189,404633,57870
Castro Verde,1329748,1040913,101093,86610,175465,175465,374976,218118,23605,34147,258480,95746
Cuba,769669,765143,32439,32439,112451,90212,74681,46996,3500,0,314801,231180
Ferreira do Alentejo,502454,502454,65261,65261,108752,62417,119136,91386,0,0,0,0
Mértola,1162589,1105384,568911,223047,130591,112533,78432,57595,0,11201,132356,24500
Moura,1235894,847470,258773,138077,244355,167750,130173,37132,16371,0,178607,99729
Ourique,586298,586298,0,0,258212,171746,100998,41443,58534,148,67262,67262
Serpa,3041796,2302340,206987,127030,194475,82499,474042,215327,220786,37929,907176,555289
Vidigueira,1161975,835144,197746,132119,162492,87066,83383,37980,7872,0,268261,129319
Lezíria do Tejo,11291643,9528545,1537875,1040256.0000000001,1833259,1620715,2959315.9999999995,1074637,458290,409709.99999999994,2172722,598646
Almeirim,891350,891350,52349,52349,180504,180504,110851,93123,0,0,385908,171651
Alpiarça,535125,531781,187426,187426,184012,162101,88616,88616,0,0,26927,26927
Azambuja,899706,720349,86706,84176,235858,235858,241500,176557,55171,0,52878,52878
Benavente,1263120,1232331,132291,132291,242459,208286,561579,172386,0,246206,198139,75826
Cartaxo,383266,338715,92859,92859,45690,45690,134726,1850,10174,115481,60671,0
Chamusca,638976,600566,0,0,151767,151767,431573,188217,11485,21384,0,0
Coruche,711011,707061,156870,131519,88254,42037,105943,12600,67584,0,138227,46755
Golegã,225337,219095,60582,60582,74681,74681,3722,3722,0,0,43090,43090
Rio Maior,1557348,927473,39643,23852,159901,124129,180640,5208,110950,0,423477,78767
Salvaterra de Magos,1715058,1066297,307522,172106,176581,124821,36458,14350,0,4858,539330,25000
Santarém,2471346,2293527,421627,103096,293552,270841,1063708,318008,202926,21781,304075,77752
Alto Alentejo,12450275,8960981,2216549,1231903,1203943,1136005,2672106.9999999995,1704736,573567,76975.99999999999,1869851.9999999998,755778
Alter do Chão,966448,569712,110699,35859,43226,43226,117948,18928,0,50410,290558,34431
Arronches,260714,169773,54090,53460,1655,1655,75264,71007,0,0,28436,28436
Avis,741158,736353,150633,30830,75773,75773,302627,249849,0,4617,101587,26900
Campo Maior,476689,476167,143873,143873,75817,75817,212122,189458,0,0,15400,15400
Castelo de Vide,812543,593438,70432,60487,135412,135412,230536,0,230536,0,126954,75485
Crato,654515,197670,49263,49263,85979,85979,0,0,0,0,50022,50022
Elvas,3342160,1322701,330420,120563,79343,70967,348947,239498,95839,0,257297,231916
Fronteira,432837,432017,60628,55555,59200,58350,200747,104189,64193,0,101124,15436
Gavião,332560,331426,43044,33836,41800,41800,99471,15200,84271,0,10748,10748
Marvão,176428,176428,128183,82013,4600,4600,30375,30375,0,0,0,0
Monforte,442418,442418,133320,11305,144645,113432,2923,2169,0,0,158384,47474
Nisa,943158,919124,128928,90841,146593,119094,436249,367254,16521,21949,106221,47275
