,"Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros","Days subsidized , MF, No.","Days subsidized , M, No.","Days subsidized , F, No."
Armamar,416,217,199,25202,11874,13328
Carrazeda de Ansiães,345,183,163,22329,10412,11917
Freixo de Espada à Cinta,188,85,103,12814,5567,7247
Lamego,3331,1816,1514,192543,98080,94463
Mesão Frio,329,128,201,19879,7733,12146
Moimenta da Beira,630,294,335,39311,17128,22183
Murça,392,171,221,24315,10064,14251
Penedono,139,36,104,9139,2118,7021
Peso da Régua,1632,930,702,97524,52529,44995
Sabrosa,423,217,206,26965,12720,14245
Santa Marta de Penaguião,742,415,327,44980,24325,20655
São João da Pesqueira,370,212,158,21883,11265,10618
Sernancelhe,289,117,172,16677,5986,10691
Tabuaço,402,186,216,25929,11682,14247
Tarouca,725,401,324,38402,20757,17645
Torre de Moncorvo,521,242,279,33055,14208,18847
Vila Nova de Foz Côa,373,206,167,22627,11251,11376
Vila Real,4430,2353,2077,259797,129737,130060
Terras de Trás-os-Montes,6973,3204,3769,433749,188129,245620
Alfândega da Fé,392,224,168,23197,12015,11182
Bragança,2058,874,1184,128829,52846,75983
Macedo de Cavaleiros,1075,473,602,64145,26320,37825
Miranda do Douro,219,94,126,14142,5688,8454
Mirandela,1854,825,1029,114234,47080,67154
Mogadouro,417,193,224,25848,11286,14562
Vila Flor,455,244,212,29400,14708,14692
Vimioso,132,66,66,9024,4503,4521
Vinhais,370,211,159,24930,13683,11247
Centro,177103,79677,97426,10135656,4124133,6011523
Oeste,29941,12229,17713,1717805,618685,1099120
Alcobaça,3646,1461,2185,213899,75246,138653
Alenquer,4377,1937,2440,245479,97633,147846
Arruda dos Vinhos,1257,593,664,62229,24992,37237
Bombarral,972,367,606,59221,19216,40005
Cadaval,970,306,664,60217,17279,42938
Caldas da Rainha,4317,1694,2623,252600,89873,162727
Lourinhã,1951,770,1181,113273,36533,76740
Nazaré,1415,627,788,81925,31994,49931
Óbidos,792,334,458,45750,16675,29075
Peniche,3271,1489,1781,193884,77075,116809
Sobral de Monte Agraço,611,262,349,35578,14172,21406
Torres Vedras,6363,2389,3974,353750,117997,235753
Região de Aveiro,32746,15002,17744,1816228,737616,1078612
Águeda,2943,1276,1667,171497,67122,104375
Albergaria-a-Velha,1689,728,961,94403,35077,59326
Anadia,2071,846,1225,113740,43473,70267
Aveiro,8083,4069,4014,430862,191322,239540
Estarreja,2361,1150,1211,125056,52231,72825
Ílhavo,4295,2022,2272,235643,100195,135448
Murtosa,797,451,346,43020,20727,22293
Oliveira do Bairro,1718,665,1054,98588,34798,63790
Ovar,6559,2865,3694,373729,142412,231317
Sever do Vouga,571,268,303,34095,15149,18946
Vagos,1659,662,997,95595,35110,60485
Região de Coimbra,35403,17083,18320,1975917,867297,1108620
Arganil,793,340,453,46919,18192,28727
Cantanhede,2569,1315,1255,146273,67249,79024
Coimbra,11745,5497,6248,638659,275438,363221
Condeixa-a-Nova,1353,586,767,72190,28038,44152
Figueira da Foz,6096,3298,2798,317182,151881,165301
Góis,233,130,104,14289,6838,7451
Lousã,1208,529,679,74325,30591,43734
Mealhada,1632,742,891,91200,37045,54155
Mira,1084,503,580,63373,28161,35212
Miranda do Corvo,767,344,424,46480,18843,27637
Montemor-o-Velho,2159,1063,1096,120345,52384,67961
Mortágua,473,233,240,29788,13904,15884
Oliveira do Hospital,1412,729,683,84222,40377,43845
Pampilhosa da Serra,127,67,61,7719,4184,3535
Penacova,912,367,545,55599,20688,34911
Penela,223,121,102,11685,5915,5770
Soure,1294,589,705,74364,31072,43292
Tábua,828,390,437,50824,22717,28107
Vila Nova de Poiares,496,241,255,30481,13780,16701
Região de Leiria,19968,8164,11804,1125068,410063,715005
Alvaiázere,205,88,117,12746,5374,7372
Ansião,764,307,457,45055,17757,27298
Batalha,1084,400,684,61973,20307,41666
Castanheira de Pêra,150,56,94,8907,3386,5521
Figueiró dos Vinhos,297,150,147,17921,8658,9263
Leiria,8946,3592,5354,496481,173685,322796
Marinha Grande,3886,1575,2311,212678,76615,136063
Pedrógão Grande,181,94,87,11432,6060,5372
Pombal,2819,1246,1572,160236,63165,97071
Porto de Mós,1638,656,982,97639,35056,62583
Viseu Dão Lafões,20770,9672,11098,1215931,521989,693942
Aguiar da Beira,416,233,183,24019,12580,11439
Carregal do Sal,603,245,358,35074,12983,22091
Castro Daire,1334,645,689,76840,33742,43098
Mangualde,1558,769,789,89430,41046,48384
Nelas,1328,664,664,76369,32853,43516
Oliveira de Frades,1148,472,676,69441,26315,43126
Penalva do Castelo,501,263,238,27315,13229,14086
Santa Comba Dão,673,356,317,37682,17171,20511
São Pedro do Sul,1533,650,883,95846,35990,59856
Sátão,872,349,523,56377,21662,34715
Tondela,1476,627,849,86008,33196,52812
Vila Nova de Paiva,439,246,192,26686,14342,12344
Viseu,7912,3705,4207,455488,201005,254483
Vouzela,976,447,529,59356,25875,33481
Beira Baixa,6514,3093,3421,393697,173413,220284
Castelo Branco,4634,2196,2438,279370,122714,156656
Idanha-a-Nova,619,313,306,38849,18636,20213
Oleiros,164,81,84,9973,4319,5654
Penamacor,376,176,200,22802,9803,12999
Proença-a-Nova,499,215,284,30232,11980,18252
Vila Velha de Ródão,222,112,110,12471,5961,6510
Médio Tejo,16595,7751,8843,971209,415659,555550
Abrantes,4129,2169,1960,245619,118625,126994
Alcanena,1117,485,632,64956,26991,37965
Constância,368,132,236,21142,7267,13875
Entroncamento,1331,535,796,79357,28469,50888
Ferreira do Zêzere,358,132,225,22215,7994,14221
Mação,383,232,151,22831,13757,9074
Ourém,2614,1073,1541,146552,52734,93818
Sardoal,277,128,148,16734,7110,9624
Sertã,732,349,383,42712,18108,24604
Tomar,2386,1272,1114,138042,65721,72321
Torres Novas,2454,1023,1431,143026,55860,87166
Vila de Rei,143,74,69,9145,4575,4570
Vila Nova da Barquinha,305,146,159,18878,8448,10430
Beiras e Serra da Estrela,15165,6682,8483,919801,379411,540390
Almeida,345,166,178,19329,9222,10107
Belmonte,594,285,310,37281,16532,20749
Celorico da Beira,434,229,206,24739,12414,12325
Covilhã,3871,1646,2225,240157,96922,143235
Figueira de Castelo Rodrigo,287,129,158,18987,7902,11085
Fornos de Algodres,259,89,170,16902,5348,11554
Fundão,2079,926,1153,127552,51382,76170
Gouveia,797,334,463,47566,19781,27785
Guarda,3252,1422,1830,194209,78018,116191
Manteigas,273,112,162,15249,5939,9310
Mêda,134,63,71,7580,3149,4431
Pinhel,351,108,243,22795,6595,16200
Sabugal,623,278,345,35014,14222,20792
Seia,1520,776,744,91526,45141,46385
Trancoso,347,121,227,20915,6844,14071
A. M. Lisboa,302544,138588,163957,15652410,6637682,9014728
Alcochete,1857,934,923,91825,42851,48974
Almada,18960,8538,10422,1027353,428150,599203
Amadora,16933,7444,9489,909820,373366,536454
Barreiro,9135,4541,4594,502185,225162,277023
Cascais,23549,10641,12908,1116385,472790,643595
Lisboa,55048,26301,28748,2648885,1211963,1436922
Loures,21294,9322,11972,1145053,468239,676814
Mafra,7421,3416,4005,377676,156399,221277
Moita,8009,4061,3949,453831,207762,246069
Montijo,5945,2626,3319,331239,135337,195902
Odivelas,13675,6081,7594,741726,307402,434324
Oeiras,18818,8195,10624,844272,347391,496881
Palmela,7473,3323,4150,396374,155541,240833
Seixal,17800,7970,9830,974868,402119,572749
Sesimbra,5460,2546,2913,293053,118287,174766
Setúbal,14732,7543,7190,786368,362215,424153
Sintra,39776,17530,22246,2139300,864726,1274574
Vila Franca de Xira,16658,7576,9082,872197,357982,514215
Alentejo,66184,30478,35706,3948743,1645388,2303355
Alentejo Litoral,9910,5079,4831,573769,263312,310457
Alcácer do Sal,749,315,434,45634,17834,27800
Grândola,990,453,537,59073,24488,34585
Odemira,3128,1480,1648,190418,84710,105708
Santiago do Cacém,2883,1559,1325,162940,76823,86117
Sines,2160,1272,887,115704,59457,56247
Baixo Alentejo,10522,4960,5562,641127,276310,364817
Aljustrel,873,387,486,50573,18686,31887
Almodôvar,584,228,356,34291,10908,23383
Alvito,120,40,80,8349,2355,5994
Barrancos,208,88,120,13021,4829,8192
Beja,2422,1234,1188,145577,69264,76313
Castro Verde,631,343,288,33741,15736,18005
Cuba,306,117,189,19403,6436,12967
Ferreira do Alentejo,858,396,462,54766,23039,31727
Mértola,425,187,238,26406,10924,15482
Moura,1552,742,810,97246,44631,52615
Ourique,474,219,255,30526,12902,17624
Serpa,1521,715,806,94334,42031,52303
Vidigueira,547,263,285,32894,14569,18325
Lezíria do Tejo,23745,10806,12939,1388943,558434,830509
Almeirim,2262,830,1432,141168,45679,95489
Alpiarça,675,276,399,41670,14677,26993
Azambuja,2276,1108,1168,128849,55516,73333
Benavente,3689,1771,1918,209799,88837,120962
Cartaxo,2476,1238,1238,138365,60030,78335
Chamusca,770,324,446,50717,19531,31186
Coruche,1859,757,1102,115341,41292,74049
Golegã,367,164,203,21441,8593,12848
Rio Maior,1524,595,929,91671,31679,59992
Salvaterra de Magos,3048,1403,1645,178657,70890,107767
Santarém,4799,2340,2460,271265,121710,149555
Alto Alentejo,10152,4507,5645,630781,262705,368076
Alter do Chão,289,121,169,18828,7422,11406
Arronches,141,87,53,8761,5561,3200
Avis,427,168,259,25816,9074,16742
Campo Maior,1144,588,556,64679,31246,33433
Castelo de Vide,254,119,135,15860,7403,8457
Crato,307,132,176,19031,7434,11597
Elvas,2096,904,1191,130779,53722,77057
Fronteira,341,129,212,21504,8107,13397
Gavião,227,136,92,13189,7719,5470
Marvão,203,87,116,13131,5694,7437
Monforte,271,133,138,18495,8434,10061
Nisa,396,209,186,25097,12395,12702
Ponte de Sor,1582,656,926,100272,36775,63497
Portalegre,1997,874,1122,124831,52041,72790
Sousel,477,164,313,30508,9678,20830
Alentejo Central,11855,5125,6730,714123,284627,429496
Alandroal,461,182,279,28973,9561,19412
Arraiolos,461,237,224,26105,12178,13927
Borba,499,218,281,31891,12357,19534
Estremoz,846,353,493,51347,19447,31900
Évora,4122,1790,2332,238788,97954,140834
Montemor-o-Novo,922,355,566,54208,19835,34373
Mora,240,83,157,16253,5358,10895
Mourão,288,124,163,18062,7167,10895
Portel,656,223,433,41299,13111,28188
Redondo,633,235,398,41430,14256,27174
Reguengos de Monsaraz,972,487,485,61647,28289,33358
Vendas Novas,716,344,372,41110,18005,23105
Viana do Alentejo,425,228,197,24872,11725,13147
Vila Viçosa,617,266,351,38138,15384,22754
Algarve,55622,23372,32250,3400080,1353388,2046692
Albufeira,10157,4553,5604,620308,269092,351216
Alcoutim,84,49,35,5468,3173,2295
Aljezur,423,181,242,27415,11452,15963
Castro Marim,619,287,332,36670,16130,20540
Faro,5923,2643,3279,330327,137400,192927
Lagoa,3126,1257,1869,196293,75293,121000
Lagos,3932,1593,2338,247637,94156,153481
Loulé,7884,3256,4628,471324,184358,286966
Monchique,420,178,242,27497,11209,16288
Olhão,3778,1546,2232,231098,85975,145123
Portimão,8790,3611,5179,550814,213905,336909
São Brás de Alportel,717,329,388,41067,17458,23609
Silves,4664,1917,2747,288409,113305,175104
Tavira,2280,846,1433,140355,48140,92215
Vila do Bispo,580,263,316,38612,17053,21559
Vila Real de Santo António,2247,863,1384,146786,55289,91497
R. A. Açores,30840,16612,14228,1999386,1062377,937009
Santa Maria,823,375,448,54761,24943,29818
Vila do Porto,823,375,448,54761,24943,29818
São Miguel,18190,10108,8082,1183439,653038,530401
Lagoa (R.A.A.),1900,1099,801,126556,73318,53238
Nordeste,1318,698,620,94262,50403,43859
Ponta Delgada,7607,4228,3380,461832,254310,207522
Povoação,1650,870,780,117592,61852,55740
Ribeira Grande,4366,2524,1843,293054,167653,125401
Vila Franca do Campo,1349,689,659,90143,45502,44641
Terceira,5278,2902,2376,327470,176164,151306
Angra do Heroísmo,3460,1956,1503,213374,117792,95582
Vila da Praia da Vitória,1818,946,872,114096,58372,55724
Graciosa,769,394,376,51959,25907,26052
Santa Cruz da Graciosa,769,394,376,51959,25907,26052
São Jorge,882,445,437,60742,30447,30295
Calheta (R.A.A.),293,135,159,20827,9599,11228
Velas,589,310,279,39915,20848,19067
Pico,2495,1010,1485,163575,63751,99824
Lajes do Pico,709,305,404,48027,20451,27576
Madalena,1191,442,749,74327,25081,49246
São Roque do Pico,594,263,331,41221,18219,23002
Faial,1743,1023,721,112270,64720,47550
Horta,1743,1023,721,112270,64720,47550
Flores,615,327,288,42429,21731,20698
Lajes das Flores,308,141,167,21674,9687,11987
Santa Cruz das Flores,308,187,121,20755,12044,8711
Corvo,45,28,17,2741,1676,1065
Corvo,45,28,17,2741,1676,1065
R. A. Madeira,27815,13856,13959,1824762,883958,940804
Calheta (R.A.M.),754,405,349,56995,30097,26898
Câmara de Lobos,3615,1974,1642,245444,128835,116609
Funchal,12214,5814,6400,777199,361117,416082
Machico,2775,1616,1159,182141,99735,82406
Ponta do Sol,618,278,339,44381,19552,24829
Porto Moniz,213,131,83,16498,10439,6059
Ribeira Brava,1175,594,582,81200,39851,41349
Santa Cruz,4478,2069,2409,278728,125652,153076
Santana,542,273,269,42767,21425,21342
São Vicente,389,234,156,28643,16486,12157
Porto Santo,1041,468,572,70766,30769,39997
