,Total (N.º),"Nível de habilitações, Inferior ao 1º ciclo do ensino básico (N.º)","Nível de habilitações, 1º ciclo do ensino básico (N.º)","Nível de habilitações, 2º ciclo do ensino básico (N.º)","Nível de habilitações, 3º ciclo do ensino básico (N.º)","Nível de habilitações, Ensino secundário (N.º)","Nível de habilitações, Curso técnico superior profissional (N.º)","Nível de habilitações, Bacharelato (N.º)","Nível de habilitações, Licenciatura (N.º)","Nível de habilitações, Mestrado (N.º)","Nível de habilitações, Doutoramento (N.º)"
Macedo de Cavaleiros,1615,…,250,189,469,423,0,27,228,21,…
Miranda do Douro,932,…,98,134,263,302,…,15,106,7,0
Mirandela,3031,…,301,355,765,944,…,56,567,34,…
Mogadouro,975,…,100,157,271,285,…,…,119,13,0
Vila Flor,706,4,104,90,216,187,0,8,88,9,0
Vimioso,437,3,87,54,92,107,0,19,68,…,…
Vinhais,564,…,53,99,175,157,…,…,67,…,…
Centro,457805,1804,45724,65230,129391,133041,245,7500,64329,9130,786
Oeste,70882,424,8259,10470,21383,20663,68,860,7658,842,46
Alcobaça,12646,59,1571,1959,3619,3724,5,147,1376,147,6
Alenquer,9445,71,1013,1492,2793,2866,9,122,939,115,10
Arruda dos Vinhos,2746,4,272,479,888,637,…,47,359,47,…
Bombarral,1947,24,231,309,640,534,…,19,173,…,0
Cadaval,1949,20,285,271,609,514,0,19,209,19,0
Caldas da Rainha,10973,63,1485,1191,3238,3555,…,118,1162,105,…
Lourinhã,3805,37,482,652,1140,1056,13,35,328,24,0
Nazaré,2471,13,285,401,692,779,0,25,239,28,0
Óbidos,2708,6,209,238,772,837,0,41,471,119,4
Peniche,4272,40,467,659,1320,1258,…,50,414,42,…
Sobral de Monte Agraço,1386,3,171,277,458,346,…,8,101,…,…
Torres Vedras,16534,84,1788,2542,5214,4557,19,229,1887,171,13
Região de Aveiro,90446,353,8012,13766,25550,25225,24,1760,12972,2440,271
Águeda,13199,76,1464,2316,3620,3419,3,272,1745,263,15
Albergaria-a-Velha,6457,31,563,1253,1868,1709,…,122,755,138,…
Anadia,5584,20,805,982,1540,1309,…,137,715,64,…
Aveiro,25597,62,1752,2921,6357,7805,5,556,4759,1137,208
Estarreja,5840,26,475,868,2079,1499,4,96,698,82,9
Ílhavo,6397,32,634,927,1767,1807,4,98,920,203,4
Murtosa,1290,…,147,262,414,302,0,…,127,17,…
Oliveira do Bairro,5424,20,490,999,1450,1526,0,100,735,102,0
Ovar,13723,65,1134,2089,4390,3922,…,253,1576,271,…
Sever do Vouga,2108,…,155,461,590,570,…,…,244,39,0
Vagos,4827,16,393,688,1475,1357,…,64,698,124,…
Região de Coimbra,80967,262,7559,11053,21618,23230,61,1377,13000,2395,306
Arganil,1894,…,251,350,592,495,…,…,172,9,0
Cantanhede,6876,21,656,1090,1976,1852,5,102,925,172,63
Coimbra,28870,62,1679,2894,6494,8966,19,559,6483,1468,214
Condeixa-a-Nova,2118,13,312,299,531,527,0,48,336,43,0
Figueira da Foz,12626,35,1029,1749,3783,3766,5,210,1819,209,6
Góis,489,…,62,64,153,150,0,7,…,8,0
Lousã,2357,…,157,306,660,763,…,59,346,50,…
Mealhada,4338,5,439,773,1329,1109,…,77,524,77,…
Mira,1809,4,232,358,507,411,7,42,218,20,4
Miranda do Corvo,1076,3,179,140,301,263,…,50,127,…,…
Montemor-o-Velho,2761,…,333,454,817,785,4,36,282,38,…
Mortágua,2278,18,215,312,489,677,…,29,397,125,…
Oliveira do Hospital,4036,25,732,693,1070,971,4,48,442,43,3
Pampilhosa da Serra,518,…,87,84,183,116,0,…,…,…,0
Penacova,1715,…,233,357,532,411,…,24,138,15,…
Penela,1300,…,194,185,393,294,0,19,172,35,…
Soure,1905,8,231,267,548,585,…,20,220,20,…
Tábua,2648,40,345,433,838,728,…,…,210,33,…
Vila Nova de Poiares,1353,0,193,245,422,361,…,…,100,19,…
Região de Leiria,72641,255,6963,9980,20208,22116,48,1060,10610,1262,35
