,Total (N.º),"Escalão de pessoal, 1 - 9 (N.º)","Escalão de pessoal, 10 - 19 (N.º)","Escalão de pessoal, 20 - 49 (N.º)","Escalão de pessoal, 50 - 99 (N.º)","Escalão de pessoal, 100 - 249 (N.º)","Escalão de pessoal, 250 - 499 (N.º)","Escalão de pessoal, 500 e mais (N.º)"
Lamego,3374,1155,465,531,252,587,79,305
Mesão Frio,345,123,45,75,3,83,…,…
Moimenta da Beira,1376,511,185,446,198,…,…,…
Murça,453,189,63,38,6,117,0,40
Penedono,278,156,25,79,13,0,0,5
Peso da Régua,1968,709,348,322,169,127,31,262
Sabrosa,845,255,131,207,152,68,0,32
Santa Marta de Penaguião,463,153,53,243,7,…,0,…
São João da Pesqueira,961,410,160,200,104,10,65,12
Sernancelhe,714,278,140,171,78,19,0,28
Tabuaço,496,140,117,117,70,28,0,24
Tarouca,1004,284,142,151,243,172,0,12
Torre de Moncorvo,945,355,186,101,69,178,17,39
Vila Nova de Foz Côa,847,280,155,138,155,47,13,59
Vila Real,8526,2284,1013,1345,779,718,281,2106
Terras de Trás-os-Montes,14490,5163,2027,2368,1190,794,794,2154
Alfândega da Fé,359,142,50,152,…,…,0,10
Bragança,5871,1719,722,909,650,86,373,1412
Macedo de Cavaleiros,1615,731,247,243,…,…,…,150
Miranda do Douro,932,379,175,170,…,…,…,68
Mirandela,3031,1034,417,515,344,31,320,370
Mogadouro,975,479,145,130,11,166,0,44
Vila Flor,706,190,60,117,5,210,82,42
Vimioso,437,178,89,48,77,16,0,29
Vinhais,564,311,122,84,6,12,0,29
Centro,457805,104718,55308,79597,53983,62333,33470,68396
Oeste,70882,18388,9717,13236,8670,9169,3996,7706
Alcobaça,12646,3293,1807,2673,2292,1873,24,684
Alenquer,9445,1602,822,1467,911,1700,1404,1539
Arruda dos Vinhos,2746,643,480,578,212,246,507,80
Bombarral,1947,612,303,371,369,93,65,134
Cadaval,1949,567,221,485,176,360,110,30
Caldas da Rainha,10973,2825,1352,1613,763,1180,618,2622
Lourinhã,3805,1490,527,920,445,287,22,114
Nazaré,2471,794,324,363,329,254,237,170
Óbidos,2708,684,504,622,397,329,32,140
Peniche,4272,1335,628,708,481,445,407,268
Sobral de Monte Agraço,1386,432,284,354,203,24,5,84
Torres Vedras,16534,4111,2465,3082,2092,2378,565,1841
Região de Aveiro,90446,15572,9304,15075,10440,14661,8012,17382
Águeda,13199,2332,1628,3019,1750,3195,816,459
Albergaria-a-Velha,6457,1120,756,1513,766,1159,453,690
Anadia,5584,1133,674,1339,549,625,8,1256
Aveiro,25597,3726,2117,3526,2693,2778,2686,8071
Estarreja,5840,779,535,741,745,982,624,1434
Ílhavo,6397,1284,655,911,642,1228,801,876
Murtosa,1290,348,189,145,202,169,207,30
Oliveira do Bairro,5424,1092,666,1002,1056,1194,315,99
Ovar,13723,2121,1288,1828,1333,2189,1483,3481
Sever do Vouga,2108,606,301,498,280,374,0,49
Vagos,4827,1031,495,553,424,768,619,937
Região de Coimbra,80967,18231,9251,12838,8936,11358,8861,11492
Arganil,1894,476,257,295,419,326,18,103
Cantanhede,6876,1448,781,957,1100,917,534,1139
Coimbra,28870,6359,3102,4406,2140,3179,3636,6048
Condeixa-a-Nova,2118,443,206,507,235,422,0,305
Figueira da Foz,12626,2448,1530,1586,1301,1704,2086,1971
Góis,489,185,89,118,58,3,0,36
Lousã,2357,652,365,357,177,392,275,139
Mealhada,4338,720,522,590,729,726,786,265
Mira,1809,586,223,239,371,361,7,22
Miranda do Corvo,1076,383,110,264,57,0,224,38
Montemor-o-Velho,2761,779,435,637,308,466,23,113
Mortágua,2278,456,157,509,170,668,280,38
Oliveira do Hospital,4036,941,519,1114,374,331,402,355
Pampilhosa da Serra,518,154,39,48,78,158,0,41
Penacova,1715,589,214,182,326,355,…,…
Penela,1300,287,179,186,265,369,0,14
Soure,1905,539,228,377,343,242,…,…
Tábua,2648,484,169,180,329,559,295,632
Vila Nova de Poiares,1353,302,126,286,156,180,287,16
Região de Leiria,72641,17180,9934,14805,10020,9853,2247,8602
Alvaiázere,1057,324,166,126,113,105,206,17
Ansião,2223,701,279,473,549,175,…,…
Batalha,4611,1107,769,941,506,915,…,…
Castanheira de Pêra,341,56,68,22,191,0,0,4
Figueiró dos Vinhos,586,278,81,82,3,114,0,28
Leiria,35910,8057,4697,7408,4503,4326,968,5951
Marinha Grande,10921,1937,1192,2192,1938,2213,312,1137
Pedrógão Grande,462,224,21,87,3,99,0,28
Pombal,11838,3302,1916,2677,1444,1081,288,1130
Porto de Mós,4692,1194,745,797,770,825,193,168
Viseu Dão Lafões,50041,11627,5425,7298,5370,6156,3740,10425
Aguiar da Beira,886,419,126,167,159,0,0,15
Carregal do Sal,1725,273,194,295,…,525,…,252
Castro Daire,1709,708,165,350,3,155,227,101
Mangualde,5013,673,340,529,567,377,592,1935
Nelas,2915,415,240,428,344,517,293,678
Oliveira de Frades,3106,529,240,500,521,653,22,641
Penalva do Castelo,940,266,112,218,…,207,…,20
Santa Comba Dão,1287,451,179,160,315,112,0,70
São Pedro do Sul,2046,615,251,341,204,327,218,90
Sátão,1344,528,202,229,163,196,0,26
Tondela,5585,1145,537,591,477,1067,381,1387
Vila Nova de Paiva,473,177,88,123,67,4,0,14
Viseu,21339,5024,2646,3156,2133,1791,1965,4624
Vouzela,1673,404,105,211,153,225,3,572
Beira Baixa,13712,3646,1625,1949,1316,1959,1164,2053
Castelo Branco,9975,2460,1024,1267,952,1270,1127,1875
Idanha-a-Nova,935,410,144,231,121,…,…,19
Oleiros,586,177,105,83,59,106,10,46
Penamacor,423,119,73,97,0,108,9,17
Proença-a-Nova,1008,348,217,182,60,102,7,92
Vila Velha de Ródão,785,132,62,89,124,…,…,4
Médio Tejo,43164,10072,5452,8337,5343,5552,2599,5809
Abrantes,5614,1172,550,842,891,821,504,834
Alcanena,3703,746,405,802,220,783,330,417
Constância,865,128,51,159,102,186,227,12
Entroncamento,2816,504,365,334,235,212,308,858
Ferreira do Zêzere,1556,366,194,386,329,216,34,31
Mação,971,232,179,267,130,91,27,45
Ourém,11743,3028,1726,2945,1492,1136,717,699
Sardoal,316,159,44,0,…,106,0,…
Sertã,2334,728,442,442,277,364,…,…
Tomar,5407,1419,692,674,651,656,152,1163
Torres Novas,6778,1279,690,1171,912,777,286,1663
Vila de Rei,557,152,58,135,…,200,…,7
Vila Nova da Barquinha,504,159,56,180,99,4,…,…
Beiras e Serra da Estrela,35952,10002,4600,6059,3888,3625,2851,4927
Almeida,796,264,146,220,121,3,0,42
Belmonte,1248,262,187,159,78,314,232,16
Celorico da Beira,968,264,151,243,30,221,17,42
Covilhã,8348,1780,843,1181,1043,1095,849,1557
Figueira de Castelo Rodrigo,617,282,126,168,11,6,0,24
Fornos de Algodres,596,262,111,114,72,10,0,27
Fundão,4850,1259,654,1105,452,118,652,610
Gouveia,1552,490,316,296,113,243,4,90
Guarda,8786,2256,935,842,1010,1002,759,1982
Manteigas,447,159,81,94,66,0,12,35
Mêda,537,222,100,98,101,0,0,16
Pinhel,1100,548,136,228,21,100,18,49
Sabugal,1533,515,145,498,250,37,21,67
Seia,3203,943,482,584,396,187,287,324
Trancoso,1371,496,187,229,124,289,0,46
A. M. Lisboa,700524,115160,65103,84048,63313,84338,58393,230169
Alcochete,3757,664,305,658,690,413,602,425
Almada,19470,4820,2347,2597,2051,1612,1330,4713
Amadora,31789,4728,2069,2677,2812,2739,2680,14084
Barreiro,8021,1572,741,1150,870,574,613,2501
Cascais,34998,8398,4224,4544,3098,5100,2241,7393
Lisboa,308717,40952,24647,33585,25123,35741,24831,123838
Loures,42855,6963,4509,5711,4386,6293,3437,11556
Mafra,16274,3721,2104,2342,1668,1103,1109,4227
Moita,4028,1255,680,688,341,574,8,482
Montijo,8423,1784,958,1000,1164,1144,472,1901
Odivelas,14906,4840,2327,2288,1171,750,459,3071
Oeiras,71350,7276,4534,7446,7117,10145,9511,25321
Palmela,20933,2273,1202,1984,1731,2745,1990,9008
Seixal,16161,4340,2376,2741,1365,1980,1158,2201
Sesimbra,4570,1532,798,857,457,407,11,508
Setúbal,19113,3814,2373,2490,1715,2732,1727,4262
Sintra,51623,12401,6710,8327,5048,7244,3701,8192
Vila Franca de Xira,23536,3827,2199,2963,2506,3042,2513,6486
Alentejo,131398,33755,14827,20729,14216,15403,10063,22405
Alentejo Litoral,20733,4596,1960,3296,2011,3454,1856,3560
Alcácer do Sal,1795,733,277,406,102,182,19,76
Grândola,1981,630,268,359,197,330,14,183
Odemira,6605,1412,597,971,780,1250,1433,162
Santiago do Cacém,4404,1151,564,697,428,444,360,760
