,"Quintiles of gross reported income less personal income paid tax by tax household, 1st quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 2nd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 3rd quintile, €","Quintiles of gross reported income less personal income paid tax by tax household, 4th quintile, €","Distribution of the number of tax households by gross reported income less personal income paid tax class, Less than  5 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 5 000 to less than 10 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From 10 000 to less than 13 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  13 500 to less than  19 000 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, From  19 000 to less than  32 500 €, No.","Distribution of the number of tax households by gross reported income less personal income paid tax class, 32 500 € or more, No."
Baixo Alentejo,7399,9743,13786,22058,5859,17587,9751,8492,9750,4839
Aljustrel,8011,10430,15116,24340,345,1330,748,722,888,453
Almodôvar,6780,9439,13361,23034,394,1176,604,465,592,350
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,8006,10618,15801,25209,1585,4488,2815,2477,3455,1970
Castro Verde,8631,11479,17015,27530,212,848,511,526,685,469
Cuba,6844,9372,13275,20420,288,674,360,358,309,171
Ferreira do Alentejo,6803,9151,12121,18546,471,1300,695,584,523,205
Mértola,6935,9160,12202,18502,355,1110,571,475,464,126
Moura,6756,9203,12373,19297,708,2015,1046,875,858,343
Ourique,6895,9160,12558,19411,286,863,416,381,362,153
Serpa,6928,9151,12032,18860,778,2300,1185,929,932,345
Vidigueira,7239,9216,12542,19963,275,910,451,383,401,165
Lezíria do Tejo,7354,9917,13932,22105,12019,36265,21239,18604,21420,9710
Almeirim,6780,9284,12862,20678,1360,3633,2000,1612,1834,742
Alpiarça,6931,9392,12791,20009,369,1214,666,549,555,240
Azambuja,7506,10148,14271,22601,1030,3101,1931,1728,1993,835
Benavente,7527,10078,14683,23299,1515,4270,2442,2231,2889,1332
Cartaxo,7879,10401,14712,22742,1131,3372,2161,2029,2328,997
Chamusca,7315,9373,12386,18517,380,1598,865,686,632,192
Coruche,7369,9805,13378,20295,741,2850,1687,1451,1445,525
Golegã,7645,10032,13740,21777,252,885,539,453,528,211
Rio Maior,6963,9455,13062,20852,1260,3433,1948,1622,1792,715
Salvaterra de Magos,7113,9658,13442,20946,1162,3340,1950,1728,1767,759
Santarém,7674,10279,14864,24031,2819,8569,5050,4515,5657,3162
Alto Alentejo,7344,9705,13435,21208,5428,17693,10084,8426,9574,3903
Alter do Chão,8025,9928,13509,19949,142,510,316,288,265,93
Arronches,7200,9473,12586,20281,//,//,//,//,//,//
Avis,7031,9311,12332,18544,220,722,414,311,312,84
Campo Maior,8326,10815,14734,22959,303,1105,802,615,845,311
