,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Lisboa,17719,3647,14072,28372,15843,5840,22533
Loures,9937,1274,8663,20156,13654,2584,17572
Mafra,10595,1459,9137,21913,14289,3016,18896
Moita,8647,816,7831,16878,12620,1593,15285
Montijo,9315,1135,8180,19610,13239,2390,17220
Odivelas,9724,1184,8540,19768,13739,2406,17361
Oeiras,14910,2789,12121,28718,18373,5372,23346
Palmela,10337,1320,9017,20461,13884,2612,17849
Seixal,10101,1261,8840,20241,14394,2527,17714
Sesimbra,10138,1251,8888,20167,14499,2487,17679
Setúbal,11218,1473,9745,20700,14210,2719,17982
Sintra,9710,1170,8539,19024,13125,2293,16731
Vila Franca de Xira,9920,1119,8801,20000,14721,2256,17744
Alentejo,8827,912,7915,17243,12000,1781,15463
Alentejo Litoral,9499,1071,8428,17005,11200,1917,15088
Alcácer do Sal,7945,714,7231,15974,11683,1436,14538
Grândola,7847,916,6931,17265,11635,2016,15249
Odemira,9082,754,8329,12528,9100,1040,11488
Santiago do Cacém,10366,1356,9010,20812,13796,2722,18091
Sines,11520,1515,10005,20970,14066,2758,18213
Baixo Alentejo,8313,869,7444,17200,11868,1798,15401
Aljustrel,10086,1112,8974,18586,13002,2050,16536
Almodôvar,9247,1012,8234,17392,11395,1904,15488
Alvito,6796,582,6213,16137,//,1383,14754
Barrancos,6162,427,5735,13820,//,958,12862
Beja,9845,1198,8647,19682,13384,2395,17286
Castro Verde,10271,1370,8900,21949,14854,2929,19020
Cuba,7452,676,6776,15860,11365,1440,14420
Ferreira do Alentejo,7022,580,6441,14583,10852,1205,13378
Mértola,7180,555,6625,14290,10760,1105,13186
Moura,6365,535,5830,14954,10852,1257,13698
Ourique,8218,773,7445,15461,10893,1455,14006
Serpa,6622,552,6070,14678,10711,1225,13454
Vidigueira,7185,615,6569,15298,10906,1310,13988
Lezíria do Tejo,8635,870,7765,17203,12087,1733,15470
Almeirim,7738,671,7067,15611,11139,1353,14259
Alpiarça,7874,645,7229,15501,11183,1269,14232
Azambuja,8028,752,7276,17072,12439,1599,15473
Benavente,8825,992,7832,18281,12515,2056,16225
Cartaxo,8931,905,8026,17680,12818,1792,15888
Chamusca,6803,496,6307,14418,11044,1051,13366
Coruche,7868,655,7213,15874,11807,1322,14552
Golegã,8997,862,8135,16805,12237,1609,15196
Rio Maior,8417,764,7653,15912,11406,1444,14467
Salvaterra de Magos,8146,737,7409,16193,11760,1465,14728
