,"Taxa quinquenal de mortalidade 
infantil (2015/2019),  ‰, 2019 (‰)","Taxa quinquenal de mortalidade 
neonatal (2015/2019),  ‰, 2019 (‰)","Taxa de mortalidade por doenças do aparelho circulatório,  ‰, 2019 (‰)","Taxa de mortalidade por tumores malignos,  ‰, 2019 (‰)"
Beiras e Serra da Estrela,2.5,1.4,4.6,3.8
Almeida,0,0,7.3,8.8
Belmonte,0,0,3.4,1.7
Celorico da Beira,0,0,3.6,3.9
Covilhã,0.7,0,3.8,3.8
Figueira de Castelo Rodrigo,0,0,6.6,2.1
Fornos de Algodres,7.3,7.3,5.7,4.2
Fundão,3.8,2.5,5.1,3.8
Gouveia,0,0,4.2,4.8
Guarda,5.2,2.2,3.6,2.8
Manteigas,0,0,6.3,4
Mêda,7.8,0,4.6,3.5
Pinhel,0,0,4.6,3.7
Sabugal,7.4,7.4,9.6,5.7
Seia,1.5,1.5,4.9,3.9
Trancoso,0,0,3.7,2.7
A. M. Lisboa,3.5,2.3,3.1,2.7
Alcochete,3.6,2.4,2.2,2
Almada,2.8,1.5,3.9,3.2
Amadora,5,3.1,2.7,2.6
Barreiro,6.2,3.7,3.1,3.4
Cascais,3.3,2.2,3.1,2.7
Lisboa,3.3,2,4,3.5
Loures,4,2.2,2.9,2.5
Mafra,4.7,2.9,2.1,2.2
Moita,4,2,3.6,2.9
Montijo,5.7,3.4,3.5,2.3
Odivelas,2.8,1.8,2.6,2.2
Oeiras,4.1,3,2.9,2.8
Palmela,1.5,1.1,4.1,2.4
Seixal,3.2,2.6,2.5,2.4
Sesimbra,2.1,1.7,2.4,2.9
Setúbal,3,1.9,3.6,3.2
Sintra,3.4,2.4,2.3,2.3
Vila Franca de Xira,2.8,1.6,2.4,2.2
Alentejo,3.5,2.2,4.6,3.3
Alentejo Litoral,4,2.3,4.1,3.2
Alcácer do Sal,0,0,4.4,4.2
Grândola,3.9,2,4.9,2.7
Odemira,4.3,4.3,5.1,3
Santiago do Cacém,3.8,0,3.7,3.3
Sines,6.1,4.6,2.4,3.1
Baixo Alentejo,4.8,2.9,5.7,3.4
Aljustrel,8.4,5.6,6.7,3.4
Almodôvar,3.9,0,5.8,4.6
Alvito,0,0,6.1,2.4
Barrancos,0,0,3,1.8
Beja,3.1,2.5,5,2.9
Castro Verde,3.8,0,6.3,3.7
Cuba,33.7,28.1,6.1,2.8
Ferreira do Alentejo,3.1,3.1,5.2,3.2
Mértola,0,0,5,4.4
Moura,4.7,1.6,4.6,3.3
Ourique,7.1,7.1,13,4.1
Serpa,2,0,6,3.8
Vidigueira,4.2,0,4.9,2.9
Lezíria do Tejo,4.1,2.9,3.9,2.9
Almeirim,5.9,4.7,3.9,3.2
Alpiarça,4,0,5.9,2.8
Azambuja,3.6,2.4,3.4,2.2
Benavente,4.7,4.7,2.9,2.1
Cartaxo,0,0,4,3
Chamusca,3.7,3.7,4.4,3.7
Coruche,1.7,0,5.7,3.5
Golegã,4.8,0,5.2,3.5
Rio Maior,3.4,1.1,3.4,2.8
Salvaterra de Magos,0,0,4.2,3.5
Santarém,7.2,5.4,3.6,2.9
Alto Alentejo,2.1,1.1,5.2,3.8
Alter do Chão,0,0,6.6,2.5
Arronches,0,0,7.4,7.7
Avis,0,0,3.3,2.8
Campo Maior,0,0,3.9,3
Castelo de Vide,19.2,9.6,4.8,4.1
Crato,0,0,10.1,4.4
Elvas,2.6,2.6,5,3.4
Fronteira,0,0,3.7,3
Gavião,0,0,9.4,4.8
Marvão,0,0,4.3,5
Monforte,0,0,7.4,2
Nisa,0,0,5.9,4.8
Ponte de Sor,5.5,0,5.3,3.8
Portalegre,1.1,1.1,4.1,4.1
Sousel,0,0,7,3.8
Alentejo Central,2,1.4,4.5,3.5
Alandroal,0,0,6.6,3.8
Arraiolos,4.5,0,3.6,3.2
Borba,4.3,4.3,3.7,4.1
Estremoz,2.1,0,6.7,3.5
Évora,1.7,1.7,3.5,3.3
Montemor-o-Novo,0,0,5.7,3.9
Mora,0,0,5.8,4.3
Mourão,9.5,0,4.5,3.7
Portel,0,0,6,3.1
Redondo,4.2,4.2,4.1,2.7
Reguengos de Monsaraz,5.1,5.1,3.9,3.3
Vendas Novas,0,0,4.5,3
Viana do Alentejo,0,0,3.9,3.9
Vila Viçosa,3.9,0,5.5,4
Algarve,2.8,2,3.3,2.9
Albufeira,3.4,3.4,2.5,2.1
Alcoutim,0,0,13.2,7.3
Aljezur,0,0,3.6,3.9
Castro Marim,4.1,0,5.9,3.4
Faro,2.4,1.8,2.9,2.7
Lagoa,0.9,0.9,2,2.7
Lagos,0.8,0.8,3.6,3.3
Loulé,3.8,2.7,3.9,3
Monchique,5.7,5.7,5.7,5.7
Olhão,1.9,1,2.7,2.4
Portimão,3.4,3.1,3,3.1
São Brás de Alportel,4.2,2.1,2.6,1.8
Silves,2.6,1.3,3.3,3.4
Tavira,3.9,2,3.9,3.4
Vila do Bispo,8.7,4.3,3.1,1.9
Vila Real de Santo António,1.2,0,3.9,3.1
R. A. Açores,3,1.9,2.9,2.7
