,"Local do parto, Total (N.º)","Local do parto, Domicílio (N.º)","Local do parto, Estabelecimento hospitalar (N.º)","Local do parto, Outro local (N.º)"
Sernancelhe,24,0,24,0
Tabuaço,26,0,24,2
Tarouca,49,1,48,0
Torre de Moncorvo,34,0,34,0
Vila Nova de Foz Côa,26,1,25,0
Vila Real,342,2,336,4
Terras de Trás-os-Montes,601,7,589,5
Alfândega da Fé,20,0,19,1
Bragança,246,3,242,1
Macedo de Cavaleiros,62,1,59,2
Miranda do Douro,30,0,30,0
Mirandela,120,2,117,1
Mogadouro,36,0,36,0
Vila Flor,34,0,34,0
Vimioso,21,0,21,0
Vinhais,32,1,31,0
Centro,15564,191,15131,242
Oeste,2790,35,2708,47
Alcobaça,389,6,375,8
Alenquer,371,5,363,3
Arruda dos Vinhos,116,2,114,0
Bombarral,106,3,100,3
Cadaval,71,3,66,2
Caldas da Rainha,353,6,339,8
Lourinhã,204,1,202,1
Nazaré,108,1,104,3
Óbidos,79,0,75,4
Peniche,229,3,222,4
Sobral de Monte Agraço,84,1,83,0
Torres Vedras,680,4,665,11
Região de Aveiro,2814,24,2742,48
Águeda,348,3,339,6
Albergaria-a-Velha,195,3,191,1
Anadia,154,6,146,2
Aveiro,670,2,647,21
Estarreja,225,1,220,4
Ílhavo,331,0,325,6
Murtosa,76,2,74,0
Oliveira do Bairro,191,1,184,6
Ovar,374,5,368,1
Sever do Vouga,67,0,67,0
Vagos,183,1,181,1
Região de Coimbra,2946,49,2863,34
Arganil,51,0,51,0
Cantanhede,227,1,225,1
Coimbra,1064,4,1045,15
Condeixa-a-Nova,117,1,110,6
Figueira da Foz,390,9,377,4
Góis,14,1,13,0
Lousã,123,3,120,0
Mealhada,123,6,117,0
Mira,84,0,84,0
Miranda do Corvo,65,2,63,0
Montemor-o-Velho,187,2,182,3
Mortágua,48,1,46,1
Oliveira do Hospital,140,14,125,1
Pampilhosa da Serra,12,2,9,1
Penacova,43,0,43,0
Penela,35,0,35,0
Soure,106,1,103,2
Tábua,87,2,85,0
Vila Nova de Poiares,30,0,30,0
Região de Leiria,2156,18,2093,45
Alvaiázere,21,0,20,1
Ansião,64,5,57,2
Batalha,135,2,131,2
Castanheira de Pêra,14,0,14,0
Figueiró dos Vinhos,31,1,28,2
Leiria,1052,3,1025,24
Marinha Grande,338,2,334,2
Pedrógão Grande,16,2,14,0
Pombal,339,1,330,8
Porto de Mós,146,2,140,4
Viseu Dão Lafões,1663,15,1621,27
Aguiar da Beira,28,0,26,2
Carregal do Sal,58,0,57,1
Castro Daire,70,2,67,1
Mangualde,113,3,109,1
Nelas,83,0,82,1
Oliveira de Frades,75,2,73,0
Penalva do Castelo,44,0,41,3
Santa Comba Dão,63,1,62,0
São Pedro do Sul,84,0,84,0
Sátão,58,0,56,2
Tondela,139,0,135,4
Vila Nova de Paiva,24,1,23,0
Viseu,765,6,747,12
Vouzela,59,0,59,0
Beira Baixa,484,7,470,7
Castelo Branco,348,4,340,4
Idanha-a-Nova,48,3,43,2
Oleiros,16,0,16,0
Penamacor,25,0,25,0
Proença-a-Nova,33,0,32,1
Vila Velha de Ródão,14,0,14,0
Médio Tejo,1499,15,1462,22
Abrantes,197,0,191,6
Alcanena,83,1,81,1
Constância,30,0,29,1
Entroncamento,168,3,162,3
Ferreira do Zêzere,42,0,42,0
Mação,26,0,26,0
Ourém,322,2,315,5
Sardoal,16,0,16,0
Sertã,92,1,90,1
Tomar,200,0,198,2
Torres Novas,256,7,247,2
Vila de Rei,17,0,16,1
Vila Nova da Barquinha,50,1,49,0
Beiras e Serra da Estrela,1212,28,1172,12
Almeida,18,1,16,1
Belmonte,30,0,30,0
Celorico da Beira,42,1,41,0
Covilhã,277,5,270,2
Figueira de Castelo Rodrigo,36,0,36,0
Fornos de Algodres,34,0,34,0
Fundão,170,4,164,2
Gouveia,57,3,53,1
Guarda,284,1,278,5
Manteigas,17,0,17,0
Mêda,18,0,18,0
Pinhel,36,3,32,1
Sabugal,48,7,41,0
Seia,104,2,102,0
Trancoso,41,1,40,0
A. M. Lisboa,27918,275,27036,607
Alcochete,139,5,127,7
Almada,1628,22,1578,28
Amadora,1919,19,1884,16
Barreiro,702,11,660,31
Cascais,1813,17,1678,118
Lisboa,5628,41,5534,53
Loures,2134,15,2104,15
Mafra,745,16,711,18
Moita,603,6,573,24
Montijo,605,4,580,21
Odivelas,1728,4,1708,16
Oeiras,1457,14,1412,31
Palmela,545,4,530,11
Seixal,1580,21,1534,25
Sesimbra,429,13,408,8
Setúbal,1056,10,1033,13
Sintra,3876,42,3677,157
Vila Franca de Xira,1331,11,1305,15
Alentejo,5303,88,5161,54
Alentejo Litoral,738,18,708,12
Alcácer do Sal,80,1,78,1
Grândola,107,2,103,2
Odemira,242,12,227,3
Santiago do Cacém,180,2,176,2
Sines,129,1,124,4
Baixo Alentejo,929,19,903,7
Aljustrel,57,4,53,0
Almodôvar,41,0,41,0
Alvito,19,0,19,0
Barrancos,11,1,9,1
Beja,280,3,274,3
Castro Verde,49,2,47,0
Cuba,41,0,41,0
Ferreira do Alentejo,68,2,66,0
Mértola,30,0,30,0
Moura,127,1,124,2
Ourique,29,1,28,0
Serpa,123,2,120,1
Vidigueira,54,3,51,0
Lezíria do Tejo,1791,23,1754,14
Almeirim,177,2,174,1
Alpiarça,38,0,38,0
Azambuja,179,1,178,0
Benavente,285,2,281,2
Cartaxo,174,0,172,2
Chamusca,53,0,51,2
Coruche,100,2,98,0
Golegã,38,0,38,0
Rio Maior,178,7,168,3
Salvaterra de Magos,147,3,143,1
Santarém,422,6,413,3
Alto Alentejo,734,7,720,7
Alter do Chão,21,1,20,0
Arronches,12,0,12,0
Avis,25,1,22,2
Campo Maior,78,0,78,0
Castelo de Vide,20,0,20,0
Crato,17,0,17,0
Elvas,156,0,155,1
Fronteira,15,1,14,0
Gavião,15,0,15,0
Marvão,15,0,15,0
Monforte,28,0,27,1
Nisa,35,0,34,1
Ponte de Sor,112,1,110,1
Portalegre,164,2,161,1
Sousel,21,1,20,0
Alentejo Central,1111,21,1076,14
Alandroal,30,3,26,1
Arraiolos,38,0,38,0
Borba,40,1,39,0
Estremoz,90,1,89,0
Évora,436,4,429,3
Montemor-o-Novo,103,5,96,2
Mora,23,1,21,1
Mourão,26,0,26,0
Portel,41,3,38,0
Redondo,35,0,35,0
Reguengos de Monsaraz,74,1,72,1
Vendas Novas,78,1,74,3
Viana do Alentejo,48,0,48,0
Vila Viçosa,49,1,45,3
Algarve,4275,62,4176,37
Albufeira,490,4,481,5
Alcoutim,11,0,11,0
Aljezur,56,7,49,0
Castro Marim,52,1,51,0
Faro,652,2,645,5
Lagoa,196,2,193,1
Lagos,232,9,223,0
Loulé,753,11,731,11
Monchique,32,2,30,0
Olhão,397,4,393,0
Portimão,570,7,553,10
São Brás de Alportel,98,1,97,0
Silves,359,0,357,2
Tavira,189,1,186,2
Vila do Bispo,47,8,39,0
Vila Real de Santo António,141,3,137,1
R. A. Açores,2079,22,2033,24
Santa Maria,38,0,37,1
Vila do Porto,38,0,37,1
São Miguel,1257,15,1223,19
Lagoa (R.A.A.),160,1,159,0
Nordeste,25,0,25,0
Ponta Delgada,615,3,598,14
Povoação,47,0,46,1
Ribeira Grande,320,8,308,4
Vila Franca do Campo,90,3,87,0
Terceira,447,3,442,2
Angra do Heroísmo,289,0,288,1
Vila da Praia da Vitória,158,3,154,1
Graciosa,32,0,31,1
Santa Cruz da Graciosa,32,0,31,1
São Jorge,67,1,66,0
Calheta (R.A.A.),23,0,23,0
Velas,44,1,43,0
Pico,110,3,107,0
Lajes do Pico,36,2,34,0
Madalena,50,1,49,0
São Roque do Pico,24,0,24,0
Faial,102,0,101,1
Horta,102,0,101,1
Flores,24,0,24,0
Lajes das Flores,13,0,13,0
Santa Cruz das Flores,11,0,11,0
Corvo,2,0,2,0
Corvo,2,0,2,0
R. A. Madeira,1842,17,1814,11
Calheta (R.A.M.),74,7,67,0
Câmara de Lobos,324,2,317,5
Funchal,756,1,751,4
Machico,130,1,129,0
Ponta do Sol,49,0,49,0
Porto Moniz,13,0,13,0
Ribeira Brava,73,1,72,0
Santa Cruz,332,3,327,2
Santana,27,0,27,0
São Vicente,40,1,39,0
Porto Santo,24,1,23,0
