,"Abono de família para crianças e jovens, Beneficiárias/os, N.º","Abono de família para crianças e jovens, Descendentes ou equiparadas/os, N.º","Abono de família para crianças e jovens, Valor processado, milhares de euros","Subsídio por assistência de 3ª pessoa, Beneficiárias/os, N.º","Subsídio por assistência de 3ª pessoa, Descendentes ou equiparadas/os, N.º","Subsídio por assistência de 3ª pessoa, Valor processado, milhares de euros"," Subsídio de funeral , Beneficiárias/os, N.º"," Subsídio de funeral , Valor processado, milhares de euros"
Mafra,6935,10493,6422,131,134,161,75,16
Moita,6494,9877,6915,77,80,104,51,11
Montijo,4809,7302,4926,74,77,100,29,6
Odivelas,12425,18661,12961,159,161,203,85,19
Oeiras,9208,14041,9183,134,135,170,127,28
Palmela,5306,7740,4889,72,72,92,60,13
Seixal,13973,20696,13860,142,146,189,73,16
Sesimbra,4645,6973,4376,77,78,100,36,8
Setúbal,10355,15506,10325,141,146,189,82,18
Sintra,36387,53797,36865,448,456,584,236,52
Vila Franca de Xira,11207,16631,10882,174,179,234,69,15
Alentejo,55932,84004,53710,877,910,1175,563,125
Alentejo Litoral,6928,10133,6285,90,91,118,75,17
Alcácer do Sal,809,1173,762,9,9,12,8,2
Grândola,1109,1598,993,18,19,25,10,2
Odemira,2023,2937,1847,17,17,22,20,5
Santiago do Cacém,1821,2703,1634,28,28,36,21,5
Sines,1166,1722,1048,18,18,24,16,4
Baixo Alentejo,8898,14034,9277,146,154,201,74,16
Aljustrel,571,887,567,11,11,15,8,2
Almodôvar,336,499,294,5,5,6,5,1
Alvito,212,332,212,...,...,...,0,0
Barrancos,125,191,123,...,...,...,0,0
Beja,2703,4310,2890,50,50,68,15,3
Castro Verde,399,646,365,5,5,6,...,...
Cuba,356,551,357,5,6,8,4,1
Ferreira do Alentejo,598,918,598,13,13,17,4,1
Mértola,384,567,330,4,4,5,11,2
Moura,1326,2241,1647,24,30,38,9,2
Ourique,303,445,288,3,3,4,4,1
Serpa,1132,1731,1102,11,11,13,9,2
Vidigueira,453,716,503,12,13,17,...,...
Lezíria do Tejo,19517,29655,18748,286,291,376,177,40
Almeirim,2006,2975,1858,21,22,29,22,5
Alpiarça,615,921,554,8,9,13,...,...
Azambuja,1776,2710,1816,46,46,61,8,2
Benavente,2762,4263,2763,44,44,57,22,5
Cartaxo,1894,2836,1782,22,23,30,19,4
Chamusca,641,934,555,6,7,8,6,2
Coruche,1213,1886,1244,19,19,23,10,2
Golegã,427,612,365,3,3,4,...,...
Rio Maior,1870,2889,1769,22,22,29,23,5
Salvaterra de Magos,1814,2728,1722,41,42,55,8,2
Santarém,4499,6901,4319,54,54,68,52,11
Alto Alentejo,8900,13004,8844,133,138,175,97,21
Alter do Chão,255,385,274,...,...,...,3,1
Arronches,189,266,161,...,...,...,...,...
Avis,316,453,318,...,...,...,0,0
Campo Maior,814,1237,881,19,20,26,5,1
Castelo de Vide,213,302,195,...,...,...,4,1
Crato,213,311,195,0,0,0,...,...
Elvas,2147,3254,2393,31,31,41,20,4
Fronteira,219,321,203,4,4,5,...,...
Gavião,215,294,176,4,4,5,4,1
Marvão,210,302,198,8,8,10,5,1
Monforte,257,413,301,5,5,6,3,1
Nisa,352,482,301,6,7,8,10,2
Ponte de Sor,1338,1909,1291,20,22,28,18,4
Portalegre,1833,2612,1657,27,28,34,15,3
Sousel,329,463,300,4,4,5,4,1
Alentejo Central,11689,17178,10557,222,236,304,140,31
Alandroal,377,529,306,4,4,5,...,...
Arraiolos,472,661,362,8,10,13,4,1
Borba,521,770,476,7,7,9,4,1
Estremoz,912,1357,861,17,20,26,14,3
Évora,4170,6124,3775,82,84,108,34,8
Montemor-o-Novo,1062,1591,941,20,21,26,24,5
Mora,264,365,237,10,10,12,...,...
Mourão,217,391,274,7,9,12,...,...
Portel,456,654,409,8,8,10,10,2
Redondo,543,755,462,10,10,13,4,1
Reguengos de Monsaraz,858,1275,815,18,20,26,5,1
Vendas Novas,835,1227,766,12,14,19,18,4
Viana do Alentejo,435,665,413,4,4,5,9,2
Vila Viçosa,567,814,459,15,15,20,8,2
Algarve,43510,63366,43996,545,564,726,369,82
Albufeira,4740,6771,4754,34,35,43,19,4
Alcoutim,128,182,111,...,...,...,...,...
Aljezur,505,747,509,10,10,13,4,1
Castro Marim,508,768,533,...,...,...,...,...
Faro,5677,8139,5706,80,82,104,52,11
Lagoa,2299,3353,2378,27,31,40,5,1
Lagos,2865,4189,2912,42,43,55,18,4
Loulé,6900,9959,6856,52,53,69,91,20
Monchique,391,562,358,7,8,10,12,3
Olhão,4403,6483,4627,67,67,87,36,8
Portimão,6098,8898,6259,86,91,118,44,10
São Brás de Alportel,901,1342,906,13,14,19,18,4
Silves,3573,5291,3604,53,54,69,29,6
Tavira,2177,3183,2083,29,30,39,28,6
Vila do Bispo,452,647,444,6,7,9,...,...
Vila Real de Santo António,1893,2852,1958,31,31,42,7,2
R. A. Açores,22555,34726,21921,434,445,573,408,91
Santa Maria,464,711,437,18,18,24,13,3
Vila do Porto,464,711,437,18,18,24,13,3
São Miguel,14291,22291,14115,254,262,339,276,62
Lagoa (R.A.A.),1664,2616,1661,27,28,36,22,5
Nordeste,454,707,439,8,8,10,16,4
Ponta Delgada,6168,9395,5969,127,134,172,139,31
Povoação,645,945,557,6,6,8,19,4
Ribeira Grande,4195,6886,4427,73,73,96,50,11
Vila Franca do Campo,1165,1742,1063,13,13,16,30,7
Terceira,4318,6439,4121,93,94,120,78,17
Angra do Heroísmo,2751,4116,2635,65,66,85,49,11
Vila da Praia da Vitória,1567,2323,1487,28,28,35,29,6
Graciosa,353,567,372,4,4,5,6,1
Santa Cruz da Graciosa,353,567,372,4,4,5,6,1
São Jorge,657,993,596,13,13,16,14,3
Calheta (R.A.A.),266,421,251,7,7,8,4,1
Velas,391,572,345,6,6,8,10,2
Pico,1115,1645,1036,23,24,30,9,2
Lajes do Pico,328,500,304,3,3,4,6,1
Madalena,533,773,486,13,14,18,...,...
São Roque do Pico,254,372,245,7,7,8,...,...
Faial,1085,1643,957,25,26,34,9,2
Horta,1085,1643,957,25,26,34,9,2
Flores,243,388,250,4,4,5,...,...
Lajes das Flores,91,152,100,...,...,...,...,...
Santa Cruz das Flores,152,236,150,...,...,...,...,...
Corvo,29,49,36,0,0,0,...,...
Corvo,29,49,36,0,0,0,...,...
R. A. Madeira,19724,29719,18229,418,428,551,198,44
Calheta (R.A.M.),837,1298,803,14,14,17,16,4
Câmara de Lobos,3492,5477,3521,68,73,96,20,4
Funchal,7170,10689,6608,168,172,223,82,18
Machico,1512,2206,1293,49,50,62,8,2
Ponta do Sol,734,1130,673,8,8,10,19,4
Porto Moniz,161,253,137,3,3,4,7,2
Ribeira Brava,1140,1781,1054,29,29,37,16,4
Santa Cruz,3580,5278,3179,59,59,75,25,5
Santana,423,630,397,9,9,12,...,...
São Vicente,328,484,287,7,7,10,...,...
Porto Santo,347,493,278,4,4,5,...,...
