,"Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros","Dias processados, HM, N.º","Dias processados, H, N.º","Dias processados, M, N.º"
Lajes das Flores,177,60,116,12472,4450,8022
Santa Cruz das Flores,214,81,133,13825,5717,8108
Corvo,41,15,26,2858,1032,1826
Corvo,41,15,26,2858,1032,1826
R. A. Madeira,33217,16366,16850,2005960,957075,1048885
Calheta (R.A.M.),946,443,503,59089,27086,32003
Câmara de Lobos,4133,1995,2138,258310,120141,138169
Funchal,14935,7342,7593,886573,423529,463044
Machico,2833,1538,1295,171534,88240,83294
Ponta do Sol,663,281,382,43303,18176,25127
Porto Moniz,330,132,198,20875,8474,12401
Ribeira Brava,1437,672,765,91505,41649,49856
Santa Cruz,6050,2959,3091,350477,165517,184960
Santana,517,303,214,35366,20184,15182
São Vicente,328,168,160,23009,11914,11095
Porto Santo,1045,532,513,65919,32165,33754
