,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Alfândega da Fé,132,76,41,56,19,5,15,19,27,18,48
Bragança,782,312,148,470,214,24,99,227,206,68,158
Macedo de Cavaleiros,358,162,68,196,93,8,40,83,100,50,77
Miranda do Douro,84,27,11,57,24,3,15,17,26,9,14
Mirandela,656,280,121,376,155,17,67,179,175,72,146
Mogadouro,152,71,41,81,39,4,21,36,31,16,44
Vila Flor,150,68,21,82,33,…,…,35,31,27,37
Vimioso,45,19,14,26,8,…,…,7,17,5,11
Vinhais,128,68,23,60,19,4,10,31,26,11,46
Centro,63284,25972,12984,37312,18177,3376,6680,15077,16058,6771,15322
Oeste,11270,4201,2198,7069,3333,595,1171,2716,2928,1294,2566
Alcobaça,1371,468,233,903,444,69,126,324,346,154,352
Alenquer,1556,647,350,909,479,101,181,408,432,139,295
Arruda dos Vinhos,365,153,81,212,93,15,28,85,113,40,84
Bombarral,416,122,60,294,140,25,38,78,117,58,100
Cadaval,483,126,60,357,176,24,41,111,124,55,128
Caldas da Rainha,1655,615,362,1040,491,94,187,387,424,183,380
Lourinhã,759,286,162,473,198,32,74,205,199,81,168
Nazaré,559,211,102,348,170,14,53,140,142,79,131
Óbidos,303,105,50,198,90,11,30,77,82,30,73
Peniche,1476,648,321,828,384,85,155,351,348,207,330
Sobral de Monte Agraço,199,80,46,119,59,11,27,51,51,17,42
Torres Vedras,2128,740,371,1388,609,114,231,499,550,251,483
Região de Aveiro,11466,4792,2590,6674,3448,724,1265,2779,2886,1211,2601
Águeda,1194,480,303,714,416,70,141,275,273,156,279
Albergaria-a-Velha,591,229,132,362,196,35,61,123,162,69,141
Anadia,713,268,145,445,233,44,68,150,178,83,190
Aveiro,2737,1253,674,1484,751,160,312,705,732,255,573
Estarreja,776,320,161,456,232,52,75,174,188,81,206
Ílhavo,1527,685,369,842,391,87,164,426,372,160,318
Murtosa,300,146,83,154,83,29,43,81,72,22,53
Oliveira do Bairro,651,236,128,415,260,36,78,142,191,61,143
Ovar,2134,834,411,1300,615,161,223,485,502,246,517
Sever do Vouga,232,106,56,126,63,6,21,48,65,24,68
Vagos,611,235,128,376,208,44,79,170,151,54,113
Região de Coimbra,12129,5336,2531,6793,3143,601,1200,2846,3222,1239,3021
Arganil,238,91,32,147,57,14,18,45,47,23,91
Cantanhede,946,403,160,543,271,63,97,241,211,74,260
Coimbra,3866,1699,835,2167,958,151,404,983,1086,416,826
Condeixa-a-Nova,466,175,78,291,143,24,35,113,143,41,110
Figueira da Foz,2089,1015,497,1074,500,108,200,457,591,190,543
Góis,85,40,18,45,23,…,…,16,24,…,21
Lousã,460,188,80,272,132,28,54,101,129,56,92
Mealhada,575,250,128,325,168,27,64,125,139,73,147
Mira,389,173,75,216,99,11,31,109,111,35,92
Miranda do Corvo,288,117,58,171,69,14,24,52,97,36,65
Montemor-o-Velho,785,336,151,449,208,33,68,211,186,79,208
Mortágua,174,74,33,100,58,8,14,43,42,10,57
Oliveira do Hospital,495,230,114,265,130,44,48,88,132,53,130
Pampilhosa da Serra,43,24,10,19,8,…,…,10,10,…,14
Penacova,303,121,65,182,74,16,39,59,69,37,83
Penela,68,36,15,32,14,…,…,19,20,…,15
Soure,398,168,87,230,97,18,37,79,90,43,131
Tábua,274,118,58,156,80,22,23,54,63,36,76
Vila Nova de Poiares,187,78,37,109,54,11,24,41,32,19,60
Região de Leiria,7362,2713,1438,4649,2351,424,841,1744,1939,818,1596
Alvaiázere,88,38,20,50,25,8,9,16,26,8,21
Ansião,268,106,37,162,75,15,25,55,62,34,77
Batalha,416,146,78,270,144,24,44,92,110,40,106
Castanheira de Pêra,43,20,13,23,10,4,8,5,8,7,11
Figueiró dos Vinhos,103,53,28,50,29,4,13,26,22,14,24
Leiria,3326,1196,652,2130,1046,156,414,858,878,359,661
Marinha Grande,1474,540,321,934,527,123,157,342,435,166,251
Pedrógão Grande,65,29,13,36,17,3,3,12,14,8,25
Pombal,960,359,158,601,279,56,107,210,223,101,263
Porto de Mós,619,226,118,393,199,31,61,128,161,81,157
Viseu Dão Lafões,7428,3142,1548,4286,2190,425,767,1701,1765,739,2031
Aguiar da Beira,129,64,21,65,32,6,17,23,20,18,45
Carregal do Sal,220,78,41,142,83,16,22,55,52,19,56
Castro Daire,462,211,104,251,116,26,38,92,91,42,173
Mangualde,516,231,95,285,137,34,39,93,106,71,173
Nelas,476,197,101,279,155,25,32,125,132,43,119
Oliveira de Frades,382,157,87,225,139,18,39,86,90,44,105
Penalva do Castelo,179,84,42,95,40,7,13,47,38,17,57
Santa Comba Dão,235,102,49,133,76,10,23,58,56,21,67
São Pedro do Sul,612,224,127,388,186,52,63,124,133,52,188
Sátão,324,124,46,200,96,13,41,65,82,28,95
Tondela,607,236,151,371,205,38,76,135,135,72,151
Vila Nova de Paiva,189,100,40,89,44,19,25,40,44,13,48
Viseu,2763,1191,562,1572,767,135,303,698,717,256,654
Vouzela,334,143,82,191,114,26,36,60,69,43,100
Beira Baixa,2177,928,409,1249,594,71,230,571,527,210,568
Castelo Branco,1622,697,322,925,456,59,201,454,398,146,364
Idanha-a-Nova,189,82,30,107,40,…,…,31,52,24,72
Oleiros,52,20,8,32,15,0,4,15,10,5,18
Penamacor,106,41,17,65,24,6,10,18,25,12,35
Proença-a-Nova,143,58,23,85,37,…,…,32,28,18,58
Vila Velha de Ródão,65,30,9,35,22,…,…,21,14,5,21
Médio Tejo,6148,2624,1254,3524,1705,326,707,1493,1553,678,1391
Abrantes,1505,727,319,778,354,82,181,347,376,166,353
Alcanena,386,166,70,220,97,22,39,89,79,42,115
Constância,131,50,26,81,38,7,14,43,36,10,21
Entroncamento,521,190,97,331,187,25,65,155,152,43,81
Ferreira do Zêzere,124,50,25,74,44,6,12,35,29,14,28
Mação,138,91,43,47,19,9,19,30,32,18,30
Ourém,1009,345,189,664,338,59,117,235,274,105,219
Sardoal,97,41,18,56,23,4,15,18,21,14,25
Sertã,281,116,62,165,75,14,25,53,75,39,75
Tomar,799,368,171,431,199,40,82,178,199,102,198
Torres Novas,954,383,181,571,276,43,103,254,242,102,210
Vila de Rei,55,22,10,33,18,3,6,19,8,7,12
Vila Nova da Barquinha,148,75,43,73,37,12,29,37,30,16,24
Beiras e Serra da Estrela,5304,2236,1016,3068,1413,210,499,1227,1238,582,1548
Almeida,99,40,11,59,19,…,…,26,14,12,39
Belmonte,202,95,46,107,52,8,9,41,49,25,70
Celorico da Beira,152,77,35,75,35,4,16,40,41,19,32
Covilhã,1398,569,241,829,362,49,135,325,308,136,445
Figueira de Castelo Rodrigo,105,47,16,58,25,3,10,25,24,12,31
Fornos de Algodres,93,31,14,62,27,13,12,24,19,9,16
Fundão,715,299,142,416,202,36,67,151,148,72,241
Gouveia,274,114,51,160,75,16,24,46,84,29,75
Guarda,1165,497,252,668,314,25,120,313,304,135,268
Manteigas,96,43,14,53,24,…,…,21,24,9,31
Mêda,44,19,9,25,10,…,…,12,11,5,9
Pinhel,134,36,15,98,52,8,15,36,26,12,37
Sabugal,177,67,35,110,51,10,18,37,28,24,60
Seia,534,258,113,276,131,31,40,97,128,71,167
Trancoso,116,44,22,72,34,3,11,33,30,12,27
A. M. Lisboa,87076,38249,18166,48827,21419,4496,9315,20778,22805,9386,20296
Alcochete,548,250,107,298,139,33,54,116,177,58,110
Almada,5481,2381,1082,3100,1309,262,583,1330,1449,580,1277
Amadora,5117,2199,1105,2918,1326,293,603,1324,1175,495,1227
Barreiro,2880,1349,617,1531,688,162,324,686,767,278,663
Cascais,5837,2482,1084,3355,1448,243,508,1221,1631,704,1530
Lisboa,13939,6474,3004,7465,3228,524,1399,3601,3608,1550,3257
Loures,6243,2693,1300,3550,1479,360,692,1486,1520,632,1553
Mafra,2051,827,370,1224,559,71,172,490,644,248,426
Moita,2764,1323,642,1441,691,199,336,681,693,267,588
Montijo,1948,853,421,1095,499,138,219,499,531,192,369
Odivelas,4152,1798,865,2354,1008,222,442,1086,1063,414,925
Oeiras,4441,1906,858,2535,1066,140,377,959,1319,517,1129
Palmela,2434,990,495,1444,640,128,251,518,684,248,605
Seixal,5526,2430,1154,3096,1352,311,655,1303,1416,578,1263
Sesimbra,1726,725,345,1001,457,95,176,451,462,186,356
Setúbal,4921,2359,1180,2562,1150,296,563,1142,1288,496,1136
Sintra,12002,4996,2436,7006,3144,711,1396,2681,3077,1416,2721
Vila Franca de Xira,5066,2214,1101,2852,1236,308,565,1204,1301,527,1161
Alentejo,25798,11230,5683,14568,6890,1438,2813,6160,6398,2858,6131
Alentejo Litoral,4166,2101,1166,2065,977,215,456,1053,1040,420,982
Alcácer do Sal,330,122,52,208,104,15,36,75,78,37,89
Grândola,376,169,82,207,108,23,46,95,83,29,100
Odemira,1500,740,462,760,348,96,190,415,357,145,297
Santiago do Cacém,1112,563,297,549,259,41,102,277,273,104,315
Sines,848,507,273,341,158,40,82,191,249,105,181
Baixo Alentejo,4045,1784,855,2261,1044,221,470,958,985,450,961
Aljustrel,299,113,50,186,74,22,32,76,58,29,82
Almodôvar,199,65,34,134,56,12,18,42,47,23,57
Alvito,57,16,11,41,16,3,5,16,11,10,12
Barrancos,75,31,17,44,16,6,5,22,18,12,12
Beja,922,438,211,484,227,44,117,244,247,77,193
Castro Verde,202,96,61,106,50,9,27,48,44,21,53
Cuba,117,46,20,71,27,7,11,27,25,18,29
Ferreira do Alentejo,380,146,75,234,116,19,40,89,87,46,99
Mértola,146,65,22,81,32,5,15,22,30,23,51
Moura,634,304,152,330,173,37,63,174,152,66,142
Ourique,174,72,30,102,45,12,19,33,49,18,43
Serpa,620,285,119,335,162,27,90,127,153,89,134
Vidigueira,220,107,53,113,50,18,28,38,64,18,54
Lezíria do Tejo,8844,3655,1800,5189,2430,509,903,2009,2235,1048,2140
Almeirim,994,355,186,639,295,51,103,225,279,116,220
Alpiarça,284,106,53,178,80,16,29,59,62,40,78
Azambuja,791,363,177,428,195,54,86,176,193,99,183
Benavente,1345,588,322,757,344,113,164,312,340,130,286
Cartaxo,835,377,185,458,208,45,83,193,206,99,209
Chamusca,349,142,69,207,97,19,24,86,69,39,112
Coruche,752,276,139,476,224,28,52,138,159,104,271
Golegã,138,52,24,86,46,7,13,32,39,16,31
Rio Maior,544,194,100,350,174,23,53,136,148,67,117
Salvaterra de Magos,1133,445,173,688,301,75,95,224,276,151,312
Santarém,1679,757,372,922,466,78,201,428,464,187,321
Alto Alentejo,3950,1735,845,2215,1031,236,452,939,940,413,970
Alter do Chão,117,48,14,69,21,8,13,21,29,19,27
Arronches,59,33,16,26,17,…,6,20,7,…,20
Avis,157,57,23,100,40,11,19,23,40,22,42
Campo Maior,357,181,96,176,93,39,45,82,70,38,83
Castelo de Vide,92,45,28,47,13,6,10,25,15,14,22
Crato,106,46,23,60,20,5,13,17,28,13,30
Elvas,865,397,205,468,231,41,108,231,218,84,183
Fronteira,120,41,15,79,35,4,12,31,35,10,28
Gavião,94,54,28,40,22,…,11,17,19,…,36
Marvão,77,33,17,44,22,4,9,13,19,8,24
Monforte,109,54,22,55,25,5,16,25,25,10,28
Nisa,146,71,32,75,31,6,19,27,32,22,40
Ponte de Sor,688,284,138,404,195,43,71,136,177,72,189
Portalegre,762,326,152,436,199,47,84,218,176,76,161
Sousel,201,65,36,136,67,9,16,53,50,16,57
Alentejo Central,4793,1955,1017,2838,1408,257,532,1201,1198,527,1078
Alandroal,216,67,41,149,77,15,15,59,42,32,53
Arraiolos,159,74,24,85,38,3,16,44,34,21,41
Borba,250,91,50,159,89,11,13,52,71,35,68
Estremoz,344,128,68,216,96,16,38,88,95,42,65
Évora,1518,646,334,872,477,87,198,410,383,145,295
Montemor-o-Novo,392,161,101,231,113,19,49,96,93,37,98
Mora,122,41,17,81,35,7,11,26,35,10,33
Mourão,120,48,29,72,35,11,12,25,36,13,23
Portel,271,104,48,167,67,13,23,67,67,30,71
Redondo,303,111,60,192,92,12,29,70,77,28,87
Reguengos de Monsaraz,373,168,69,205,102,23,41,81,86,49,93
Vendas Novas,315,151,94,164,74,21,49,79,81,27,58
Viana do Alentejo,159,71,38,88,38,6,15,41,41,20,36
Vila Viçosa,251,94,44,157,75,13,23,63,57,38,57
Algarve,26151,10811,5623,15340,7591,2030,3389,6748,6287,2658,5039
Albufeira,5453,2429,1312,3024,1544,433,806,1488,1260,541,925
Alcoutim,35,21,10,14,7,4,…,14,8,…,5
Aljezur,197,84,34,113,61,18,…,59,39,…,37
Castro Marim,248,111,55,137,56,11,28,43,65,27,74
Faro,2346,1019,526,1327,678,160,309,661,595,210,411
Lagoa,1540,621,322,919,442,153,166,367,354,196,304
Lagos,1835,718,364,1117,546,138,204,453,453,204,383
Loulé,3659,1502,760,2157,1095,308,473,960,845,378,695
Monchique,181,70,27,111,48,16,12,37,39,21,56
Olhão,1582,608,338,974,473,109,211,418,384,157,303
Portimão,4293,1746,924,2547,1260,335,536,1056,1056,442,868
São Brás de Alportel,275,116,59,159,82,16,31,73,85,22,48
Silves,2202,887,445,1315,657,199,297,546,527,217,416
Tavira,959,352,164,607,261,54,109,241,244,84,227
Vila do Bispo,321,137,70,184,94,30,49,76,74,36,56
Vila Real de Santo António,1025,390,213,635,287,46,127,256,259,106,231
R. A. Açores,10760,5523,1961,5237,1986,717,1526,2822,2661,1221,1813
Santa Maria,307,144,52,163,69,20,48,87,81,31,40
Vila do Porto,307,144,52,163,69,20,48,87,81,31,40
São Miguel,6305,3354,1176,2951,1135,423,862,1650,1627,706,1037
Lagoa (R.A.A.),672,375,126,297,113,38,95,170,175,83,111
Nordeste,410,217,58,193,47,16,40,82,122,58,92
Ponta Delgada,2573,1364,508,1209,495,170,354,704,651,281,413
Povoação,575,295,61,280,90,29,73,133,142,95,103
Ribeira Grande,1527,853,326,674,234,128,220,414,394,126,245
Vila Franca do Campo,548,250,97,298,156,42,80,147,143,63,73
Terceira,1944,996,330,948,374,132,310,526,411,212,353
Angra do Heroísmo,1256,657,234,599,229,85,195,355,262,131,228
Vila da Praia da Vitória,688,339,96,349,145,47,115,171,149,81,125
Graciosa,240,112,41,128,52,13,38,52,58,33,46
Santa Cruz da Graciosa,240,112,41,128,52,13,38,52,58,33,46
São Jorge,320,149,54,171,60,17,33,79,73,42,76
Calheta (R.A.A.),105,45,17,60,19,4,11,27,25,7,31
Velas,215,104,37,111,41,13,22,52,48,35,45
Pico,810,320,120,490,133,45,115,213,215,102,120
Lajes do Pico,256,107,41,149,50,18,31,59,68,41,39
Madalena,362,129,50,233,61,17,44,103,100,44,54
São Roque do Pico,192,84,29,108,22,10,40,51,47,17,27
Faial,602,335,147,267,109,52,86,167,136,70,91
Horta,602,335,147,267,109,52,86,167,136,70,91
Flores,218,103,38,115,…,…,…,43,57,…,…
Lajes das Flores,105,41,16,64,29,7,12,20,27,15,24
Santa Cruz das Flores,113,62,22,51,…,…,…,23,30,…,…
Corvo,14,10,3,4,…,…,…,5,3,…,…
Corvo,14,10,3,4,…,…,…,5,3,…,…
R. A. Madeira,9652,4586,1883,5066,2147,533,1064,2249,2271,1259,2276
Calheta (R.A.M.),293,147,47,146,60,10,29,69,76,44,65
Câmara de Lobos,1323,666,285,657,284,100,184,321,313,138,267
Funchal,4027,1857,773,2170,937,214,420,952,875,541,1025
Machico,987,549,228,438,170,45,102,199,236,148,257
Ponta do Sol,235,100,45,135,51,13,32,44,53,42,51
Porto Moniz,78,50,19,28,11,…,…,10,15,15,26
Ribeira Brava,421,195,65,226,92,31,44,82,115,58,91
Santa Cruz,1487,658,279,829,368,81,162,380,396,172,296
Santana,215,99,38,116,43,11,22,44,46,32,60
São Vicente,138,70,20,68,27,…,…,37,28,10,48
Porto Santo,448,195,84,253,104,21,49,111,118,59,90
