,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Celorico de Basto,555,274,281,152,38,150,215,685
Cinfães,849,387,462,265,110,225,249,1086
Felgueiras,891,402,489,312,128,215,236,1084
Lousada,948,455,493,364,122,241,221,1045
Marco de Canaveses,2175,883,1292,828,271,594,482,2637
Paços de Ferreira,1643,798,845,617,228,367,431,1721
Penafiel,2296,1018,1278,862,308,564,562,2543
Resende,656,327,329,236,114,171,135,611
Douro,7250,3681,3569,2525,1174,1817,1734,8539
Alijó,436,244,192,125,73,121,117,496
Armamar,141,66,75,52,24,27,38,158
Carrazeda de Ansiães,146,86,60,68,30,32,16,144
Freixo de Espada à Cinta,155,81,74,70,36,38,11,185
Lamego,821,401,420,273,127,218,203,995
Mesão Frio,189,84,105,51,21,51,66,220
Moimenta da Beira,543,277,266,233,96,101,113,641
Murça,412,216,196,127,63,114,108,401
Penedono,58,32,26,20,9,13,16,62
Peso da Régua,1033,512,521,382,174,258,219,1181
Sabrosa,229,120,109,63,36,66,64,238
Santa Marta de Penaguião,391,197,194,127,58,115,91,478
São João da Pesqueira,167,83,84,58,30,33,46,173
Sernancelhe,159,76,83,61,22,43,33,194
Tabuaço,255,127,128,99,47,50,59,302
Tarouca,244,126,118,72,26,67,79,300
Torre de Moncorvo,148,87,61,53,18,36,41,159
Vila Nova de Foz Côa,103,54,49,31,17,27,28,103
Vila Real,1620,812,808,560,267,407,386,2108
Terras de Trás-os-Montes,2611,1365,1246,1016,479,619,497,3045
Alfândega da Fé,175,88,87,67,37,44,27,192
Bragança,537,273,264,218,106,135,78,658
Macedo de Cavaleiros,438,220,218,202,86,78,72,468
Miranda do Douro,123,72,51,47,23,34,19,136
Mirandela,557,288,269,197,104,131,125,647
Mogadouro,210,108,102,84,29,53,44,263
Vila Flor,246,131,115,86,41,63,56,286
Vimioso,80,49,31,24,15,16,25,90
Vinhais,245,136,109,91,38,65,51,306
Centro,39153,19622,19531,14875,6112,9064,9102,46597
Oeste,3874,1841,2033,1589,591,867,827,4368
Alcobaça,458,227,231,203,89,77,89,536
Alenquer,579,256,323,249,100,118,112,664
Arruda dos Vinhos,144,58,86,69,29,23,23,152
Bombarral,102,43,59,36,10,21,35,119
Cadaval,130,69,61,45,25,30,30,156
Caldas da Rainha,401,190,211,135,60,106,100,453
Lourinhã,462,207,255,194,68,104,96,506
Nazaré,92,48,44,43,17,20,12,71
Óbidos,70,35,35,26,9,15,20,79
Peniche,303,163,140,147,52,53,51,314
Sobral de Monte Agraço,94,51,43,34,11,31,18,110
Torres Vedras,1039,494,545,408,121,269,241,1210
Região de Aveiro,6647,3339,3308,2727,1015,1436,1469,8636
Águeda,631,329,302,277,109,121,124,825
Albergaria-a-Velha,449,229,220,181,65,108,95,621
Anadia,250,140,110,65,32,51,102,354
Aveiro,1413,679,734,559,231,307,316,1805
Estarreja,826,416,410,396,157,145,128,1131
Ílhavo,796,403,393,354,117,168,157,995
Murtosa,82,44,38,16,9,26,31,103
Oliveira do Bairro,445,204,241,191,58,89,107,557
Ovar,1359,692,667,557,190,333,279,1721
Sever do Vouga,114,64,50,24,10,28,52,158
Vagos,282,139,143,107,37,60,78,366
Região de Coimbra,7952,4086,3866,2526,1220,2155,2051,9890
Arganil,154,90,64,28,12,44,70,199
Cantanhede,496,246,250,133,78,123,162,595
Coimbra,3163,1652,1511,997,555,915,696,4174
Condeixa-a-Nova,168,80,88,71,21,45,31,151
Figueira da Foz,1433,696,737,521,216,347,349,1726
Góis,80,45,35,…,…,19,32,73
Lousã,454,239,215,165,75,108,106,545
Mealhada,143,79,64,33,16,46,48,205
Mira,160,75,85,51,27,40,42,185
Miranda do Corvo,213,108,105,76,37,51,49,253
Montemor-o-Velho,300,152,148,110,47,73,70,323
Mortágua,79,43,36,…,…,29,31,93
Oliveira do Hospital,258,140,118,62,30,78,88,345
Pampilhosa da Serra,71,46,25,11,11,22,27,79
Penacova,135,75,60,25,17,29,64,183
Penela,58,27,31,21,4,13,20,76
Soure,191,93,98,55,19,54,63,267
Tábua,191,105,86,49,16,56,70,246
Vila Nova de Poiares,205,95,110,80,29,63,33,174
Região de Leiria,3710,1790,1920,1440,522,896,852,4333
Alvaiázere,140,63,77,46,15,42,37,158
Ansião,251,124,127,87,30,74,60,246
Batalha,89,40,49,33,6,26,24,116
Castanheira de Pêra,94,50,44,29,19,24,22,76
Figueiró dos Vinhos,162,80,82,59,28,39,36,169
Leiria,1248,598,650,489,178,293,288,1482
Marinha Grande,653,323,330,280,99,154,120,781
Pedrógão Grande,95,45,50,24,15,25,31,117
Pombal,730,356,374,288,108,169,165,903
Porto de Mós,248,111,137,105,24,50,69,286
Viseu Dão Lafões,5290,2623,2667,1868,806,1162,1454,6259
Aguiar da Beira,81,49,32,21,12,18,30,90
Carregal do Sal,156,82,74,37,23,30,66,173
Castro Daire,397,212,185,109,36,121,131,381
Mangualde,479,237,242,182,77,100,120,557
Nelas,266,139,127,100,39,59,68,335
Oliveira de Frades,37,12,25,9,3,8,17,35
Penalva do Castelo,188,94,94,58,25,44,61,189
Santa Comba Dão,165,80,85,46,18,30,71,206
São Pedro do Sul,146,74,72,34,10,33,69,128
Sátão,287,135,152,113,49,54,71,344
Tondela,318,168,150,79,36,74,129,362
Vila Nova de Paiva,109,58,51,34,17,27,31,125
Viseu,2628,1267,1361,1037,458,556,577,3291
Vouzela,33,16,17,9,3,8,13,43
Beira Baixa,1903,978,925,803,332,388,380,2095
Castelo Branco,1259,625,634,537,230,253,239,1394
Idanha-a-Nova,363,189,174,166,67,72,58,378
Oleiros,69,39,30,19,9,14,27,71
Penamacor,101,71,30,38,13,23,27,117
Proença-a-Nova,59,31,28,18,4,20,17,75
Vila Velha de Ródão,52,23,29,25,9,6,12,60
Médio Tejo,3796,1892,1904,1527,607,839,823,4138
Abrantes,1003,509,494,411,164,232,196,1034
Alcanena,99,42,57,40,22,22,15,95
Constância,95,39,56,38,11,29,17,113
Entroncamento,474,223,251,240,93,91,50,517
Ferreira do Zêzere,102,50,52,39,16,21,26,117
Mação,96,61,35,20,15,21,40,110
Ourém,250,125,125,75,34,61,80,269
Sardoal,111,65,46,44,14,30,23,90
Sertã,209,118,91,56,24,45,84,238
Tomar,744,355,389,297,113,163,171,906
Torres Novas,393,196,197,160,64,92,77,433
Vila de Rei,42,20,22,16,6,11,9,35
Vila Nova da Barquinha,178,89,89,91,31,21,35,180
Beiras e Serra da Estrela,5981,3073,2908,2395,1019,1321,1246,6879
Almeida,123,69,54,35,26,21,41,168
Belmonte,202,101,101,81,36,51,34,242
Celorico da Beira,172,84,88,62,38,23,49,205
Covilhã,1404,731,673,532,255,329,288,1605
Figueira de Castelo Rodrigo,282,154,128,142,58,48,34,332
Fornos de Algodres,87,46,41,28,9,26,24,88
Fundão,864,446,418,331,129,199,205,1050
Gouveia,422,214,208,185,61,102,74,447
Guarda,1095,554,541,479,200,219,197,1260
Manteigas,46,25,21,11,5,13,17,47
Mêda,64,31,33,19,9,9,27,58
Pinhel,146,76,70,56,13,41,36,148
Sabugal,315,172,143,141,59,65,50,354
Seia,637,307,330,253,101,147,136,746
Trancoso,122,63,59,40,20,28,34,129
A. M. Lisboa,69866,32916,36950,31017,10951,14783,13115,84411
Alcochete,368,187,181,151,57,87,73,434
Almada,6303,2916,3387,2853,961,1350,1139,7717
Amadora,4690,2120,2570,2254,754,916,766,5154
Barreiro,2965,1402,1563,1343,507,606,509,3761
Cascais,3369,1593,1776,1272,450,769,878,4212
Lisboa,19200,9678,9522,8126,3149,4307,3618,24453
Loures,4809,2248,2561,2279,752,912,866,5701
Mafra,762,358,404,309,84,192,177,911
Moita,3233,1414,1819,1565,519,624,525,4049
Montijo,1832,867,965,855,320,368,289,2309
Odivelas,2982,1373,1609,1290,453,611,628,3574
Oeiras,1717,787,930,690,245,369,413,1933
Palmela,777,367,410,294,107,187,189,869
Seixal,4177,1886,2291,1894,689,872,722,5035
Sesimbra,1201,503,698,557,168,261,215,1471
Setúbal,3294,1563,1731,1516,511,690,577,3867
Sintra,5901,2628,3273,2680,851,1230,1140,6393
Vila Franca de Xira,2286,1026,1260,1089,374,432,391,2568
Alentejo,19492,9682,9810,9579,3336,3928,2649,22147
Alentejo Litoral,1448,682,766,554,223,326,345,1732
Alcácer do Sal,186,94,92,71,28,42,45,211
Grândola,276,139,137,84,45,69,78,341
Odemira,304,156,148,100,41,74,89,356
Santiago do Cacém,318,137,181,119,41,75,83,403
Sines,364,156,208,180,68,66,50,421
Baixo Alentejo,5461,2757,2704,3048,922,930,561,6507
Aljustrel,335,176,159,186,49,63,37,434
Almodôvar,131,62,69,54,16,37,24,146
Alvito,87,52,35,47,19,15,6,102
Barrancos,80,40,40,32,15,26,7,75
Beja,1525,779,746,882,282,242,119,1753
Castro Verde,134,67,67,62,23,30,19,172
Cuba,224,113,111,119,39,49,17,236
Ferreira do Alentejo,212,107,105,99,47,38,28,254
Mértola,155,81,74,69,18,34,34,202
Moura,1413,694,719,869,227,191,126,1726
Ourique,105,50,55,42,18,24,21,95
Serpa,700,352,348,383,112,128,77,832
Vidigueira,360,184,176,204,57,53,46,479
Lezíria do Tejo,4622,2293,2329,2136,746,1003,737,5094
Almeirim,373,174,199,180,65,73,55,312
Alpiarça,104,58,46,43,19,28,14,63
Azambuja,430,199,231,197,73,81,79,533
Benavente,719,335,384,372,115,142,90,765
Cartaxo,231,114,117,93,34,52,52,220
Chamusca,155,77,78,66,32,21,36,155
Coruche,551,281,270,303,107,92,49,604
Golegã,77,41,36,27,9,24,17,83
Rio Maior,312,151,161,131,33,84,64,340
Salvaterra de Magos,371,184,187,150,56,97,68,402
Santarém,1299,679,620,574,203,309,213,1617
Alto Alentejo,4042,1992,2050,1936,743,832,531,4573
Alter do Chão,123,53,70,55,23,27,18,147
Arronches,46,20,26,18,6,12,10,40
Avis,222,108,114,112,42,47,21,295
Campo Maior,361,191,170,198,72,52,39,436
Castelo de Vide,34,19,15,10,4,11,9,40
Crato,118,57,61,53,18,32,15,122
Elvas,1502,735,767,753,281,281,187,1692
Fronteira,51,24,27,15,11,13,12,52
Gavião,94,49,45,39,17,27,11,101
Marvão,59,35,24,25,9,17,8,47
Monforte,350,174,176,200,82,47,21,386
Nisa,164,83,81,71,25,41,27,204
Ponte de Sor,358,175,183,150,57,86,65,392
Portalegre,394,190,204,158,67,104,65,430
Sousel,166,79,87,79,29,35,23,190
Alentejo Central,3919,1958,1961,1905,702,837,475,4241
Alandroal,76,32,44,27,16,20,13,62
Arraiolos,78,39,39,28,9,27,14,82
Borba,270,133,137,135,44,59,32,332
Estremoz,466,225,241,229,83,101,53,589
Évora,1155,591,564,529,195,267,164,1212
Montemor-o-Novo,223,119,104,94,41,56,32,221
Mora,46,27,19,18,9,9,10,45
Mourão,312,158,154,184,58,49,21,345
Portel,128,73,55,67,24,23,14,128
Redondo,169,74,95,81,30,32,26,161
Reguengos de Monsaraz,468,226,242,241,94,88,45,561
Vendas Novas,178,92,86,98,35,31,14,168
Viana do Alentejo,134,68,66,75,19,27,13,131
Vila Viçosa,216,101,115,99,45,48,24,204
Algarve,7501,3885,3616,3319,1257,1519,1406,8962
Albufeira,484,247,237,231,87,86,80,534
Alcoutim,32,18,14,…,…,8,13,46
Aljezur,76,39,37,18,10,13,35,104
Castro Marim,148,80,68,82,25,22,19,158
Faro,1355,658,697,692,248,229,186,1619
Lagoa,466,244,222,213,86,77,90,587
Lagos,375,194,181,145,42,111,77,416
Loulé,1033,549,484,428,195,201,209,1316
Monchique,84,55,29,13,6,24,41,130
Olhão,783,407,376,353,127,151,152,850
Portimão,1518,783,735,691,235,352,240,1924
São Brás de Alportel,168,93,75,55,25,50,38,218
Silves,323,169,154,141,48,62,72,335
Tavira,197,101,96,62,27,44,64,226
Vila do Bispo,27,16,11,…,…,11,9,39
Vila Real de Santo António,432,232,200,183,90,78,81,462
R. A. Açores,20912,10607,10305,10080,4602,4177,2053,20462
Santa Maria,247,122,125,115,65,42,25,205
Vila do Porto,247,122,125,115,65,42,25,205
São Miguel,16125,8276,7849,7867,3554,3234,1470,15762
Lagoa (R.A.A.),1644,807,837,804,343,347,150,1434
Nordeste,545,273,272,261,121,117,46,381
Ponta Delgada,6504,3377,3127,3038,1398,1392,676,7199
Povoação,753,382,371,327,175,163,88,665
Ribeira Grande,5769,2976,2793,3014,1328,1023,404,5322
Vila Franca do Campo,910,461,449,423,189,192,106,762
Terceira,3262,1559,1703,1514,722,630,396,3347
Angra do Heroísmo,1880,905,975,887,404,380,209,1787
Vila da Praia da Vitória,1382,654,728,627,318,250,187,1559
Graciosa,260,136,124,140,57,47,16,187
Santa Cruz da Graciosa,260,136,124,140,57,47,16,187
São Jorge,258,136,122,94,50,61,53,229
Calheta (R.A.A.),91,46,45,35,16,18,22,91
Velas,167,90,77,59,34,43,31,138
Pico,291,134,157,141,67,55,28,266
Lajes do Pico,88,43,45,40,20,21,7,67
Madalena,135,65,70,69,33,25,8,122
São Roque do Pico,68,26,42,32,14,9,13,77
Faial,372,195,177,160,68,93,51,391
Horta,372,195,177,160,68,93,51,391
Flores,92,…,…,…,19,…,14,73
Lajes das Flores,28,…,…,…,3,…,4,26
Santa Cruz das Flores,64,36,28,30,16,8,10,47
Corvo,5,…,…,…,0,…,0,1
Corvo,5,…,…,…,0,…,0,1
R. A. Madeira,6894,3345,3549,2502,1015,1750,1627,8093
Calheta (R.A.M.),361,168,193,120,56,78,107,458
Câmara de Lobos,842,422,420,347,121,213,161,945
Funchal,3377,1619,1758,1235,524,890,728,4045
Machico,507,254,253,188,55,138,126,569
Ponta do Sol,200,88,112,53,27,36,84,253
Porto Moniz,19,12,7,…,…,5,9,28
Ribeira Brava,266,135,131,76,37,68,85,310
Santa Cruz,904,430,474,346,137,224,197,964
Santana,297,157,140,106,42,74,75,360
São Vicente,90,42,48,21,11,15,43,117
Porto Santo,31,18,13,…,…,9,12,44
