,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Terras de Trás-os-Montes,14490,7220,7270,472,311,161,3494,2668,826,10524,4241,6283
Alfândega da Fé,359,191,168,31,…,…,74,…,…,254,106,148
Bragança,5871,2971,2900,47,39,8,1661,1260,401,4163,1672,2491
Macedo de Cavaleiros,1615,833,782,91,64,27,327,254,73,1197,515,682
Miranda do Douro,932,453,479,28,18,10,236,187,49,668,248,420
Mirandela,3031,1449,1582,91,63,28,603,429,174,2337,957,1380
Mogadouro,975,506,469,36,25,11,188,157,31,751,324,427
Vila Flor,706,339,367,130,61,69,138,110,28,438,168,270
Vimioso,437,193,244,13,…,…,112,…,…,312,89,223
Vinhais,564,285,279,5,…,…,155,…,…,404,162,242
Centro,457805,250414,207391,11677,7913,3764,180993,124522,56471,265135,117979,147156
Oeste,70882,38193,32689,4038,2740,1298,23132,15799,7333,43712,19654,24058
Alcobaça,12646,6694,5952,527,327,200,6058,4018,2040,6061,2349,3712
Alenquer,9445,5927,3518,364,235,129,4109,2880,1229,4972,2812,2160
Arruda dos Vinhos,2746,1703,1043,68,47,21,608,455,153,2070,1201,869
Bombarral,1947,1036,911,286,155,131,414,328,86,1247,553,694
Cadaval,1949,1003,946,172,131,41,538,396,142,1239,476,763
Caldas da Rainha,10973,5125,5848,282,197,85,2428,1645,783,8263,3283,4980
Lourinhã,3805,2068,1737,476,356,120,1071,848,223,2258,864,1394
Nazaré,2471,1127,1344,96,67,29,737,404,333,1638,656,982
Óbidos,2708,1451,1257,133,92,41,657,442,215,1918,917,1001
Peniche,4272,2107,2165,388,316,72,1209,675,534,2675,1116,1559
Sobral de Monte Agraço,1386,817,569,57,39,18,479,318,161,850,460,390
Torres Vedras,16534,9135,7399,1189,778,411,4824,3390,1434,10521,4967,5554
Região de Aveiro,90446,51300,39146,839,571,268,47197,30797,16400,42410,19932,22478
Águeda,13199,7302,5897,77,57,20,8390,5276,3114,4732,1969,2763
Albergaria-a-Velha,6457,3996,2461,106,72,34,3792,2656,1136,2559,1268,1291
Anadia,5584,2994,2590,154,102,52,3118,2060,1058,2312,832,1480
Aveiro,25597,14707,10890,92,59,33,9116,6551,2565,16389,8097,8292
Estarreja,5840,3907,1933,51,31,20,3012,2242,770,2777,1634,1143
Ílhavo,6397,3291,3106,162,130,32,3370,1911,1459,2865,1250,1615
Murtosa,1290,652,638,56,41,15,684,390,294,550,221,329
Oliveira do Bairro,5424,2953,2471,15,10,5,3073,1967,1106,2336,976,1360
Ovar,13723,7560,6163,56,32,24,8346,4861,3485,5321,2667,2654
Sever do Vouga,2108,1278,830,34,19,15,1272,950,322,802,309,493
Vagos,4827,2660,2167,36,18,18,3024,1933,1091,1767,709,1058
Região de Coimbra,80967,42859,38108,1823,1284,539,26626,18007,8619,52518,23568,28950
Arganil,1894,900,994,48,35,13,805,448,357,1041,417,624
Cantanhede,6876,3724,3152,136,90,46,3237,2274,963,3503,1360,2143
Coimbra,28870,14928,13942,184,117,67,5435,3739,1696,23251,11072,12179
Condeixa-a-Nova,2118,1025,1093,21,14,7,639,416,223,1458,595,863
Figueira da Foz,12626,7231,5395,298,238,60,5241,3902,1339,7087,3091,3996
Góis,489,185,304,27,22,5,111,71,40,351,92,259
Lousã,2357,1273,1084,68,49,19,1100,709,391,1189,515,674
Mealhada,4338,2712,1626,65,30,35,1180,908,272,3093,1774,1319
Mira,1809,868,941,143,99,44,702,390,312,964,379,585
Miranda do Corvo,1076,487,589,67,44,23,232,161,71,777,282,495
Montemor-o-Velho,2761,1424,1337,195,106,89,820,598,222,1746,720,1026
Mortágua,2278,1289,989,196,171,25,1110,654,456,972,464,508
Oliveira do Hospital,4036,2021,2015,56,37,19,1960,1191,769,2020,793,1227
Pampilhosa da Serra,518,184,334,22,…,…,83,…,…,413,94,319
Penacova,1715,1090,625,33,29,4,624,533,91,1058,528,530
Penela,1300,765,535,53,48,5,518,395,123,729,322,407
Soure,1905,812,1093,131,83,48,602,385,217,1172,344,828
Tábua,2648,1261,1387,66,43,23,1664,867,797,918,351,567
Vila Nova de Poiares,1353,680,673,14,…,…,563,…,…,776,375,401
Região de Leiria,72641,41981,30660,1128,667,461,33434,23896,9538,38079,17418,20661
Alvaiázere,1057,658,399,32,…,…,277,…,…,748,409,339
Ansião,2223,1200,1023,37,22,15,858,559,299,1328,619,709
Batalha,4611,2754,1857,63,29,34,2432,1688,744,2116,1037,1079
Castanheira de Pêra,341,148,193,14,…,…,135,…,…,192,57,135
Figueiró dos Vinhos,586,293,293,41,35,6,141,106,35,404,152,252
Leiria,35910,20302,15608,574,325,249,14107,10311,3796,21229,9666,11563
Marinha Grande,10921,6822,4099,18,15,3,7261,5267,1994,3642,1540,2102
Pedrógão Grande,462,236,226,34,29,5,116,93,23,312,114,198
Pombal,11838,6803,5035,254,140,114,5370,3738,1632,6214,2925,3289
Porto de Mós,4692,2765,1927,61,41,20,2737,1825,912,1894,899,995
Viseu Dão Lafões,50041,27678,22363,994,591,403,20709,14318,6391,28338,12769,15569
Aguiar da Beira,886,425,461,45,36,9,250,180,70,591,209,382
Carregal do Sal,1725,914,811,28,17,11,1031,645,386,666,252,414
Castro Daire,1709,995,714,39,27,12,434,358,76,1236,610,626
Mangualde,5013,3409,1604,58,40,18,2370,1663,707,2585,1706,879
Nelas,2915,1624,1291,36,24,12,1889,1224,665,990,376,614
Oliveira de Frades,3106,1888,1218,117,57,60,2130,1494,636,859,337,522
Penalva do Castelo,940,569,371,14,10,4,357,328,29,569,231,338
Santa Comba Dão,1287,658,629,26,17,9,456,317,139,805,324,481
São Pedro do Sul,2046,918,1128,88,41,47,651,478,173,1307,399,908
Sátão,1344,686,658,22,13,9,577,386,191,745,287,458
Tondela,5585,2829,2756,214,99,115,3250,1912,1338,2121,818,1303
Vila Nova de Paiva,473,231,242,19,10,9,126,104,22,328,117,211
Viseu,21339,11899,9440,231,165,66,6156,4852,1304,14952,6882,8070
Vouzela,1673,633,1040,57,35,22,1032,377,655,584,221,363
Beira Baixa,13712,7282,6430,565,438,127,4096,2949,1147,9051,3895,5156
Castelo Branco,9975,5126,4849,203,158,45,2868,1948,920,6904,3020,3884
Idanha-a-Nova,935,512,423,220,185,35,133,101,32,582,226,356
Oleiros,586,373,213,28,24,4,299,250,49,259,99,160
Penamacor,423,186,237,38,16,22,105,72,33,280,98,182
Proença-a-Nova,1008,604,404,44,29,15,357,302,55,607,273,334
Vila Velha de Ródão,785,481,304,32,26,6,334,276,58,419,179,240
Médio Tejo,43164,22844,20320,1263,858,405,14690,11371,3319,27211,10615,16596
Abrantes,5614,3063,2551,174,129,45,2277,1824,453,3163,1110,2053
Alcanena,3703,2123,1580,14,…,…,1717,…,…,1972,952,1020
Constância,865,506,359,43,30,13,552,394,158,270,82,188
Entroncamento,2816,1559,1257,17,14,3,722,629,93,2077,916,1161
Ferreira do Zêzere,1556,870,686,381,258,123,472,394,78,703,218,485
Mação,971,485,486,48,…,…,385,…,…,538,151,387
Ourém,11743,6081,5662,91,57,34,3945,3110,835,7707,2914,4793
Sardoal,316,131,185,18,13,5,74,68,6,224,50,174
Sertã,2334,1241,1093,127,113,14,763,587,176,1444,541,903
Tomar,5407,2700,2707,242,112,130,1388,1133,255,3777,1455,2322
Torres Novas,6778,3676,3102,70,53,17,2200,1640,560,4508,1983,2525
Vila de Rei,557,180,377,19,14,5,108,79,29,430,87,343
Vila Nova da Barquinha,504,229,275,19,8,11,87,65,22,398,156,242
Beiras e Serra da Estrela,35952,18277,17675,1027,764,263,11109,7385,3724,23816,10128,13688
Almeida,796,336,460,27,23,4,84,70,14,685,243,442
Belmonte,1248,480,768,43,32,11,623,220,403,582,228,354
Celorico da Beira,968,451,517,21,8,13,248,102,146,699,341,358
Covilhã,8348,4334,4014,125,93,32,3079,1974,1105,5144,2267,2877
Figueira de Castelo Rodrigo,617,258,359,84,64,20,86,68,18,447,126,321
Fornos de Algodres,596,281,315,19,12,7,175,112,63,402,157,245
Fundão,4850,2641,2209,223,159,64,1632,1016,616,2995,1466,1529
Gouveia,1552,672,880,73,45,28,381,260,121,1098,367,731
Guarda,8786,4907,3879,166,130,36,2473,1919,554,6147,2858,3289
Manteigas,447,202,245,23,19,4,103,73,30,321,110,211
Mêda,537,243,294,31,25,6,168,134,34,338,84,254
Pinhel,1100,574,526,41,30,11,392,342,50,667,202,465
Sabugal,1533,631,902,81,68,13,288,185,103,1164,378,786
Seia,3203,1510,1693,33,28,5,1023,646,377,2147,836,1311
Trancoso,1371,757,614,37,28,9,354,264,90,980,465,515
A. M. Lisboa,700524,376102,324422,4181,2881,1300,109297,82562,26735,587046,290659,296387
Alcochete,3757,2029,1728,241,120,121,923,717,206,2593,1192,1401
Almada,19470,8865,10605,17,11,6,2888,2338,550,16565,6516,10049
Amadora,31789,17547,14242,13,9,4,5915,4150,1765,25861,13388,12473
Barreiro,8021,3898,4123,0,0,0,1401,1140,261,6620,2758,3862
Cascais,34998,18029,16969,106,76,30,5340,4140,1200,29552,13813,15739
Lisboa,308717,155586,153131,788,567,221,17525,12474,5051,290404,142545,147859
Loures,42855,25675,17180,435,341,94,10210,7751,2459,32210,17583,14627
Mafra,16274,10485,5789,280,194,86,3796,2710,1086,12198,7581,4617
Moita,4028,2223,1805,96,69,27,1277,1084,193,2655,1070,1585
Montijo,8423,4120,4303,805,419,386,1800,1318,482,5818,2383,3435
Odivelas,14906,8307,6599,23,…,…,3916,…,…,10967,5286,5681
Oeiras,71350,38456,32894,36,30,6,7721,5576,2145,63593,32850,30743
Palmela,20933,14689,6244,282,191,91,12194,9607,2587,8457,4891,3566
Seixal,16161,9128,7033,20,…,…,4651,…,…,11490,5420,6070
Sesimbra,4570,2410,2160,398,366,32,943,778,165,3229,1266,1963
Setúbal,19113,10578,8535,252,198,54,5765,4683,1082,13096,5697,7399
Sintra,51623,29860,21763,212,148,64,15955,11880,4075,35456,17832,17624
Vila Franca de Xira,23536,14217,9319,177,106,71,7077,5523,1554,16282,8588,7694
Alentejo,131398,72837,58561,16682,12091,4591,36347,26621,9726,78369,34125,44244
Alentejo Litoral,20733,11972,8761,4205,2891,1314,4476,3599,877,12052,5482,6570
Alcácer do Sal,1795,932,863,458,351,107,328,255,73,1009,326,683
Grândola,1981,909,1072,124,93,31,270,200,70,1587,616,971
Odemira,6605,3756,2849,3164,2102,1062,517,435,82,2924,1219,1705
Santiago do Cacém,4404,2049,2355,409,303,106,1168,883,285,2827,863,1964
Sines,5948,4326,1622,50,42,8,2193,1826,367,3705,2458,1247
Baixo Alentejo,20106,11573,8533,3684,2886,798,5412,4354,1058,11010,4333,6677
Aljustrel,1710,1125,585,176,147,29,837,738,99,697,240,457
Almodôvar,825,332,493,52,39,13,153,101,52,620,192,428
Alvito,202,104,98,35,29,6,47,41,6,120,34,86
Barrancos,221,121,100,31,25,6,101,65,36,89,31,58
Beja,6688,3686,3002,1146,928,218,1017,768,249,4525,1990,2535
Castro Verde,2877,2164,713,127,103,24,1845,1685,160,905,376,529
Cuba,397,211,186,126,109,17,61,48,13,210,54,156
Ferreira do Alentejo,1380,831,549,727,521,206,173,147,26,480,163,317
Mértola,803,407,396,162,131,31,121,95,26,520,181,339
Moura,1815,993,822,349,295,54,421,294,127,1045,404,641
Ourique,814,387,427,82,69,13,187,101,86,545,217,328
Serpa,1724,902,822,463,346,117,315,208,107,946,348,598
Vidigueira,650,310,340,208,144,64,134,63,71,308,103,205
Lezíria do Tejo,45104,25143,19961,3977,2697,1280,13482,9314,4168,27645,13132,14513
Almeirim,3064,1702,1362,474,284,190,931,695,236,1659,723,936
Alpiarça,1138,707,431,453,380,73,309,209,100,376,118,258
Azambuja,8076,4937,3139,235,182,53,967,611,356,6874,4144,2730
Benavente,6106,3557,2549,498,333,165,2341,1599,742,3267,1625,1642
Cartaxo,2778,1476,1302,170,102,68,958,705,253,1650,669,981
Chamusca,1487,876,611,241,176,65,667,501,166,579,199,380
Coruche,2635,1485,1150,508,353,155,766,534,232,1361,598,763
Golegã,807,363,444,108,66,42,205,142,63,494,155,339
Rio Maior,4518,2524,1994,305,189,116,2233,1437,796,1980,898,1082
Salvaterra de Magos,2783,1545,1238,306,191,115,708,552,156,1769,802,967
Santarém,11712,5971,5741,679,441,238,3397,2329,1068,7636,3201,4435
Alto Alentejo,16360,8352,8008,1894,1463,431,4244,3059,1185,10222,3830,6392
Alter do Chão,402,154,248,108,81,27,44,31,13,250,42,208
Arronches,403,165,238,68,60,8,35,25,10,300,80,220
Avis,787,402,385,127,96,31,380,206,174,280,100,180
Campo Maior,2243,1262,981,186,138,48,924,571,353,1133,553,580
Castelo de Vide,487,203,284,25,19,6,98,81,17,364,103,261
Crato,399,144,255,40,31,9,66,42,24,293,71,222
Elvas,2822,1557,1265,506,404,102,406,331,75,1910,822,1088
Fronteira,421,228,193,130,99,31,54,43,11,237,86,151
Gavião,292,94,198,30,23,7,49,37,12,213,34,179
Marvão,309,131,178,24,15,9,51,42,9,234,74,160
Monforte,487,252,235,132,100,32,43,27,16,312,125,187
Nisa,657,249,408,39,30,9,120,87,33,498,132,366
Ponte de Sor,2271,1136,1135,191,136,55,605,456,149,1475,544,931
Portalegre,3767,2060,1707,135,110,25,1185,972,213,2447,978,1469
Sousel,613,315,298,153,121,32,184,108,76,276,86,190
Alentejo Central,29095,15797,13298,2922,2154,768,8733,6295,2438,17440,7348,10092
Alandroal,600,279,321,199,140,59,181,76,105,220,63,157
Arraiolos,1081,542,539,287,201,86,234,144,90,560,197,363
Borba,942,492,450,99,68,31,383,258,125,460,166,294
Estremoz,2399,1254,1145,242,175,67,469,320,149,1688,759,929
Évora,13174,7286,5888,569,449,120,3927,2911,1016,8678,3926,4752
Montemor-o-Novo,2775,1560,1215,517,364,153,734,608,126,1524,588,936
Mora,687,299,388,122,86,36,145,98,47,420,115,305
Mourão,198,115,83,41,31,10,33,29,4,124,55,69
Portel,615,286,329,127,98,29,114,72,42,374,116,258
Redondo,844,519,325,235,169,66,239,175,64,370,175,195
Reguengos de Monsaraz,1686,855,831,188,147,41,533,335,198,965,373,592
Vendas Novas,1990,1024,966,113,87,26,865,528,337,1012,409,603
Viana do Alentejo,634,339,295,137,109,28,139,98,41,358,132,226
Vila Viçosa,1470,947,523,46,30,16,737,643,94,687,274,413
Algarve,111242,57434,53808,3448,2466,982,14434,11569,2865,93360,43399,49961
Albufeira,17408,8779,8629,157,90,67,1290,1030,260,15961,7659,8302
Alcoutim,300,122,178,39,33,6,41,26,15,220,63,157
Aljezur,850,411,439,36,20,16,121,101,20,693,290,403
Castro Marim,1000,497,503,41,27,14,135,115,20,824,355,469
Faro,16809,8522,8287,613,397,216,2185,1694,491,14011,6431,7580
Lagoa,6732,3614,3118,123,108,15,835,688,147,5774,2818,2956
Lagos,7846,3925,3921,138,105,33,1234,987,247,6474,2833,3641
Loulé,22568,12101,10467,230,180,50,2979,2481,498,19359,9440,9919
Monchique,654,298,356,47,41,6,113,87,26,494,170,324
Olhão,5845,3077,2768,598,388,210,1386,1032,354,3861,1657,2204
Portimão,14230,7134,7096,75,59,16,1495,1190,305,12660,5885,6775
São Brás de Alportel,1583,885,698,94,90,4,464,370,94,1025,425,600
Silves,5420,3030,2390,462,325,137,913,726,187,4045,1979,2066
Tavira,4940,2446,2494,555,419,136,823,700,123,3562,1327,2235
Vila do Bispo,1427,748,679,40,37,3,45,39,6,1342,672,670
Vila Real de Santo António,3630,1845,1785,200,147,53,375,303,72,3055,1395,1660
R. A. Açores,40333,22553,17780,1151,1018,133,9424,7666,1758,29758,13869,15889
Santa Maria,796,469,327,10,10,0,140,114,26,646,345,301
Vila do Porto,796,469,327,10,10,0,140,114,26,646,345,301
São Miguel,24132,13734,10398,805,713,92,5677,4628,1049,17650,8393,9257
Lagoa (R.A.A.),1871,1257,614,77,71,6,772,677,95,1022,509,513
Nordeste,386,224,162,19,19,0,91,82,9,276,123,153
Ponta Delgada,15503,8369,7134,410,353,57,2485,1992,493,12608,6024,6584
Povoação,800,390,410,31,…,…,129,…,…,640,253,387
Ribeira Grande,4549,2902,1647,188,165,23,1936,1540,396,2425,1197,1228
Vila Franca do Campo,1023,592,431,80,…,…,264,…,…,679,287,392
Terceira,8493,4706,3787,218,188,30,1881,1582,299,6394,2936,3458
Angra do Heroísmo,5985,3208,2777,156,136,20,1256,1072,184,4573,2000,2573
Vila da Praia da Vitória,2508,1498,1010,62,52,10,625,510,115,1821,936,885
Graciosa,599,338,261,18,15,3,199,163,36,382,160,222
Santa Cruz da Graciosa,599,338,261,18,15,3,199,163,36,382,160,222
São Jorge,1240,636,604,…,…,…,…,…,…,822,353,469
Calheta (R.A.A.),446,206,240,…,…,0,…,…,…,253,102,151
Velas,794,430,364,…,…,…,…,…,…,569,251,318
Pico,1983,1061,922,54,54,0,507,399,108,1422,608,814
Lajes do Pico,391,150,241,…,…,0,…,…,…,288,82,206
Madalena,1108,612,496,40,40,0,269,218,51,799,354,445
São Roque do Pico,484,299,185,…,…,0,…,…,…,335,172,163
Faial,2542,1296,1246,30,24,6,464,378,86,2048,894,1154
Horta,2542,1296,1246,30,24,6,464,378,86,2048,894,1154
Flores,462,255,207,…,…,…,…,…,…,357,166,191
Lajes das Flores,119,54,65,…,0,…,…,…,…,100,40,60
Santa Cruz das Flores,343,201,142,…,…,0,…,…,…,257,126,131
Corvo,86,58,28,…,…,0,…,…,…,37,14,23
Corvo,86,58,28,…,…,0,…,…,…,37,14,23
R. A. Madeira,47547,25738,21809,423,318,105,8956,7526,1430,38168,17894,20274
Calheta (R.A.M.),1810,1177,633,…,…,…,…,…,…,884,333,551
Câmara de Lobos,2532,1634,898,95,59,36,1036,884,152,1401,691,710
Funchal,30764,15962,14802,80,61,19,4032,3349,683,26652,12552,14100
Machico,2451,1425,1026,23,19,4,878,747,131,1550,659,891
Ponta do Sol,643,368,275,17,8,9,160,142,18,466,218,248
Porto Moniz,287,96,191,3,3,0,30,20,10,254,73,181
Ribeira Brava,1468,754,714,0,0,0,420,363,57,1048,391,657
Santa Cruz,5420,3252,2168,159,128,31,1134,904,230,4127,2220,1907
Santana,493,186,307,…,…,…,…,…,…,396,120,276
São Vicente,484,257,227,…,…,…,…,…,…,355,154,201
Porto Santo,1195,627,568,…,…,…,…,…,…,1035,483,552
