,"Public primary education, 1st cycle, Total (N.º)","Public primary education, 1st cycle, of which, Regular education (N.º)","Public primary education, 1st cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, Total, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Regular education (N.º)","Public primary education, 2nd cycle, of which, Artistic education (N.º)","Public primary education, 2nd cycle, of which, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Public lower secondary education, 2nd cycle, of which, Regular education (N.º)","Public lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Public lower secondary education, 2nd cycle, of which, Vocational courses (N.º)","Public lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Anadia,779,779,0,408,408,0,0,611,598,0,0,13
Aveiro,2872,2872,0,1714,1714,0,0,2646,2646,0,0,0
Estarreja,905,905,0,500,494,0,0,797,785,0,0,0
Ílhavo,1353,1353,0,702,702,0,0,978,978,0,0,0
Murtosa,358,358,0,201,201,0,0,332,332,0,0,0
Oliveira do Bairro,885,885,0,506,506,0,0,729,729,0,0,0
Ovar,1679,1679,0,960,960,0,0,1421,1416,0,0,5
Sever do Vouga,333,333,0,164,164,0,0,270,270,0,0,0
Vagos,800,800,0,246,246,0,0,438,417,0,0,21
Região de Coimbra,12088,12088,0,7003,6790,207,0,10829,10552,201,0,52
Arganil,328,328,0,179,179,0,0,243,243,0,0,0
Cantanhede,1020,1020,0,555,555,0,0,799,799,0,0,0
Coimbra,3768,3768,0,2207,2053,150,0,3559,3325,201,0,12
Condeixa-a-Nova,476,476,0,353,353,0,0,507,507,0,0,0
Figueira da Foz,1678,1678,0,1070,1068,0,0,1517,1514,0,0,0
Góis,102,102,0,34,34,0,0,76,76,0,0,0
Lousã,509,509,0,317,317,0,0,521,521,0,0,0
Mealhada,512,512,0,317,317,0,0,527,527,0,0,0
Mira,373,373,0,196,196,0,0,321,321,0,0,0
Miranda do Corvo,341,341,0,163,163,0,0,326,310,0,0,16
Montemor-o-Velho,626,626,0,358,358,0,0,498,498,0,0,0
Mortágua,254,254,0,127,127,0,0,215,215,0,0,0
Oliveira do Hospital,580,580,0,356,356,0,0,513,501,0,0,12
Pampilhosa da Serra,91,91,0,36,36,0,0,65,65,0,0,0
Penacova,295,295,0,178,121,57,0,280,280,0,0,0
Penela,137,137,0,70,70,0,0,98,98,0,0,0
Soure,467,467,0,179,179,0,0,285,285,0,0,0
Tábua,334,334,0,174,174,0,0,268,268,0,0,0
Vila Nova de Poiares,197,197,0,134,134,0,0,211,199,0,0,12
Região de Leiria,9250,9250,0,4519,4519,0,0,7174,7160,0,0,14
Alvaiázere,150,150,0,72,72,0,0,136,136,0,0,0
Ansião,323,323,0,200,200,0,0,345,345,0,0,0
Batalha,566,566,0,304,304,0,0,438,438,0,0,0
Castanheira de Pêra,61,61,0,40,40,0,0,60,60,0,0,0
Figueiró dos Vinhos,126,126,0,65,65,0,0,115,115,0,0,0
Leiria,4226,4226,0,2022,2022,0,0,3132,3118,0,0,14
