,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Anadia,895,895,0,521,521,0,0,816,803,0,0,13
Aveiro,3103,3103,0,1815,1815,0,0,2892,2733,0,0,159
Estarreja,933,933,0,500,494,0,0,797,785,0,0,0
Ílhavo,1353,1353,0,702,702,0,0,978,978,0,0,0
Murtosa,358,358,0,201,201,0,0,332,332,0,0,0
Oliveira do Bairro,885,885,0,506,506,0,0,729,729,0,0,0
Ovar,1730,1730,0,960,960,0,0,1424,1416,0,0,8
Sever do Vouga,333,333,0,164,164,0,0,270,270,0,0,0
Vagos,800,800,0,429,429,0,0,713,692,0,0,21
Região de Coimbra,13505,13505,0,7557,7244,307,0,11684,11149,328,0,183
Arganil,328,328,0,179,179,0,0,243,243,0,0,0
Cantanhede,1044,1044,0,599,555,44,0,871,799,47,0,25
Coimbra,4995,4995,0,2650,2440,206,0,4154,3805,281,0,47
Condeixa-a-Nova,476,476,0,353,353,0,0,507,507,0,0,0
Figueira da Foz,1844,1844,0,1070,1068,0,0,1563,1514,0,0,46
Góis,102,102,0,34,34,0,0,76,76,0,0,0
Lousã,509,509,0,317,317,0,0,521,521,0,0,0
Mealhada,512,512,0,317,317,0,0,544,527,0,0,17
Mira,373,373,0,196,196,0,0,321,321,0,0,0
Miranda do Corvo,341,341,0,163,163,0,0,326,310,0,0,16
Montemor-o-Velho,626,626,0,358,358,0,0,506,498,0,0,8
Mortágua,254,254,0,127,127,0,0,215,215,0,0,0
Oliveira do Hospital,580,580,0,356,356,0,0,513,501,0,0,12
Pampilhosa da Serra,91,91,0,36,36,0,0,65,65,0,0,0
Penacova,295,295,0,178,121,57,0,280,280,0,0,0
Penela,137,137,0,70,70,0,0,98,98,0,0,0
Soure,467,467,0,246,246,0,0,402,402,0,0,0
Tábua,334,334,0,174,174,0,0,268,268,0,0,0
Vila Nova de Poiares,197,197,0,134,134,0,0,211,199,0,0,12
Região de Leiria,10046,10046,0,5477,5477,0,0,8758,8671,0,0,87
Alvaiázere,150,150,0,72,72,0,0,136,136,0,0,0
Ansião,323,323,0,200,200,0,0,345,345,0,0,0
Batalha,566,566,0,304,304,0,0,438,438,0,0,0
Castanheira de Pêra,61,61,0,40,40,0,0,60,60,0,0,0
Figueiró dos Vinhos,126,126,0,65,65,0,0,115,115,0,0,0
Leiria,4842,4842,0,2563,2563,0,0,4000,3986,0,0,14
Marinha Grande,1422,1422,0,818,818,0,0,1318,1272,0,0,46
Pedrógão Grande,84,84,0,43,43,0,0,72,72,0,0,0
