,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Arruda dos Vinhos,653,653,0,27,27,0,0,0,0,0,0,0
Bombarral,393,393,0,227,227,0,0,400,400,0,0,0
Cadaval,399,399,0,226,226,0,0,273,247,0,0,26
Caldas da Rainha,1661,1661,0,950,950,0,0,1629,1615,0,0,14
Lourinhã,956,956,0,525,525,0,0,754,739,0,0,15
Nazaré,482,482,0,229,229,0,0,302,302,0,0,0
Óbidos,433,433,0,224,224,0,0,283,257,0,0,26
Peniche,1027,1027,0,550,550,0,0,855,855,0,0,0
Sobral de Monte Agraço,377,377,0,270,270,0,0,360,360,0,0,0
Torres Vedras,2844,2844,0,1246,1246,0,0,2078,2078,0,0,0
Região de Aveiro,12500,12500,0,6599,6588,0,0,10280,9990,0,0,257
Águeda,1580,1580,0,822,822,0,0,1287,1238,0,0,49
Albergaria-a-Velha,824,824,0,427,427,0,0,663,652,0,0,11
Anadia,785,785,0,385,385,0,0,612,590,0,0,22
Aveiro,2981,2981,0,1758,1758,0,0,2588,2573,0,0,15
Estarreja,893,893,0,502,491,0,0,854,787,0,0,34
Ílhavo,1352,1352,0,675,675,0,0,1014,983,0,0,31
Murtosa,370,370,0,222,222,0,0,348,348,0,0,0
Oliveira do Bairro,878,878,0,442,442,0,0,654,654,0,0,0
Ovar,1764,1764,0,932,932,0,0,1501,1447,0,0,54
Sever do Vouga,319,319,0,173,173,0,0,288,288,0,0,0
Vagos,754,754,0,261,261,0,0,471,430,0,0,41
Região de Coimbra,12483,12483,0,7029,7019,0,0,11292,11120,0,0,101
Arganil,333,333,0,165,165,0,0,235,235,0,0,0
Cantanhede,1064,1064,0,534,534,0,0,889,877,0,0,12
Coimbra,3863,3863,0,2246,2241,0,0,3666,3616,0,0,0
Condeixa-a-Nova,482,482,0,324,324,0,0,481,481,0,0,0
Figueira da Foz,1701,1701,0,1012,1007,0,0,1712,1703,0,0,0
Góis,79,79,0,37,37,0,0,80,80,0,0,0
Lousã,580,580,0,312,312,0,0,575,551,0,0,12
Mealhada,548,548,0,352,352,0,0,552,552,0,0,0
Mira,368,368,0,220,220,0,0,290,290,0,0,0
Miranda do Corvo,330,330,0,210,210,0,0,351,334,0,0,17
Montemor-o-Velho,678,678,0,351,351,0,0,480,480,0,0,0
Mortágua,245,245,0,140,140,0,0,175,175,0,0,0
Oliveira do Hospital,644,644,0,336,336,0,0,543,518,0,0,25
Pampilhosa da Serra,94,94,0,42,42,0,0,67,67,0,0,0
Penacova,305,305,0,170,170,0,0,312,312,0,0,0
Penela,147,147,0,66,66,0,0,102,102,0,0,0
Soure,489,489,0,190,190,0,0,303,303,0,0,0
Tábua,316,316,0,173,173,0,0,307,272,0,0,35
Vila Nova de Poiares,217,217,0,149,149,0,0,172,172,0,0,0
Região de Leiria,9127,9127,0,4491,4491,0,0,7351,7239,0,0,100
Alvaiázere,152,152,0,83,83,0,0,127,127,0,0,0
Ansião,349,349,0,208,208,0,0,385,385,0,0,0
Batalha,531,531,0,271,271,0,0,486,486,0,0,0
Castanheira de Pêra,68,68,0,39,39,0,0,62,62,0,0,0
Figueiró dos Vinhos,121,121,0,74,74,0,0,125,125,0,0,0
Leiria,4141,4141,0,1946,1946,0,0,3166,3119,0,0,35
Marinha Grande,1301,1301,0,792,792,0,0,1261,1243,0,0,18
Pedrógão Grande,88,88,0,48,48,0,0,78,78,0,0,0
Pombal,1614,1614,0,710,710,0,0,1157,1139,0,0,18
Porto de Mós,762,762,0,320,320,0,0,504,475,0,0,29
Viseu Dão Lafões,7889,7889,0,4302,4301,0,0,7050,6878,0,0,140
Aguiar da Beira,131,131,0,59,59,0,0,126,126,0,0,0
Carregal do Sal,265,265,0,166,166,0,0,278,263,0,0,15
Castro Daire,367,367,0,252,252,0,0,348,348,0,0,0
Mangualde,595,595,0,312,311,0,0,551,504,0,0,36
Nelas,396,396,0,253,253,0,0,409,409,0,0,0
Oliveira de Frades,348,348,0,173,173,0,0,280,260,0,0,20
Penalva do Castelo,214,214,0,102,102,0,0,193,193,0,0,0
Santa Comba Dão,297,297,0,196,196,0,0,293,293,0,0,0
São Pedro do Sul,468,468,0,222,222,0,0,396,381,0,0,15
Sátão,346,346,0,172,172,0,0,305,305,0,0,0
Tondela,699,699,0,386,386,0,0,706,688,0,0,18
Vila Nova de Paiva,147,147,0,79,79,0,0,135,125,0,0,0
Viseu,3336,3336,0,1800,1800,0,0,2774,2739,0,0,24
Vouzela,280,280,0,130,130,0,0,256,244,0,0,12
Beira Baixa,2272,2271,0,1293,1290,0,0,2018,1977,0,0,34
Castelo Branco,1624,1623,0,935,932,0,0,1526,1494,0,0,25
Idanha-a-Nova,232,232,0,122,122,0,0,148,148,0,0,0
Oleiros,81,81,0,45,45,0,0,65,65,0,0,0
Penamacor,87,87,0,64,64,0,0,72,72,0,0,0
Proença-a-Nova,174,174,0,92,92,0,0,154,145,0,0,9
Vila Velha de Ródão,74,74,0,35,35,0,0,53,53,0,0,0
Médio Tejo,6950,6950,0,3705,3616,83,0,6149,5953,85,0,60
Abrantes,932,932,0,550,462,83,0,1036,914,85,0,32
Alcanena,434,434,0,257,257,0,0,409,409,0,0,0
Constância,168,168,0,87,87,0,0,182,182,0,0,0
Entroncamento,599,599,0,456,456,0,0,642,642,0,0,0
Ferreira do Zêzere,232,232,0,126,126,0,0,223,223,0,0,0
Mação,134,134,0,78,78,0,0,143,129,0,0,14
Ourém,1514,1514,0,500,500,0,0,791,775,0,0,0
Sardoal,120,120,0,67,67,0,0,108,108,0,0,0
Sertã,417,417,0,173,173,0,0,292,292,0,0,0
Tomar,961,961,0,595,594,0,0,1008,991,0,0,0
Torres Novas,1102,1102,0,612,612,0,0,1043,1016,0,0,14
Vila de Rei,80,80,0,46,46,0,0,62,62,0,0,0
