,Total (N.º),Brasil  (N.º),Ucrânia (N.º),Cabo Verde (N.º),Roménia (N.º),Angola (N.º),Guiné Bissau (N.º),Reino Unido (N.º),Moldávia (N.º),China (N.º),São Tomé e Príncipe (N.º)
Salvaterra de Magos,458,185,51,8,36,16,2,4,0,25,2
Santarém,2427,531,322,31,546,66,48,41,51,102,11
Alto Alentejo,2528,588,132,28,496,42,27,161,62,146,14
Alter do Chão,111,19,0,0,75,1,0,0,3,3,0
Arronches,53,5,3,1,6,0,0,12,0,6,0
Avis,63,12,2,1,13,0,0,5,3,3,0
Campo Maior,235,46,4,1,111,2,0,1,16,3,0
Castelo de Vide,111,5,9,0,8,3,0,27,0,3,0
Crato,74,13,6,7,27,0,0,1,2,3,1
Elvas,557,141,41,2,101,18,5,8,27,23,0
Fronteira,70,8,0,0,37,0,0,3,3,2,0
Gavião,16,2,2,0,4,0,0,0,0,3,0
Marvão,125,4,0,0,2,0,0,50,0,0,0
Monforte,41,4,5,2,11,1,0,2,7,4,0
Nisa,78,16,3,0,20,2,0,2,0,8,0
Ponte de Sor,367,141,29,9,21,5,0,9,0,24,0
Portalegre,550,155,28,5,21,10,22,38,1,55,13
Sousel,77,17,0,0,39,0,0,3,0,6,0
Alentejo Central,4474,1271,343,177,678,100,24,109,64,340,21
Alandroal,105,12,10,1,11,1,1,11,0,1,0
Arraiolos,123,15,4,0,18,0,1,6,2,12,0
Borba,127,40,7,1,46,2,4,3,0,7,0
Estremoz,324,62,39,2,123,0,0,14,2,15,0
Évora,2152,771,154,148,112,77,16,38,18,144,18
Montemor-o-Novo,394,141,27,6,44,9,0,6,3,41,0
Mora,46,3,2,0,14,1,0,4,0,8,1
Mourão,38,1,0,0,8,0,0,3,0,0,0
Portel,138,39,9,1,27,1,0,4,0,7,0
Redondo,208,27,21,1,98,0,0,8,0,7,0
Reguengos de Monsaraz,341,43,27,2,138,0,0,10,34,19,0
Vendas Novas,294,71,31,12,34,7,1,1,2,46,2
Viana do Alentejo,86,28,11,3,1,2,1,0,3,10,0
Vila Viçosa,98,18,1,0,4,0,0,1,0,23,0
Algarve,92558,13609,5817,2084,7627,585,1174,17851,1563,1845,101
Albufeira,14813,2691,1306,301,692,77,404,2218,207,485,25
Alcoutim,132,3,0,4,8,0,0,63,1,3,0
Aljezur,1635,108,55,3,44,1,4,435,15,11,0
Castro Marim,862,47,25,3,34,2,0,118,1,7,1
Faro,8663,2000,853,270,950,49,149,717,231,146,7
Lagoa,4776,506,218,123,92,26,41,1448,51,67,5
Lagos,9759,1074,394,106,568,30,11,3004,166,194,9
Loulé,17452,2663,1005,658,2549,142,166,3249,287,348,18
Monchique,817,30,6,1,97,1,0,287,0,5,0
Olhão,4699,547,358,143,389,78,85,635,30,79,9
Portimão,10189,2257,778,264,981,122,213,1120,430,205,13
São Brás de Alportel,1380,137,125,13,28,9,1,532,8,23,1
Silves,6245,820,335,85,409,23,76,1587,101,109,8
Tavira,6275,387,158,64,488,14,13,1490,19,47,2
Vila do Bispo,1918,114,47,32,54,0,5,647,1,16,1
Vila Real de Santo António,2943,225,154,14,244,11,6,301,15,100,2
R. A. Açores,3857,716,76,197,35,30,36,253,5,345,12
Santa Maria,131,7,1,1,0,0,0,18,0,2,0
Vila do Porto,131,7,1,1,0,0,0,18,0,2,0
São Miguel,1642,324,30,35,22,15,18,64,2,211,3
Lagoa (R.A.A.),141,24,0,2,1,0,0,10,0,16,0
Nordeste,40,7,0,1,0,0,1,2,0,2,0
Ponta Delgada,1086,220,19,30,19,14,15,29,2,124,3
Povoação,85,15,4,0,0,0,0,9,0,14,0
Ribeira Grande,206,49,7,2,2,1,2,6,0,42,0
Vila Franca do Campo,84,9,0,0,0,0,0,8,0,13,0
Terceira,616,124,16,45,7,8,12,31,1,57,2
Angra do Heroísmo,407,82,9,32,4,7,8,23,0,38,2
Vila da Praia da Vitória,209,42,7,13,3,1,4,8,1,19,0
Graciosa,43,11,0,0,0,0,0,4,0,4,0
Santa Cruz da Graciosa,43,11,0,0,0,0,0,4,0,4,0
São Jorge,97,33,2,1,1,0,0,3,0,11,1
Calheta (R.A.A.),17,6,1,1,0,0,0,0,0,2,0
Velas,80,27,1,0,1,0,0,3,0,9,1
Pico,506,107,10,61,0,1,2,37,1,27,3
Lajes do Pico,163,41,1,3,0,0,0,14,1,2,0
Madalena,208,50,5,32,0,0,2,9,0,18,0
São Roque do Pico,135,16,4,26,0,1,0,14,0,7,3
Faial,627,91,8,41,4,5,2,88,1,25,3
Horta,627,91,8,41,4,5,2,88,1,25,3
Flores,185,17,8,9,1,1,2,8,0,8,0
Lajes das Flores,112,8,3,2,0,0,1,5,0,2,0
Santa Cruz das Flores,73,9,5,7,1,1,1,3,0,6,0
Corvo,10,2,1,4,0,0,0,0,0,0,0
Corvo,10,2,1,4,0,0,0,0,0,0,0
R. A. Madeira,8579,861,254,74,248,33,41,1102,33,237,6
Calheta (R.A.M.),759,22,4,0,1,0,0,198,0,4,0
Câmara de Lobos,368,55,1,1,7,0,1,21,0,1,1
Funchal,4549,513,187,53,180,24,28,513,25,176,3
Machico,298,61,16,8,1,1,0,28,0,14,1
Ponta do Sol,379,5,2,1,0,0,0,71,0,5,0
Porto Moniz,83,2,0,0,0,0,0,3,0,0,0
Ribeira Brava,386,17,4,0,0,2,0,40,0,5,0
Santa Cruz,1201,130,25,10,9,4,6,164,0,26,0
Santana,102,9,4,0,0,0,0,6,0,0,0
São Vicente,118,6,0,1,0,1,0,11,0,1,0
Porto Santo,336,41,11,0,50,1,6,47,8,5,1
