,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Centro,6977,6920,4349,2543,32,25,15852,4190,11662,18040,9187,8853,77133,38385,38748
Oeste,1389,1371,988,375,11,7,2322,668,1654,3792,1958,1834,18031,9163,8868
Alcobaça,142,141,81,58,0,1,360,101,259,412,214,198,2153,1081,1072
Alenquer,217,217,191,26,0,0,246,72,174,601,300,301,2734,1364,1370
Arruda dos Vinhos,85,82,52,29,3,0,71,33,38,109,58,51,633,324,309
Bombarral,59,57,52,5,2,0,92,25,67,81,40,41,475,235,240
Cadaval,30,30,23,7,0,0,96,19,77,73,39,34,361,173,188
Caldas da Rainha,153,152,109,41,1,0,340,106,234,720,379,341,3018,1506,1512
Lourinhã,88,88,73,14,0,0,171,54,117,279,146,133,1299,656,643
Nazaré,111,109,91,18,1,1,114,29,85,207,111,96,828,427,401
Óbidos,70,69,47,22,0,1,76,16,60,145,68,77,842,411,431
Peniche,94,91,61,30,2,1,190,39,151,283,128,155,1231,624,607
Sobral de Monte Agraço,54,53,30,23,1,0,70,24,46,57,27,30,306,149,157
Torres Vedras,286,282,178,102,1,3,496,150,346,825,448,377,4151,2213,1938
Região de Aveiro,1207,1196,823,369,3,8,2264,713,1551,2738,1371,1367,11738,5671,6067
Águeda,110,109,77,31,1,0,281,96,185,257,148,109,1125,591,534
Albergaria-a-Velha,76,75,48,27,0,1,159,42,117,83,45,38,476,220,256
Anadia,80,80,50,30,0,0,196,44,152,97,50,47,630,306,324
Aveiro,333,330,239,90,0,3,464,163,301,1356,656,700,5203,2515,2688
Estarreja,91,89,62,27,1,1,148,36,112,118,55,63,537,269,268
Ílhavo,72,70,43,25,0,2,214,77,137,304,137,167,1225,558,667
Murtosa,63,63,48,15,0,0,75,15,60,48,27,21,184,89,95
Oliveira do Bairro,103,103,63,40,0,0,138,58,80,151,83,68,778,360,418
Ovar,155,154,111,43,0,1,337,117,220,176,92,84,862,415,447
Sever do Vouga,19,19,12,7,0,0,85,18,67,36,18,18,174,79,95
Vagos,105,104,70,34,1,0,167,47,120,112,60,52,544,269,275
Região de Coimbra,1346,1334,812,520,7,5,3163,830,2333,4371,2029,2342,16013,7722,8291
Arganil,27,27,12,15,0,0,85,18,67,128,75,53,585,304,281
Cantanhede,125,124,88,35,0,1,282,69,213,119,57,62,604,285,319
Coimbra,484,478,255,223,4,2,957,289,668,2664,1144,1520,7684,3497,4187
Condeixa-a-Nova,45,45,21,24,0,0,109,37,72,51,26,25,309,138,171
Figueira da Foz,207,204,165,39,2,1,438,111,327,529,251,278,2300,1151,1149
Góis,8,8,6,2,0,0,38,9,29,50,25,25,266,145,121
Lousã,40,40,20,20,0,0,104,35,69,68,36,32,494,241,253
Mealhada,63,63,34,29,0,0,134,36,98,51,26,25,345,179,166
Mira,51,51,32,19,0,0,90,23,67,66,34,32,226,114,112
Miranda do Corvo,25,25,17,8,0,0,82,21,61,61,37,24,354,176,178
Montemor-o-Velho,80,80,50,30,0,0,189,45,144,44,27,17,239,123,116
Mortágua,22,22,16,6,0,0,68,6,62,61,37,24,222,124,98
Oliveira do Hospital,27,27,16,11,0,0,130,27,103,135,76,59,669,361,308
Pampilhosa da Serra,6,6,3,3,0,0,45,3,42,9,5,4,37,15,22
Penacova,32,32,21,11,0,0,108,23,85,73,38,35,243,122,121
Penela,27,26,12,14,1,0,37,7,30,55,29,26,307,169,138
Soure,42,42,23,18,0,0,139,30,109,42,13,29,246,117,129
Tábua,21,20,13,7,0,1,85,23,62,119,67,52,585,307,278
Vila Nova de Poiares,14,14,8,6,0,0,43,18,25,46,26,20,298,154,144
Região de Leiria,821,812,453,356,5,4,1929,504,1425,2583,1374,1209,12870,6561,6309
Alvaiázere,13,13,3,10,0,0,61,10,51,72,36,36,386,194,192
Ansião,27,27,8,19,0,0,85,7,78,57,28,29,348,186,162
Batalha,91,88,45,43,2,1,76,21,55,93,43,50,557,291,266
Castanheira de Pêra,7,7,7,0,0,0,27,6,21,17,12,5,95,52,43
Figueiró dos Vinhos,12,12,6,6,0,0,61,9,52,74,31,43,232,118,114
Leiria,387,383,227,153,2,2,755,225,530,1358,709,649,6142,2950,3192
Marinha Grande,89,87,67,20,1,1,264,93,171,419,231,188,2138,1077,1061
Pedrógão Grande,6,6,2,4,0,0,36,10,26,96,52,44,416,227,189
Pombal,137,137,63,74,0,0,405,89,316,312,183,129,1799,1080,719
Porto de Mós,52,52,25,27,0,0,159,34,125,85,49,36,757,386,371
Viseu Dão Lafões,811,810,466,340,1,0,1923,514,1409,1164,618,546,4640,2282,2358
Aguiar da Beira,29,29,9,20,0,0,57,7,50,8,4,4,56,29,27
Carregal do Sal,17,17,10,6,0,0,71,18,53,28,13,15,159,72,87
Castro Daire,59,59,27,32,0,0,113,25,88,32,14,18,151,73,78
Mangualde,79,79,56,22,0,0,149,35,114,57,28,29,340,193,147
Nelas,39,39,24,15,0,0,96,23,73,43,23,20,194,88,106
Oliveira de Frades,37,37,24,13,0,0,57,18,39,91,62,29,213,124,89
Penalva do Castelo,32,32,18,14,0,0,60,8,52,3,1,2,51,26,25
Santa Comba Dão,42,42,29,13,0,0,83,21,62,38,18,20,208,102,106
São Pedro do Sul,45,45,29,16,0,0,120,33,87,38,15,23,152,64,88
Sátão,43,43,24,19,0,0,72,16,56,16,7,9,82,36,46
Tondela,83,83,50,32,0,0,218,38,180,76,51,25,261,136,125
Vila Nova de Paiva,23,23,14,9,0,0,40,9,31,11,3,8,49,21,28
Viseu,264,263,143,119,1,0,707,247,460,693,360,333,2624,1271,1353
Vouzela,19,19,9,10,0,0,80,16,64,30,19,11,100,47,53
Beira Baixa,195,194,140,54,1,0,655,131,524,780,433,347,2789,1466,1323
Castelo Branco,163,162,120,42,1,0,387,98,289,419,221,198,1610,802,808
Idanha-a-Nova,14,14,10,4,0,0,71,10,61,148,89,59,459,253,206
Oleiros,6,6,3,3,0,0,43,4,39,35,25,10,103,64,39
Penamacor,2,2,0,2,0,0,58,6,52,107,57,50,308,165,143
Proença-a-Nova,9,9,6,3,0,0,65,8,57,48,25,23,179,97,82
Vila Velha de Ródão,1,1,1,0,0,0,31,5,26,23,16,7,130,85,45
Médio Tejo,675,671,388,277,3,1,1813,461,1352,1177,627,550,6285,3083,3202
Abrantes,79,79,56,22,0,0,315,79,236,88,50,38,497,234,263
Alcanena,31,30,16,14,0,1,109,24,85,57,27,30,387,191,196
Constância,13,13,13,0,0,0,19,3,16,6,2,4,46,20,26
Entroncamento,30,30,25,4,0,0,146,59,87,98,52,46,584,263,321
Ferreira do Zêzere,27,27,23,4,0,0,69,10,59,70,34,36,367,182,185
Mação,10,10,5,5,0,0,64,9,55,13,8,5,108,47,61
Ourém,177,175,79,96,2,0,333,94,239,401,219,182,2170,1094,1076
Sardoal,10,10,4,6,0,0,35,8,27,5,2,3,42,22,20
Sertã,53,53,18,35,0,0,111,27,84,91,49,42,406,228,178
Tomar,113,113,70,39,0,0,266,70,196,223,117,106,987,478,509
Torres Novas,71,71,50,21,0,0,269,64,205,90,50,40,538,259,279
Vila de Rei,10,10,3,7,0,0,24,5,19,16,7,9,63,27,36
Vila Nova da Barquinha,51,50,26,24,1,0,53,9,44,19,10,9,90,38,52
Beiras e Serra da Estrela,533,532,279,252,1,0,1783,369,1414,1435,777,658,4767,2437,2330
Almeida,12,12,6,6,0,0,83,8,75,10,3,7,92,39,53
Belmonte,15,15,7,8,0,0,42,5,37,10,5,5,68,37,31
Celorico da Beira,20,20,10,10,0,0,57,18,39,24,11,13,103,47,56
Covilhã,87,86,53,33,1,0,380,82,298,637,338,299,1635,857,778
Figueira de Castelo Rodrigo,5,5,3,2,0,0,39,4,35,8,3,5,46,18,28
Fornos de Algodres,6,6,3,3,0,0,40,8,32,13,6,7,49,21,28
Fundão,67,67,44,23,0,0,239,48,191,295,171,124,920,492,428
Gouveia,32,32,20,12,0,0,110,21,89,30,20,10,211,109,102
Guarda,131,131,57,73,0,0,274,87,187,277,156,121,951,478,473
Manteigas,10,10,5,5,0,0,34,4,30,5,3,2,21,9,12
Mêda,14,14,8,6,0,0,43,9,34,14,9,5,46,24,22
Pinhel,22,22,5,17,0,0,68,5,63,4,2,2,70,34,36
Sabugal,20,20,13,7,0,0,103,7,96,23,12,11,108,47,61
Seia,56,56,34,22,0,0,203,49,154,78,34,44,364,181,183
Trancoso,36,36,11,25,0,0,68,14,54,7,4,3,83,44,39
A. M. Lisboa,8874,8489,6959,1477,211,174,16788,5652,11136,63428,33376,30052,298175,148954,149221
Alcochete,106,104,91,13,0,2,94,38,56,161,81,80,1098,537,561
Almada,545,516,454,61,18,11,1195,377,818,3216,1605,1611,13303,6455,6848
Amadora,245,244,161,78,0,1,990,282,708,3771,2004,1767,21456,10460,10996
Barreiro,260,253,214,38,3,4,541,190,351,985,443,542,4147,1900,2247
Cascais,567,545,470,72,9,13,1294,468,826,5844,2901,2943,30328,14548,15780
Lisboa,2628,2458,1893,548,110,60,3137,859,2278,23707,13029,10678,98151,52084,46067
Loures,400,393,316,74,5,2,1173,413,760,3567,1863,1704,19649,9765,9884
Mafra,400,382,293,88,10,8,487,205,282,1019,515,504,4394,2140,2254
Moita,154,153,129,24,0,1,418,126,292,610,296,314,3243,1488,1755
Montijo,171,166,117,48,1,4,327,119,208,1215,702,513,4347,2287,2060
Odivelas,x,x,x,x,x,x,785,241,544,3738,2126,1612,17696,9143,8553
Oeiras,471,453,396,57,10,8,981,314,667,2639,1275,1364,12320,5673,6647
Palmela,243,237,210,25,2,4,413,140,273,446,240,206,2669,1304,1365
Seixal,365,360,290,62,4,1,1014,399,615,2136,1088,1048,10050,4745,5305
Sesimbra,268,260,230,29,2,6,318,113,205,442,229,213,2435,1167,1268
Setúbal,549,527,474,52,7,15,830,296,534,1681,881,800,7507,3789,3718
Sintra,1165,1108,965,135,25,32,2022,771,1251,6805,3381,3424,37840,17893,19947
Vila Franca de Xira,337,330,256,73,5,2,769,301,468,1446,717,729,7542,3576,3966
Alentejo,1984,1965,1416,547,8,11,5247,1235,4012,6182,3924,2258,31546,17552,13994
Alentejo Litoral,223,222,183,39,1,0,623,147,476,2618,1851,767,11259,6918,4341
Alcácer do Sal,33,33,24,9,0,0,84,18,66,51,35,16,458,284,174
Grândola,42,42,38,4,0,0,93,22,71,104,63,41,676,318,358
Odemira,32,32,26,6,0,0,178,36,142,2158,1584,574,8157,5314,2843
Santiago do Cacém,48,48,39,9,0,0,186,44,142,185,105,80,1071,543,528
Sines,68,67,56,11,1,0,82,27,55,120,64,56,897,459,438
Baixo Alentejo,299,299,246,53,0,0,833,180,653,727,447,280,4014,2210,1804
Aljustrel,26,26,20,6,0,0,51,12,39,12,5,7,125,60,65
Almodôvar,10,10,10,0,0,0,57,10,47,42,22,20,200,93,107
Alvito,6,6,4,2,0,0,16,16,16,8,5,3,77,41,36
Barrancos,0,0,0,0,0,0,8,2,6,0,0,0,17,8,9
Beja,115,115,94,21,0,0,235,81,154,390,249,141,1495,834,661
Castro Verde,14,14,13,1,0,0,49,8,41,31,14,17,189,107,82
Cuba,6,6,6,0,0,0,28,3,25,28,13,15,163,80,83
Ferreira do Alentejo,15,15,11,4,0,0,57,10,47,67,44,23,596,381,215
Mértola,13,13,12,1,0,0,43,5,38,24,15,9,145,71,74
Moura,34,34,31,3,0,0,105,24,81,13,6,7,273,154,119
Ourique,18,18,11,7,0,0,45,6,39,50,28,22,319,156,163
Serpa,23,23,17,6,0,0,106,17,89,55,44,11,272,146,126
Vidigueira,19,19,17,2,0,0,33,2,31,7,2,5,143,79,64
Lezíria do Tejo,690,679,483,195,3,8,1651,460,1191,1791,1055,736,9271,4847,4424
Almeirim,61,61,51,10,0,0,177,53,124,143,86,57,750,400,350
Alpiarça,16,16,14,2,0,0,53,14,39,46,32,14,331,186,145
Azambuja,66,65,48,17,0,1,122,37,85,185,107,78,953,469,484
Benavente,86,82,73,9,2,2,174,56,118,287,156,131,1939,963,976
Cartaxo,67,66,54,12,0,1,184,64,120,118,61,57,728,380,348
Chamusca,7,7,4,3,0,0,70,10,60,10,7,3,78,38,40
Coruche,23,23,12,11,0,0,123,19,104,30,11,19,298,148,150
Golegã,36,36,20,16,0,0,40,5,35,7,2,5,73,36,37
Rio Maior,58,55,38,17,1,2,127,27,100,392,273,119,1236,719,517
Salvaterra de Magos,59,58,41,16,0,1,163,48,115,77,41,36,458,228,230
Santarém,211,210,128,82,0,1,418,127,291,496,279,217,2427,1280,1147
Alto Alentejo,285,284,177,107,0,1,940,198,742,292,179,113,2528,1253,1275
Alter do Chão,11,11,6,5,0,0,26,4,22,5,0,5,111,54,57
Arronches,6,6,4,2,0,0,37,1,36,8,4,4,53,29,24
Avis,3,3,3,0,0,0,23,5,18,6,6,0,63,36,27
Campo Maior,29,28,13,15,0,1,57,16,41,28,18,10,235,116,119
Castelo de Vide,6,6,5,1,0,0,28,4,24,18,11,7,111,54,57
Crato,4,4,4,0,0,0,34,5,29,3,3,0,74,30,44
Elvas,72,72,47,25,0,0,166,39,127,55,26,29,557,240,317
Fronteira,4,4,3,1,0,0,18,1,17,1,1,0,70,36,34
Gavião,10,10,8,2,0,0,54,7,47,2,1,1,16,11,5
Marvão,7,7,3,4,0,0,42,5,37,14,11,3,125,70,55
Monforte,8,8,6,2,0,0,27,3,24,0,0,0,41,26,15
Nisa,9,9,3,6,0,0,67,15,52,9,6,3,78,39,39
Ponte de Sor,40,40,24,16,0,0,121,28,93,68,49,19,367,206,161
Portalegre,62,62,42,20,0,0,199,58,141,73,42,31,550,265,285
Sousel,14,14,6,8,0,0,41,7,34,2,1,1,77,41,36
Alentejo Central,487,481,327,153,4,2,1200,250,950,754,392,362,4474,2324,2150
Alandroal,12,12,11,1,0,0,44,4,40,9,6,3,105,57,48
Arraiolos,21,21,12,9,0,0,55,17,38,12,4,8,123,65,58
Borba,20,20,12,8,0,0,60,13,47,17,7,10,127,52,75
Estremoz,38,35,24,11,2,1,109,26,83,35,21,14,324,161,163
Évora,176,176,100,75,0,0,375,98,277,431,208,223,2152,1098,1054
Montemor-o-Novo,60,60,51,9,0,0,138,16,122,60,30,30,394,192,202
Mora,12,12,6,6,0,0,46,2,44,4,3,1,46,23,23
Mourão,8,8,6,2,0,0,18,5,13,12,7,5,38,23,15
Portel,11,11,10,1,0,0,46,3,43,16,8,8,138,81,57
Redondo,18,18,18,0,0,0,46,7,39,19,12,7,208,118,90
Reguengos de Monsaraz,25,22,19,3,2,1,94,25,69,74,55,19,341,216,125
Vendas Novas,25,25,15,10,0,0,71,18,53,45,21,24,294,157,137
Viana do Alentejo,23,23,22,1,0,0,37,7,30,10,7,3,86,43,43
Vila Viçosa,38,38,21,17,0,0,61,9,52,10,3,7,98,38,60
Algarve,1729,1684,1423,249,19,26,2847,803,2044,17601,9762,7839,92558,48307,44251
Albufeira,197,189,160,29,6,2,224,100,124,2927,1641,1286,14813,7759,7054
Alcoutim,33,32,29,3,1,0,32,2,30,44,28,16,132,70,62
Aljezur,25,23,19,4,1,1,41,5,36,335,170,165,1635,831,804
Castro Marim,53,53,34,18,0,0,55,7,48,133,86,47,862,463,399
Faro,172,172,126,41,0,0,354,92,262,1980,1118,862,8663,4483,4180
Lagoa,101,95,82,13,3,3,140,44,96,772,399,373,4776,2429,2347
Lagos,87,85,78,7,0,2,200,55,145,1875,981,894,9759,5005,4754
Loulé,247,241,202,37,1,5,435,111,324,2848,1486,1362,17452,8958,8494
Monchique,80,77,73,4,1,2,48,8,40,135,80,55,817,460,357
Olhão,64,62,44,17,1,1,272,82,190,868,486,382,4699,2507,2192
Portimão,135,134,117,16,1,0,372,119,253,2129,1229,900,10189,5306,4883
São Brás de Alportel,265,258,229,27,1,6,66,20,46,203,97,106,1380,666,714
Silves,100,98,85,13,1,1,252,64,188,1109,636,473,6245,3349,2896
Tavira,58,58,43,15,0,0,196,55,141,1218,731,487,6275,3433,2842
Vila do Bispo,71,67,65,2,2,2,28,4,24,381,210,171,1918,967,951
Vila Real de Santo António,41,40,37,3,0,1,132,35,97,644,384,260,2943,1621,1322
R. A. Açores,958,943,669,270,7,8,1492,590,902,527,269,258,3857,1971,1886
Santa Maria,17,17,15,2,0,0,36,13,23,10,5,5,131,75,56
Vila do Porto,17,17,15,2,0,0,36,13,23,10,5,5,131,75,56
São Miguel,592,583,404,177,5,4,797,334,463,278,148,130,1642,843,799
Lagoa (R.A.A.),118,117,91,25,0,1,75,31,44,18,12,6,141,74,67
Nordeste,15,15,14,1,0,0,31,4,27,4,1,3,40,22,18
Ponta Delgada,325,319,212,106,3,3,452,203,249,201,106,95,1086,562,524
Povoação,15,14,10,4,1,0,34,13,21,22,14,8,85,45,40
Ribeira Grande,85,84,56,28,1,0,152,69,83,27,12,15,206,96,110
Vila Franca do Campo,34,34,21,13,0,0,53,14,39,6,3,3,84,44,40
Terceira,196,193,134,58,1,2,351,138,213,74,41,33,616,339,277
Angra do Heroísmo,138,136,89,46,1,1,223,91,132,47,28,19,407,233,174
Vila da Praia da Vitória,58,57,45,12,0,1,128,47,81,27,13,14,209,106,103
Graciosa,16,15,11,4,0,1,31,10,21,6,1,5,43,20,23
Santa Cruz da Graciosa,16,15,11,4,0,1,31,10,21,6,1,5,43,20,23
São Jorge,30,29,21,8,1,0,75,27,48,5,3,2,97,43,54
Calheta (R.A.A.),6,6,4,2,0,0,36,11,25,0,0,0,17,11,6
Velas,24,23,17,6,1,0,39,16,23,5,3,2,80,32,48
Pico,57,57,43,13,0,0,82,31,51,57,23,34,506,250,256
Lajes do Pico,22,22,16,5,0,0,27,6,21,13,2,11,163,70,93
Madalena,25,25,17,8,0,0,28,13,15,26,11,15,208,107,101
São Roque do Pico,10,10,10,0,0,0,27,12,15,18,10,8,135,73,62
Faial,43,42,34,8,0,1,88,25,63,84,45,39,627,304,323
Horta,43,42,34,8,0,1,88,25,63,84,45,39,627,304,323
Flores,7,7,7,0,0,0,28,12,16,12,3,9,185,93,92
