,"Proporção de casamentos entre portugueses/as e estrangeiros/as, %, 2021","População estrangeira a quem foi concedido título de residência por 100 habitantes, N.º, 2021","Índice de envelhecimento, N.º, 2021","Índice de renovação da população em idade ativa, N.º, 2021","Índice de dependência de idosas/os, N.º, 2021","Índice de longevidade, N.º, 2021","Relação de masculinidade, N.º, 2021","Relação de masculinidade dos estrangeiros a quem foi concedido título de residência , N.º, 2021","Idade média das mulheres ao nascimento do primeiro filho, anos, 2021","Idade média da mulher ao primeiro casamento, anos, 2021","Idade média do homem ao primeiro casamento, anos, 2021","Esperança de vida à nascença
, anos, 2019-2021","Esperança de vida aos 65 anos, anos, 2019-2021"
Oeiras,24.5,1.21,173,82.5,39.3,50.1,86.5,98.7,x,x,x,x,x
Palmela,1.1,0.8,148.7,78.8,33.1,50.8,92.8,117.4,x,x,x,x,x
Seixal,14.9,1.32,149.1,86.3,34.5,45,89.2,99.3,x,x,x,x,x
Sesimbra,22.1,0.97,140.7,77.8,32.1,46.9,94.2,94.7,x,x,x,x,x
Setúbal,25.2,1.25,167.3,78.4,37.6,47.5,89.8,109.1,x,x,x,x,x
Sintra,12.8,1.57,123.1,94.9,27,46.5,88.9,104.1,x,x,x,x,x
Vila Franca de Xira,7,0.83,124.8,84.2,28.5,43.4,91.1,95,x,x,x,x,x
Alentejo,12.5,0.93,219.5,66.4,44.5,52.7,94.1,190.4,29.6,33.9,35.1,79.83,18.85
Alentejo Litoral,16.4,2.59,222.3,70.6,42,51,103.5,270.5,29.4,36.2,37.8,79.7,19.36
Alcácer do Sal,13,0.7,290.6,54.7,54.3,49.3,93.5,151.6,x,x,x,x,x
Grândola,6.8,1.1,222.7,63.7,45.1,53.3,104,139.1,x,x,x,x,x
Odemira,3.3,6.38,220.3,99.9,33.4,54.2,123.8,346.9,x,x,x,x,x
Santiago do Cacém,21,0.73,237.7,54.1,49.7,49.5,94,126.7,x,x,x,x,x
Sines,26.2,1.28,158.7,67.9,35.6,47.3,92.7,163.8,x,x,x,x,x
Baixo Alentejo,11.7,0.85,216.4,63.2,45.6,52.1,96.4,314.9,28.5,31.9,33.2,78.29,17.78
Aljustrel,0,0.36,236.9,58.8,48.3,48.8,97.2,255.6,x,x,x,x,x
Almodôvar,0,0.53,295.5,57.3,56.4,53.3,96.8,260,x,x,x,x,x
Alvito,16.7,0.52,226.5,60.4,49.4,55.2,91.1,140,x,x,x,x,x
Barrancos,25,0.21,222.2,53,43.3,55.8,96.6,200,x,x,x,x,x
Beja,18.1,1.1,165.7,71.5,37.3,51.2,95.6,233.3,x,x,x,x,x
Castro Verde,0,0.36,226.1,59.4,44.2,50.8,93.9,177.8,x,x,x,x,x
Cuba,0,3.51,197,64.5,42.5,55.8,97.5,2466.7,x,x,x,x,x
Ferreira do Alentejo,15.6,1.94,245,69.4,48.4,50.1,101.3,733.3,x,x,x,x,x
Mértola,23.8,0.39,419.1,41.2,67.8,55,98.8,118.2,x,x,x,x,x
Moura,6.7,0.07,177.1,68.5,44.7,51.5,94.2,50,x,x,x,x,x
Ourique,0,1.03,336.4,51.7,60.7,56.2,96.3,72.4,x,x,x,x,x
Serpa,0,0.73,244.3,59.1,46.7,51.6,99.1,566.7,x,x,x,x,x
Vidigueira,11.1,0.19,213.1,66.9,46.2,53.5,94.5,100,x,x,x,x,x
Lezíria do Tejo,11.1,0.82,201.7,70.9,41.9,51.8,92.2,144,30,33.8,35.2,79.95,19.03
Almeirim,14.3,0.82,194.4,72.6,41.8,52.3,90.7,125,x,x,x,x,x
Alpiarça,4.2,0.52,244.3,69.9,50.2,51.3,91.2,176.9,x,x,x,x,x
Azambuja,14.6,1,182,77.5,36.8,50.6,101.1,102.8,x,x,x,x,x
Benavente,12.4,0.79,131.8,85.4,30.3,48.9,92.3,103.4,x,x,x,x,x
Cartaxo,9.4,0.71,202.1,70.3,40.4,51,92.3,163.5,x,x,x,x,x
Chamusca,40,0.27,299,53.7,55.1,53.8,93.2,187.5,x,x,x,x,x
Coruche,0,0.21,312,51.5,59.1,55,89.4,260,x,x,x,x,x
Golegã,10,0.35,254,69.8,48.6,52.6,89,533.3,x,x,x,x,x
Rio Maior,12.5,1.45,180.2,79.5,38.5,50.9,94.9,152.9,x,x,x,x,x
Salvaterra de Magos,6.6,0.4,218.1,67.3,44.4,51,92.1,168.8,x,x,x,x,x
Santarém,12.2,1.09,208.4,69,43.2,52.4,89.8,162.3,x,x,x,x,x
Alto Alentejo,10.3,0.39,255.9,59.4,51.2,55.4,90.5,93.8,28.9,34.6,36.1,79.24,18.44
Alter do Chão,11.1,0.26,318.3,50.9,64.2,60.2,85.4,33.3,x,x,x,x,x
Arronches,33.3,0.5,290.7,58.8,54.2,62.6,97.9,100,x,x,x,x,x
Avis,12.5,0.21,291,63,57.4,54.6,88.8,100,x,x,x,x,x
Campo Maior,7.7,0.29,164.4,80.6,38.9,49.8,93.1,64.3,x,x,x,x,x
Castelo de Vide,0,0.83,382.8,56.3,65.2,58.3,91.7,100,x,x,x,x,x
Crato,0,0.12,447,45.5,78.2,58.7,85.9,300,x,x,x,x,x
Elvas,20,0.39,176.2,65.7,39.3,52.8,90.5,88.4,x,x,x,x,x
Fronteira,25,0.17,329.4,46.4,60.5,54.3,89.8,150,x,x,x,x,x
Gavião,0,0.12,557.5,39.6,84.3,64.3,87.7,100,x,x,x,x,x
Marvão,0,1.42,362.2,48.1,64.4,57.3,90.9,95.5,x,x,x,x,x
Monforte,0,0.07,214.4,75.4,50.2,61.1,89.3,100,x,x,x,x,x
Nisa,0,0.24,534.5,46,78.1,59.5,89.8,75,x,x,x,x,x
Ponte de Sor,5,0.28,262.1,55.3,49.8,54.7,92.4,152.9,x,x,x,x,x
Portalegre,7.1,0.49,229.7,61.1,45.9,51.1,90.2,89.7,x,x,x,x,x
Sousel,11.1,0.46,294,61.1,58.2,59.8,86.7,81.8,x,x,x,x,x
Alentejo Central,13.9,0.49,225.3,64.7,44.8,53.5,92.4,115.1,30,33.8,34.6,80.17,19.37
