,"Densidade populacional 
┴, N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Águeda,137.9,0.02,-0.51,0.54,6.6,11.8,2.3,1.6,32.4,x,x,39.1,59.2,28.3
Albergaria-a-Velha,156.7,-0.17,-0.66,0.49,6.2,12.8,3.1,1.8,29.5,x,x,40.8,56.1,25.7
Anadia,127.5,-0.15,-0.87,0.72,5.7,14.4,2,1.5,30.7,x,x,35.4,62.7,47.2
Aveiro,414.2,0.87,-0.29,1.15,7.9,10.7,3.3,1.8,34.4,x,x,43.4,56.9,24.7
Estarreja,243.2,-0.03,-0.66,0.63,7.1,13.7,3.4,1.2,35.4,x,x,38.6,54.3,24.4
Ílhavo,538.5,0.68,-0.23,0.91,8.2,10.5,2.1,1.7,37.3,x,x,41.5,60.2,40.2
Murtosa,144.4,0.6,-0.38,0.98,9.1,12.9,7.7,2.1,44.3,x,x,40,55.2,17.5
Oliveira do Bairro,268.9,1.19,-0.48,1.67,7.2,12,4.7,2,32.4,x,x,42.3,62.5,33
Ovar,373.7,0.25,-0.19,0.45,8.3,10.3,2.4,2,38.2,x,x,41.7,56.7,30.2
Sever do Vouga,85,-0.56,-0.84,0.28,6.3,14.7,1.5,1,34.3,x,x,35.6,57.1,5.9
Vagos,139.8,0.48,-0.42,0.9,7.6,11.8,5,1.2,36.1,x,x,40.6,61.7,34.2
Região de Coimbra,101.1,-0.11,-0.79,0.67,6.3,14.2,2.6,1.7,31.8,2.6,1.22,37.3,56.7,32.9
Arganil,33.2,-0.83,-1.62,0.79,5.9,22.1,1.5,1.2,35,x,x,32.1,64.6,25
Cantanhede,87.8,-0.17,-0.89,0.72,6.4,15.3,2.9,1.4,33.8,x,x,35.8,57.3,40
Coimbra,443.1,0.16,-0.49,0.65,7.2,12.1,2.9,1.8,34,x,x,39.5,53.5,39.7
Condeixa-a-Nova,122,0.82,-0.43,1.26,6.3,10.7,2,1.6,29.1,x,x,40.8,50.5,33.3
Figueira da Foz,155.7,-0.26,-0.86,0.6,5.9,14.4,3,1.9,30.6,x,x,36.3,60.2,16
Góis,14.4,-1.15,-2.14,0.99,2.9,24.3,1.8,1.1,18.5,x,x,29.3,63.6,0
Lousã,123.4,0.28,-0.36,0.64,6.1,9.7,1.5,1.7,28,x,x,41.9,71.2,33.3
Mealhada,175.9,0.07,-0.72,0.8,6.2,13.4,1.9,1.4,30.8,x,x,38.4,62.5,37.8
Mira,97.8,-0.3,-0.97,0.67,6.3,16.1,2.8,1.4,34.6,x,x,34.8,49.4,44.1
Miranda do Corvo,95.3,-0.12,-1.06,0.94,5.6,16.2,1.2,2,29,x,x,36.8,47.8,53.3
Montemor-o-Velho,107.6,-0.15,-0.75,0.6,6.9,14.4,3.1,1.4,34.6,x,x,38.3,53.5,35.5
Mortágua,35.7,-0.39,-0.96,0.57,5.9,15.5,1.9,0.9,35.6,x,x,31.7,54.7,17.6
Oliveira do Hospital,82.7,-0.49,-0.85,0.35,6.2,14.7,1.2,1.5,33,x,x,36.1,63.6,29.2
Pampilhosa da Serra,10.4,-0.89,-2.49,1.6,3.1,28.1,1.7,1.2,25.7,x,x,23.7,61.5,28.6
Penacova,60.3,-0.81,-1.21,0.4,4.6,16.8,3,1.9,25.8,x,x,33.9,50.8,35.9
Penela,40.3,-0.92,-1.63,0.71,4.6,20.9,6.6,1.7,26.6,x,x,33,40,8.3
Soure,64.9,-0.75,-1.06,0.31,4.6,15.2,2.3,2,26.5,x,x,33.4,52.5,30
Tábua,56,-0.46,-1.31,0.85,5.4,18.5,1.4,1.3,28.4,x,x,36.5,85.2,18.8
Vila Nova de Poiares,81.1,0.13,-0.79,0.92,5.1,13,2.6,1,24.3,x,x,39.7,60,44.4
Região de Leiria,117.6,0.12,-0.52,0.64,7.1,12.3,2.4,1.5,34.7,4,1.33,39.5,58.3,33.5
Alvaiázere,39.1,-0.4,-1.48,1.08,6.4,21.2,1.6,0.8,40.7,x,x,29.5,55,40
Ansião,66.1,-0.58,-1.28,0.7,5.9,18.7,2.2,1.3,33.3,x,x,33.8,47.8,42.3
Batalha,151.7,0.63,-0.4,1.02,6.6,10.6,4.9,1.3,31.2,x,x,41,49,51.9
Castanheira de Pêra,39.6,-1.35,-1.76,0.41,3.8,21.4,1.5,1.5,26,x,x,27.2,70,0
Figueiró dos Vinhos,30.5,-0.81,-1.72,0.9,4.5,21.7,1.9,0.9,29,x,x,29.9,70.8,30
Leiria,228.9,0.38,-0.22,0.6,7.7,9.8,2.3,1.6,35.1,x,x,41.9,57.3,33.2
Marinha Grande,209.4,0.29,-0.41,0.7,6.7,10.9,2,1.6,31.4,x,x,41.3,63.6,13
Pedrógão Grande,26.5,-0.29,-1.61,1.32,5.3,21.4,3.5,0.6,33.6,x,x,30,66.7,50
Pombal,81.8,-0.31,-0.84,0.53,7.1,15.5,2.8,1.3,36.7,x,x,36.9,57.9,31.9
Porto de Mós,88.8,-0.05,-0.52,0.47,7.6,12.8,1.4,1.5,37.5,x,x,39.2,64.4,36.4
Viseu Dão Lafões,78.2,-0.21,-0.83,0.62,6.2,14.5,2.8,1.6,31.5,4.5,1.22,37.5,55.7,40.5
Aguiar da Beira,25.2,-1.43,-2.38,0.95,5.7,29.5,3.4,1,36.7,x,x,29.9,50,55.6
Carregal do Sal,77.5,-0.06,-0.86,0.81,5.8,14.5,2,1.4,31.8,x,x,34.8,62.3,27.8
Castro Daire,36.2,-0.56,-1.08,0.52,4.9,15.6,3.1,1.4,27.7,x,x,33.6,41.8,51.2
Mangualde,83.4,-0.52,-1.03,0.51,5.4,15.7,4.4,1.4,28.7,x,x,36.2,56.6,41.8
Nelas,104.3,-0.5,-0.93,0.43,4.9,14.2,3.3,1.3,26.6,x,x,35.1,60,34.1
Oliveira de Frades,65.7,0.15,-0.6,0.74,6.3,12.3,3.6,1.6,30.5,x,x,39.6,65,38.2
Penalva do Castelo,54.5,-1.09,-1.59,0.5,3.4,19.3,2.7,1,20,x,x,32.9,52,65
Santa Comba Dão,95,-0.55,-1.04,0.49,6.9,17.3,2.4,2.2,38,x,x,34.6,55.4,42.3
São Pedro do Sul,43.3,-0.63,-1.15,0.51,4.4,15.9,2.2,1.8,25,x,x,33.6,50.7,15.6
Sátão,54.8,-0.18,-0.99,0.81,6,15.9,2.6,0.8,31.9,x,x,35.3,53,37.9
Tondela,69.8,-0.64,-1.17,0.53,6,17.6,2.3,1.3,32.7,x,x,34.6,61.9,31.7
Vila Nova de Paiva,26.5,-0.73,-1.54,0.81,5.1,20.5,3.2,1.7,29.1,x,x,34,45.8,26.7
Viseu,197.3,0.26,-0.41,0.67,7.3,11.4,2.6,1.9,33.1,x,x,41.5,55.7,43.7
Vouzela,49.5,-0.29,-0.86,0.57,6.5,15.1,2.5,1.6,34.5,x,x,35.5,50,41.7
Beira Baixa,17.5,-0.55,-1.2,0.65,5.9,18,2.3,1.3,34.4,6.3,1.34,32.9,66.7,35.3
Castelo Branco,36.4,-0.33,-0.85,0.52,6.8,15.2,2.7,1.6,35,x,x,36.7,63.7,34.3
Idanha-a-Nova,5.9,-1.4,-2.1,0.7,5.1,26.1,1.3,1.1,37.2,x,x,26.4,76.7,18.2
Oleiros,10.5,-0.18,-1.3,1.12,4.1,17,2.4,1,32.2,x,x,24.3,75,25
Penamacor,8.4,-1.34,-2.22,0.88,2.1,24.3,1,0.4,17.8,x,x,23.4,80,80
Proença-a-Nova,18,-1.12,-1.85,0.74,4.9,23.4,2,0.6,34.5,x,x,27.8,65.7,50
Vila Velha de Ródão,10,-0.18,-1.57,1.39,5.1,20.9,0.6,0.6,38.9,x,x,25.8,88.2,50
Médio Tejo,68.6,-0.16,-1,0.84,5.9,15.9,2.5,1.7,31.9,4.3,1.26,35.4,61.9,36
Abrantes,47.9,-0.9,-1.31,0.41,4.8,17.9,2.1,1.5,27.9,x,x,33.2,69.9,33.8
Alcanena,98.1,-0.5,-1.21,0.71,5.6,17.7,1.3,1.4,30.4,x,x,35.5,64.3,43.8
Constância,47.7,0.55,-0.79,1.33,5.8,13.6,9.4,1.3,28.7,x,x,38.7,63.6,22.2
Entroncamento,1491.5,1.45,-0.32,1.77,7.4,10.6,1.5,1.7,33.7,x,x,41.3,62.7,16.7
Ferreira do Zêzere,41,-0.49,-1.44,0.96,6.1,20.6,3.2,1.1,35.4,x,x,33,45.8,24
Mação,15.9,-1.25,-2.06,0.81,4.4,24.9,1.4,1.1,32.7,x,x,25.9,71.4,44.4
Ourém,107.3,0.08,-0.67,0.76,7.3,14,3.6,1.7,36.4,x,x,37.7,52.1,43.7
Sardoal,38.3,0.03,-1.13,1.16,5.1,16.4,2.5,2.2,30,x,x,32.8,83.3,44.4
Sertã,33,-0.48,-1,0.52,5.3,15.3,2.5,1.4,30.2,x,x,33.8,57.7,10.8
Tomar,103.7,-0.46,-1.11,0.65,5.7,16.8,2.4,2,32,x,x,33.7,68.9,37.9
Torres Novas,126.7,-0.19,-1.03,0.84,5.1,15.4,1.4,2,27,x,x,36.1,69.5,51
Vila de Rei,17.3,0.39,-1.69,2.08,7.6,24.5,2.7,0.6,49.8,x,x,29,48,44.4
Vila Nova da Barquinha,143.6,0.99,-0.73,1.72,6.6,14,6.2,0.7,33.9,x,x,37.2,53.2,36.4
Beiras e Serra da Estrela,33.4,-0.66,-1.21,0.55,5.4,17.5,2,1.4,31.4,6.2,1.22,32.9,60,38.4
Almeida,11.3,-1.66,-2.58,0.92,2,27.8,1.9,0.9,15.9,x,x,24.2,66.7,54.5
Belmonte,52.3,-0.23,-0.96,0.74,5,14.6,1.6,1.4,29,x,x,32.8,77.4,60
Celorico da Beira,26.6,-0.77,-1.52,0.74,4.4,19.6,3,2.1,26.6,x,x,31.8,65.5,10
Covilhã,83.5,-0.56,-0.91,0.36,5.6,14.7,1.7,2,30,x,x,35.4,66.9,25
Figueira de Castelo Rodrigo,10.1,-1.02,-1.99,0.97,6.4,26.3,1,1.7,42.4,x,x,29.1,57.6,20
Fornos de Algodres,33.5,-1.18,-2.19,1.02,4.1,26,1.6,0.2,25,x,x,30.9,77.8,42.9
Fundão,37.8,-0.54,-1.02,0.48,6.1,16.3,2.3,1.1,35.7,x,x,33,53.1,47.5
Gouveia,40.6,-0.68,-1.48,0.8,4,18.8,2,1,26.5,x,x,28.7,69.4,20
Guarda,56.3,-0.36,-0.71,0.35,6.7,13.8,2.6,1.7,33.1,x,x,38.3,51.1,53.4
