,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Óbidos,2628,1427,1201,148,102,46,654,452,202,1826,873,953
Peniche,4235,2091,2144,480,385,95,1210,660,550,2545,1046,1499
Sobral de Monte Agraço,1494,842,652,44,25,19,606,382,224,844,435,409
Torres Vedras,17476,9794,7682,1389,922,467,5215,3692,1523,10872,5180,5692
Região de Aveiro,89950,50798,39152,812,584,228,46072,30142,15930,43066,20072,22994
Águeda,12873,7068,5805,77,57,20,7805,4947,2858,4991,2064,2927
Albergaria-a-Velha,6343,3834,2509,68,46,22,3594,2524,1070,2681,1264,1417
Anadia,5725,3084,2641,155,104,51,3195,2148,1047,2375,832,1543
Aveiro,25141,14115,11026,101,75,26,9053,6437,2616,15987,7603,8384
Estarreja,6356,4357,1999,50,30,20,3313,2440,873,2993,1887,1106
Ílhavo,7167,3935,3232,170,142,28,3695,2229,1466,3302,1564,1738
Murtosa,1284,604,680,67,50,17,621,339,282,596,215,381
Oliveira do Bairro,5903,3227,2676,9,6,3,3311,2107,1204,2583,1114,1469
Ovar,12545,7101,5444,55,36,19,7676,4628,3048,4814,2437,2377
Sever do Vouga,2356,1452,904,26,17,9,1392,1026,366,938,409,529
Vagos,4257,2021,2236,34,21,13,2417,1317,1100,1806,683,1123
Região de Coimbra,81365,43544,37821,1920,1313,607,26383,18499,7884,53062,23732,29330
Arganil,1664,808,856,45,41,4,580,415,165,1039,352,687
Cantanhede,7136,3867,3269,256,149,107,3347,2356,991,3533,1362,2171
Coimbra,29237,15126,14111,188,127,61,5637,3964,1673,23412,11035,12377
Condeixa-a-Nova,2126,1005,1121,13,…,…,702,…,…,1411,539,872
Figueira da Foz,12493,7262,5231,260,199,61,5152,3969,1183,7081,3094,3987
Góis,465,188,277,38,27,11,101,76,25,326,85,241
Lousã,2509,1371,1138,64,43,21,1073,711,362,1372,617,755
Mealhada,4466,2823,1643,50,25,25,1071,853,218,3345,1945,1400
Mira,1790,868,922,178,115,63,700,410,290,912,343,569
Miranda do Corvo,1126,512,614,75,54,21,241,161,80,810,297,513
Montemor-o-Velho,2987,1602,1385,242,151,91,1022,725,297,1723,726,997
Mortágua,2112,1165,947,173,145,28,1003,591,412,936,429,507
Oliveira do Hospital,3684,1963,1721,52,41,11,1618,1099,519,2014,823,1191
Pampilhosa da Serra,521,189,332,28,23,5,91,80,11,402,86,316
Penacova,1698,1083,615,23,…,…,611,…,…,1064,525,539
Penela,1554,940,614,23,…,…,769,…,…,762,296,466
Soure,1907,894,1013,146,75,71,682,460,222,1079,359,720
Tábua,2420,1170,1250,51,33,18,1408,729,679,961,408,553
Vila Nova de Poiares,1470,708,762,15,…,…,575,…,…,880,411,469
Região de Leiria,72688,42196,30492,1070,623,447,33013,23793,9220,38605,17780,20825
Alvaiázere,1080,688,392,27,14,13,348,299,49,705,375,330
Ansião,2254,1229,1025,20,12,8,834,536,298,1400,681,719
Batalha,4334,2578,1756,66,29,37,2362,1601,761,1906,948,958
Castanheira de Pêra,394,159,235,17,…,…,157,…,…,220,65,155
Figueiró dos Vinhos,592,272,320,19,…,…,144,…,…,429,148,281
Leiria,36514,20855,15659,575,322,253,14251,10534,3717,21688,9999,11689
Marinha Grande,10370,6399,3971,22,…,…,6627,…,…,3721,1615,2106
Pedrógão Grande,436,205,231,26,23,3,80,64,16,330,118,212
Pombal,11960,6995,4965,235,130,105,5507,3965,1542,6218,2900,3318
Porto de Mós,4754,2816,1938,63,40,23,2703,1845,858,1988,931,1057
Viseu Dão Lafões,50779,28388,22391,1040,665,375,20583,14513,6070,29156,13210,15946
Aguiar da Beira,876,421,455,42,35,7,245,180,65,589,206,383
Carregal do Sal,1877,1044,833,56,43,13,1115,713,402,706,288,418
Castro Daire,1733,1003,730,53,40,13,447,375,72,1233,588,645
Mangualde,4590,3095,1495,46,24,22,1834,1287,547,2710,1784,926
Nelas,2904,1671,1233,39,26,13,1877,1282,595,988,363,625
Oliveira de Frades,2976,1814,1162,150,76,74,2015,1403,612,811,335,476
Penalva do Castelo,961,560,401,15,11,4,350,318,32,596,231,365
Santa Comba Dão,1686,798,888,37,22,15,760,426,334,889,350,539
São Pedro do Sul,2022,927,1095,81,35,46,587,430,157,1354,462,892
Sátão,1431,731,700,59,38,21,621,396,225,751,297,454
Tondela,5318,2765,2553,190,108,82,3031,1786,1245,2097,871,1226
Vila Nova de Paiva,473,228,245,22,11,11,132,107,25,319,110,209
Viseu,22417,12628,9789,209,167,42,6664,5354,1310,15544,7107,8437
Vouzela,1515,703,812,41,29,12,905,456,449,569,218,351
Beira Baixa,13285,7138,6147,561,439,122,4084,2953,1131,8640,3746,4894
Castelo Branco,9727,5059,4668,232,187,45,2939,2013,926,6556,2859,3697
Idanha-a-Nova,852,445,407,180,146,34,91,71,20,581,228,353
Oleiros,650,414,236,31,28,3,294,258,36,325,128,197
Penamacor,313,171,142,50,26,24,71,47,24,192,98,94
Proença-a-Nova,930,528,402,36,23,13,326,268,58,568,237,331
Vila Velha de Ródão,813,521,292,32,29,3,363,296,67,418,196,222
Médio Tejo,40505,22010,18495,1218,832,386,13972,10839,3133,25315,10339,14976
Abrantes,4931,2901,2030,162,127,35,2148,1708,440,2621,1066,1555
Alcanena,3301,1822,1479,14,9,5,1299,852,447,1988,961,1027
Constância,838,500,338,30,22,8,537,385,152,271,93,178
Entroncamento,2888,1612,1276,27,21,6,462,391,71,2399,1200,1199
Ferreira do Zêzere,1600,906,694,392,265,127,492,413,79,716,228,488
Mação,853,391,462,42,38,4,280,213,67,531,140,391
Ourém,11037,5979,5058,106,68,38,4287,3401,886,6644,2510,4134
Sardoal,271,118,153,18,13,5,68,64,4,185,41,144
Sertã,2156,1124,1032,108,98,10,592,475,117,1456,551,905
Tomar,5151,2763,2388,219,98,121,1451,1211,240,3481,1454,2027
Torres Novas,6461,3499,2962,71,52,19,2154,1581,573,4236,1866,2370
Vila de Rei,527,175,352,19,14,5,95,74,21,413,87,326
Vila Nova da Barquinha,491,220,271,10,7,3,107,71,36,374,142,232
Beiras e Serra da Estrela,34693,17886,16807,1009,775,234,10348,6993,3355,23336,10118,13218
Almeida,785,349,436,27,…,…,66,…,…,692,272,420
Belmonte,1039,467,572,56,39,17,463,202,261,520,226,294
Celorico da Beira,1004,469,535,28,17,11,254,98,156,722,354,368
Covilhã,7323,3855,3468,91,77,14,2561,1681,880,4671,2097,2574
Figueira de Castelo Rodrigo,630,262,368,95,75,20,97,80,17,438,107,331
Fornos de Algodres,603,295,308,29,20,9,186,122,64,388,153,235
Fundão,5034,2806,2228,267,201,66,1500,911,589,3267,1694,1573
Gouveia,1483,633,850,69,39,30,333,215,118,1081,379,702
Guarda,8966,5024,3942,151,125,26,2642,2098,544,6173,2801,3372
Manteigas,554,254,300,16,…,…,164,…,…,374,123,251
Mêda,484,204,280,38,27,11,142,106,36,304,71,233
Pinhel,1054,561,493,36,26,10,368,310,58,650,225,425
Sabugal,1164,475,689,37,32,5,217,148,69,910,295,615
Seia,3125,1428,1697,31,27,4,1005,590,415,2089,811,1278
Trancoso,1445,804,641,38,34,4,350,260,90,1057,510,547
A. M. Lisboa,708948,376864,332084,4791,3403,1388,110847,83873,26974,593310,289588,303722
Alcochete,4251,2448,1803,313,186,127,1100,846,254,2838,1416,1422
Almada,19980,9283,10697,22,15,7,3012,2451,561,16946,6817,10129
Amadora,32216,16862,15354,16,…,…,3994,…,…,28206,13900,14306
Barreiro,7506,3519,3987,0,0,0,1245,1037,208,6261,2482,3779
Cascais,34305,17906,16399,156,104,52,5664,4352,1312,28485,13450,15035
Lisboa,312671,155815,156856,917,669,248,18223,12832,5391,293531,142314,151217
Loures,42910,25083,17827,464,355,109,10549,7940,2609,31897,16788,15109
Mafra,17053,11140,5913,292,205,87,4267,3137,1130,12494,7798,4696
Moita,4526,2442,2084,100,77,23,1658,1311,347,2768,1054,1714
Montijo,9010,4637,4373,887,552,335,1931,1459,472,6192,2626,3566
Odivelas,15363,8680,6683,13,…,…,3917,…,…,11433,5616,5817
Oeiras,74096,38643,35453,104,73,31,9161,6632,2529,64831,31938,32893
Palmela,20292,14194,6098,298,214,84,12028,9661,2367,7966,4319,3647
Seixal,16281,9442,6839,33,22,11,5066,4080,986,11182,5340,5842
Sesimbra,5044,2719,2325,447,401,46,1089,907,182,3508,1411,2097
Setúbal,18511,10188,8323,210,157,53,5556,4476,1080,12745,5555,7190
Sintra,52003,29992,22011,356,246,110,16109,11883,4226,35538,17863,17675
Vila Franca de Xira,22930,13871,9059,163,103,60,6278,4867,1411,16489,8901,7588
Alentejo,131584,74491,57093,17644,13455,4189,36694,26695,9999,77246,34341,42905
Alentejo Litoral,23469,14567,8902,6581,5014,1567,4533,3556,977,12355,5997,6358
Alcácer do Sal,1910,1076,834,520,378,142,386,313,73,1004,385,619
Grândola,2148,1090,1058,137,103,34,411,289,122,1600,698,902
Odemira,9080,6066,3014,5446,4158,1288,580,516,64,3054,1392,1662
Santiago do Cacém,4779,2393,2386,442,348,94,1251,904,347,3086,1141,1945
Sines,5552,3942,1610,36,27,9,1905,1534,371,3611,2381,1230
Baixo Alentejo,19219,11209,8010,3302,2765,537,5431,4361,1070,10486,4083,6403
Aljustrel,1595,1050,545,173,145,28,772,677,95,650,228,422
Almodôvar,775,315,460,53,38,15,162,104,58,560,173,387
Alvito,195,109,86,45,39,6,44,37,7,106,33,73
Barrancos,170,94,76,33,30,3,56,36,20,81,28,53
Beja,7009,3945,3064,1219,1075,144,1227,910,317,4563,1960,2603
Castro Verde,2740,2001,739,116,90,26,1774,1602,172,850,309,541
Cuba,357,227,130,129,115,14,72,61,11,156,51,105
Ferreira do Alentejo,1118,724,394,393,326,67,253,216,37,472,182,290
Mértola,755,380,375,137,113,24,125,100,25,493,167,326
Moura,1622,905,717,363,298,65,331,238,93,928,369,559
Ourique,577,246,331,55,46,9,133,72,61,389,128,261
Serpa,1690,922,768,461,361,100,321,210,111,908,351,557
Vidigueira,616,291,325,125,89,36,161,98,63,330,104,226
Lezíria do Tejo,44251,24980,19271,3247,2255,992,13625,9353,4272,27379,13372,14007
Almeirim,3173,1802,1371,452,338,114,908,672,236,1813,792,1021
Alpiarça,986,514,472,156,95,61,401,267,134,429,152,277
Azambuja,7986,5088,2898,230,183,47,1097,716,381,6659,4189,2470
Benavente,6185,3546,2639,475,327,148,2489,1643,846,3221,1576,1645
Cartaxo,2496,1252,1244,153,92,61,759,549,210,1584,611,973
Chamusca,1400,869,531,236,172,64,640,475,165,524,222,302
Coruche,2487,1433,1054,486,341,145,785,526,259,1216,566,650
Golegã,795,375,420,102,71,31,274,172,102,419,132,287
Rio Maior,4319,2447,1872,263,168,95,2048,1330,718,2008,949,1059
Salvaterra de Magos,2632,1505,1127,186,117,69,754,602,152,1692,786,906
Santarém,11792,6149,5643,508,351,157,3470,2401,1069,7814,3397,4417
Alto Alentejo,15648,8195,7453,1744,1341,403,4331,3160,1171,9573,3694,5879
Alter do Chão,413,186,227,95,74,21,70,63,7,248,49,199
Arronches,366,191,175,85,78,7,47,32,15,234,81,153
Avis,722,392,330,131,102,29,341,199,142,250,91,159
Campo Maior,2163,1195,968,193,146,47,1003,632,371,967,417,550
Castelo de Vide,467,193,274,14,…,…,94,…,…,359,102,257
Crato,279,134,145,40,33,7,72,45,27,167,56,111
Elvas,2647,1455,1192,398,296,102,416,325,91,1833,834,999
Fronteira,349,184,165,100,78,22,43,35,8,206,71,135
Gavião,324,127,197,20,…,…,76,…,…,228,48,180
Marvão,403,147,256,24,17,7,54,44,10,325,86,239
Monforte,480,225,255,109,83,26,39,27,12,332,115,217
Nisa,587,212,375,49,40,9,101,69,32,437,103,334
Ponte de Sor,2222,1172,1050,220,156,64,662,504,158,1340,512,828
Portalegre,3589,2006,1583,113,85,28,1156,951,205,2320,970,1350
Sousel,637,376,261,153,124,29,157,93,64,327,159,168
Alentejo Central,28997,15540,13457,2770,2080,690,8774,6265,2509,17453,7195,10258
Alandroal,536,303,233,156,122,34,210,128,82,170,53,117
Arraiolos,1093,578,515,269,194,75,245,172,73,579,212,367
Borba,888,463,425,92,64,28,338,221,117,458,178,280
Estremoz,2442,1280,1162,242,164,78,580,378,202,1620,738,882
Évora,13625,7352,6273,632,526,106,4190,3002,1188,8803,3824,4979
Montemor-o-Novo,2807,1561,1246,516,364,152,698,581,117,1593,616,977
Mora,678,302,376,98,67,31,155,116,39,425,119,306
Mourão,237,120,117,28,22,6,41,31,10,168,67,101
Portel,579,270,309,123,87,36,110,80,30,346,103,243
Redondo,750,462,288,198,146,52,216,159,57,336,157,179
Reguengos de Monsaraz,1303,636,667,113,86,27,275,202,73,915,348,567
Vendas Novas,2109,1078,1031,141,108,33,967,572,395,1001,398,603
Viana do Alentejo,668,339,329,117,100,17,134,102,32,417,137,280
Vila Viçosa,1282,796,486,45,30,15,615,521,94,622,245,377
Algarve,103302,54309,48993,2868,2116,752,15055,12102,2953,85379,40091,45288
Albufeira,14299,7207,7092,148,89,59,1071,897,174,13080,6221,6859
Alcoutim,300,118,182,34,24,10,40,29,11,226,65,161
Aljezur,991,489,502,49,26,23,127,108,19,815,355,460
Castro Marim,1000,481,519,27,…,…,146,…,…,827,331,496
Faro,16462,8396,8066,541,367,174,2180,1706,474,13741,6323,7418
Lagoa,6053,3316,2737,127,115,12,806,657,149,5120,2544,2576
Lagos,7511,3929,3582,90,70,20,1316,1084,232,6105,2775,3330
Loulé,21546,11821,9725,265,222,43,3313,2671,642,17968,8928,9040
Monchique,588,323,265,43,39,4,151,129,22,394,155,239
Olhão,5777,3157,2620,505,333,172,1436,1049,387,3836,1775,2061
Portimão,12985,6608,6377,87,68,19,1754,1432,322,11144,5108,6036
São Brás de Alportel,1499,800,699,4,…,…,483,…,…,1012,419,593
Silves,5119,2954,2165,318,232,86,891,705,186,3910,2017,1893
Tavira,4622,2395,2227,507,406,101,820,698,122,3295,1291,2004
Vila do Bispo,1051,547,504,58,47,11,63,55,8,930,445,485
Vila Real de Santo António,3499,1768,1731,65,51,14,458,378,80,2976,1339,1637
R. A. Açores,40287,22861,17426,1186,1053,133,9841,8031,1810,29260,13777,15483
Santa Maria,816,505,311,8,8,0,175,151,24,633,346,287
Vila do Porto,816,505,311,8,8,0,175,151,24,633,346,287
São Miguel,23882,13765,10117,844,751,93,6033,4929,1104,17005,8085,8920
Lagoa (R.A.A.),2130,1360,770,78,71,7,738,636,102,1314,653,661
Nordeste,404,220,184,22,22,0,86,81,5,296,117,179
Ponta Delgada,14655,7985,6670,424,357,67,2548,2050,498,11683,5578,6105
Povoação,757,371,386,37,…,…,108,…,…,612,267,345
Ribeira Grande,4808,3124,1684,201,188,13,2194,1798,396,2413,1138,1275
Vila Franca do Campo,1128,705,423,82,…,…,359,…,…,687,332,355
Terceira,8922,4999,3923,178,158,20,2039,1715,324,6705,3126,3579
Angra do Heroísmo,6093,3248,2845,119,111,8,1333,1126,207,4641,2011,2630
Vila da Praia da Vitória,2829,1751,1078,59,47,12,706,589,117,2064,1115,949
Graciosa,464,277,187,19,…,…,133,…,…,312,147,165
Santa Cruz da Graciosa,464,277,187,19,…,…,133,…,…,312,147,165
São Jorge,1169,645,524,17,…,…,384,…,…,768,367,401
Calheta (R.A.A.),361,180,181,…,…,0,…,…,…,197,99,98
Velas,808,465,343,…,…,…,…,…,…,571,268,303
Pico,1944,1005,939,80,69,11,492,381,111,1372,555,817
Lajes do Pico,373,144,229,…,…,0,…,…,43,260,74,186
Madalena,1078,555,523,68,57,11,231,179,52,779,319,460
São Roque do Pico,493,306,187,…,…,0,…,…,16,333,162,171
Faial,2602,1411,1191,33,…,…,490,…,…,2079,985,1094
Horta,2602,1411,1191,33,…,…,490,…,…,2079,985,1094
Flores,431,229,202,…,3,…,…,75,12,340,151,189
Lajes das Flores,149,74,75,…,0,…,…,30,…,113,44,69
Santa Cruz das Flores,282,155,127,…,3,0,…,45,…,227,107,120
Corvo,57,25,32,…,…,0,8,…,…,46,15,31
Corvo,57,25,32,…,…,0,8,…,…,46,15,31
R. A. Madeira,46279,25052,21227,468,331,137,9368,8023,1345,36443,16698,19745
Calheta (R.A.M.),1838,1238,600,21,…,…,979,…,…,838,321,517
Câmara de Lobos,2410,1501,909,96,54,42,918,799,119,1396,648,748
Funchal,30629,15775,14854,62,43,19,4574,3878,696,25993,11854,14139
Machico,2102,1180,922,14,…,…,712,…,…,1376,552,824
Ponta do Sol,702,392,310,19,10,9,179,155,24,504,227,277
Porto Moniz,294,122,172,3,3,0,43,34,9,248,85,163
Ribeira Brava,1544,827,717,0,0,0,426,373,53,1118,454,664
Santa Cruz,4753,2943,1810,237,184,53,1045,844,201,3471,1915,1556
Santana,487,227,260,…,…,…,…,…,…,346,117,229
São Vicente,569,317,252,10,4,6,172,146,26,387,167,220
Porto Santo,951,530,421,…,…,0,…,…,…,766,358,408
