,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Campo Maior,2163,195,164,118,199,364,268,855
Castelo de Vide,467,140,38,71,120,8,31,59
Crato,279,95,14,123,3,29,…,…
Elvas,2647,914,489,610,314,72,54,194
Fronteira,349,175,36,59,63,0,0,16
Gavião,324,68,41,94,0,118,0,3
Marvão,403,147,52,68,121,0,…,…
Monforte,480,157,88,122,52,0,0,61
Nisa,587,204,49,197,38,78,0,21
Ponte de Sor,2222,515,337,370,319,249,276,156
Portalegre,3589,886,370,529,416,708,331,349
Sousel,637,249,128,132,108,15,0,5
Alentejo Central,28997,7738,3307,4840,2651,3387,1430,5644
Alandroal,536,233,81,92,16,23,26,65
Arraiolos,1093,393,174,270,229,8,11,8
Borba,888,388,99,111,60,119,0,111
Estremoz,2442,752,433,489,131,311,72,254
Évora,13625,2587,1192,1910,1017,1465,884,4570
Montemor-o-Novo,2807,1031,303,531,294,234,180,234
Mora,678,209,62,187,23,191,0,6
Mourão,237,83,43,66,35,6,0,4
Portel,579,234,63,173,27,82,0,0
Redondo,750,291,150,159,111,18,0,21
Reguengos de Monsaraz,1303,395,176,165,142,298,5,122
Vendas Novas,2109,516,176,404,216,348,239,210
Viana do Alentejo,668,250,118,108,107,80,0,5
Vila Viçosa,1282,376,237,175,243,204,13,34
Algarve,103302,26852,14513,15783,10925,12060,5144,18025
Albufeira,14299,3232,1883,2069,1631,2618,798,2068
Alcoutim,300,102,58,48,85,0,…,…
Aljezur,991,501,152,92,219,4,…,…
Castro Marim,1000,329,136,144,355,4,21,11
Faro,16462,3244,1995,2417,1678,2004,727,4397
Lagoa,6053,1567,866,907,441,930,407,935
Lagos,7511,2387,1297,1376,619,754,514,564
Loulé,21546,5150,3108,3731,2109,2133,1336,3979
Monchique,588,290,126,57,106,5,0,4
Olhão,5777,1690,873,1110,767,665,96,576
Portimão,12985,2956,1510,1510,1244,1307,844,3614
São Brás de Alportel,1499,567,362,174,118,47,42,189
Silves,5119,1813,837,676,579,419,108,687
Tavira,4622,1434,768,668,402,572,140,638
Vila do Bispo,1051,486,182,188,136,5,27,27
Vila Real de Santo António,3499,1104,360,616,436,593,67,323
R. A. Açores,40287,8513,5007,7597,4915,6384,1945,5926
Santa Maria,816,212,109,183,18,68,7,219
Vila do Porto,816,212,109,183,18,68,7,219
São Miguel,23882,4486,2732,4648,3332,4472,878,3334
Lagoa (R.A.A.),2130,416,328,577,303,330,32,144
Nordeste,404,124,63,18,84,102,7,6
Ponta Delgada,14655,2775,1617,2687,2206,2342,600,2428
Povoação,757,185,88,113,18,294,12,47
Ribeira Grande,4808,691,487,987,666,1237,126,614
Vila Franca do Campo,1128,295,149,266,55,167,101,95
Terceira,8922,1872,1226,1597,1033,991,716,1487
Angra do Heroísmo,6093,1355,807,886,694,536,606,1209
Vila da Praia da Vitória,2829,517,419,711,339,455,110,278
Graciosa,464,134,44,69,76,28,27,86
Santa Cruz da Graciosa,464,134,44,69,76,28,27,86
São Jorge,1169,364,206,287,65,125,16,106
Calheta (R.A.A.),361,84,83,141,0,…,0,…
Velas,808,280,123,146,65,…,16,…
Pico,1944,686,323,297,167,219,21,231
Lajes do Pico,373,126,104,74,49,5,0,15
Madalena,1078,366,139,141,67,190,0,175
São Roque do Pico,493,194,80,82,51,24,21,41
Faial,2602,634,252,406,219,452,259,380
Horta,2602,634,252,406,219,452,259,380
Flores,431,112,85,…,5,…,…,77
Lajes das Flores,149,49,33,…,0,…,…,0
Santa Cruz das Flores,282,63,52,…,5,…,0,77
Corvo,57,13,30,…,0,…,…,6
Corvo,57,13,30,…,0,…,…,6
R. A. Madeira,46279,8875,5320,7208,4863,5024,2696,12293
Calheta (R.A.M.),1838,290,210,135,…,139,…,973
Câmara de Lobos,2410,718,361,573,…,341,…,198
Funchal,30629,5150,3126,4300,3119,3280,2365,9289
Machico,2102,402,284,338,489,249,79,261
Ponta do Sol,702,278,104,65,80,0,148,27
Porto Moniz,294,96,40,76,70,0,0,12
Ribeira Brava,1544,365,235,176,253,302,11,202
Santa Cruz,4753,983,693,1021,385,628,61,982
Santana,487,157,65,115,67,11,0,72
São Vicente,569,237,106,214,0,0,0,12
Porto Santo,951,199,96,195,96,74,26,265
