,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Nazaré,1081.21,873.34,1114.4,1012.21,1078.74,1424.62,1071.68,1337.65
Óbidos,1062.9,931.01,1063.41,1047.7,1209.8,1091.03,1321.62,1096.7
Peniche,1050.14,917.46,1122.22,1092.47,1164.77,1076.01,1185.99,1098.89
Sobral de Monte Agraço,1058.97,928.98,1103.97,1056.82,1152.75,1453.26,…,1220.86
Torres Vedras,1108.61,954.77,1004.98,1118.47,1123.4,1275.13,1262.32,1259.9
Região de Aveiro,1209.91,967.64,1092.5,1165.91,1211.72,1235.69,1379.93,1407.47
Águeda,1127.48,1000.55,1062.54,1162.75,1168.23,1156.91,1261.33,1112.27
Albergaria-a-Velha,1194.12,977.01,1082.46,1200.1,1204.95,1133.48,1335.51,1462.71
Anadia,1092.67,940.06,1083.72,1081.19,1055.91,1079.38,//,1266.78
Aveiro,1315.84,980.29,1122.28,1218.92,1320.52,1411.19,1517.34,1440.34
Estarreja,1349.15,977.71,1104.52,1087.41,1114.47,1463.82,1465.97,1610.25
Ílhavo,1247.82,1003.12,1196.62,1330.62,1473.72,1169.4,1337.79,1321.84
Murtosa,985.61,895.22,986.03,1038.3,1037.86,1010.41,971.24,2148.67
Oliveira do Bairro,1127.67,989.67,1102.57,1170.32,1148.04,1094.61,1301.39,1586.56
Ovar,1180.88,922.23,1071.69,1089.89,1052.2,1200.11,1226.92,1414.23
Sever do Vouga,1120.54,954.22,1032.11,1073.96,1231.98,1394.88,1129.83,1475.36
Vagos,1059.71,923.37,997.17,1146.03,1114.79,1155.27,1175.75,998.38
Região de Coimbra,1167.6,952.12,1040.35,1111.51,1217.36,1198.88,1359.07,1428.96
Arganil,954.55,876.22,1002.8,972.26,1109.34,925.88,1219.93,1034.16
Cantanhede,1153.55,965.89,1059.85,1134.8,1265.11,1187.39,1111.5,1386.93
Coimbra,1265.51,996.52,1083.14,1174.1,1317.51,1315.54,1489.68,1495.95
Condeixa-a-Nova,1092.11,912.78,1277.76,1158.9,1087.4,1126.74,…,1163.42
Figueira da Foz,1259.82,976.04,1027.66,1137.41,1382.97,1279.72,1495.52,1523.24
Góis,876.76,866.46,857.5,870.57,953.87,//,728.35,891.84
Lousã,1065.3,907.81,973.69,1041.79,1048.62,1302.39,1158.32,1588.54
Mealhada,1185.85,934.97,1029.02,1237.16,1223.17,1513.02,1185.35,1188.33
Mira,996.26,885.17,1041.84,1051.33,977.57,1075.74,…,1928.62
Miranda do Corvo,960.43,898.85,1016.67,923.3,889.37,1741.06,963,1336.5
Montemor-o-Velho,1042.67,906.42,1060.36,1082.7,1143.9,1107.79,1065.53,1024.03
Mortágua,1065.55,893.66,1102.91,1080.08,1069.23,1091.22,1130.87,1461.71
Oliveira do Hospital,977.66,886.55,953.14,998.43,867.57,886.07,…,1383.35
Pampilhosa da Serra,942.01,944.08,1016.81,882.26,933.53,891.22,//,1104.11
Penacova,1022.96,903.13,992.95,1055.91,866.41,1267.67,//,1835.9
Penela,1067.34,957.97,1107.1,1018.83,906.3,1128.6,1077.95,1190.53
Soure,1085.25,928.46,910.29,945.32,1301.96,1308.74,//,1391.9
Tábua,999.06,966.45,894.31,1062.61,1201.91,970.81,1015.2,956.05
Vila Nova de Poiares,1047.51,881.86,953.15,1133.11,1098.07,880.83,1251.63,1334.25
Região de Leiria,1194.01,991.23,1137.4,1189.99,1256.41,1272.08,1539.73,1339.82
Alvaiázere,1012.36,899.03,949.47,997.1,1177.75,1065.26,787.83,1379.14
Ansião,999.36,865.58,1124.69,943.68,1151.06,909.97,1142.04,1809.35
Batalha,1167.32,1008.68,1178.12,1203.87,1187.81,1259.24,1202.31,1330.7
Castanheira de Pêra,970.18,893.11,1057.11,1070.1,916.77,…,829.98,1836.57
Figueiró dos Vinhos,948.74,877.03,1056.07,903.98,1763.08,890.68,//,1805.67
Leiria,1202.62,996.61,1139.95,1195.31,1238.71,1304.12,1568.34,1314.81
