,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Beja,69,38,31,143,139,4,106,96,10
Castro Verde,14,11,3,22,22,0,16,16,0
Cuba,9,9,0,13,13,0,11,11,0
Ferreira do Alentejo,14,10,4,27,27,0,14,14,0
Mértola,9,9,0,14,14,0,12,12,0
Moura,28,23,5,48,48,0,44,44,0
Ourique,9,7,2,12,12,0,15,15,0
Serpa,22,19,3,47,47,0,46,46,0
Vidigueira,9,7,2,17,17,0,16,16,0
Lezíria do Tejo,376,254,122,683,664,19,522,522,0
Almeirim,38,25,13,64,64,0,58,58,0
Alpiarça,10,7,3,16,16,0,13,13,0
Azambuja,37,15,22,67,67,0,46,46,0
Benavente,48,36,12,90,90,0,69,69,0
Cartaxo,28,17,11,60,60,0,52,52,0
Chamusca,17,17,0,29,29,0,17,17,0
Coruche,23,16,7,56,56,0,26,26,0
Golegã,8,6,2,15,15,0,11,11,0
Rio Maior,38,28,10,58,51,7,57,57,0
Salvaterra de Magos,28,18,10,54,54,0,49,49,0
Santarém,101,69,32,174,162,12,124,124,0
Alto Alentejo,189,132,57,349,342,7,272,266,6
Alter do Chão,5,5,0,7,7,0,9,9,0
Arronches,5,4,1,7,7,0,9,9,0
Avis,6,6,0,11,11,0,10,10,0
Campo Maior,17,7,10,26,26,0,26,26,0
Castelo de Vide,4,3,1,9,9,0,10,10,0
Crato,6,4,2,12,12,0,9,9,0
Elvas,34,19,15,78,73,5,51,45,6
Fronteira,5,4,1,10,10,0,10,10,0
Gavião,5,4,1,11,11,0,9,9,0
Marvão,6,6,0,8,8,0,9,9,0
Monforte,6,6,0,13,13,0,9,9,0
Nisa,6,6,0,15,15,0,14,14,0
Ponte de Sor,30,20,10,52,50,2,33,33,0
Portalegre,47,33,14,78,78,0,52,52,0
Sousel,7,5,2,12,12,0,12,12,0
Alentejo Central,272,169,103,462,445,17,339,330,9
Alandroal,6,6,0,12,12,0,10,10,0
Arraiolos,12,7,5,17,17,0,15,15,0
Borba,14,11,3,22,22,0,14,14,0
Estremoz,19,15,4,39,39,0,27,27,0
Évora,114,50,64,176,163,13,119,111,8
Montemor-o-Novo,22,16,6,43,43,0,34,34,0
Mora,7,6,1,12,12,0,8,8,0
Mourão,5,5,0,15,15,0,14,14,0
Portel,9,6,3,14,14,0,13,13,0
Redondo,9,7,2,16,16,0,13,13,0
Reguengos de Monsaraz,19,16,3,32,32,0,25,25,0
Vendas Novas,14,9,5,31,27,4,21,20,1
Viana do Alentejo,8,6,2,13,13,0,12,12,0
Vila Viçosa,14,9,5,20,20,0,14,14,0
Algarve,725,419,306,1445,1316,129,1183,1120,63
Albufeira,75,55,20,140,140,0,104,104,0
Alcoutim,3,0,3,5,5,0,10,10,0
Aljezur,9,9,0,17,17,0,19,19,0
Castro Marim,11,6,5,21,21,0,17,17,0
Faro,93,29,64,209,192,17,170,161,9
Lagoa,45,23,22,94,65,29,75,62,13
Lagos,47,15,32,110,86,24,92,81,11
Loulé,130,93,37,230,218,12,193,178,15
Monchique,7,7,0,17,17,0,10,10,0
Olhão,57,35,22,142,135,7,136,131,5
Portimão,93,56,37,177,158,19,129,129,0
São Brás de Alportel,19,16,3,35,35,0,28,28,0
Silves,56,28,28,108,100,8,76,72,4
Tavira,41,16,25,71,63,8,52,52,0
Vila do Bispo,8,8,0,19,14,5,18,12,6
Vila Real de Santo António,31,23,8,50,50,0,54,54,0
R. A. Açores,527,398,129,1032,967,65,1055,1027,28
Santa Maria,13,13,0,27,27,0,25,25,0
Vila do Porto,13,13,0,27,27,0,25,25,0
São Miguel,291,224,67,621,573,48,622,602,20
Lagoa (R.A.A.),30,28,2,61,61,0,70,70,0
Nordeste,9,9,0,21,21,0,26,26,0
Ponta Delgada,151,103,48,295,247,48,295,275,20
Povoação,14,12,2,31,31,0,32,32,0
Ribeira Grande,66,55,11,165,165,0,147,147,0
Vila Franca do Campo,21,17,4,48,48,0,52,52,0
Terceira,128,89,39,204,196,8,207,199,8
Angra do Heroísmo,81,50,31,126,118,8,131,123,8
Vila da Praia da Vitória,47,39,8,78,78,0,76,76,0
Graciosa,11,9,2,18,18,0,16,16,0
Santa Cruz da Graciosa,11,9,2,18,18,0,16,16,0
São Jorge,19,11,8,33,33,0,49,49,0
Calheta (R.A.A.),8,4,4,13,13,0,25,25,0
Velas,11,7,4,20,20,0,24,24,0
Pico,31,26,5,54,54,0,61,61,0
Lajes do Pico,8,8,0,15,15,0,22,22,0
Madalena,16,13,3,25,25,0,23,23,0
São Roque do Pico,7,5,2,14,14,0,16,16,0
Faial,26,20,6,58,49,9,52,52,0
Horta,26,20,6,58,49,9,52,52,0
Flores,7,6,1,15,15,0,20,20,0
Lajes das Flores,1,1,0,5,5,0,0,0,0
Santa Cruz das Flores,6,5,1,10,10,0,20,20,0
Corvo,1,0,1,2,2,0,3,3,0
Corvo,1,0,1,2,2,0,3,3,0
R. A. Madeira,666,469,197,1454,1218,236,735,683,52
Calheta (R.A.M.),33,29,4,84,78,6,30,30,0
Câmara de Lobos,95,66,29,187,187,0,95,95,0
Funchal,299,168,131,647,471,176,335,283,52
Machico,56,51,5,107,95,12,57,57,0
Ponta do Sol,22,20,2,67,67,0,27,27,0
Porto Moniz,6,6,0,9,9,0,6,6,0
Ribeira Brava,34,34,0,80,80,0,42,42,0
Santa Cruz,80,59,21,172,148,24,102,102,0
Santana,12,11,1,43,35,8,11,11,0
São Vicente,16,14,2,31,31,0,13,13,0
Porto Santo,13,11,2,27,17,10,17,17,0
