,"Ensino básico público, 1º Ciclo, Total (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico público, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico público, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Figueira da Foz,1625,1625,0,1021,1019,0,0,1583,1583,0,0,0
Góis,85,85,0,38,38,0,0,72,72,0,0,0
Lousã,519,519,0,334,334,0,0,522,522,0,0,0
Mealhada,520,520,0,336,336,0,0,553,553,0,0,0
Mira,368,368,0,209,209,0,0,287,287,0,0,0
Miranda do Corvo,331,331,0,176,176,0,0,347,326,0,0,21
Montemor-o-Velho,648,648,0,344,344,0,0,508,508,0,0,0
Mortágua,232,232,0,128,128,0,0,202,202,0,0,0
Oliveira do Hospital,618,618,0,304,304,0,0,519,497,0,0,22
Pampilhosa da Serra,97,97,0,41,41,0,0,63,63,0,0,0
Penacova,304,304,0,166,166,0,0,278,278,0,0,0
Penela,131,131,0,81,81,0,0,100,100,0,0,0
Soure,480,480,0,168,168,0,0,297,297,0,0,0
Tábua,311,311,0,172,172,0,0,297,284,0,0,13
Vila Nova de Poiares,216,216,0,146,146,0,0,185,185,0,0,0
Região de Leiria,8963,8963,0,4346,4346,0,0,7224,7199,0,0,12
Alvaiázere,140,140,0,78,78,0,0,126,126,0,0,0
Ansião,316,316,0,199,199,0,0,375,375,0,0,0
Batalha,538,538,0,300,300,0,0,446,446,0,0,0
Castanheira de Pêra,57,57,0,38,38,0,0,64,64,0,0,0
Figueiró dos Vinhos,104,104,0,80,80,0,0,125,125,0,0,0
Leiria,4106,4106,0,1866,1866,0,0,3166,3153,0,0,0
Marinha Grande,1284,1284,0,786,786,0,0,1222,1222,0,0,0
Pedrógão Grande,81,81,0,48,48,0,0,74,74,0,0,0
Pombal,1587,1587,0,655,655,0,0,1149,1149,0,0,0
Porto de Mós,750,750,0,296,296,0,0,477,465,0,0,12
Viseu Dão Lafões,7635,7635,0,4173,4173,0,0,6835,6718,0,0,90
Aguiar da Beira,130,130,0,56,56,0,0,122,122,0,0,0
Carregal do Sal,264,264,0,165,165,0,0,248,248,0,0,0
Castro Daire,361,361,0,231,231,0,0,338,338,0,0,0
Mangualde,580,580,0,315,315,0,0,484,446,0,0,29
Nelas,411,411,0,209,209,0,0,413,413,0,0,0
Oliveira de Frades,347,347,0,149,149,0,0,291,276,0,0,15
Penalva do Castelo,193,193,0,108,108,0,0,188,188,0,0,0
Santa Comba Dão,287,287,0,173,173,0,0,303,303,0,0,0
São Pedro do Sul,424,424,0,249,249,0,0,341,341,0,0,0
Sátão,335,335,0,177,177,0,0,282,282,0,0,0
Tondela,712,712,0,365,365,0,0,659,648,0,0,11
Vila Nova de Paiva,133,133,0,81,81,0,0,134,122,0,0,0
Viseu,3209,3209,0,1740,1740,0,0,2806,2777,0,0,23
Vouzela,249,249,0,155,155,0,0,226,214,0,0,12
Beira Baixa,2199,2198,0,1354,1353,0,0,1987,1951,0,0,28
Castelo Branco,1565,1564,0,995,994,0,0,1479,1452,0,0,19
Idanha-a-Nova,210,210,0,120,120,0,0,154,154,0,0,0
Oleiros,84,84,0,38,38,0,0,72,72,0,0,0
Penamacor,94,94,0,59,59,0,0,82,82,0,0,0
Proença-a-Nova,171,171,0,103,103,0,0,139,130,0,0,9
Vila Velha de Ródão,75,75,0,39,39,0,0,61,61,0,0,0
Médio Tejo,6786,6786,0,3569,3495,61,0,5968,5797,91,0,35
Abrantes,888,888,0,534,468,61,0,947,824,91,0,22
Alcanena,417,417,0,257,257,0,0,398,398,0,0,0
Constância,164,164,0,77,77,0,0,155,155,0,0,0
Entroncamento,625,625,0,403,403,0,0,649,649,0,0,0
Ferreira do Zêzere,234,234,0,125,125,0,0,212,212,0,0,0
Mação,140,140,0,76,76,0,0,149,149,0,0,0
Ourém,1485,1485,0,467,467,0,0,761,749,0,0,0
Sardoal,114,114,0,65,65,0,0,121,121,0,0,0
Sertã,411,411,0,186,186,0,0,279,279,0,0,0
Tomar,906,906,0,564,556,0,0,968,954,0,0,0
Torres Novas,1033,1033,0,628,628,0,0,1036,1014,0,0,13
Vila de Rei,81,81,0,43,43,0,0,61,61,0,0,0
Vila Nova da Barquinha,288,288,0,144,144,0,0,232,232,0,0,0
Beiras e Serra da Estrela,5492,5492,0,3046,3046,0,0,5037,4904,0,0,118
Almeida,120,120,0,56,56,0,0,99,88,0,0,0
Belmonte,201,201,0,88,88,0,0,184,166,0,0,18
Celorico da Beira,161,161,0,110,110,0,0,177,162,0,0,15
Covilhã,1248,1248,0,737,737,0,0,1207,1176,0,0,31
Figueira de Castelo Rodrigo,155,155,0,59,59,0,0,103,103,0,0,0
Fornos de Algodres,111,111,0,71,71,0,0,126,113,0,0,13
Fundão,750,750,0,369,369,0,0,605,585,0,0,20
Gouveia,337,337,0,176,176,0,0,302,286,0,0,16
Guarda,1113,1113,0,676,676,0,0,1053,1053,0,0,0
Manteigas,53,53,0,33,33,0,0,59,59,0,0,0
Mêda,107,107,0,63,63,0,0,103,103,0,0,0
Pinhel,174,174,0,95,95,0,0,181,181,0,0,0
Sabugal,231,231,0,89,89,0,0,106,102,0,0,0
Seia,544,544,0,319,319,0,0,511,506,0,0,5
Trancoso,187,187,0,105,105,0,0,221,221,0,0,0
A. M. Lisboa,91998,91996,0,52954,52397,362,0,83050,80307,366,0,1799
Alcochete,807,807,0,434,434,0,0,778,778,0,0,0
Almada,6526,6526,0,3615,3613,0,0,5777,5624,0,0,127
Amadora,5503,5503,0,3023,2964,0,0,4585,4153,0,0,323
Barreiro,2852,2852,0,1716,1703,0,0,2664,2598,0,0,66
Cascais,5005,5005,0,2781,2777,0,0,4598,4530,0,0,35
Lisboa,13691,13689,0,8666,8339,292,0,13850,13014,297,0,477
Loures,6991,6991,0,3749,3735,0,0,5669,5451,0,0,176
Mafra,3511,3511,0,1586,1586,0,0,2429,2387,0,0,42
Moita,2570,2570,0,1391,1391,0,0,2176,2076,0,0,86
Montijo,2053,2053,0,1194,1173,0,0,1848,1793,0,0,0
Odivelas,5355,5355,0,3100,3081,0,0,4606,4475,0,0,91
Oeiras,5008,5008,0,3105,3105,0,0,5130,5087,0,0,16
Palmela,2388,2388,0,1259,1251,0,0,2227,2195,0,0,10
Seixal,5712,5712,0,3089,3089,0,0,4664,4589,0,0,75
Sesimbra,2107,2107,0,1195,1195,0,0,1915,1886,0,0,17
Setúbal,4299,4299,0,2855,2855,0,0,4422,4377,0,0,45
Sintra,12774,12774,0,7480,7466,0,0,11444,11237,0,0,128
Vila Franca de Xira,4846,4846,0,2716,2640,70,0,4268,4057,69,0,85
Alentejo,24024,24014,0,13138,12843,37,0,20647,19633,0,0,557
Alentejo Litoral,3287,3287,0,1653,1653,0,0,2478,2391,0,0,68
Alcácer do Sal,344,344,0,211,211,0,0,336,327,0,0,0
Grândola,500,500,0,252,252,0,0,433,416,0,0,17
Odemira,886,886,0,326,326,0,0,483,483,0,0,0
Santiago do Cacém,961,961,0,529,529,0,0,769,736,0,0,23
Sines,596,596,0,335,335,0,0,457,429,0,0,28
Baixo Alentejo,4160,4158,0,2276,2147,0,0,3272,2982,0,0,151
Aljustrel,295,295,0,176,173,0,0,259,205,0,0,33
Almodôvar,185,185,0,117,117,0,0,175,175,0,0,0
Alvito,79,79,0,39,39,0,0,62,62,0,0,0
Barrancos,42,42,0,25,25,0,0,36,36,0,0,0
Beja,1386,1386,0,742,667,0,0,1066,973,0,0,76
Castro Verde,234,234,0,133,119,0,0,228,176,0,0,0
