,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Freixo de Espada à Cinta,13.3,-1.81,-2.29,0.49,5.5,28.5,1.2,1.8,25.9,x,x,39.7,77.8,0
Lamego,149.7,-0.56,-0.66,0.1,5.6,12.2,1.7,1.2,26.3,x,x,40.1,52.5,24.4
Mesão Frio,147.8,-0.63,-0.81,0.18,6.8,14.9,3,1,30.3,x,x,41.5,44.4,16.7
Moimenta da Beira,44.2,-0.24,-0.78,0.55,6.2,14,1.7,1.4,29.2,x,x,40.4,46.7,35.3
Murça,28.5,-1.18,-1.57,0.39,5.2,20.8,1.3,1.1,26.8,x,x,36.8,60.7,28.6
Penedono,19.2,-0.74,-1.05,0.31,5,15.5,2.7,1.2,25.6,x,x,37.3,53.8,0
Peso da Régua,165.4,-0.55,-0.49,-0.06,6.7,11.6,1.8,1.5,31.1,x,x,39.8,64.8,10.3
Sabrosa,37.5,-0.61,-1.17,0.56,3.7,15.4,0.8,1.4,18.1,x,x,39.6,54.5,0
Santa Marta de Penaguião,94.6,-0.65,-0.94,0.29,4.7,14.1,1.8,1.1,23.5,x,x,37.7,45.2,8.3
São João da Pesqueira,26.5,-0.92,-1.06,0.14,5.2,15.8,1.6,1.7,24.5,x,x,41.5,62.2,18.2
Sernancelhe,23.5,-0.39,-1.02,0.63,4.6,14.9,1.3,0.7,22.2,x,x,40.4,56,0
Tabuaço,45,-0.22,-0.88,0.66,4.3,13.1,1.8,0.5,18.8,x,x,43.4,61.5,0
Tarouca,78.1,0.22,-0.49,0.7,6.4,11.3,1.9,1,26.9,x,x,45.6,54,26.7
Torre de Moncorvo,14.3,-1.15,-1.78,0.63,4.6,22.4,0.8,0.8,25.7,x,x,33.6,60,0
Vila Nova de Foz Côa,16.1,-1.24,-1.9,0.67,4,23.1,1.2,1.2,21,x,x,35.6,80.8,0
Vila Real,131.7,-0.17,-0.41,0.24,7.1,11.2,1.7,1.8,31.5,x,x,42.2,45.9,16.5
Terras de Trás-os-Montes,19.2,-0.84,-1.23,0.39,5.7,18,1.2,1.4,29.6,5.9,1.07,36.5,65.1,8.9
Alfândega da Fé,14,-1.28,-1.79,0.51,4.4,22.3,0.2,1.8,24.8,x,x,34.6,65,0
Bragança,28.5,-0.5,-1,0.5,7.5,17.5,1.3,1.5,36,x,x,39.8,65.7,11.6
Macedo de Cavaleiros,20.6,-0.67,-1.2,0.53,4.2,16.2,1.2,1.9,21.8,x,x,36.3,67.2,5.6
Miranda do Douro,13.9,-0.99,-1.38,0.4,4.4,18.2,0.9,0.7,24.1,x,x,35.4,53.3,0
Mirandela,32.8,-0.77,-1.02,0.25,5.7,15.9,1.3,1.3,28.2,x,x,37.7,67.7,6.9
Mogadouro,10.9,-1.27,-1.42,0.14,4.3,18.5,1.7,1.8,27.3,x,x,30.4,66.7,21.4
Vila Flor,22.6,-0.55,-0.93,0.38,5.6,14.9,0.3,0.5,28.6,x,x,37.4,55.9,0
Vimioso,8.2,-1.63,-2.31,0.68,5.5,28.6,1.3,1.5,30.3,x,x,35.3,72.7,0
