Distrito,Municipio,Freguesia (Simpli),DTMN21,DTMNFR21,DTMNFRSEC21,SECNUM21,SSNUM21,SECSSNUM21,SUBSECCAO,Edifícios Clássicos Total,Edifícios Clássicos com 1 ou 2 Alojamentos,Edifícios Clássicos com 3 ou Mais Alojamentos,Edifícios Exclusivamente Residenciais,Edifícios com 1 ou 2 Pisos,Edifícios com 3 ou Mais Pisos,Edifícios Construídos Antes de 1945,Edifícios Construídos Entre 1946 e 1980,Edifícios Construídos Entre 1981 e 2000,Edifícios Construídos Entre 2001 e 2010,Edifícios Construídos Entre 2011 e 2021,Edifícios com Necessidade de Reparação,Alojamentos Total,Alojamentos Familiares,Alojamentos Familiares Habituais,Alojamentos Familiares Vagos ou Secundários,Alojamentos Habituais Acessíveis a Cadeiras de Rodas,Alojamentos Habituais com Estacionamento,Alojamentos Habituais Propriedade dos Ocupantes,Alojamentos Habituais Arrendados,Agregados Domésticos Privados Total,Agregados Domésticos de 1 ou 2 Pessoas,Agregados Domésticos de 3 ou Mais Pessoas,Núcleos Familiares Total,Núcleos Familiares com Filhos,Indivíduos Total,Indivíduos Masculinos,Indivíduos Femininos,Indivíduos de 0 a 14 Anos,Indivíduos de 15 a 24 Anos,Indivíduos de 25 a 64 Anos,Indivíduos com 65 ou Mais Anos,geom_Length,geom_Area
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,15,215,6112200215,11,11,0,11,11,0,4,2,5,0,0,5,11,11,3,8,1,2,3,0,3,1,2,2,2,9,6,3,1,2,6,0,2549.504496275443,243116.7672762448
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,16,216,6112200216,20,20,0,20,18,2,11,8,0,1,0,7,20,20,11,9,2,0,11,0,11,8,3,5,2,21,8,13,0,3,11,7,368.2803442257768,6020.80699756759
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,17,217,6112200217,5,5,0,5,5,0,0,1,2,0,2,1,5,5,5,0,5,3,5,0,5,3,2,4,1,12,7,5,1,1,8,2,1060.159912082737,53312.04119724708
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,18,218,6112200218,9,9,0,9,7,2,7,2,0,0,0,5,9,9,2,7,0,0,2,0,2,2,0,0,0,2,1,1,0,0,0,2,174.6624028356915,1690.494903205489
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,19,219,6112200219,16,15,0,16,12,4,0,6,8,2,0,0,18,17,9,8,4,8,7,0,9,8,1,7,0,66,24,42,0,0,8,58,1068.456900185751,58103.97720960904
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,20,220,6112200220,8,8,0,8,7,1,0,8,0,0,0,3,8,8,1,7,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,538.1548590556489,12052.02632700586
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,9,109,6110100109,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4305.793457923273,333652.4021827744
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,10,110,6110100110,13,13,0,13,6,7,0,3,9,1,0,1,13,13,3,10,1,1,3,0,3,3,0,3,0,6,3,3,0,0,0,6,888.3382215384937,32138.71373755731
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,11,111,6110100111,9,9,0,9,4,5,0,5,4,0,0,0,9,9,6,3,2,6,6,0,6,5,1,3,0,10,6,4,0,1,2,7,678.8220130376254,13968.65811541688
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,17,117,6110100117,6,6,0,6,4,2,0,1,3,2,0,1,6,6,1,5,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,6854.748265353551,936724.1171263554
Coimbra,Oliveira do Hospital,Aldeia das Dez,611,61101,61101001,1,18,118,6110100118,9,9,0,9,9,0,3,1,0,4,1,3,9,9,4,5,0,0,4,0,4,4,0,1,0,5,2,3,0,0,0,5,3086.808754931477,182285.5262760437
Coimbra,Oliveira do Hospital,Ervedal e Vila Franca da Beira,611,61122,61122002,2,40,240,6112200240,16,16,0,16,15,1,1,4,6,0,5,3,16,16,12,4,6,9,11,1,12,8,4,9,4,26,11,15,3,2,12,9,9623.011721413293,2585458.993977021
