,Total (N.º),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (N.º)","Profissão principal, Especialistas das atividades intelectuais e científicas (N.º)","Profissão principal, Técnicos/as e profissionais de nível intermédio (N.º)","Profissão principal, Pessoal administrativo  (N.º)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (N.º)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (N.º)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (N.º)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (N.º)","Profissão principal, Trabalhadores/as não qualificados  (N.º)"
Vila Franca do Campo,1128,25,41,58,157,301,13,302,53,178
Terceira,8922,238,982,868,1169,2222,95,1334,397,1617
Angra do Heroísmo,6093,169,732,586,753,1581,62,845,295,1070
Vila da Praia da Vitória,2829,69,250,282,416,641,33,489,102,547
Graciosa,464,8,23,45,46,119,4,74,27,118
Santa Cruz da Graciosa,464,8,23,45,46,119,4,74,27,118
São Jorge,1169,50,62,88,142,322,12,220,77,196
Calheta (R.A.A.),361,9,18,19,33,94,3,104,17,64
Velas,808,41,44,69,109,228,9,116,60,132
Pico,1944,63,110,167,259,514,27,315,86,403
Lajes do Pico,373,…,22,29,45,112,…,75,6,62
Madalena,1078,46,52,90,156,272,15,138,50,259
São Roque do Pico,493,…,36,48,58,130,…,102,30,82
Faial,2602,73,266,258,377,727,44,301,130,426
Horta,2602,73,266,258,377,727,44,301,130,426
Flores,431,…,…,45,70,119,…,31,…,100
Lajes das Flores,149,…,…,8,28,32,…,9,…,46
Santa Cruz das Flores,282,…,…,37,42,87,…,22,…,54
Corvo,57,…,…,3,5,25,…,4,…,12
Corvo,57,…,…,3,5,25,…,4,…,12
R. A. Madeira,46279,1410,5054,4333,6281,12898,408,5457,2608,7810
Calheta (R.A.M.),1838,37,94,180,132,415,29,300,302,349
Câmara de Lobos,2410,91,102,209,217,707,37,478,192,377
Funchal,30629,1010,4179,2947,4447,8327,201,2908,1370,5222
Machico,2102,67,185,199,196,550,8,360,215,321
Ponta do Sol,702,10,25,44,206,173,12,122,44,66
Porto Moniz,294,6,7,10,26,167,…,11,…,62
Ribeira Brava,1544,…,156,144,124,564,…,281,62,185
Santa Cruz,4753,129,242,377,709,1320,101,776,335,763
Santana,487,6,16,83,45,163,8,65,18,83
São Vicente,569,…,21,35,53,187,…,78,…,158
Porto Santo,951,15,27,105,126,325,4,78,47,224
