,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Loures,4936,2569,2367,8600,7460,1140,4490,4034,456,6569,5879,690
Mafra,2370,1666,704,3795,3613,182,2014,1510,504,3168,2369,799
Moita,1433,969,464,2672,2581,91,1451,1451,0,2316,2316,0
Montijo,1457,804,653,2401,2155,246,1300,1214,86,1925,1854,71
Odivelas,3401,1934,1467,6052,5487,565,3231,3061,170,5205,4923,282
Oeiras,4648,1368,3280,6691,5187,1504,3564,3261,303,5738,5290,448
Palmela,1404,815,589,2867,2392,475,1664,1358,306,2597,2173,424
Seixal,3469,1580,1889,6617,5698,919,3639,3229,410,5958,5438,520
Sesimbra,1242,806,436,2208,2135,73,1172,1172,0,2007,2007,0
Setúbal,3012,940,2072,5227,4591,636,3123,3001,122,4700,4674,26
Sintra,8499,4578,3921,15492,13337,2155,8074,7435,639,13082,12057,1025
Vila Franca de Xira,3809,1366,2443,5687,5021,666,2993,2805,188,4980,4729,251
Alentejo,16592,10140,6452,25935,25176,759,14669,14060,609,23579,22293,1286
Alentejo Litoral,2259,1590,669,3405,3405,0,1829,1678,151,3034,2771,263
Alcácer do Sal,242,178,64,377,377,0,193,193,0,377,377,0
Grândola,353,270,83,484,484,0,320,320,0,490,490,0
Odemira,574,389,185,860,860,0,488,337,151,789,529,260
Santiago do Cacém,663,461,202,1027,1027,0,522,522,0,876,876,0
Sines,427,292,135,657,657,0,306,306,0,502,499,3
Baixo Alentejo,2912,1899,1013,4525,4446,79,2532,2427,105,3940,3670,270
Aljustrel,208,133,75,319,319,0,168,168,0,263,263,0
Almodôvar,121,93,28,225,225,0,98,98,0,238,238,0
Alvito,62,62,0,69,69,0,32,32,0,100,64,36
Barrancos,36,36,0,47,47,0,21,21,0,70,70,0
Beja,987,420,567,1565,1486,79,917,812,105,1353,1188,165
Castro Verde,175,128,47,239,239,0,156,156,0,253,253,0
Cuba,108,108,0,169,169,0,86,86,0,152,112,40
Ferreira do Alentejo,164,115,49,279,279,0,128,128,0,176,176,0
Mértola,109,88,21,148,148,0,108,108,0,144,144,0
Moura,377,287,90,641,641,0,359,359,0,495,466,29
Ourique,106,71,35,151,151,0,64,64,0,141,141,0
Serpa,323,264,59,449,449,0,292,292,0,409,409,0
Vidigueira,136,94,42,224,224,0,103,103,0,146,146,0
Lezíria do Tejo,5537,3285,2252,8769,8508,261,5144,5047,97,8123,7761,362
Almeirim,566,300,266,931,898,33,529,529,0,780,760,20
Alpiarça,128,64,64,196,196,0,125,125,0,188,188,0
Azambuja,600,236,364,818,818,0,479,479,0,762,762,0
Benavente,761,501,260,1241,1241,0,725,725,0,1046,1046,0
Cartaxo,443,201,242,817,817,0,476,476,0,771,771,0
Chamusca,181,158,23,278,278,0,164,164,0,210,210,0
Coruche,312,179,133,552,552,0,306,305,1,554,500,54
Golegã,112,67,45,157,157,0,98,98,0,162,162,0
Rio Maior,556,361,195,793,693,100,467,467,0,701,701,0
