,"Densidade populacional , N.º/km2","Taxa de crescimento efetivo, %","Taxa de crescimento natural, %","Taxa de crescimento migratório, %","Taxa bruta de natalidade, ‰","Taxa bruta de mortalidade, ‰","Taxa bruta de nupcialidade, ‰","Taxa bruta de divórcio, ‰","Taxa de fecundidade geral, ‰","Taxa de fecundidade na adolescência, ‰","Índice sintético de fecundidade, N.º","Mulheres em idade fértil na população residente feminina, %","Nados-vivos fora do casamento, %","Proporção de casamentos católicos, %"
Paços de Ferreira,786.8,0.2,-0.02,0.23,8,8.3,4.1,2,35.2,x,x,44.9,48.6,41.3
Penafiel,329.5,0.11,-0.12,0.22,7.9,9,4.5,1.6,34.4,x,x,43.7,43.7,44.8
Resende,79.9,-1.11,-0.72,-0.39,6.9,14,3.7,1.2,35.6,x,x,37.4,60.3,50
Douro,45.5,-0.22,-0.9,0.67,5.8,14.8,3.1,1.6,31.5,5.1,1.23,35.2,58.7,42.9
Alijó,34.7,-0.98,-1.18,0.2,5.4,17.2,2.3,1,33.4,x,x,31.7,69.6,33.3
Armamar,48.6,-0.6,-1.49,0.89,4.6,19.4,3.2,1.6,25.8,x,x,33.4,42.3,33.3
Carrazeda de Ansiães,19.3,-0.59,-1.29,0.7,4.6,17.6,3.5,0.7,30.7,x,x,29,68,15.8
Freixo de Espada à Cinta,13,-1.69,-2.22,0.53,6.3,28.5,2.2,0.9,38.5,x,x,31.3,85,28.6
Lamego,145.9,-0.41,-0.86,0.45,5.3,13.9,3.6,1.9,28.2,x,x,35.6,50,63.1
Mesão Frio,131.9,-0.65,-1.11,0.45,4.8,15.9,6.8,2.3,24.3,x,x,37.5,58.8,13
Moimenta da Beira,43.6,0.93,-0.66,1.59,7,13.6,2.8,2.1,38.5,x,x,34.8,58.2,51.9
Murça,27.5,-0.42,-1.45,1.03,3.1,17.6,2.9,1.5,19.2,x,x,31,56.3,46.7
Penedono,20.8,-0.32,-1.33,1,5.4,18.6,5,1.8,30.4,x,x,34,53.3,28.6
Peso da Régua,151.8,-0.64,-0.7,0.06,5.9,12.9,3.9,2.1,30.6,x,x,35.9,60,31.6
Sabrosa,35.6,0.29,-0.97,1.26,6.1,15.8,1.4,1.3,34,x,x,34.7,58.8,50
Santa Marta de Penaguião,86.5,-0.81,-1.18,0.37,4.2,16,2.5,0.7,24.4,x,x,32.5,52,53.3
São João da Pesqueira,25.5,-0.57,-0.85,0.28,6,14.6,2.4,1.6,32.7,x,x,36.2,63.4,31.3
Sernancelhe,25.1,0.63,-1.07,1.7,4.2,14.9,3.8,0.9,24.7,x,x,33.2,62.5,59.1
Tabuaço,37.4,-0.62,-1.11,0.5,6,17.1,3.8,1.4,33.7,x,x,33.7,70,31.6
Tarouca,74.6,1.1,-0.66,1.77,5,11.6,2,2,25.1,x,x,38.2,64.9,53.3
Torre de Moncorvo,12.7,-0.67,-1.57,0.9,5.5,21.2,2.8,1.2,39.5,x,x,26.7,75.7,21.1
Vila Nova de Foz Côa,15.8,-0.25,-1.53,1.27,5.1,20.3,2.1,1.4,33.2,x,x,29.6,75,38.5
Vila Real,131,0.02,-0.45,0.47,7.1,11.6,3,1.9,34.3,x,x,39,54.2,47.7
Terras de Trás-os-Montes,19.3,-0.1,-1.07,0.97,5.7,16.4,2.6,1.4,33.3,9,1.26,33.2,69.4,38.1
Alfândega da Fé,13.1,-1.04,-1.41,0.38,6.6,20.7,1.2,1.2,42.6,x,x,30.5,75,20
Bragança,29.8,0.69,-0.66,1.35,7,13.6,3,1.5,35.1,x,x,38.2,72.5,36.5
Macedo de Cavaleiros,20.2,-0.12,-1.22,1.1,5.4,17.6,3.6,1.8,31.9,x,x,32.1,65.8,33.3
Miranda do Douro,13,-0.97,-1.26,0.28,3.8,16.3,1.7,0.5,24.9,x,x,29.5,62.5,54.5
Mirandela,32.3,-0.18,-1.03,0.85,5.4,15.7,2.3,1.3,30.3,x,x,33.7,65.2,38.8
Mogadouro,10.8,-0.57,-0.98,0.41,4.7,14.5,2.8,1.9,32.2,x,x,28.4,56.4,56.5
Vila Flor,22.7,-0.48,-1.41,0.93,5.6,19.7,2.6,1.3,34.3,x,x,32.2,76.5,31.3
Vimioso,8.6,0.12,-1.79,1.91,4.8,22.7,1.4,1.2,36,x,x,26.9,70,0
Vinhais,10.8,-1.47,-1.86,0.4,4.5,23.1,1.1,1.2,36.2,x,x,24.8,76.5,62.5
Centro,80,0.17,-0.68,0.85,7,13.7,3.4,1.7,35.5,5.8,1.37,37.5,60.9,32
Oeste,169.8,1.23,-0.46,1.69,8,12.6,4.4,1.7,38.7,6.3,1.5,39.9,65.4,25.7
Alcobaça,137.3,0.53,-0.5,1.03,7.8,12.8,3.6,1.8,40.1,x,x,37.6,65.2,33.7
Alenquer,153.6,1.82,-0.15,1.97,8.5,10,4.6,1.8,37.9,x,x,43.5,60.7,17.6
Arruda dos Vinhos,190.5,2.9,-0.2,3.1,8.9,10.9,5.5,1.8,39.6,x,x,44,68.5,22.8
Bombarral,147.8,1.94,-0.65,2.59,7.4,13.9,4.6,2.2,37.5,x,x,38.1,62.6,0
Cadaval,80.2,1.32,-1.23,2.56,6.2,18.6,4.6,1.1,32.9,x,x,36.8,72.4,28.1
Caldas da Rainha,204.9,0.81,-0.64,1.45,7.2,13.6,3,1.5,35.4,x,x,38.6,64.9,22.9
Lourinhã,186.3,1.6,-0.53,2.13,8.1,13.3,3.6,1.5,38.9,x,x,40.5,68.2,31.3
Nazaré,183.4,0.42,-0.7,1.11,7.3,14.3,10.3,1.7,37.9,x,x,37,66.4,13.4
Óbidos,90.3,2.91,-0.48,3.38,7.9,12.7,5,2.3,42.1,x,x,37.1,73,29
Peniche,346.2,0.4,-0.45,0.85,9,13.4,4.3,2.5,45.7,x,x,37.7,75,29.5
Sobral de Monte Agraço,219.8,2.88,-0.31,3.19,8.2,11.3,8.4,0.6,35.6,x,x,44.3,65.2,39.4
Torres Vedras,210.7,1.02,-0.35,1.37,8.4,11.9,3.9,1.7,39.2,x,x,41.4,62.1,30.3
Região de Aveiro,221.9,0.62,-0.37,0.99,7.5,11.2,3.4,1.9,35.8,6.6,1.34,40.2,59.6,28.6
Águeda,138.7,0,-0.42,0.42,7.5,11.7,2.8,1.6,37.6,x,x,38.3,61.7,32.3
Albergaria-a-Velha,158.9,0.16,-0.48,0.64,6.8,11.6,3,2.1,32.8,x,x,40.6,62.8,29.3
Anadia,128.4,-0.19,-0.85,0.65,6.5,15,2.6,1.1,35.7,x,x,35,62.6,38.6
Aveiro,422.7,1.11,-0.14,1.24,7.9,9.2,3.9,1.9,35.2,x,x,42.6,57.6,20
Estarreja,246.2,0.38,-0.52,0.89,7.6,12.8,3.3,1.6,38.7,x,x,38.2,56.9,39.5
Ílhavo,555.4,1.43,-0.25,1.68,7.9,10.4,2.6,2,36.9,x,x,41,56.8,24.5
Murtosa,146.5,0.35,-0.72,1.07,6.3,13.5,6.5,2.2,30.6,x,x,39.8,59.7,27.9
Oliveira do Bairro,276.5,1.56,-0.41,1.97,7.3,11.4,4.1,2.2,33.1,x,x,42.3,62.3,36.7
Ovar,377.4,0.29,-0.24,0.52,7.5,9.9,2.6,2.3,35.3,x,x,40.8,64,19.9
Sever do Vouga,84,-0.98,-0.85,-0.13,6.5,15,1.6,1.6,36.1,x,x,34.6,54.9,33.3
Vagos,143.6,1.21,-0.33,1.54,8.3,11.6,5.9,1.7,39.7,x,x,40.2,54.4,39
Região de Coimbra,101.5,-0.03,-0.7,0.67,6.7,13.7,3.2,1.7,34.6,4.2,1.33,36.8,59,32.8
Arganil,33.4,-0.34,-1.25,0.91,6,18.5,4.2,1.3,36.1,x,x,31.7,67.2,23.4
Cantanhede,87.9,-0.06,-0.79,0.73,7.3,15.2,4.4,1.6,39.1,x,x,35.2,56,27.2
Coimbra,445.4,0.26,-0.42,0.67,7.3,11.5,3.3,1.8,35.3,x,x,38.8,55.4,35.9
Condeixa-a-Nova,123.8,1,-0.36,1.36,7.4,11.1,2.6,2,34.7,x,x,40.4,54.3,42.2
Figueira da Foz,156.6,-0.09,-0.77,0.67,6.5,14.1,3.7,1.9,34.3,x,x,35.7,65.9,16.3
Góis,14.3,-0.5,-1.75,1.25,4,21.5,2.7,0.3,25.4,x,x,29.7,73.3,20
Lousã,124.2,0.15,-0.43,0.58,6.3,10.7,0.9,2.6,29.5,x,x,41.5,63.3,26.7
Mealhada,176.8,0.12,-0.62,0.75,6.2,12.4,2.9,1.8,31.3,x,x,37.8,58.7,32.1
Mira,98.8,0.07,-0.7,0.78,7.3,14.4,3.3,1.6,40.7,x,x,34.4,57.8,46.2
Miranda do Corvo,95.1,-0.41,-0.98,0.57,6.1,15.9,3,1.5,32.9,x,x,35.8,71.6,50
Montemor-o-Velho,107.9,-0.09,-0.68,0.58,7,13.8,4.1,1.5,35.9,x,x,37.8,53.4,44.4
Mortágua,35.5,-0.99,-1.04,0.04,6.4,16.7,3,1.2,39.6,x,x,30.8,66.7,23.1
Oliveira do Hospital,82.3,-0.88,-0.94,0.06,6.8,16.2,1.9,2.1,36.7,x,x,35.4,66.7,47.2
Pampilhosa da Serra,10.2,-0.59,-2.07,1.48,4.2,24.9,2.5,0.7,32.4,x,x,24.9,64.7,30
Penacova,59.3,-1.24,-1.2,-0.04,4.5,16.5,3,1.5,25.5,x,x,33.2,62.1,48.7
Penela,41,0.42,-0.89,1.31,7.4,16.3,8.2,1.3,42.6,x,x,33.8,58.5,31.8
Soure,64.6,-0.92,-1.26,0.34,5.2,17.8,2.2,1.1,30,x,x,32.9,56.7,35.1
Tábua,57,0.35,-0.74,1.09,5.5,12.9,2,1.2,29.3,x,x,36,65.1,27.3
Vila Nova de Poiares,83.2,0.4,-0.74,1.14,7.4,14.8,4.3,1.4,35.8,x,x,39.2,50,41.4
Região de Leiria,118.6,0.16,-0.47,0.62,7.4,12.1,3.2,1.8,36.6,6.4,1.4,39,60.4,34.8
Alvaiázere,39.1,-0.46,-1.54,1.08,3.7,19.1,4.1,1.3,23.7,x,x,28.8,73.9,69.2
Ansião,66.4,-0.22,-0.91,0.68,5.8,14.9,2.5,1.5,32.8,x,x,34,66.2,51.7
Batalha,154.6,0.98,-0.35,1.33,7.2,10.7,5,1.3,34.1,x,x,40.9,59.6,33.3
Castanheira de Pêra,40.1,-0.56,-1.75,1.19,2.2,19.7,2.6,0.7,14.9,x,x,28.8,83.3,28.6
Figueiró dos Vinhos,30,-1.05,-1.91,0.86,4.4,23.5,1.9,1.1,28.2,x,x,29.9,43.5,30
Leiria,231.1,0.39,-0.14,0.53,8.5,9.9,3.3,2.1,39.9,x,x,41.1,56.6,34.9
Marinha Grande,212.7,0.47,-0.42,0.9,7.5,11.8,3.1,1.7,35.6,x,x,40.9,63.9,19.4
Pedrógão Grande,27.3,0.4,-1.68,2.08,4.3,21.1,3.1,1.1,26.1,x,x,32.1,66.7,36.4
Pombal,81.7,-0.6,-0.75,0.15,6.8,14.3,3.1,1.8,35.6,x,x,36.2,66.3,37.7
Porto de Mós,89.9,0.06,-0.66,0.73,6.3,12.9,2.8,1.6,31.4,x,x,38.9,64.9,38.5
Viseu Dão Lafões,78.2,-0.4,-0.8,0.4,6.4,14.5,3.3,1.8,33,5.2,1.3,37,56.3,36.9
Aguiar da Beira,25.5,-0.66,-1.93,1.26,5.3,24.5,5.5,1.5,33.4,x,x,30.1,60.7,72.4
Carregal do Sal,77.6,-0.14,-0.5,0.35,6.6,11.6,2.9,1.1,36.3,x,x,34.3,63.3,19.2
Castro Daire,35.9,-0.65,-1.17,0.53,4.4,16.1,3.2,2.4,25.4,x,x,33.2,56.7,39.5
Mangualde,83.5,-0.34,-0.9,0.56,6.6,15.6,4.7,2,35.6,x,x,35.6,62.8,44.8
Nelas,104.6,-0.5,-0.91,0.41,6,15.1,3.6,2,32.2,x,x,35.4,58.2,31.9
Oliveira de Frades,66.2,-0.45,-0.73,0.28,7.4,14.6,6.2,1.2,36.5,x,x,38.8,60.6,41.7
Penalva do Castelo,54,-0.99,-1.49,0.51,4.4,19.3,4.7,1.5,25.8,x,x,32.8,59.4,73.5
Santa Comba Dão,96.3,-0.04,-1.09,1.06,5.6,16.5,4.7,1.9,30.8,x,x,34.5,73.3,20
São Pedro do Sul,43.1,-1.01,-1.2,0.19,4.6,16.6,2.8,1.6,26.7,x,x,32.9,42.9,21.4
Sátão,54.6,-0.06,-0.81,0.74,7,15.1,2.1,1.3,38.2,x,x,34.8,49.4,8.7
Tondela,69,-1.05,-1.11,0.06,6.4,17.5,1.9,1.4,36,x,x,33.9,55.4,26.5
Vila Nova de Paiva,26.7,0,-1.13,1.13,4.7,16,2.6,1.5,26.2,x,x,34.8,63.6,25
Viseu,197.4,-0.13,-0.43,0.3,7.3,11.7,3,2.1,33.8,x,x,40.9,55.1,37.4
Vouzela,49.8,-0.71,-1.11,0.39,5.4,16.4,3.1,1.6,29.1,x,x,35,46.2,36.7
Beira Baixa,17.5,-0.4,-1.16,0.76,6.6,18.2,3,1.4,38.8,11.5,1.5,32.7,64.9,31.9
Castelo Branco,36.4,-0.2,-0.76,0.56,7.6,15.1,3.5,1.6,39.7,x,x,36,63.1,26.1
Idanha-a-Nova,5.9,-0.86,-2.09,1.23,4.7,25.6,3,1.2,33.9,x,x,26.7,69.2,45.8
Oleiros,10.3,-1.26,-2.08,0.82,5.1,25.9,2.4,0.4,39.5,x,x,24.8,60,50
Penamacor,8.4,-1.07,-2.03,0.96,5.2,25.6,0.4,0.6,42.4,x,x,24.8,80,50
Proença-a-Nova,17.9,-0.79,-1.55,0.76,4.8,20.3,2.5,1.5,33.3,x,x,28,67.6,50
Vila Velha de Ródão,10.5,0.73,-1.68,2.41,5.5,22.4,0.6,0.6,39.5,x,x,27.4,73.7,100
Médio Tejo,69.1,0,-0.94,0.94,6.3,15.7,3.2,1.6,34.1,4.5,1.32,35.4,61.4,34.4
Abrantes,47.3,-1.11,-1.3,0.19,5.8,18.8,2.5,1.7,33.7,x,x,33,71.9,21.4
Alcanena,98.5,-0.06,-0.81,0.76,6.1,14.3,3,1.8,33.6,x,x,35.2,64.9,42.1
Constância,48.2,1.3,-0.68,1.98,6.2,13,6.2,1.8,30.2,x,x,39.3,70.8,16.7
Entroncamento,1550.9,1.93,-0.39,2.32,7,10.9,1.4,1.9,32.2,x,x,41.2,55.4,10
Ferreira do Zêzere,41.3,-0.17,-1.26,1.09,6,18.6,3.3,2.5,34.2,x,x,33.5,48.9,38.5
Mação,15.9,-1.11,-2.23,1.12,3.4,25.7,2,0.8,25.1,x,x,26.4,72.7,61.5
Ourém,108.8,0.17,-0.68,0.85,7,13.9,4.6,1.6,35.5,x,x,37.5,53.9,40.3
Sardoal,38.6,0.17,-1.38,1.55,4.8,18.6,4.8,1.1,27.7,x,x,33.9,64.7,47.1
Sertã,33.1,-0.42,-0.93,0.51,6,15.3,3.7,1.4,34.6,x,x,33.5,57.3,36.4
Tomar,103.5,-0.56,-1.12,0.55,5.9,17.1,2.1,1.4,33.5,x,x,33.2,67.4,19.2
Torres Novas,127.1,-0.03,-0.84,0.81,6.5,14.9,2.6,1.8,34.5,x,x,35.9,60.8,43.8
Vila de Rei,17.7,0.21,-1.68,1.89,7.7,24.5,2.4,0.6,46.7,x,x,31.6,46.2,62.5
Vila Nova da Barquinha,151.2,2.67,-0.43,3.1,7.6,11.9,10.1,1.5,38,x,x,38.1,71.4,35.1
Beiras e Serra da Estrela,33,-1.01,-1.24,0.22,5.5,17.9,2.6,1.4,32.2,5.9,1.26,32.5,62.5,40.6
Almeida,11,-1.62,-2.32,0.7,3.5,26.7,0.5,0.3,27.9,x,x,23.6,80,33.3
Belmonte,52,-0.48,-0.92,0.44,7.8,17,1.8,1.3,45,x,x,33.4,62.5,45.5
Celorico da Beira,26.4,-0.6,-0.99,0.4,6,15.9,2,1.2,36.6,x,x,31,79.5,23.1
Covilhã,82.8,-0.8,-0.93,0.13,6.3,15.6,2.6,1.6,34.6,x,x,34.8,66.1,25.6
Figueira de Castelo Rodrigo,9.9,-0.61,-1.36,0.75,6.5,20.1,2.2,0.4,42.3,x,x,29.7,63.6,27.3
Fornos de Algodres,33.2,-1.32,-1.75,0.43,4.8,22.3,2.7,0.9,29.4,x,x,30.2,42.9,41.7
Fundão,37.8,-0.63,-1.16,0.53,5.8,17.4,3.2,1.2,34.2,x,x,32.8,61.7,41.2
Gouveia,40.3,-1.09,-1.59,0.5,5.1,21,2.7,1.5,33.7,x,x,28.7,67.7,25
Guarda,55.9,-0.88,-0.65,-0.23,6.2,12.7,2.9,1.5,31.4,x,x,37.8,60.2,52.6
Manteigas,23.8,-1.78,-1.71,-0.07,4.8,21.9,3.4,1.7,30.2,x,x,29.4,71.4,50
Mêda,15.9,-1.27,-1.51,0.24,3.1,18.1,3.3,0.7,20.4,x,x,28.3,50,53.3
Pinhel,16.2,-1.65,-1.86,0.21,3.8,22.4,2.1,1.3,26.2,x,x,27.7,40,52.9
Sabugal,13.6,-1.63,-2.46,0.83,4.1,28.7,1.3,1.2,31.5,x,x,24.9,76.1,46.7
Seia,49.1,-1.46,-1.51,0.05,4,19.2,2.5,1.9,24.3,x,x,31.6,56.3,45.1
Trancoso,22.9,-1.32,-1.51,0.19,4.9,20,2.6,1.6,31.2,x,x,30,46.3,59.1
A. M. Lisboa,961.7,0.55,-0.11,0.66,9.8,10.9,3.5,1.8,43.7,7.2,1.62,42.1,62.1,14.9
Alcochete,153.6,1.24,-0.12,1.36,8.2,9.3,7.4,2.5,35,x,x,44.8,60.6,11.3
Almada,2546.1,0.16,-0.29,0.45,9.6,12.5,2.7,1.9,44.7,x,x,40.3,63.5,9.5
Amadora,7338.6,0.78,0.04,0.74,10.6,10.3,1,1.6,46.8,x,x,42.1,67.9,21.3
Barreiro,2166.9,0.19,-0.37,0.56,9.2,12.8,4.6,2.4,42.8,x,x,40.1,68.3,10.9
Cascais,2196.4,0.02,-0.26,0.29,8.1,10.7,3.1,2,38.1,x,x,39.6,57.6,7.1
Lisboa,5484.3,0.65,-0.3,0.95,10,13.1,5.3,1.5,45.3,x,x,41.5,53,18.8
Loures,1218.2,0.5,0.03,0.47,10.7,10.4,2.9,1.7,48.1,x,x,41.8,64.7,21.5
Mafra,303.9,0.8,0,0.8,9,8.9,5,1.8,38.2,x,x,45.2,57.3,23.9
Moita,1226.1,1.08,-0.07,1.15,10.7,11.4,3.1,1.7,48.5,x,x,41.7,75.5,9.9
Montijo,165.5,1.38,-0.14,1.52,9.9,11.2,2.2,1.8,42.5,x,x,45.2,62.5,11.2
Odivelas,5665.6,0.83,0.19,0.64,11.6,9.7,x,1.6,50.7,x,x,43.1,57.7,x
Oeiras,3765.1,0.53,-0.23,0.76,8.4,10.8,3.8,1.5,39.1,x,x,40,56.6,8.3
Palmela,153.5,1.62,-0.27,1.89,8.4,11.1,3.8,2,38.1,x,x,42.7,66.6,11.2
Seixal,1778.9,1,0,1,9.9,9.9,2.1,2,43.9,x,x,42.4,66.1,15.3
Sesimbra,277.3,1.62,-0.14,1.76,9.4,10.8,6,2,41.7,x,x,43.5,66.1,6.9
Setúbal,532,-0.47,-0.42,-0.06,8.4,12.5,7.4,1.8,39,x,x,40.6,68.4,11.8
Sintra,1217.8,0.39,0.18,0.21,10.6,8.8,3,1.9,45.1,x,x,44.1,67.7,16.6
Vila Franca de Xira,433.7,0.23,0.04,0.18,9.3,8.9,1.9,1.9,39.9,x,x,44.4,64.7,14.1
Alentejo,22.6,0.16,-0.83,1,7.5,15.9,3.3,1.6,39.4,12.1,1.55,37.1,68.9,28.2
Alentejo Litoral,18.7,0.82,-0.6,1.42,8,14,2.7,1.5,43.6,3,1.67,37.6,66.5,16.7
