,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Vimioso,38.6,2.9,6.6,34.9,2.7,5.8
Vinhais,37.5,2.8,6,34.3,2.6,5.5
Centro,38.4,2.9,5.7,33.8,2.6,4.8
Oeste,38.3,2.9,5.8,33.8,2.6,5
Alcobaça,35.1,2.5,4.8,30.9,2.3,4.1
Alenquer,36.1,2.7,5.3,31.7,2.5,4.5
Arruda dos Vinhos,39.9,3.1,6.1,34.9,2.8,5.1
Bombarral,38.3,2.9,5.8,34.1,2.7,5.1
Cadaval,37.2,2.9,5.5,33.1,2.6,4.8
Caldas da Rainha,40.3,3.1,6.7,35.7,2.8,5.7
Lourinhã,39.3,3,6.5,35,2.8,5.6
Nazaré,37,2.7,5.7,33,2.5,5
Óbidos,40.3,3,6.4,35.7,2.8,5.5
Peniche,37.1,2.8,5.6,32.9,2.6,4.8
Sobral de Monte Agraço,38.3,2.9,5.8,33.7,2.6,4.9
Torres Vedras,39.3,3,6,34.6,2.7,5.1
Região de Aveiro,38.7,2.9,5.8,34,2.6,4.9
Águeda,36.4,2.6,4.8,32,2.4,4.2
Albergaria-a-Velha,34.8,2.6,4.8,31,2.4,4.2
Anadia,39.8,2.8,5.4,34.8,2.6,4.7
Aveiro,40.4,3.3,6.7,35.2,2.8,5.5
Estarreja,36.4,2.8,5.4,32.4,2.6,4.7
Ílhavo,39.3,3,6.4,34.5,2.7,5.4
Murtosa,40.5,3.4,8.9,36.6,3.1,7.6
Oliveira do Bairro,35,2.7,5,31.3,2.5,4.4
Ovar,38.1,2.8,5.7,33.6,2.6,4.9
Sever do Vouga,35,2.7,5,31.2,2.5,4.4
Vagos,37.6,2.8,5.5,33.4,2.6,4.9
Região de Coimbra,40.1,3.1,6.1,35,2.7,5.1
Arganil,33.9,2.5,4.5,30.7,2.3,4.1
Cantanhede,38.1,3,6.1,34,2.8,5.3
Coimbra,42.3,3.6,7.2,36.6,3,5.7
Condeixa-a-Nova,36.1,2.9,5.4,31.8,2.6,4.6
Figueira da Foz,38.9,3.1,6.2,34.2,2.7,5.1
Góis,33.4,2.5,4.5,30.1,2.4,4
Lousã,35.4,2.7,5.1,31.4,2.5,4.4
Mealhada,35.9,2.8,5.2,31.9,2.5,4.4
Mira,39.3,3.1,6.8,35.1,2.8,5.9
Miranda do Corvo,34.1,2.6,4.5,30.4,2.4,4
Montemor-o-Velho,34,2.7,4.7,30.1,2.4,4
Mortágua,36.2,2.7,5.1,32.5,2.5,4.5
Oliveira do Hospital,33.6,2.5,4.4,30.1,2.4,3.9
Pampilhosa da Serra,30.1,2.3,3.8,26.9,2.2,3.4
Penacova,33.8,2.6,4.7,30.5,2.5,4.2
Penela,35.3,2.6,4.7,31.3,2.4,4.1
Soure,32.7,2.5,4.5,29.1,2.3,3.9
Tábua,37.3,2.5,4.6,33.7,2.4,4.2
Vila Nova de Poiares,34.5,2.6,5.2,31.1,2.5,4.6
Região de Leiria,36.6,2.7,5.3,32.1,2.5,4.5
Alvaiázere,34.4,2.5,4.8,30.9,2.4,4.2
Ansião,34.5,2.7,4.6,30.9,2.5,4.1
Batalha,34.5,2.6,4.8,30.5,2.4,4.2
Castanheira de Pêra,//,//,//,//,//,//
Figueiró dos Vinhos,35.9,2.7,5.1,32.1,2.5,4.4
Leiria,37.6,2.8,5.6,32.9,2.5,4.7
Marinha Grande,35,2.6,5,30.7,2.4,4.2
Pedrógão Grande,35.1,2.7,5.3,31.7,2.5,4.6
Pombal,34.9,2.7,5,31.2,2.5,4.4
Porto de Mós,34.2,2.6,4.6,30.3,2.4,4
Viseu Dão Lafões,38.8,3,5.9,34.5,2.7,5.1
Aguiar da Beira,36,2.6,5.2,32.6,2.5,4.6
Carregal do Sal,35,2.6,5.2,31.4,2.5,4.5
Castro Daire,37.2,2.7,5.9,34,2.6,5.3
Mangualde,35.9,2.7,5.1,32,2.5,4.5
Nelas,37.6,2.8,5.2,33.2,2.6,4.6
Oliveira de Frades,34.3,2.6,4.5,30.8,2.5,4.1
Penalva do Castelo,35.8,2.8,5.4,32.6,2.6,4.9
Santa Comba Dão,35.3,2.7,4.7,31.5,2.5,4.1
São Pedro do Sul,37.6,2.7,5.6,33.7,2.6,4.9
Sátão,37.8,2.9,5.9,34.2,2.7,5.3
Tondela,35.6,2.7,4.9,31.7,2.5,4.3
Vila Nova de Paiva,38,2.9,6.3,34.5,2.8,5.5
Viseu,40.4,3.3,6.6,35.6,2.9,5.5
Vouzela,35.1,2.6,4.8,31.3,2.4,4.3
Beira Baixa,37.3,2.9,5.3,32.8,2.6,4.6
Castelo Branco,37.7,2.9,5.7,33,2.6,4.8
Idanha-a-Nova,33.3,2.5,4.3,29.8,2.3,3.8
Oleiros,35.9,2.5,4.5,32.3,2.4,4.1
Penamacor,34.4,2.6,4.6,30.7,2.4,4
Proença-a-Nova,36.9,2.8,5.5,32.9,2.6,4.7
Vila Velha de Ródão,32,2.6,4.2,28.3,2.3,3.7
Médio Tejo,36.5,2.8,5.2,32.3,2.5,4.5
Abrantes,36.7,2.7,5.2,32.3,2.5,4.5
Alcanena,34,2.4,4.5,30.1,2.3,4
Constância,34.2,2.7,4.9,30.1,2.4,4.2
Entroncamento,35.6,2.9,5.5,31.3,2.5,4.6
Ferreira do Zêzere,33.6,2.5,4.3,30.3,2.4,3.9
Mação,34.1,2.6,4.6,30.3,2.4,4
Ourém,35.4,2.7,5.1,31.5,2.5,4.5
Sardoal,35.9,2.6,4.7,31.8,2.5,4.1
Sertã,36.6,2.7,5.2,32.9,2.5,4.7
Tomar,38.7,2.9,5.9,34.2,2.7,5
Torres Novas,36.4,2.8,5.2,32.1,2.5,4.4
Vila de Rei,31.5,2.4,4.2,28.4,2.3,3.7
Vila Nova da Barquinha,33.1,2.6,4.8,29.2,2.3,4
Beiras e Serra da Estrela,37.8,2.8,5.5,33.5,2.6,4.7
Almeida,35.6,2.7,5.2,32,2.5,4.5
Belmonte,34.4,2.6,4.4,30.9,2.4,4
Celorico da Beira,35.4,2.8,5.4,32,2.6,4.8
Covilhã,37.6,2.6,5.2,33,2.4,4.4
Figueira de Castelo Rodrigo,38.2,2.8,6.3,34.6,2.6,5.5
Fornos de Algodres,36.5,2.7,5.2,32.7,2.5,4.7
Fundão,36.6,2.8,5.3,32.7,2.6,4.7
Gouveia,37,2.6,5.1,33,2.5,4.5
Guarda,38.9,3.1,6,34.1,2.8,5.1
Manteigas,34.6,2.4,3.9,30.8,2.2,3.5
Mêda,38.2,2.8,6,34.3,2.6,5.4
Pinhel,36.9,2.8,5.7,33.4,2.6,5.1
Sabugal,36.7,2.8,6.1,33.3,2.6,5.4
Seia,35.4,2.6,4.6,31.5,2.4,4.1
Trancoso,38.8,2.8,6.3,34.9,2.6,5.5
A. M. Lisboa,43.4,3.5,7.6,37.6,3,6.1
Alcochete,43.4,3.6,7.4,37.5,3,5.9
Almada,41.5,3.4,7.2,36.2,2.9,5.9
Amadora,39.3,3.1,6.7,34.6,2.8,5.6
Barreiro,36.7,2.9,5.6,32.2,2.5,4.7
Cascais,47,4.1,9.1,40.7,3.4,7.2
Lisboa,48.9,4.6,10.7,42.5,3.8,8.2
Loures,39.6,3,6.4,34.6,2.7,5.3
Mafra,41.4,3.5,7,36.3,3,5.7
Moita,34.5,2.7,5.2,30.6,2.4,4.5
Montijo,39.8,3.3,6.7,35,2.9,5.5
Odivelas,38.8,3.2,6.6,34.1,2.8,5.4
Oeiras,43.6,3.9,8.1,37.6,3.2,6.3
Palmela,39.9,3.2,6.4,34.9,2.8,5.3
Seixal,38.3,3,6.1,33.5,2.7,5.1
Sesimbra,38.2,3.1,6,33.5,2.7,5.1
Setúbal,40.3,3.2,6.8,35.2,2.8,5.5
Sintra,38.8,3,6.2,34,2.6,5.2
Vila Franca de Xira,35.3,2.7,5.4,31,2.4,4.5
Alentejo,37.4,2.8,5.4,32.9,2.5,4.6
Alentejo Litoral,40,3.1,6.4,35.2,2.8,5.4
Alcácer do Sal,35.7,2.6,4.7,31.4,2.4,4.1
Grândola,39.5,2.9,5.6,34.5,2.6,4.8
Odemira,37.7,2.7,5.8,33.7,2.5,5.2
Santiago do Cacém,40,3.3,6.6,35,2.9,5.4
Sines,39.8,3.3,6.6,34.7,2.9,5.4
Baixo Alentejo,37.4,2.9,5.5,33,2.6,4.7
Aljustrel,34.4,2.8,4.8,30.3,2.5,4.1
Almodôvar,38.2,3.2,6.2,34.1,2.9,5.3
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,37.7,2.9,5.8,32.9,2.6,4.8
Castro Verde,38.1,3.1,5.6,33.3,2.7,4.7
Cuba,36.8,2.8,5.4,32.6,2.5,4.7
Ferreira do Alentejo,35.7,2.6,5,31.7,2.4,4.4
Mértola,34.3,2.5,4.5,30.8,2.4,4
Moura,37.3,2.8,6,33.5,2.6,5.3
Ourique,36.2,2.8,5.6,32.4,2.6,4.8
Serpa,35.9,2.7,5.2,32.2,2.5,4.6
Vidigueira,35.1,2.7,4.8,31.1,2.5,4.2
Lezíria do Tejo,37.3,2.8,5.3,32.9,2.6,4.6
Almeirim,37.3,2.9,5.5,33.4,2.7,4.8
Alpiarça,36,2.7,5,32.1,2.5,4.4
Azambuja,34.8,2.7,5,30.8,2.4,4.3
Benavente,37.7,2.7,5.4,32.9,2.5,4.6
Cartaxo,36.2,2.8,5.3,31.9,2.5,4.5
Chamusca,33.1,2.4,4.1,29.5,2.2,3.6
Coruche,35.4,2.6,4.6,31.3,2.4,4
Golegã,34.2,2.5,4.6,30.1,2.3,4
Rio Maior,36.6,2.8,5.2,32.4,2.6,4.5
Salvaterra de Magos,36.3,2.7,5.1,32.2,2.5,4.4
Santarém,39.4,3,6,34.5,2.7,5
Alto Alentejo,36.3,2.7,5,32.1,2.5,4.3
Alter do Chão,33.5,2.4,4.3,29.5,2.2,3.8
Arronches,33.8,2.6,4.5,30,2.4,3.9
Avis,32.5,2.4,3.9,28.8,2.2,3.4
Campo Maior,34.8,2.5,4.7,30.5,2.3,4
Castelo de Vide,37,2.6,5,32.3,2.4,4.3
Crato,32.3,2.4,4.4,28.7,2.2,3.8
Elvas,37.2,2.8,5.3,32.8,2.5,4.6
Fronteira,36,2.6,4.8,31.9,2.5,4.1
Gavião,32.3,2.4,3.8,29,2.2,3.4
Marvão,33.7,2.5,4.7,30.3,2.3,4.2
Monforte,//,//,//,//,//,//
Nisa,34.4,2.7,4.7,30.8,2.4,4.1
Ponte de Sor,36.6,2.6,5.3,32.7,2.4,4.7
Portalegre,37.3,2.9,5.4,32.6,2.6,4.5
Sousel,34,2.4,4.2,30.5,2.3,3.8
Alentejo Central,36.3,2.6,5,31.7,2.4,4.3
Alandroal,29.9,2.2,3.6,26.7,2.1,3.3
Arraiolos,32.8,2.4,4.1,28.9,2.2,3.6
Borba,32.5,2.3,4,28.6,2.1,3.5
Estremoz,34.1,2.5,4.6,29.9,2.3,4
Évora,37.8,2.8,5.6,32.7,2.5,4.6
Montemor-o-Novo,35.3,2.5,4.6,30.8,2.3,4
Mora,33.1,2.2,3.9,28.8,2.1,3.5
Mourão,//,//,//,//,//,//
Portel,32.1,2.4,4.1,28.7,2.2,3.7
Redondo,34.3,2.4,4.6,30.5,2.3,4.1
Reguengos de Monsaraz,35.5,2.6,4.9,31.5,2.4,4.3
Vendas Novas,34.6,2.6,5,30.6,2.4,4.3
Viana do Alentejo,32.9,2.5,4.5,29.3,2.3,3.9
Vila Viçosa,33.2,2.3,4.1,29.1,2.1,3.6
Algarve,40.8,3.2,7.6,36.3,2.9,6.6
Albufeira,42.8,3.6,10.1,38.7,3.3,8.8
Alcoutim,//,//,//,//,//,//
Aljezur,41.1,3.1,7.6,36.8,2.9,6.7
Castro Marim,38.8,2.9,6.7,34.6,2.7,5.8
Faro,41.7,3.5,7.8,36.7,3.1,6.4
Lagoa,39.6,3.1,7.5,35.6,2.8,6.5
Lagos,41.1,3.1,7.8,36.5,2.8,6.8
Loulé,41.9,3.2,7.7,37.2,2.9,6.7
Monchique,36.9,2.7,5.9,33.4,2.6,5.3
Olhão,38.1,3,6.5,33.9,2.7,5.6
Portimão,40.5,3.2,7.3,35.9,2.9,6.3
São Brás de Alportel,39.9,3.3,7.8,35.5,2.9,6.6
Silves,37.3,3,6.5,33.5,2.7,5.7
Tavira,40.5,3.2,7.2,36.1,2.9,6.2
Vila do Bispo,38.7,2.9,6.5,35,2.7,5.9
Vila Real de Santo António,37.9,2.9,6.4,33.8,2.7,5.6
R. A. Açores,41.1,3.2,7,37.5,3,6.2
Santa Maria,47,3.6,8.9,42.4,3.3,7.6
Vila do Porto,47,3.6,8.9,42.4,3.3,7.6
São Miguel,42.5,3.4,7.6,38.8,3.2,6.7
Lagoa (R.A.A.),42.8,3.1,7.5,39,3,6.6
Nordeste,37.7,2.7,5.9,35.3,2.7,5.6
Ponta Delgada,41.9,3.5,6.8,38,3.2,5.9
Povoação,39.2,2.9,6.8,36.7,2.9,6.4
Ribeira Grande,40,3,7.2,37.1,2.9,6.5
Vila Franca do Campo,41.7,3.1,7.6,38.9,3,7
Terceira,39.1,3,6.2,35.6,2.8,5.5
Angra do Heroísmo,40.1,3.1,6.5,36.5,2.9,5.7
Vila da Praia da Vitória,36.7,2.8,5.6,33.6,2.6,5.1
Graciosa,39.1,2.9,6.6,35.8,2.7,6
Santa Cruz da Graciosa,39.1,2.9,6.6,35.8,2.7,6
São Jorge,37.1,2.8,6.1,34.3,2.6,5.6
Calheta (R.A.A.),36,2.6,5.7,33.4,2.4,5.3
Velas,37.5,2.9,6.2,34.7,2.7,5.6
Pico,37.2,2.7,5.9,34.1,2.6,5.3
Lajes do Pico,37.2,2.7,5.4,34.2,2.5,4.9
Madalena,35.9,2.6,5.8,33,2.5,5.2
São Roque do Pico,39.3,3,7.1,36,2.8,6.3
Faial,39.5,2.9,5.9,35.8,2.7,5.2
Horta,39.5,2.9,5.9,35.8,2.7,5.2
Flores,38.9,2.9,6.7,35.9,2.8,6.1
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,41.3,3.4,7.2,36.9,3.1,6.2
Calheta (R.A.M.),41.5,3.3,9.7,38.3,3.2,8.7
Câmara de Lobos,35.1,2.6,5.4,32.3,2.5,5
Funchal,42.6,3.7,7.6,37.7,3.3,6.3
Machico,37.3,3,6.4,34.1,2.8,5.8
Ponta do Sol,40.3,3.2,8.2,37.2,3,7.3
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,37.1,2.9,6,33.9,2.7,5.4
Santa Cruz,38.2,3.2,6.6,34.3,2.9,5.7
Santana,37,2.7,5.8,34,2.6,5.3
São Vicente,39.3,3.1,7.8,36,2.9,6.9
Porto Santo,39.4,3.1,6.3,34.7,2.8,5.3
