,"Gross reported income per taxable person, €","Median value of gross reported income per taxable person, €","Personal income paid tax per taxable person, €","Gross reported income less personal income paid tax per taxable person, €","Personal income paid tax in the overall gross reported income, %"
Lamego,11486,8741,1218,10269,10.6
Mesão Frio,9022,7278,644,8378,7.1
Moimenta da Beira,10181,8451,853,9328,8.4
Murça,9127,7224,701,8425,7.7
Penedono,9536,//,830,8706,8.7
Peso da Régua,10765,8559,1000,9765,9.3
Sabrosa,9672,8266,711,8961,7.4
Santa Marta de Penaguião,8548,6910,569,7979,6.7
São João da Pesqueira,9397,7516,781,8616,8.3
Sernancelhe,9280,7952,692,8588,7.5
Tabuaço,9054,7154,677,8376,7.5
Tarouca,9761,8291,735,9025,7.5
Torre de Moncorvo,10268,8399,879,9390,8.6
Vila Nova de Foz Côa,10011,8078,884,9127,8.8
Vila Real,13770,10084,1671,12100,12.1
Terras de Trás-os-Montes,11586,8916,1195,10391,10.3
Alfândega da Fé,9855,7495,839,9016,8.5
Bragança,13828,10517,1682,12147,12.2
Macedo de Cavaleiros,10317,7846,949,9368,9.2
Miranda do Douro,11346,9004,1152,10194,10.2
Mirandela,11436,8928,1130,10306,9.9
Mogadouro,10477,8268,992,9485,9.5
Vila Flor,9718,7607,794,8923,8.2
Vimioso,9787,8132,819,8968,8.4
Vinhais,9276,7447,655,8621,7.1
Centro,12703,9829,1372,11331,10.8
Oeste,12439,9674,1302,11137,10.5
Alcobaça,11840,9660,1089,10751,9.2
Alenquer,12844,10433,1330,11514,10.4
Arruda dos Vinhos,15267,11310,1994,13273,13.1
Bombarral,11465,9047,1097,10368,9.6
Cadaval,11336,9100,1053,10282,9.3
Caldas da Rainha,12770,9608,1400,11370,11
Lourinhã,11844,9146,1205,10639,10.2
Nazaré,11186,9103,1030,10155,9.2
Óbidos,12243,9265,1307,10936,10.7
Peniche,11763,9284,1122,10641,9.5
Sobral de Monte Agraço,13117,10124,1458,11658,11.1
Torres Vedras,12826,9732,1435,11391,11.2
Região de Aveiro,12964,10073,1438,11526,11.1
Águeda,12130,9657,1158,10972,9.5
Albergaria-a-Velha,11790,9780,1051,10739,8.9
Anadia,12166,9285,1326,10840,10.9
Aveiro,15700,11720,2193,13507,14
Estarreja,11980,9924,1157,10822,9.7
Ílhavo,13697,10608,1620,12077,11.8
Murtosa,11163,9105,1090,10073,9.8
Oliveira do Bairro,11653,9732,1017,10636,8.7
Ovar,12519,9769,1302,11217,10.4
Sever do Vouga,11070,9134,939,10131,8.5
Vagos,11142,9091,1044,10097,9.4
Região de Coimbra,13829,10311,1695,12134,12.3
Arganil,10123,8815,698,9425,6.9
Cantanhede,11429,9216,1095,10334,9.6
Coimbra,17671,12333,2811,14860,15.9
Condeixa-a-Nova,13927,11164,1544,12383,11.1
Figueira da Foz,13948,10778,1675,12272,12
Góis,10266,8837,731,9535,7.1
Lousã,12223,9991,1175,11048,9.6
Mealhada,12437,10140,1200,11237,9.6
Mira,11548,9059,1162,10387,10.1
Miranda do Corvo,11139,9348,932,10207,8.4
Montemor-o-Velho,12139,10095,1132,11007,9.3
Mortágua,10981,9080,930,10051,8.5
Oliveira do Hospital,10217,8847,732,9485,7.2
Pampilhosa da Serra,10221,9010,683,9538,6.7
Penacova,10110,8887,737,9372,7.3
Penela,10848,9020,924,9924,8.5
Soure,11905,10120,1059,10846,8.9
Tábua,10342,8652,780,9562,7.5
Vila Nova de Poiares,10642,9110,828,9814,7.8
Região de Leiria,12810,10285,1347,11463,10.5
Alvaiázere,10114,8617,772,9343,7.6
Ansião,10734,8950,853,9881,7.9
Batalha,12320,10220,1161,11159,9.4
Castanheira de Pêra,9988,//,702,9286,7
Figueiró dos Vinhos,10429,8721,847,9582,8.1
Leiria,13949,11001,1643,12305,11.8
Marinha Grande,13404,11068,1448,11956,10.8
Pedrógão Grande,9792,8402,714,9078,7.3
Pombal,11392,9571,1002,10390,8.8
Porto de Mós,11774,9680,1041,10733,8.8
Viseu Dão Lafões,12022,9363,1224,10799,10.2
Aguiar da Beira,9885,8494,740,9145,7.5
Carregal do Sal,10667,9009,858,9809,8
Castro Daire,9064,7515,631,8433,7
Mangualde,11363,9336,1023,10341,9
Nelas,11466,9268,1107,10360,9.7
Oliveira de Frades,10835,9138,863,9972,8
Penalva do Castelo,9585,8276,665,8921,6.9
Santa Comba Dão,11069,9071,945,10125,8.5
São Pedro do Sul,10531,8781,898,9634,8.5
Sátão,10091,8475,821,9270,8.1
Tondela,11424,9410,1025,10399,9
Vila Nova de Paiva,9965,8337,821,9144,8.2
Viseu,14036,10490,1710,12325,12.2
Vouzela,10579,9031,868,9712,8.2
Beira Baixa,12493,9755,1316,11177,10.5
Castelo Branco,13472,10480,1546,11927,11.5
Idanha-a-Nova,10352,8925,788,9564,7.6
Oleiros,10118,8247,782,9337,7.7
Penamacor,10285,8830,835,9450,8.1
Proença-a-Nova,10946,8908,982,9964,9
Vila Velha de Ródão,11513,9704,1013,10501,8.8
Médio Tejo,12217,9723,1203,11014,9.8
Abrantes,12240,9594,1222,11019,10
Alcanena,11073,9264,914,10159,8.3
Constância,12672,10449,1256,11416,9.9
Entroncamento,15059,12268,1810,13248,12
Ferreira do Zêzere,10207,8890,712,9495,7
Mação,11065,9119,919,10146,8.3
Ourém,11416,9452,1010,10406,8.8
Sardoal,11389,9126,1025,10364,9
Sertã,10009,8388,788,9221,7.9
Tomar,12516,9691,1345,11172,10.7
Torres Novas,13092,10279,1368,11723,10.5
Vila de Rei,10696,9135,735,9961,6.9
Vila Nova da Barquinha,13514,11120,1397,12117,10.3
Beiras e Serra da Estrela,11565,9084,1107,10458,9.6
Almeida,11256,9320,1008,10248,9
Belmonte,10396,8850,783,9613,7.5
Celorico da Beira,10377,8930,799,9577,7.7
Covilhã,12264,9286,1253,11012,10.2
Figueira de Castelo Rodrigo,9945,8115,774,9171,7.8
Fornos de Algodres,9786,8218,756,9029,7.7
Fundão,11045,9010,979,10066,8.9
Gouveia,10444,8470,872,9572,8.3
Guarda,13868,10614,1642,12226,11.8
Manteigas,10209,8540,751,9459,7.4
Mêda,9905,8081,837,9068,8.4
Pinhel,9764,8186,751,9013,7.7
Sabugal,10485,8890,850,9635,8.1
Seia,10756,8865,886,9869,8.2
Trancoso,10254,8451,896,9358,8.7
A. M. Lisboa,16842,11959,2617,14225,15.5
Alcochete,17919,12510,2863,15056,16
Almada,15835,11738,2243,13593,14.2
Amadora,14295,10977,1730,12565,12.1
Barreiro,14251,11373,1660,12591,11.6
Cascais,19039,12617,3499,15540,18.4
Lisboa,22024,14020,4491,17533,20.4
Loures,14837,11248,1907,12929,12.9
Mafra,15489,11394,2130,13360,13.7
Moita,12556,10556,1198,11358,9.5
Montijo,14423,10968,1780,12643,12.3
Odivelas,14586,11378,1798,12788,12.3
Oeiras,21445,15470,4014,17431,18.7
Palmela,14753,11279,1895,12858,12.8
Seixal,14794,11710,1876,12918,12.7
Sesimbra,14266,11410,1734,12533,12.2
Setúbal,15200,11555,2033,13167,13.4
Sintra,14210,11137,1720,12490,12.1
Vila Franca de Xira,14416,11841,1646,12770,11.4
Alentejo,12555,9805,1311,11244,10.4
Alentejo Litoral,12642,9523,1429,11213,11.3
Alcácer do Sal,11674,9370,1098,10576,9.4
Grândola,12660,9603,1444,11216,11.4
Odemira,9926,8331,836,9090,8.4
Santiago do Cacém,14926,11154,1957,12969,13.1
Sines,15175,11602,2009,13166,13.2
Baixo Alentejo,12433,9723,1300,11133,10.5
Aljustrel,12892,10429,1363,11529,10.6
Almodôvar,12034,9205,1243,10792,10.3
Alvito,11686,//,1078,10608,9.2
Barrancos,10750,//,832,9918,7.7
Beja,14497,11210,1778,12719,12.3
Castro Verde,14980,11316,1922,13058,12.8
Cuba,11564,9227,1113,10450,9.6
Ferreira do Alentejo,10906,8927,952,9954,8.7
Mértola,10320,8784,800,9520,7.7
Moura,10826,8921,946,9880,8.7
Ourique,11313,9156,1026,10287,9.1
Serpa,10613,8890,891,9722,8.4
Vidigueira,11217,9156,976,10241,8.7
Lezíria do Tejo,12543,9860,1290,11254,10.3
Almeirim,11417,9092,1029,10388,9
Alpiarça,11321,9080,976,10345,8.6
Azambuja,12386,10299,1188,11199,9.6
Benavente,13204,10398,1459,11745,11.1
Cartaxo,12942,10507,1338,11604,10.3
Chamusca,10552,8890,790,9762,7.5
Coruche,11330,9031,987,10343,8.7
Golegã,12172,9911,1139,11033,9.4
Rio Maior,11748,9458,1105,10643,9.4
Salvaterra de Magos,11803,9366,1114,10689,9.4
Santarém,13937,10507,1670,12268,12
Alto Alentejo,11982,9558,1152,10829,9.6
Alter do Chão,11329,9352,987,10342,8.7
Arronches,11385,9658,981,10404,8.6
Avis,10764,9091,863,9901,8
Campo Maior,12977,10897,1317,11660,10.1
Castelo de Vide,12671,9751,1318,11352,10.4
Crato,11022,9325,887,10135,8.1
Elvas,12389,9820,1285,11104,10.4
Fronteira,11455,8967,1007,10448,8.8
Gavião,10664,9031,768,9896,7.2
Marvão,10491,9015,792,9699,7.6
Monforte,10935,//,900,10035,8.2
Nisa,11248,9310,953,10295,8.5
Ponte de Sor,10466,8599,880,9585,8.4
Portalegre,13814,10626,1552,12262,11.2
Sousel,10455,8772,788,9667,7.5
Alentejo Central,13004,10162,1388,11617,10.7
Alandroal,10074,8888,688,9386,6.8
Arraiolos,11767,9592,1018,10749,8.7
Borba,11111,9168,902,10209,8.1
Estremoz,12221,9870,1158,11063,9.5
Évora,15498,11825,2037,13461,13.1
Montemor-o-Novo,12334,9696,1224,11111,9.9
Mora,11358,9199,962,10395,8.5
Mourão,10734,//,845,9889,7.9
Portel,9897,8687,654,9243,6.6
Redondo,10713,8904,865,9847,8.1
Reguengos de Monsaraz,11644,9421,1064,10580,9.1
Vendas Novas,12632,10202,1227,11406,9.7
Viana do Alentejo,11403,9525,936,10467,8.2
Vila Viçosa,11935,9718,1065,10870,8.9
Algarve,12124,9406,1331,10793,11
Albufeira,10917,8840,1102,9815,10.1
Alcoutim,10794,//,852,9942,7.9
Aljezur,10978,8890,1104,9874,10.1
Castro Marim,11168,9031,1060,10108,9.5
Faro,14582,10894,1981,12601,13.6
Lagoa,11501,9165,1144,10357,9.9
Lagos,11917,9323,1313,10604,11
Loulé,12109,9298,1366,10743,11.3
Monchique,10006,8594,789,9217,7.9
Olhão,11945,9597,1199,10746,10
Portimão,12342,9541,1359,10983,11
São Brás de Alportel,12478,9811,1405,11073,11.3
Silves,11097,9187,998,10099,9
Tavira,11662,9063,1244,10418,10.7
Vila do Bispo,10780,9031,956,9824,8.9
Vila Real de Santo António,11254,9088,1059,10195,9.4
R. A. Açores,13144,9858,1123,12021,8.5
Santa Maria,15577,10175,1788,13789,11.5
Vila do Porto,15577,10175,1788,13789,11.5
São Miguel,13127,9707,1159,11968,8.8
Lagoa (R.A.A.),11714,8946,969,10745,8.3
Nordeste,9393,7875,467,8925,5
Ponta Delgada,15235,10780,1543,13692,10.1
Povoação,9531,7750,505,9026,5.3
Ribeira Grande,10966,9065,715,10250,6.5
Vila Franca do Campo,9892,7667,623,9269,6.3
Terceira,13535,10264,1135,12400,8.4
Angra do Heroísmo,14094,10460,1258,12836,8.9
Vila da Praia da Vitória,12552,10046,919,11633,7.3
Graciosa,11677,9277,842,10835,7.2
Santa Cruz da Graciosa,11677,9277,842,10835,7.2
São Jorge,11208,9334,697,10511,6.2
Calheta (R.A.A.),10414,9031,586,9828,5.6
Velas,11784,9521,778,11006,6.6
Pico,11685,9376,785,10900,6.7
Lajes do Pico,11224,9014,725,10500,6.5
Madalena,11705,9609,752,10953,6.4
São Roque do Pico,12253,9481,929,11323,7.6
Faial,14099,10571,1238,12862,8.8
Horta,14099,10571,1238,12862,8.8
Flores,11998,9527,839,11160,7
Lajes das Flores,11556,//,805,10751,7
Santa Cruz das Flores,12286,//,861,11426,7
Corvo,13655,//,1124,12531,8.2
Corvo,13655,//,1124,12531,8.2
R. A. Madeira,13195,9838,1363,11832,10.3
Calheta (R.A.M.),10368,8574,803,9565,7.7
Câmara de Lobos,9681,8461,542,9138,5.6
Funchal,15330,10922,1904,13425,12.4
Machico,10804,8998,776,10029,7.2
Ponta do Sol,10299,8387,745,9553,7.2
Porto Moniz,10718,//,838,9880,7.8
Ribeira Brava,10523,8847,723,9800,6.9
Santa Cruz,13397,10695,1273,12124,9.5
Santana,10059,8406,650,9408,6.5
São Vicente,10387,8487,765,9622,7.4
Porto Santo,14833,11438,1745,13088,11.8
