,"Pre-primary education, Total (N.º)","Pre-primary education, Public (N.º)","Pre-primary education, Private (N.º)","Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, Public (N.º)","Primary education, 1st cycle, Private (N.º)","Primary education, 2nd cycle, Total (N.º)","Primary education, 2nd cycle, Public (N.º)","Primary education, 2nd cycle, Private (N.º)","Lower secondary education, 2nd cycle, Total (N.º)","Lower secondary education, 2nd cycle, Public (N.º)","Lower secondary education, 2nd cycle, Private (N.º)"
Terras de Trás-os-Montes,1990,1111,879,2736,2527,209,1562,1562,0,2555,2450,105
Alfândega da Fé,60,42,18,109,109,0,48,48,0,86,86,0
Bragança,745,361,384,976,820,156,579,579,0,911,878,33
Macedo de Cavaleiros,256,169,87,331,331,0,183,183,0,330,330,0
Miranda do Douro,121,110,11,151,151,0,83,83,0,144,144,0
Mirandela,418,164,254,636,583,53,364,364,0,614,542,72
Mogadouro,130,70,60,175,175,0,105,105,0,149,149,0
Vila Flor,102,70,32,148,148,0,80,80,0,138,138,0
Vimioso,59,59,0,66,66,0,45,45,0,58,58,0
Vinhais,99,66,33,144,144,0,75,75,0,125,125,0
Centro,50677,29244,21433,72234,67512,4722,40032,36140,3892,64798,57666,7132
Oeste,8726,5376,3350,12866,12229,637,7385,6333,1052,11766,9411,2355
Alcobaça,1257,545,712,1727,1662,65,1020,1020,0,1611,1156,455
Alenquer,983,694,289,1545,1545,0,901,901,0,1320,1320,0
Arruda dos Vinhos,379,269,110,646,646,0,430,70,360,793,0,793
Bombarral,272,212,60,383,383,0,228,228,0,376,376,0
Cadaval,255,198,57,385,385,0,206,206,0,338,338,0
Caldas da Rainha,1188,715,473,1887,1626,261,1076,911,165,1781,1586,195
Lourinhã,649,452,197,975,975,0,490,490,0,776,776,0
Nazaré,349,244,105,478,478,0,249,249,0,371,333,38
Óbidos,312,248,64,422,422,0,216,216,0,300,300,0
Peniche,653,318,335,963,963,0,575,575,0,878,843,35
Sobral de Monte Agraço,246,157,89,387,387,0,257,257,0,360,360,0
Torres Vedras,2183,1324,859,3068,2757,311,1737,1210,527,2862,2023,839
Região de Aveiro,9101,4440,4661,12683,12126,557,7006,6470,536,11002,10132,870
Águeda,1169,493,676,1607,1533,74,781,752,29,1318,1290,28
Albergaria-a-Velha,577,279,298,845,783,62,482,402,80,798,677,121
Anadia,615,262,353,906,778,128,522,391,131,777,604,173
Aveiro,2231,798,1433,3126,2913,213,1834,1730,104,2764,2519,245
Estarreja,669,356,313,907,875,32,494,494,0,847,847,0
Ílhavo,947,523,424,1318,1318,0,674,674,0,999,999,0
Murtosa,256,176,80,344,344,0,211,211,0,336,336,0
Oliveira do Bairro,623,314,309,857,857,0,451,451,0,693,693,0
Ovar,1231,664,567,1711,1663,48,970,970,0,1453,1434,19
Sever do Vouga,207,175,32,323,323,0,153,153,0,272,272,0
Vagos,576,400,176,739,739,0,434,242,192,745,461,284
Região de Coimbra,9706,4848,4858,13495,12082,1413,7392,6849,543,11865,11072,793
Arganil,208,180,28,315,315,0,180,180,0,243,243,0
Cantanhede,736,395,341,1080,1058,22,537,496,41,931,869,62
Coimbra,3606,1072,2534,4995,3766,1229,2596,2183,413,4182,3642,540
Condeixa-a-Nova,339,260,79,458,458,0,326,326,0,505,505,0
Figueira da Foz,1273,618,655,1787,1625,162,1021,1021,0,1628,1583,45
Góis,73,47,26,85,85,0,38,38,0,72,72,0
Lousã,405,313,92,519,519,0,334,334,0,522,522,0
Mealhada,416,226,190,520,520,0,336,336,0,553,553,0
Mira,215,167,48,368,368,0,209,209,0,287,287,0
Miranda do Corvo,210,133,77,331,331,0,176,176,0,347,347,0
Montemor-o-Velho,496,290,206,648,648,0,344,344,0,522,508,14
Mortágua,167,140,27,232,232,0,128,128,0,202,202,0
Oliveira do Hospital,447,236,211,618,618,0,304,304,0,519,519,0
Pampilhosa da Serra,52,18,34,97,97,0,41,41,0,63,63,0
Penacova,207,207,0,304,304,0,166,166,0,288,278,10
Penela,104,104,0,131,131,0,81,81,0,100,100,0
Soure,348,161,187,480,480,0,257,168,89,419,297,122
Tábua,252,198,54,311,311,0,172,172,0,297,297,0
Vila Nova de Poiares,152,83,69,216,216,0,146,146,0,185,185,0
Região de Leiria,7022,4684,2338,9757,8963,794,5320,4346,974,8831,7224,1607
Alvaiázere,102,102,0,140,140,0,78,78,0,126,126,0
Ansião,216,133,83,316,316,0,199,199,0,375,375,0
Batalha,416,251,165,538,538,0,300,300,0,446,446,0
Castanheira de Pêra,34,34,0,57,57,0,38,38,0,64,64,0
Figueiró dos Vinhos,94,60,34,104,104,0,80,80,0,125,125,0
Leiria,3362,2047,1315,4723,4106,617,2419,1866,553,4042,3166,876
Marinha Grande,986,748,238,1410,1284,126,810,786,24,1304,1222,82
Pedrógão Grande,64,43,21,81,81,0,48,48,0,74,74,0
Pombal,1183,869,314,1601,1587,14,883,655,228,1566,1149,417
Porto de Mós,565,397,168,787,750,37,465,296,169,709,477,232
Viseu Dão Lafões,5611,3838,1773,8150,7635,515,4381,4173,208,7261,6835,426
Aguiar da Beira,80,80,0,130,130,0,56,56,0,122,122,0
Carregal do Sal,178,178,0,264,264,0,165,165,0,248,248,0
Castro Daire,245,210,35,361,361,0,231,231,0,375,338,37
Mangualde,420,261,159,580,580,0,315,315,0,484,484,0
Nelas,332,179,153,433,411,22,209,209,0,413,413,0
Oliveira de Frades,202,147,55,347,347,0,149,149,0,291,291,0
Penalva do Castelo,134,134,0,193,193,0,108,108,0,188,188,0
Santa Comba Dão,212,168,44,287,287,0,173,173,0,303,303,0
São Pedro do Sul,285,214,71,424,424,0,249,249,0,341,341,0
Sátão,224,193,31,335,335,0,177,177,0,282,282,0
Tondela,462,380,82,712,712,0,365,365,0,659,659,0
Vila Nova de Paiva,94,94,0,133,133,0,81,81,0,134,134,0
Viseu,2534,1419,1115,3702,3209,493,1948,1740,208,3170,2806,364
Vouzela,209,181,28,249,249,0,155,155,0,251,226,25
Beira Baixa,1554,729,825,2379,2199,180,1354,1354,0,2031,1987,44
Castelo Branco,1131,445,686,1745,1565,180,995,995,0,1512,1479,33
Idanha-a-Nova,131,99,32,210,210,0,120,120,0,165,154,11
Oleiros,56,35,21,84,84,0,38,38,0,72,72,0
Penamacor,46,22,24,94,94,0,59,59,0,82,82,0
Proença-a-Nova,125,63,62,171,171,0,103,103,0,139,139,0
Vila Velha de Ródão,65,65,0,75,75,0,39,39,0,61,61,0
Médio Tejo,5092,3390,1702,7246,6786,460,4015,3569,446,6769,5968,801
Abrantes,616,392,224,900,888,12,534,534,0,947,947,0
Alcanena,301,201,100,417,417,0,257,257,0,398,398,0
Constância,90,90,0,164,164,0,77,77,0,155,155,0
Entroncamento,531,337,194,827,625,202,430,403,27,683,649,34
Ferreira do Zêzere,169,138,31,234,234,0,125,125,0,212,212,0
Mação,97,97,0,140,140,0,76,76,0,149,149,0
Ourém,1131,806,325,1549,1485,64,823,467,356,1425,761,664
Sardoal,80,80,0,114,114,0,65,65,0,121,121,0
Sertã,289,123,166,411,411,0,249,186,63,382,279,103
Tomar,716,481,235,1015,906,109,564,564,0,968,968,0
Torres Novas,809,436,373,1106,1033,73,628,628,0,1036,1036,0
Vila de Rei,67,46,21,81,81,0,43,43,0,61,61,0
Vila Nova da Barquinha,196,163,33,288,288,0,144,144,0,232,232,0
Beiras e Serra da Estrela,3865,1939,1926,5658,5492,166,3179,3046,133,5273,5037,236
Almeida,59,59,0,120,120,0,56,56,0,99,99,0
Belmonte,126,42,84,201,201,0,88,88,0,184,184,0
Celorico da Beira,99,17,82,161,161,0,110,110,0,177,177,0
Covilhã,913,472,441,1312,1248,64,766,737,29,1234,1207,27
Figueira de Castelo Rodrigo,87,23,64,155,155,0,59,59,0,103,103,0
Fornos de Algodres,85,85,0,111,111,0,71,71,0,126,126,0
Fundão,492,263,229,750,750,0,401,369,32,701,605,96
Gouveia,204,108,96,337,337,0,176,176,0,329,302,27
Guarda,832,331,501,1215,1113,102,706,676,30,1088,1053,35
Manteigas,39,16,23,53,53,0,33,33,0,59,59,0
Mêda,107,60,47,107,107,0,63,63,0,103,103,0
Pinhel,131,73,58,174,174,0,95,95,0,181,181,0
Sabugal,158,93,65,231,231,0,131,89,42,157,106,51
Seia,410,230,180,544,544,0,319,319,0,511,511,0
Trancoso,123,67,56,187,187,0,105,105,0,221,221,0
A. M. Lisboa,75707,33043,42664,118421,91998,26423,64890,52954,11936,99751,83050,16701
Alcochete,633,341,292,898,807,91,459,434,25,778,778,0
Almada,4673,2263,2410,7538,6526,1012,4058,3615,443,6377,5777,600
Amadora,4106,1845,2261,6497,5503,994,3411,3023,388,5063,4585,478
Barreiro,2037,1136,901,3274,2852,422,1847,1716,131,2871,2664,207
Cascais,5917,1489,4428,9273,5005,4268,5082,2781,2301,8201,4598,3603
Lisboa,17525,5758,11767,25020,13691,11329,14038,8666,5372,21211,13850,7361
Loures,5164,2868,2296,8003,6991,1012,4244,3749,495,6321,5669,652
Mafra,2441,1758,683,3760,3511,249,2041,1586,455,3155,2429,726
Moita,1434,983,451,2678,2570,108,1391,1391,0,2176,2176,0
Montijo,1438,828,610,2288,2053,235,1295,1194,101,1894,1848,46
Odivelas,3606,1903,1703,5851,5355,496,3320,3100,220,4869,4606,263
Oeiras,4653,1432,3221,6500,5008,1492,3484,3105,379,5584,5130,454
Palmela,1439,794,645,2869,2388,481,1556,1259,297,2685,2227,458
Seixal,3586,1644,1942,6607,5712,895,3495,3089,406,5274,4664,610
Sesimbra,1324,864,460,2188,2107,81,1195,1195,0,1915,1915,0
Setúbal,3083,966,2117,4891,4299,592,2946,2855,91,4446,4422,24
Sintra,8841,4756,4085,14860,12774,2086,8148,7480,668,12475,11444,1031
Vila Franca de Xira,3807,1415,2392,5426,4846,580,2880,2716,164,4456,4268,188
Alentejo,17111,10762,6349,24705,24024,681,13504,13138,366,21346,20647,699
Alentejo Litoral,2309,1609,700,3287,3287,0,1784,1653,131,2725,2478,247
Alcácer do Sal,230,178,52,344,344,0,211,211,0,336,336,0
Grândola,349,282,67,500,500,0,252,252,0,433,433,0
Odemira,603,410,193,886,886,0,457,326,131,730,483,247
Santiago do Cacém,678,494,184,961,961,0,529,529,0,769,769,0
Sines,449,245,204,596,596,0,335,335,0,457,457,0
Baixo Alentejo,2954,1964,990,4229,4160,69,2328,2276,52,3469,3272,197
Aljustrel,209,129,80,295,295,0,176,176,0,259,259,0
Almodôvar,139,104,35,185,185,0,117,117,0,175,175,0
Alvito,49,49,0,79,79,0,39,39,0,81,62,19
Barrancos,37,37,0,42,42,0,25,25,0,36,36,0
Beja,986,436,550,1455,1386,69,794,742,52,1187,1066,121
Castro Verde,167,127,40,234,234,0,133,133,0,228,228,0
Cuba,122,122,0,151,151,0,86,86,0,144,112,32
Ferreira do Alentejo,194,124,70,249,249,0,138,138,0,181,181,0
Mértola,119,119,0,161,161,0,65,65,0,138,138,0
Moura,374,289,85,599,599,0,312,312,0,460,435,25
Ourique,88,50,38,132,132,0,100,100,0,111,111,0
Serpa,338,281,57,432,432,0,241,241,0,355,355,0
Vidigueira,132,97,35,215,215,0,102,102,0,114,114,0
Lezíria do Tejo,5741,3648,2093,8385,8150,235,4662,4662,0,7600,7566,34
Almeirim,609,356,253,843,843,0,509,509,0,777,777,0
Alpiarça,126,86,40,196,196,0,95,95,0,189,189,0
Azambuja,624,258,366,795,795,0,419,419,0,693,693,0
Benavente,773,524,249,1222,1222,0,637,637,0,1086,1086,0
Cartaxo,486,261,225,788,788,0,457,457,0,730,730,0
Chamusca,181,181,0,241,241,0,132,132,0,222,222,0
Coruche,325,198,127,521,521,0,267,267,0,473,459,14
Golegã,127,86,41,165,165,0,76,76,0,147,147,0
Rio Maior,597,419,178,756,645,111,445,445,0,729,729,0
Salvaterra de Magos,486,280,206,731,731,0,425,425,0,653,653,0
Santarém,1407,999,408,2127,2003,124,1200,1200,0,1901,1881,20
Alto Alentejo,2433,1561,872,3572,3447,125,1941,1889,52,3063,2984,79
Alter do Chão,57,57,0,101,101,0,49,49,0,94,94,0
Arronches,80,55,25,80,80,0,56,56,0,71,71,0
Avis,79,79,0,123,123,0,50,50,0,101,101,0
Campo Maior,217,121,96,384,384,0,196,196,0,301,301,0
Castelo de Vide,76,56,20,81,81,0,50,50,0,63,63,0
Crato,58,30,28,85,85,0,40,40,0,63,63,0
Elvas,528,272,256,906,805,101,465,413,52,723,644,79
Fronteira,56,40,16,76,76,0,47,47,0,91,91,0
Gavião,56,36,20,76,76,0,61,61,0,87,87,0
Marvão,57,57,0,69,69,0,26,26,0,61,61,0
Monforte,64,64,0,113,113,0,60,60,0,84,84,0
Nisa,76,76,0,123,123,0,67,67,0,112,112,0
Ponte de Sor,341,247,94,468,444,24,273,273,0,399,399,0
Portalegre,579,301,278,770,770,0,412,412,0,691,691,0
Sousel,109,70,39,117,117,0,89,89,0,122,122,0
Alentejo Central,3674,1980,1694,5232,4980,252,2789,2658,131,4489,4347,142
Alandroal,92,92,0,123,123,0,76,76,0,108,108,0
Arraiolos,146,63,83,169,169,0,89,89,0,179,179,0
Borba,158,117,41,205,205,0,117,117,0,154,154,0
Estremoz,284,223,61,414,414,0,208,208,0,331,331,0
Évora,1468,453,1015,2090,1906,184,1062,960,102,1796,1697,99
Montemor-o-Novo,334,215,119,489,489,0,256,256,0,413,413,0
Mora,77,65,12,94,94,0,50,50,0,105,105,0
Mourão,67,67,0,99,99,0,54,54,0,71,71,0
Portel,108,53,55,151,151,0,101,101,0,133,133,0
Redondo,135,104,31,207,207,0,104,104,0,148,148,0
Reguengos de Monsaraz,233,181,52,368,368,0,224,224,0,347,347,0
Vendas Novas,274,160,114,415,347,68,211,182,29,351,308,43
Viana do Alentejo,120,91,29,185,185,0,102,102,0,154,154,0
Vila Viçosa,178,96,82,223,223,0,135,135,0,199,199,0
Algarve,12571,7318,5253,18585,17140,1445,10136,9760,376,15839,15228,611
Albufeira,1347,1016,331,1959,1959,0,1063,1063,0,1610,1610,0
Alcoutim,35,0,35,53,53,0,24,24,0,49,49,0
Aljezur,165,165,0,232,232,0,106,106,0,206,162,44
Castro Marim,197,113,84,256,256,0,135,135,0,170,170,0
Faro,1754,495,1259,2680,2337,343,1452,1403,49,2316,2243,73
Lagoa,727,402,325,1013,894,119,597,491,106,841,715,126
Lagos,840,268,572,1246,1056,190,666,617,49,1178,1134,44
Loulé,2325,1705,620,3178,2992,186,1696,1606,90,2601,2410,191
Monchique,122,122,0,147,147,0,76,76,0,127,127,0
Olhão,1080,636,444,1727,1635,92,1010,964,46,1521,1454,67
Portimão,1561,958,603,2422,2123,299,1353,1353,0,2159,2129,30
São Brás de Alportel,310,237,73,417,417,0,238,238,0,381,381,0
Silves,918,516,402,1451,1366,85,708,690,18,1085,1060,25
Tavira,585,237,348,882,820,62,507,507,0,774,774,0
Vila do Bispo,143,143,0,256,187,69,83,65,18,123,112,11
Vila Real de Santo António,462,305,157,666,666,0,422,422,0,698,698,0
R. A. Açores,6439,4061,2378,10137,9244,893,5262,5103,159,8437,8353,84
Santa Maria,153,153,0,203,203,0,102,102,0,196,196,0
Vila do Porto,153,153,0,203,203,0,102,102,0,196,196,0
São Miguel,3790,2592,1198,6128,5441,687,3293,3177,116,5247,5163,84
Lagoa (R.A.A.),357,309,48,587,587,0,350,350,0,603,603,0
Nordeste,92,92,0,153,153,0,102,102,0,152,152,0
Ponta Delgada,1985,1160,825,3053,2366,687,1234,1118,116,2750,2666,84
Povoação,138,122,16,234,234,0,124,124,0,212,212,0
Ribeira Grande,935,712,223,1678,1678,0,1252,1252,0,1170,1170,0
Vila Franca do Campo,283,197,86,423,423,0,231,231,0,360,360,0
Terceira,1391,634,757,2092,1953,139,1023,980,43,1620,1620,0
Angra do Heroísmo,898,276,622,1325,1186,139,666,623,43,1009,1009,0
Vila da Praia da Vitória,493,358,135,767,767,0,357,357,0,611,611,0
Graciosa,117,68,49,173,173,0,83,83,0,112,112,0
Santa Cruz da Graciosa,117,68,49,173,173,0,83,83,0,112,112,0
São Jorge,200,56,144,294,294,0,150,150,0,275,275,0
Calheta (R.A.A.),76,20,56,124,124,0,57,57,0,127,127,0
Velas,124,36,88,170,170,0,93,93,0,148,148,0
Pico,354,293,61,544,544,0,250,250,0,398,398,0
Lajes do Pico,85,85,0,159,159,0,80,80,0,132,132,0
Madalena,187,154,33,265,265,0,106,106,0,187,187,0
São Roque do Pico,82,54,28,120,120,0,64,64,0,79,79,0
Faial,347,200,147,575,508,67,291,291,0,463,463,0
Horta,347,200,147,575,508,67,291,291,0,463,463,0
Flores,84,65,19,108,108,0,63,63,0,112,112,0
Lajes das Flores,19,19,0,34,34,0,21,21,0,0,0,0
Santa Cruz das Flores,65,46,19,74,74,0,42,42,0,112,112,0
Corvo,3,0,3,20,20,0,7,7,0,14,14,0
Corvo,3,0,3,20,20,0,7,7,0,14,14,0
R. A. Madeira,6003,3282,2721,8597,6290,2307,5043,4390,653,8719,7568,1151
Calheta (R.A.M.),232,182,50,370,320,50,190,190,0,384,384,0
Câmara de Lobos,660,431,229,929,929,0,558,558,0,949,949,0
Funchal,3115,1177,1938,4384,2539,1845,2565,1912,653,4208,3057,1151
Machico,422,336,86,620,524,96,367,367,0,664,664,0
Ponta do Sol,167,152,15,271,271,0,179,179,0,283,283,0
Porto Moniz,45,45,0,67,67,0,36,36,0,66,66,0
Ribeira Brava,275,275,0,432,432,0,234,234,0,495,495,0
Santa Cruz,770,412,358,1063,868,195,646,646,0,1192,1192,0
Santana,119,98,21,160,133,27,83,83,0,153,153,0
São Vicente,106,105,1,131,131,0,81,81,0,145,145,0
Porto Santo,92,69,23,170,76,94,104,104,0,180,180,0
