,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Mação,343,133,210,20473,7103,13370,312,119,193
Ourém,3140,1370,1770,215034,92291,122743,3745,1777,1968
Sardoal,232,107,125,18776,9261,9515,297,166,131
Sertã,714,339,375,42611,19365,23246,697,358,339
Tomar,2013,840,1173,185772,73000,112772,3203,1413,1791
Torres Novas,2631,1190,1441,193720,86887,106833,3508,1828,1680
Vila de Rei,158,57,101,7985,3620,4365,129,67,61
Vila Nova da Barquinha,452,174,278,29042,9974,19068,490,218,272
Beiras e Serra da Estrela,11548,4756,6792,855561,344987,510574,13791,5973,7817
Almeida,252,98,154,20472,8897,11575,322,163,159
Belmonte,433,168,265,30287,12072,18215,429,183,246
Celorico da Beira,388,154,234,31975,10512,21463,496,184,313
Covilhã,2744,1112,1632,167929,67329,100600,2755,1179,1576
Figueira de Castelo Rodrigo,195,77,118,16102,7161,8941,245,109,136
Fornos de Algodres,204,92,112,15771,7897,7874,247,137,110
Fundão,1488,629,859,106756,40758,65998,1746,734,1011
Gouveia,558,233,325,39008,17950,21058,613,278,335
Guarda,2105,875,1230,164744,68327,96417,2950,1357,1592
Manteigas,136,47,89,9083,2776,6307,136,37,99
Mêda,197,87,110,15828,6246,9582,218,87,131
Pinhel,511,232,279,46604,20073,26531,660,295,365
Sabugal,524,206,318,46775,17768,29007,713,274,439
Seia,1372,559,813,110638,44277,66361,1764,755,1010
Trancoso,441,187,254,33589,12944,20645,498,203,295
A. M. Lisboa,167700,65776,101924,10200385,3927653,6272732,218753,98092,120662
Alcochete,1076,417,659,121202,40666,80536,2730,1102,1627
Almada,9940,3745,6195,639916,241933,397983,13451,6131,7320
Amadora,10408,4022,6386,506990,204742,302248,9625,4396,5229
Barreiro,4801,1879,2922,361977,137921,224056,8032,3685,4347
Cascais,10722,4302,6420,529801,213122,316679,12938,5763,7175
Lisboa,25335,10147,15188,1228007,509204,718803,29761,13342,16419
Loures,13112,5231,7881,678639,278694,399945,13554,6398,7157
Mafra,5256,2192,3064,370649,149686,220963,7730,3685,4045
Moita,4721,1788,2933,452819,154874,297945,9421,4027,5394
Montijo,3701,1400,2301,373931,117999,255932,7563,2858,4705
Odivelas,9387,3702,5685,472825,192741,280084,9412,4388,5024
Oeiras,8143,3102,5041,395806,159514,236292,10198,4509,5689
Palmela,4544,1807,2737,440604,148560,292044,9658,4035,5623
Seixal,10015,3763,6252,706392,266557,439835,14132,6112,8021
Sesimbra,3450,1418,2032,275097,113185,161912,5911,2985,2926
Setúbal,8324,3158,5166,820567,268271,552296,18793,8028,10765
Sintra,24575,9582,14993,1254046,503951,750095,24220,11131,13088
Vila Franca de Xira,10190,4121,6069,571117,226033,345084,11624,5517,6108
Alentejo,45862,18434,27428,3045223,1120005,1925218,55502,23939,31562
Alentejo Litoral,5337,2154,3183,374688,139786,234902,7742,3835,3907
Alcácer do Sal,674,234,440,57216,16678,40538,1004,323,681
Grândola,819,299,520,68762,23138,45624,1247,489,758
Odemira,1284,591,693,65039,28665,36374,1087,515,572
Santiago do Cacém,1698,676,1022,121380,46461,74919,2927,1649,1277
Sines,862,354,508,62291,24844,37447,1478,860,618
Baixo Alentejo,6320,2608,3712,308247,129061,179186,5528,2725,2803
Aljustrel,516,238,278,32568,14423,18145,659,382,278
Almodôvar,317,136,181,21233,9025,12208,431,235,196
Alvito,137,51,86,4952,1516,3436,80,27,53
Barrancos,45,19,26,2166,1132,1034,27,14,13
Beja,2239,856,1383,85326,33986,51340,1496,679,818
Castro Verde,393,183,210,22693,10543,12150,547,322,224
Cuba,242,111,131,11525,5468,6057,212,118,94
Ferreira do Alentejo,478,213,265,25609,12108,13501,464,269,195
Mértola,276,129,147,16069,6101,9968,270,99,171
Moura,460,191,269,23875,10014,13861,358,163,195
Ourique,259,96,163,17167,5298,11869,268,85,182
Serpa,689,282,407,30140,13760,16380,489,240,249
Vidigueira,269,103,166,14924,5687,9237,227,92,135
Lezíria do Tejo,17926,7329,10597,1302884,482467,820417,23893,10333,13561
Almeirim,1469,557,912,107584,37225,70359,1780,696,1085
Alpiarça,413,151,262,29439,8315,21124,492,175,317
Azambuja,1637,661,976,106242,42167,64075,1980,932,1048
Benavente,2428,957,1471,168967,59975,108992,3496,1420,2075
Cartaxo,1892,797,1095,133537,53233,80304,2662,1261,1401
Chamusca,703,296,407,53127,20558,32569,862,384,478
Coruche,1127,443,684,92129,34281,57848,1545,687,858
Golegã,407,164,243,33517,11087,22430,561,234,328
Rio Maior,1815,827,988,135183,50590,84593,2348,988,1360
Salvaterra de Magos,1666,639,1027,160305,53916,106389,2831,1127,1704
Santarém,4369,1837,2532,282854,111120,171734,5337,2430,2907
Alto Alentejo,6839,2626,4213,453794,158072,295722,7621,2919,4702
Alter do Chão,165,60,105,10777,3751,7026,168,53,115
Arronches,206,79,127,11551,2730,8821,202,52,149
Avis,227,86,141,16039,6217,9822,252,113,139
Campo Maior,873,373,500,46310,16961,29349,921,366,555
Castelo de Vide,172,63,109,10549,2830,7719,179,52,127
Crato,176,66,110,13668,3892,9776,198,62,136
Elvas,1381,556,825,84208,34709,49499,1445,701,744
Fronteira,156,65,91,10455,3630,6825,161,53,108
Gavião,215,77,138,16317,5308,11009,255,93,162
Marvão,191,55,136,11971,3021,8950,171,45,126
Monforte,134,45,89,7623,1949,5674,138,38,100
Nisa,329,96,233,24280,6178,18102,372,92,280
Ponte de Sor,884,345,539,72473,25762,46711,1173,453,720
Portalegre,1464,572,892,95860,34428,61432,1654,638,1015
Sousel,266,88,178,21713,6706,15007,333,108,225
Alentejo Central,9440,3717,5723,605610,210619,394991,10717,4127,6590
Alandroal,314,119,195,22951,8309,14642,353,136,217
Arraiolos,415,175,240,24829,9837,14992,416,187,230
Borba,365,149,216,28051,10489,17562,468,200,268
Estremoz,615,222,393,45203,14040,31163,744,266,479
Évora,3576,1415,2161,193704,71850,121854,3714,1509,2205
Montemor-o-Novo,940,361,579,56036,17412,38624,933,313,619
Mora,277,111,166,20448,6912,13536,340,149,190
Mourão,104,45,59,6224,2079,4145,95,38,57
Portel,336,137,199,21925,6549,15376,345,115,229
Redondo,340,163,177,17656,9550,8106,295,161,134
Reguengos de Monsaraz,579,239,340,35708,13596,22112,555,234,321
Vendas Novas,762,252,510,80643,20202,60441,1628,454,1175
Viana do Alentejo,341,129,212,19353,7580,11773,312,136,176
Vila Viçosa,476,200,276,32879,12214,20665,519,229,290
Algarve,25223,10222,15001,1658514,674089,984425,30102,13522,16580
Albufeira,2338,934,1404,182192,73449,108743,3497,1514,1984
Alcoutim,118,42,76,7264,1702,5562,107,30,77
Aljezur,237,102,135,14376,6236,8140,239,109,130
Castro Marim,332,142,190,25847,10784,15063,437,192,245
Faro,4021,1580,2441,244613,97071,147542,4679,2041,2639
Lagoa,1326,578,748,75794,36786,39008,1417,753,664
Lagos,1611,638,973,100596,39479,61117,1709,745,964
Loulé,3689,1467,2222,289334,111945,177389,5269,2278,2991
Monchique,267,110,157,17837,7916,9921,320,146,174
Olhão,2663,1032,1631,162289,62542,99747,2911,1317,1594
Portimão,3301,1351,1950,180151,71553,108598,3255,1451,1804
São Brás de Alportel,578,252,326,44979,22404,22575,884,464,420
Silves,2033,869,1164,140294,60184,80110,2404,1104,1300
Tavira,1487,616,871,88195,36180,52015,1560,711,849
Vila do Bispo,231,101,130,18285,7903,10382,260,112,148
Vila Real de Santo António,991,408,583,66468,27955,38513,1154,556,598
R. A. Açores,14450,6198,8252,1194403,476429,717974,21893,9818,12075
Santa Maria,331,135,196,21065,6254,14811,429,159,270
Vila do Porto,331,135,196,21065,6254,14811,429,159,270
São Miguel,7444,3251,4193,672771,283759,389012,12807,6093,6714
Lagoa (R.A.A.),714,300,414,69750,27076,42674,1207,556,651
Nordeste,203,105,98,14550,7449,7101,205,97,108
Ponta Delgada,4032,1690,2342,370350,147493,222857,7571,3441,4130
Povoação,298,124,174,31316,12709,18607,551,257,294
Ribeira Grande,1804,828,976,155671,72101,83570,2749,1436,1313
Vila Franca do Campo,393,204,189,31134,16931,14203,523,305,218
Terceira,3376,1421,1955,239463,82986,156477,4371,1730,2641
Angra do Heroísmo,2065,869,1196,143354,50875,92479,2617,1058,1559
Vila da Praia da Vitória,1311,552,759,96109,32111,63998,1754,672,1082
Graciosa,349,166,183,33365,12825,20540,490,214,276
Santa Cruz da Graciosa,349,166,183,33365,12825,20540,490,214,276
São Jorge,684,261,423,46357,16628,29729,761,292,469
Calheta (R.A.A.),268,94,174,15267,4253,11014,216,58,158
Velas,416,167,249,31090,12375,18715,545,234,311
Pico,1002,465,537,80754,32907,47847,1296,541,755
Lajes do Pico,321,148,173,26013,10744,15269,403,158,246
Madalena,444,204,240,33384,14053,19331,566,240,325
São Roque do Pico,237,113,124,21357,8110,13247,327,143,184
Faial,953,372,581,77000,30899,46101,1329,627,702
Horta,953,372,581,77000,30899,46101,1329,627,702
Flores,264,106,158,21060,8785,12275,361,131,230
Lajes das Flores,80,26,54,6144,2505,3639,101,38,63
Santa Cruz das Flores,184,80,104,14916,6280,8636,260,93,167
Corvo,47,21,26,2568,1386,1182,51,32,19
Corvo,47,21,26,2568,1386,1182,51,32,19
R. A. Madeira,11605,5275,6330,1040144,489723,550421,21579,12522,9057
Calheta (R.A.M.),364,157,207,39507,16896,22611,678,362,316
Câmara de Lobos,1504,736,768,114357,59117,55240,1991,1204,787
Funchal,4507,1888,2619,338935,141189,197746,7053,3285,3768
Machico,1579,915,664,220475,137917,82558,6125,4906,1219
Ponta do Sol,285,142,143,27058,13191,13867,487,268,219
Porto Moniz,90,33,57,10946,4305,6641,169,74,95
Ribeira Brava,540,279,261,51152,25859,25293,819,481,338
Santa Cruz,2096,868,1228,170674,69189,101485,3218,1503,1715
Santana,270,100,170,29548,9483,20065,448,194,254
São Vicente,177,67,110,23504,7132,16372,289,95,194
Porto Santo,193,90,103,13988,5445,8543,302,149,153
