,Total (€),"Profissão principal, Representantes do poder legislativo e de órgãos executivos, dirigentes, diretores/as e gestores/as executivos/as (€)","Profissão principal, Especialistas das atividades intelectuais e científicas (€)","Profissão principal, Técnicos/as e profissionais de nível intermédio (€)","Profissão principal, Pessoal administrativo  (€)","Profissão principal, Trabalhadores/as dos serviços pessoais, de proteção e segurança e vendedores/as (€)","Profissão principal, Agricultores/as e trabalhadores/as qualificados/as da agricultura, da pesca e da floresta (€)","Profissão principal, Trabalhadores/as qualificados/as da indústria, construção e artífices (€)","Profissão principal, Operadores/as de instalações e máquinas e trabalhadores/as da montagem (€)","Profissão principal, Trabalhadores/as não qualificados  (€)"
Lagoa,1072.03,2046.66,1565.24,1382.32,1034.16,966.71,921.38,964.95,976.84,828.34
Lagos,1019.29,1722.48,1416.36,1201.51,1028.87,903.5,899.09,939.41,979.4,888.25
Loulé,1082.9,2107.05,1534.55,1340.34,1084.47,949.92,978.3,997.25,1066.43,873.82
Monchique,935.26,1770.46,1296.95,1320.53,1028.44,831.71,757.94,822.32,926.15,749.69
Olhão,993.19,1600.01,1390.96,1311.28,1012.05,858.75,1037.71,872.41,926.9,825.6
Portimão,1081.93,1867.49,1712.32,1483.99,1040.63,904.16,847.48,911.58,1018.36,818.06
São Brás de Alportel,997.35,1373.48,1530.23,1082.11,997.43,817.04,863.5,859.52,1003.34,815.15
Silves,1010.95,1569.9,1644.81,1241.71,1034.63,851.55,837.38,902.7,958.8,813.57
Tavira,967.23,1651.99,1488.61,1278.64,983,849.73,889.26,891.95,948.12,785.59
Vila do Bispo,960.18,1429.62,1238.08,1064.64,1033.95,900.23,1037,905.77,907.48,810.71
Vila Real de Santo António,965.98,1531.74,1650.42,1151.74,1015.34,830,983.47,905.31,923.45,793.01
R. A. Açores,1131.35,2129.53,1764.08,1795.84,1125.84,880.64,981.86,916.99,994.52,863.88
Santa Maria,1779.25,1873.42,1269.42,4938.83,1324.67,857.43,…,1124.15,1118.92,826.63
Vila do Porto,1779.25,1873.42,1269.42,4938.83,1324.67,857.43,…,1124.15,1118.92,826.63
São Miguel,1141,2425.94,1750.17,1820.97,1138.62,887.08,1004.63,918.01,971.89,846.46
Lagoa (R.A.A.),972.47,2169.32,1522.39,1255.77,1017.46,826.6,721.64,806.78,885.6,809.4
Nordeste,890.24,1187.93,1365.69,1115.9,995.09,846.38,822.13,764.03,773.88,756.11
Ponta Delgada,1239.42,2607.28,1803.69,2046.27,1184.56,909.01,961.41,1004.07,1034.44,874.1
Povoação,1036.6,2116.82,1433.92,1192.89,1099.1,836.95,2038.43,869.9,822.57,775.02
Ribeira Grande,1001.45,2114.1,1722.15,1323.7,1046.09,863.46,833.45,867.09,946.8,813.18
Vila Franca do Campo,879.16,1695.15,1467.51,1117,919.88,840.35,740.26,771.2,791.21,756.74
Terceira,1097.23,1783.41,1893.82,1328.37,1076.54,879,808.5,908.65,1015.22,883.19
Angra do Heroísmo,1106.8,1748.01,2009.58,1308.44,1029.25,886.87,772.26,905.07,962.36,830.77
Vila da Praia da Vitória,1078.06,1871.44,1552.81,1367.66,1151.34,860.13,864.31,914.67,1142.79,968.93
Graciosa,1044.33,1895.58,1667.68,1565.17,1342.9,853.31,718.72,863.84,1079.92,879.28
Santa Cruz da Graciosa,1044.33,1895.58,1667.68,1565.17,1342.9,853.31,718.72,863.84,1079.92,879.28
São Jorge,1008.04,1344.7,1466.51,1361.03,1201.88,886.6,820.78,858.92,962.16,856.13
