,Total (€),"Escalão de pessoal, 1 - 9 (€)","Escalão de pessoal, 10 - 19 (€)","Escalão de pessoal, 20 - 49 (€)","Escalão de pessoal, 50 - 99 (€)","Escalão de pessoal, 100 - 249 (€)","Escalão de pessoal, 250 - 499 (€)","Escalão de pessoal, 500 e mais (€)"
Soure,1016.96,864.16,886.1,934.16,1323.66,1179.33,//,1198.68
Tábua,922.48,902.25,853.24,885.09,1276.79,874.27,888.48,829.86
Vila Nova de Poiares,973.19,842.23,878.31,1063.51,919.54,804.7,1192.35,1339.77
Região de Leiria,1150.13,953.54,1082.95,1160.72,1210.22,1269.97,1358.07,1313.81
Alvaiázere,950.84,849.34,952.82,959.56,928.86,1049.95,//,1542.46
Ansião,968.99,853.25,1098.21,900.69,1070.31,916.64,//,1689.32
Batalha,1125.62,979.17,1110.31,1158.56,1201.38,1200.56,1226.83,1272.38
Castanheira de Pêra,938.53,821.8,1045.29,1043.74,897.75,//,//,2169.29
Figueiró dos Vinhos,912.97,838.3,1014.73,807.55,…,863.23,//,1983.74
Leiria,1159.48,961.29,1078.97,1161.13,1167.47,1338.44,1310.56,1296.47
Marinha Grande,1329.9,1063.73,1240.58,1347.81,1502.62,1373.55,1476.52,1398.91
Pedrógão Grande,944.5,811.39,914.23,1085.3,1597.27,893.49,//,1636.29
Pombal,1062.02,927.31,1007.52,1101.19,1139.83,1038.65,1250.31,1321.59
Porto de Mós,1134.54,924.28,1053.97,1184.8,1080.67,1355.23,1419.63,1234.48
Viseu Dão Lafões,1055.39,866.41,960.06,1027.27,1024.02,1051.61,1197.58,1273.34
Aguiar da Beira,862.4,797.29,859.63,1008.48,819.49,//,//,1866.4
Carregal do Sal,994.71,898.35,914.25,982.99,1184.71,1109.48,//,833.91
Castro Daire,885,815.33,880.39,929.46,1501.91,779.72,926.82,1491.32
Mangualde,1158.46,880.18,1123.27,1020.64,1053.76,952.2,993.12,1391.51
Nelas,1127.94,876.63,930.18,1100.07,1015.34,1255.67,1579.21,1153.32
Oliveira de Frades,1125.81,959.43,988.48,1001.81,1101.3,1120.45,//,1402.85
Penalva do Castelo,936.68,904.18,829.77,896.95,740.1,1106.03,890.94,1704.58
Santa Comba Dão,956.52,865.89,953.62,896.53,1098.57,818.29,//,1219.16
São Pedro do Sul,877.64,814.68,885.14,875.62,1033.39,843.79,1406.05,1245.75
Sátão,853.72,776.3,830.82,936.68,838.58,882.42,894.25,1744.39
Tondela,1160.54,886.03,939.88,1255.45,994.97,1147.1,1412.3,1219.36
Vila Nova de Paiva,884.42,773.58,939.42,897.59,860.16,1144.81,//,2007.37
Viseu,1065.28,881.47,983.16,1023.05,1030.98,1061.4,1110.35,1285.31
Vouzela,933.02,839.54,883.01,1040.12,947.9,903.55,…,987.11
Beira Baixa,1036.23,866.45,959.4,997.29,949.05,1283.29,1017.31,1169.12
Castelo Branco,1026.77,868.28,993.91,1021.94,948.46,1191.67,942.22,1123.04
Idanha-a-Nova,942.49,884.19,1074.62,957.27,910.97,…,854.5,1717.16
Oleiros,991.97,839.47,798.18,899.27,818.74,1372.17,1599.02,1361.59
Penamacor,949.53,815.38,899.2,1018.27,//,//,//,1578
Proença-a-Nova,990.62,811.74,828.54,902.45,973.21,924.92,//,2041.73
Vila Velha de Ródão,1366.8,1023.6,883.05,996.43,1231.98,1575.31,…,2936.06
Médio Tejo,1087.09,882.35,972.75,1032.11,1060.26,1252.09,1198.6,1383.36
Abrantes,1165.47,904.45,920.26,1062.23,1006.78,1589.95,1330.78,1308.93
Alcanena,1118.27,925.89,1080.29,1148.27,1075.88,1271.18,1346.17,1155.01
Constância,1282.19,813.5,844.32,1091.63,1129.85,1650.83,758,1872.08
Entroncamento,1194.15,888.23,1112.49,1043.04,1142.59,988.49,1043.04,1592.12
Ferreira do Zêzere,986.63,857.33,988.48,1027.42,1072.06,939.2,1255.3,1319.03
Mação,983.21,887.7,871.62,808.44,1105.06,1234.07,1335.73,1550.22
Ourém,1063.45,893.38,976.7,1054.53,1098.44,1398.98,1235.05,1214.81
Sardoal,846.91,817.45,884,//,1206.15,856.87,//,…
Sertã,933.98,852.18,899.5,910.27,1104.73,914.95,//,1429.29
Tomar,1044.25,836.33,963.49,919.41,1043.61,964.74,936.79,1446.91
Torres Novas,1141.39,917.75,962.34,1088.28,1020.7,1126.72,1171.56,1433.57
Vila de Rei,870.73,847.59,879.08,769,…,908.33,//,1530.12
Vila Nova da Barquinha,897.46,817.41,1252.65,954.23,779.99,804.9,//,…
Beiras e Serra da Estrela,1013.44,836.73,910.21,944.37,987.88,1109.58,1084.7,1400.03
Almeida,905.01,834.52,838.44,869.65,1009.65,…,1136.01,1508.88
Belmonte,909.16,816.1,915.21,941.38,970.04,918.68,902.07,1685.21
Celorico da Beira,1082.16,812.5,838.13,1368.75,870.39,1206.84,1152.92,1418.54
Covilhã,1027.83,867.95,947.36,973.17,1018.24,869.22,1026.6,1416.79
Figueira de Castelo Rodrigo,874.49,822.42,846,849.26,908.63,871.3,//,1603.3
Fornos de Algodres,838.68,786.29,822.38,779.42,996.82,1433.28,//,1071.53
Fundão,983.43,817.74,888.35,968.53,980.63,1119.16,992.61,1321.45
Gouveia,923.35,859.81,858,853.08,942.06,1031.73,//,1357.7
Guarda,1147.21,849.32,954.21,953.39,1011.8,1341.49,1217.69,1536.35
Manteigas,893.92,821.58,904.35,895.29,898,1062.88,915.76,976.13
Mêda,892.58,813.42,807.64,1047.6,839.7,//,//,2328.69
Pinhel,888.12,839.42,853.28,842.21,1022.22,915.79,//,1644.46
