,"Nados-vivos, Total, HM (N.º)","Nados-vivos, Total, H (N.º)","Nados-vivos, Total, M (N.º)","Nados-vivos, Fora do casamento, Total (N.º)","Nados-vivos, Fora do casamento, Com coabitação dos pais (N.º)","Óbitos, Total, HM (N.º)","Óbitos, Total, H (N.º)","Óbitos, Total, M (N.º)","Óbitos, Com 
menos
de 1 ano, M (N.º)"
Alcácer do Sal,83,44,39,60,44,186,94,92,0
Grândola,111,49,62,85,64,242,131,111,0
Odemira,237,125,112,117,93,380,198,182,2
Santiago do Cacém,223,113,110,166,129,417,223,194,3
Sines,135,74,61,97,81,155,71,84,1
Baixo Alentejo,930,477,453,672,540,2081,1051,1030,4
Aljustrel,79,38,41,62,44,151,82,69,0
Almodôvar,46,27,19,33,27,140,71,69,0
Alvito,16,8,8,10,9,64,36,28,0
Barrancos,11,7,4,9,9,41,25,16,0
Beja,308,159,149,231,199,571,273,298,2
Castro Verde,51,22,29,34,26,107,56,51,0
Cuba,39,21,18,29,21,77,42,35,0
Ferreira do Alentejo,45,25,20,38,29,171,78,93,0
Mértola,24,13,11,15,11,134,71,63,0
Moura,119,57,62,75,65,192,97,95,2
Ourique,34,12,22,27,15,96,45,51,0
Serpa,113,61,52,76,59,223,123,100,0
Vidigueira,45,27,18,33,26,114,52,62,0
Lezíria do Tejo,1860,935,925,1226,866,3429,1663,1766,9
Almeirim,180,89,91,119,87,303,154,149,0
Alpiarça,54,33,21,39,26,109,56,53,1
Azambuja,168,96,72,117,78,305,159,146,2
Benavente,292,152,140,170,130,307,154,153,0
Cartaxo,187,81,106,133,88,333,154,179,1
Chamusca,47,29,18,31,25,154,84,70,0
Coruche,98,43,55,65,44,358,180,178,1
Golegã,37,20,17,27,24,103,41,62,0
Rio Maior,169,95,74,103,72,283,129,154,1
Salvaterra de Magos,160,70,90,117,76,331,173,158,0
Santarém,468,227,241,305,216,843,379,464,3
Alto Alentejo,700,362,338,520,371,1955,962,993,2
Alter do Chão,23,17,6,14,13,72,38,34,0
Arronches,23,11,12,14,13,62,27,35,0
Avis,29,13,16,27,20,79,38,41,0
Campo Maior,61,31,30,52,33,122,68,54,0
Castelo de Vide,15,7,8,11,9,73,43,30,0
Crato,21,6,15,13,12,73,37,36,0
Elvas,141,81,60,109,66,357,173,184,0
Fronteira,19,10,9,17,14,59,30,29,0
Gavião,13,5,8,7,5,86,38,48,0
Marvão,15,6,9,14,8,77,41,36,0
Monforte,21,9,12,17,11,75,38,37,0
Nisa,33,21,12,23,18,166,81,85,0
Ponte de Sor,118,65,53,88,69,245,119,126,0
Portalegre,144,67,77,92,65,315,161,154,2
Sousel,24,13,11,22,15,94,30,64,0
Alentejo Central,1101,546,555,764,605,2481,1211,1270,1
Alandroal,22,12,10,16,13,106,51,55,0
Arraiolos,38,20,18,28,17,134,69,65,0
Borba,45,28,17,30,25,113,60,53,0
Estremoz,89,47,42,58,49,230,113,117,0
Évora,422,198,224,275,204,737,354,383,1
Montemor-o-Novo,105,52,53,79,65,291,145,146,0
Mora,17,8,9,15,14,92,41,51,0
Mourão,24,12,12,21,18,46,21,25,0
Portel,46,24,22,37,33,95,53,42,0
Redondo,50,23,27,41,30,112,58,54,0
Reguengos de Monsaraz,72,35,37,54,51,178,69,109,0
Vendas Novas,96,52,44,59,43,163,78,85,0
Viana do Alentejo,36,18,18,24,21,88,45,43,0
Vila Viçosa,39,17,22,27,22,96,54,42,0
Algarve,4064,2038,2026,2770,1897,5836,3179,2657,8
Albufeira,434,205,229,263,181,418,231,187,1
Alcoutim,9,7,2,6,5,87,56,31,0
Aljezur,61,31,30,43,33,102,54,48,0
Castro Marim,48,26,22,42,32,102,49,53,0
Faro,592,291,301,400,280,751,394,357,1
Lagoa,191,98,93,144,78,301,165,136,1
Lagos,283,151,132,199,135,417,216,201,0
Loulé,624,311,313,416,284,909,510,399,0
Monchique,34,22,12,28,22,112,56,56,0
Olhão,380,207,173,285,184,579,324,255,3
Portimão,634,301,333,415,291,673,388,285,0
São Brás de Alportel,75,33,42,52,33,137,66,71,0
Silves,317,160,157,222,159,523,297,226,2
Tavira,188,95,93,121,92,383,190,193,0
Vila do Bispo,52,26,26,40,31,88,53,35,0
Vila Real de Santo António,142,74,68,94,57,254,130,124,0
R. A. Açores,2068,1068,1000,1193,930,2710,1404,1306,6
Santa Maria,38,24,14,33,28,69,37,32,0
Vila do Porto,38,24,14,33,28,69,37,32,0
São Miguel,1258,644,614,726,559,1339,695,644,2
Lagoa (R.A.A.),137,75,62,85,62,129,69,60,1
Nordeste,33,15,18,20,15,76,41,35,0
Ponta Delgada,621,316,305,374,289,675,331,344,1
Povoação,36,18,18,16,13,89,49,40,0
Ribeira Grande,348,183,165,187,146,265,149,116,0
Vila Franca do Campo,83,37,46,44,34,105,56,49,0
Terceira,418,216,202,215,154,673,354,319,0
Angra do Heroísmo,264,136,128,139,96,441,227,214,0
Vila da Praia da Vitória,154,80,74,76,58,232,127,105,0
Graciosa,41,24,17,31,26,67,34,33,1
Santa Cruz da Graciosa,41,24,17,31,26,67,34,33,1
São Jorge,65,39,26,41,37,133,68,65,0
Calheta (R.A.A.),28,18,10,19,18,61,36,25,0
Velas,37,21,16,22,19,72,32,40,0
Pico,112,45,67,64,53,209,105,104,0
Lajes do Pico,30,10,20,17,13,71,36,35,0
Madalena,54,23,31,28,24,101,49,52,0
São Roque do Pico,28,12,16,19,16,37,20,17,0
Faial,112,62,50,66,57,171,92,79,3
Horta,112,62,50,66,57,171,92,79,3
Flores,20,12,8,13,12,47,19,28,0
Lajes das Flores,10,6,4,5,5,19,8,11,0
Santa Cruz das Flores,10,6,4,8,7,28,11,17,0
Corvo,4,2,2,4,4,2,0,2,0
Corvo,4,2,2,4,4,2,0,2,0
R. A. Madeira,1758,901,857,1095,735,3103,1453,1650,3
Calheta (R.A.M.),77,39,38,39,25,203,87,116,0
Câmara de Lobos,270,136,134,193,116,315,167,148,1
Funchal,724,377,347,448,284,1345,636,709,0
Machico,106,46,60,63,48,246,118,128,0
Ponta do Sol,51,35,16,30,25,116,49,67,1
Porto Moniz,13,12,1,6,3,46,21,25,0
Ribeira Brava,71,40,31,36,25,178,77,101,1
Santa Cruz,343,163,180,223,164,396,176,220,0
Santana,41,22,19,19,15,120,50,70,0
São Vicente,23,11,12,10,8,76,35,41,0
Porto Santo,39,20,19,28,22,62,37,25,0
