,"Agregados fiscais, N.º","Sujeitos passivos, N.º","Rendimento bruto declarado, milhares de euros","Rendimento coletável, milhares de euros","IRS liquidado, milhares de euros","Rendimento bruto declarado deduzido do IRS liquidado, milhares de euros"
Penalva do Castelo,3133,4726,44074,27675,2956,41118
Santa Comba Dão,5153,7468,81116,53569,6828,74288
São Pedro do Sul,6939,10095,104147,67610,8657,95490
Sátão,4979,7498,73334,47651,5788,67546
Tondela,12176,17634,196638,131694,17200,179438
Vila Nova de Paiva,1831,2753,27059,17838,2202,24857
Viseu,46052,67168,928446,675013,111928,816518
Vouzela,4365,6390,65646,42483,5112,60534
Beira Baixa,40206,57779,705570,488216,73501,632069
Castelo Branco,26409,38030,502257,357337,57181,445076
Idanha-a-Nova,4216,5932,60563,38584,4652,55910
Oleiros,2335,3395,33591,21177,2517,31074
Penamacor,2191,3147,31016,19700,2410,28606
Proença-a-Nova,3398,4909,51504,33755,4426,47078
Vila Velha de Ródão,1657,2366,26639,17664,2315,24325
Médio Tejo,115198,163449,1957020,1343361,189520,1767500
Abrantes,17593,25007,301108,205858,29510,271598
Alcanena,6745,9388,101748,66003,8131,93617
Constância,1961,2838,35205,24534,3351,31854
Entroncamento,10027,14342,213148,158032,25361,187787
Ferreira do Zêzere,3790,5423,53405,33416,3537,49868
Mação,3169,4464,47963,31188,3938,44025
Ourém,21766,30850,345947,233503,30246,315701
Sardoal,1899,2657,29373,19454,2602,26771
Sertã,6913,10055,96721,61010,7196,89526
Tomar,18717,26323,323026,224696,34338,288688
Torres Novas,17535,24836,319362,223344,33137,286225
Vila de Rei,1509,2100,21756,13740,1364,20392
Vila Nova da Barquinha,3574,5166,68257,48582,6809,61448
Beiras e Serra da Estrela,102573,148615,1676303,1125799,157889,1518414
Almeida,3009,4298,46363,31292,4028,42334
Belmonte,2901,4228,43913,28391,3422,40491
Celorico da Beira,3003,4410,44213,28531,3303,40909
Covilhã,23722,33546,403298,272544,40068,363230
Figueira de Castelo Rodrigo,2572,3748,36072,23174,2812,33260
Fornos de Algodres,1844,2760,26535,16896,2072,24463
Fundão,12999,18769,201897,133531,17605,184292
Gouveia,5793,8393,86027,55130,7020,79007
Guarda,19368,28383,384053,275816,44911,339142
Manteigas,1545,2222,22025,13671,1643,20382
Mêda,2099,3127,29924,19305,2508,27416
Pinhel,4134,6178,58497,37277,4584,53912
Sabugal,4950,7107,71475,47278,5568,65907
Seia,10790,15738,165401,106140,13690,151710
Trancoso,3844,5708,56611,36821,4653,51958
A. M. Lisboa,1513335,2031237,34256016,26289047,5349119,28906897
Alcochete,9097,12772,228211,177006,36495,191716
Almada,92290,123861,1959586,1480199,279810,1679775
Amadora,92168,120742,1719269,1250807,205206,1514063
Barreiro,41460,56351,796687,578205,91671,705016
Cascais,110341,148932,2882897,2294878,541603,2341294
Lisboa,317490,406197,9007890,7344968,1854010,7153880
Loures,104778,142406,2111910,1554693,270755,1841155
Mafra,40815,58115,894363,672998,123116,771247
Moita,33028,44716,557457,388266,52617,504840
Montijo,27195,37333,533288,390979,64991,468297
Odivelas,79045,107521,1562553,1148431,190217,1372336
Oeiras,91802,123322,2636336,2130358,493147,2143189
Palmela,32455,45496,664050,490826,84771,579279
Seixal,83490,115339,1689895,1247849,210969,1478926
Sesimbra,25995,36899,524234,385980,64662,459572
Setúbal,62560,85831,1295018,964493,170083,1124935
Sintra,199005,267122,3785945,2762673,456348,3329597
Vila Franca de Xira,70321,98282,1406427,1025439,158648,1247779
Alentejo,360900,503816,6223113,4299151,642655,5580458
Alentejo Litoral,52168,70645,887101,622212,100014,787087
Alcácer do Sal,5812,8156,92841,62157,8344,84497
Grândola,6638,9167,114604,80556,13379,101224
Odemira,17884,22752,224054,142187,18596,205458
Santiago do Cacém,14323,20145,298096,220214,38983,259113
Sines,7511,10425,157507,117098,20712,136795
Baixo Alentejo,56278,78772,967974,670591,101215,866760
Aljustrel,4486,6407,83375,58780,9194,74180
Almodôvar,3581,5095,62282,43322,6819,55463
Alvito,1040,1467,16782,11258,1438,15344
Barrancos,731,1019,10102,6430,700,9402
Beja,16790,23194,330458,238681,40219,290239
Castro Verde,3251,4674,71355,53123,9521,61834
Cuba,2160,3040,34257,22951,3110,31148
Ferreira do Alentejo,3778,5152,55096,35830,4554,50542
Mértola,3101,4363,44314,28571,3425,40889
Moura,5845,8287,87407,57781,7345,80062
Ourique,2461,3342,38049,25587,3580,34468
Serpa,6469,9130,94953,62175,7922,87031
Vidigueira,2585,3602,39544,26101,3386,36158
Lezíria do Tejo,119257,167095,2051580,1411824,206677,1844902
Almeirim,11181,15642,174551,115441,15126,159424
Alpiarça,3593,5080,55694,36186,4560,51134
Azambuja,10618,14903,181272,124310,16978,164294
Benavente,14679,20500,268350,190045,30180,238170
Cartaxo,12018,16737,212483,148814,21537,190946
Chamusca,4353,6140,62760,39527,4577,58183
Coruche,8699,12611,138086,89515,11498,126588
Golegã,2868,4030,48197,32683,4616,43581
Rio Maior,10770,14976,171368,115045,15553,155814
Salvaterra de Magos,10706,15199,173358,115567,15680,157678
Santarém,29772,41277,565462,404690,66372,499090
Alto Alentejo,55108,77362,907851,614028,85910,821941
Alter do Chão,1614,2270,25857,17181,2327,23531
Arronches,1489,2079,22779,15095,1842,20937
Avis,2063,2845,29775,18849,2298,27477
Campo Maior,3981,5652,74200,52409,8433,65767
Castelo de Vide,1679,2359,28102,19176,2677,25425
Crato,1669,2372,25165,16378,1909,23256
Elvas,10606,14668,177498,122467,17755,159744
Fronteira,1519,2201,24822,16394,2221,22601
Gavião,1804,2570,26673,17005,1887,24786
Marvão,1605,2260,23385,15095,1795,21590
Monforte,1384,1929,20495,13252,1684,18811
Nisa,3294,4647,51004,33823,4268,46737
Ponte de Sor,8152,11432,116841,74828,9677,107164
Portalegre,12019,16940,228958,161741,24768,204190
Sousel,2230,3138,32296,20337,2370,29927
Alentejo Central,78089,109942,1408607,980496,148839,1259768
Alandroal,2702,3826,37557,23155,2570,34987
Arraiolos,3469,4892,55602,36791,4474,51127
Borba,3219,4714,51446,33547,4161,47285
Estremoz,6480,9194,111089,75440,10535,100554
Évora,28102,38814,596975,440740,78067,518908
Montemor-o-Novo,7703,10967,133414,91063,13244,120169
Mora,2305,3243,35695,22850,2953,32742
Mourão,1116,1577,16337,10550,1217,15120
Portel,2758,3932,38866,23940,2661,36205
Redondo,3180,4491,47027,30424,3717,43310
Reguengos de Monsaraz,5005,7114,80608,53763,6944,73664
Vendas Novas,5574,7984,99275,68798,9659,89616
Viana do Alentejo,2583,3623,40240,26386,3129,37111
Vila Viçosa,3893,5571,64475,43048,5506,58969
Algarve,249770,334266,4140168,2914851,460235,3679934
Albufeira,26541,34441,406739,281635,42455,364284
Alcoutim,1284,1797,18941,12091,1434,17507
Aljezur,2754,3712,40403,27948,4006,36397
Castro Marim,3356,4686,51572,34526,4591,46981
Faro,37047,49208,728117,540811,99556,628561
Lagoa,12358,16681,200173,139711,21073,179100
Lagos,17151,22748,276996,195296,31060,245936
Loulé,40328,54003,668953,473565,76459,592494
