,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Entroncamento,2911,484,304,377,333,133,428,852
Ferreira do Zêzere,1566,329,218,414,305,263,10,27
Mação,961,234,135,271,69,207,5,40
Ourém,10516,2714,1448,2650,1274,996,739,695
Sardoal,270,140,…,0,…,86,0,…
Sertã,2401,789,352,535,278,349,0,98
Tomar,5382,1395,609,786,646,677,38,1231
Torres Novas,6596,1140,594,1293,805,709,240,1815
Vila de Rei,534,169,64,109,…,182,0,…
Vila Nova da Barquinha,490,149,…,198,104,3,0,…
Beiras e Serra da Estrela,34214,9297,4169,6106,3675,2894,2570,5503
Almeida,792,238,135,256,123,…,…,35
Belmonte,867,239,144,135,58,88,185,18
Celorico da Beira,894,229,145,206,30,225,13,46
Covilhã,7126,1609,725,1081,707,726,998,1280
Figueira de Castelo Rodrigo,616,284,111,148,38,7,0,28
Fornos de Algodres,568,244,112,112,66,8,0,26
Fundão,4744,1172,493,1056,722,137,466,698
Gouveia,1477,454,268,292,141,232,0,90
Guarda,9022,2108,850,1156,906,1064,663,2275
Manteigas,455,124,107,89,68,…,…,31
Mêda,543,215,123,84,107,0,0,14
Pinhel,972,498,188,185,28,27,0,46
Sabugal,1404,478,159,470,182,35,12,68
Seia,3287,921,415,576,365,183,15,812
Trancoso,1447,484,194,260,134,132,207,36
A. M. Lisboa,698587,110412,63111,80728,62305,79653,60968,241410
Alcochete,4081,691,278,673,566,600,891,382
Almada,20168,4881,2613,2618,1814,1966,948,5328
Amadora,32932,4505,2187,2667,2412,3027,3205,14929
Barreiro,7902,1560,692,1151,698,441,565,2795
Cascais,34324,8239,4003,4035,3264,4179,1921,8683
Lisboa,297434,38034,21665,30081,23025,32716,25687,126226
Loures,42557,6557,4487,6051,4615,5710,3488,11649
Mafra,16603,3521,2233,2234,1526,1365,891,4833
Moita,4629,1184,655,810,507,476,474,523
Montijo,8773,1758,901,1042,1393,1211,604,1864
Odivelas,15757,4760,2604,2399,1234,1239,456,3065
Oeiras,77647,6955,4988,7630,7239,10522,9642,30671
Palmela,21463,2309,1341,2004,1955,2423,2457,8974
Seixal,16172,4373,2332,2865,1453,1341,1467,2341
Sesimbra,4813,1696,835,827,575,329,15,536
Setúbal,18367,3720,2143,2914,1691,1943,1856,4100
Sintra,51400,11980,6849,7917,5674,7028,3801,8151
Vila Franca de Xira,23565,3689,2305,2810,2664,3137,2600,6360
Alentejo,131349,32561,14849,21013,13940,15753,9499,23734
Alentejo Litoral,22524,4597,2163,3265,2343,3648,2780,3728
Alcácer do Sal,1873,715,262,459,142,160,34,101
Grândola,1983,678,287,311,287,182,15,223
Odemira,8304,1397,742,996,1001,1660,2261,247
Santiago do Cacém,4776,1145,571,646,519,610,339,946
Sines,5588,662,301,853,394,1036,131,2211
Baixo Alentejo,19189,5813,2024,3155,1933,2097,936,3231
Aljustrel,1549,370,111,203,136,124,489,116
Almodôvar,782,288,71,125,103,57,10,128
Alvito,231,69,31,72,52,0,0,7
Barrancos,187,80,33,64,…,6,0,…
Beja,6878,1910,732,884,792,984,250,1326
Castro Verde,2491,343,133,157,258,205,146,1249
Cuba,347,138,35,84,…,9,0,…
Ferreira do Alentejo,1162,421,157,232,59,225,0,68
Mértola,810,356,122,163,0,146,0,23
Moura,1703,665,229,376,211,71,0,151
Ourique,710,288,71,159,55,76,0,61
Serpa,1714,660,208,471,112,194,41,28
Vidigueira,625,225,91,165,96,0,0,48
Lezíria do Tejo,44767,9791,5287,7111,4746,5387,3195,9250
Almeirim,3185,930,545,508,459,203,43,497
Alpiarça,944,249,80,150,86,99,255,25
Azambuja,7726,604,301,755,714,1113,330,3909
Benavente,6592,1374,849,1027,669,781,1051,841
Cartaxo,2638,888,333,531,414,257,…,…
Chamusca,1312,411,216,276,192,155,9,53
Coruche,2491,839,475,352,248,181,149,247
Golegã,709,212,122,142,14,0,185,34
Rio Maior,4396,1037,618,924,398,368,254,797
Salvaterra de Magos,2727,799,496,571,368,394,…,…
Santarém,12047,2448,1252,1875,1184,1836,909,2543
Alto Alentejo,16366,4365,1959,2641,1943,1887,1191,2380
Alter do Chão,408,132,52,115,76,24,0,9
Arronches,427,129,30,127,137,0,0,4
Avis,696,187,77,55,73,80,219,5
Campo Maior,2201,207,138,175,138,362,266,915
Castelo de Vide,413,121,48,75,107,8,0,54
Crato,336,94,15,117,4,91,15,0
Elvas,3308,1016,459,527,456,67,49,734
Fronteira,370,197,45,50,59,0,0,19
Gavião,284,49,40,67,0,123,0,5
Marvão,306,135,40,49,69,0,5,8
Monforte,483,150,109,115,52,0,0,57
Nisa,580,185,47,200,41,85,0,22
Ponte de Sor,2205,543,376,364,194,316,244,168
Portalegre,3776,976,417,480,403,731,393,376
Sousel,573,244,66,125,134,0,0,4
Alentejo Central,28503,7995,3416,4841,2975,2734,1397,5145
Alandroal,538,236,91,119,4,…,40,…
Arraiolos,1088,389,160,348,158,14,10,9
Borba,832,376,85,91,62,110,0,108
Estremoz,2400,770,341,448,296,212,69,264
Évora,13097,2569,1338,2030,1120,1110,823,4107
Montemor-o-Novo,2648,1050,277,407,257,264,189,204
Mora,688,224,70,197,0,192,0,5
Mourão,265,100,…,64,23,…,0,…
Portel,615,242,…,161,161,…,0,0
Redondo,807,326,189,159,107,0,0,26
Reguengos de Monsaraz,1444,547,171,177,171,263,9,106
Vendas Novas,2083,511,188,452,122,333,247,230
Viana do Alentejo,692,268,125,61,229,0,0,9
Vila Viçosa,1306,387,263,127,265,182,10,72
Algarve,97594,27102,13691,14655,10093,10093,5158,16802
Albufeira,12768,3187,1598,1560,1391,2037,912,2083
Alcoutim,272,102,41,42,75,0,7,5
Aljezur,880,478,164,56,156,…,…,22
Castro Marim,932,314,145,108,337,4,18,6
Faro,16307,3537,2001,2226,1659,1741,811,4332
Lagoa,5562,1525,694,886,701,513,392,851
Lagos,7017,2406,1164,1191,596,575,510,575
Loulé,19134,5086,3047,3356,1768,1534,1359,2984
Monchique,642,298,102,183,49,3,0,7
Olhão,5807,1723,880,1149,666,681,99,609
Portimão,12660,2859,1523,1566,1106,1469,705,3432
São Brás de Alportel,1482,623,270,201,163,4,43,178
Silves,5184,1844,882,682,507,427,77,765
Tavira,4778,1550,657,737,344,669,140,681
Vila do Bispo,959,434,176,153,149,…,…,29
Vila Real de Santo António,3210,1136,347,559,426,424,75,243
R. A. Açores,38796,8177,5009,7662,4060,5395,2222,6271
Santa Maria,762,192,93,173,12,61,7,224
Vila do Porto,762,192,93,173,12,61,7,224
São Miguel,23082,4260,2786,4757,2636,3774,1114,3755
Lagoa (R.A.A.),1874,354,278,634,188,221,38,161
Nordeste,411,109,87,61,33,103,7,11
Ponta Delgada,14428,2614,1687,2695,1809,2060,630,2933
Povoação,587,147,51,115,29,189,8,48
Ribeira Grande,4694,775,508,1060,450,1073,329,499
Vila Franca do Campo,1088,261,175,192,127,128,102,103
Terceira,8564,1948,1212,1507,952,740,736,1469
Angra do Heroísmo,5712,1336,817,858,577,389,617,1118
Vila da Praia da Vitória,2852,612,395,649,375,351,119,351
Graciosa,491,130,51,101,88,27,26,68
Santa Cruz da Graciosa,491,130,51,101,88,27,26,68
São Jorge,1111,323,136,330,69,157,16,80
Calheta (R.A.A.),418,92,69,186,0,62,0,9
Velas,693,231,67,144,69,95,16,71
Pico,1862,627,351,251,147,219,28,239
Lajes do Pico,351,104,98,82,44,9,0,14
Madalena,1001,338,152,88,57,189,6,171
São Roque do Pico,510,185,101,81,46,21,22,54
Faial,2466,567,278,444,148,392,287,350
Horta,2466,567,278,444,148,392,287,350
Flores,411,123,83,…,…,21,…,75
Lajes das Flores,128,49,36,26,0,…,…,…
Santa Cruz das Flores,283,74,47,…,…,…,0,…
Corvo,47,7,19,…,…,4,…,11
Corvo,47,7,19,…,…,4,…,11
R. A. Madeira,41801,9040,5095,6767,4083,5171,1416,10229
Calheta (R.A.M.),1583,250,230,98,88,125,0,792
Câmara de Lobos,2350,687,377,454,412,268,3,149
Funchal,26500,5130,2913,3801,2105,3629,1161,7761
Machico,2244,508,312,466,535,…,…,226
Ponta do Sol,733,299,105,93,78,0,129,29
Porto Moniz,212,83,23,93,0,0,0,13
Ribeira Brava,1538,373,235,221,241,247,5,216
Santa Cruz,4569,1086,633,1031,440,547,82,750
Santana,475,153,64,75,120,…,…,52
São Vicente,570,244,98,213,0,0,0,15
Porto Santo,1027,227,105,222,64,155,28,226
