,"Total, Total (N.º)","Total, Pensionistas em  31 dez. (N.º)","Invalidez, Total (N.º)","Invalidez, Pensionistas em  31 dez. (N.º)","Velhice, Total (N.º)","Velhice, Pensionistas em  31 dez. (N.º)","Sobrevivência, Total (N.º)","Sobrevivência, Pensionistas em  31 dez. (N.º)"
Santa Maria da Feira,41946,40322,2392,2303,30054,29022,9500,8997
Santo Tirso,25459,24442,1339,1275,18453,17802,5667,5365
São João da Madeira,7013,6732,363,344,5087,4916,1563,1472
Trofa,11006,10610,680,649,7795,7546,2531,2415
Vale de Cambra,7893,7526,450,434,5622,5378,1821,1714
Valongo,25565,24489,1506,1440,17931,17275,6128,5774
Vila do Conde,23296,22337,1302,1245,16115,15517,5879,5575
Vila Nova de Gaia,86288,82434,3914,3725,62154,59727,20220,18982
Alto Tâmega,30043,28508,1369,1322,20500,19519,8174,7667
Boticas,1993,1888,98,92,1365,1299,530,497
Chaves,11481,10925,532,513,7920,7559,3029,2853
Montalegre,3958,3739,161,155,2649,2511,1148,1073
Ribeira de Pena,1987,1875,133,130,1287,1219,567,526
Valpaços,6076,5778,227,222,4174,3985,1675,1571
Vila Pouca de Aguiar,4548,4303,218,210,3105,2946,1225,1147
Tâmega e Sousa,107422,102419,8409,8068,70724,67715,28289,26636
Amarante,13844,13212,829,797,9233,8849,3782,3566
Baião,5644,5345,410,396,3598,3427,1636,1522
Castelo de Paiva,4793,4566,374,362,3182,3041,1237,1163
Celorico de Basto,5328,5045,437,422,3467,3284,1424,1339
Cinfães,5990,5673,301,290,4073,3874,1616,1509
Felgueiras,15053,14447,1223,1185,10329,9949,3501,3313
Lousada,11043,10555,1078,1027,7058,6775,2907,2753
Marco de Canaveses,12335,11699,1002,958,7934,7559,3399,3182
Paços de Ferreira,12969,12422,979,933,8692,8374,3298,3115
Penafiel,17175,16380,1600,1529,11005,10537,4570,4314
Resende,3248,3075,176,169,2153,2046,919,860
Douro,60328,57167,3238,3123,40442,38464,16648,15580
Alijó,4135,3889,250,242,2726,2578,1159,1069
Armamar,2125,1974,97,92,1397,1304,631,578
Carrazeda de Ansiães,2255,2142,86,84,1505,1434,664,624
Freixo de Espada à Cinta,1302,1198,48,43,887,823,367,332
Lamego,7274,6912,331,315,4890,4664,2053,1933
Mesão Frio,1283,1212,91,88,829,788,363,336
Moimenta da Beira,3117,2970,124,121,2136,2035,857,814
Murça,2183,2063,116,115,1492,1417,575,531
Penedono,842,788,47,44,552,519,243,225
Peso da Régua,5122,4898,401,395,3313,3170,1408,1333
Sabrosa,2296,2194,139,130,1558,1502,599,562
Santa Marta de Penaguião,2603,2467,196,195,1713,1631,694,641
São João da Pesqueira,2177,2053,102,99,1412,1340,663,614
Sernancelhe,1809,1717,68,65,1221,1163,520,489
Tabuaço,1760,1668,96,94,1149,1091,515,483
Tarouca,2235,2123,92,83,1467,1400,676,640
Torre de Moncorvo,2879,2719,90,88,2004,1898,785,733
Vila Nova de Foz Côa,2104,1978,102,99,1391,1305,611,574
Vila Real,12827,12202,762,731,8800,8402,3265,3069
Terras de Trás-os-Montes,35905,34036,1503,1454,24968,23756,9434,8826
Alfândega da Fé,1792,1690,70,68,1253,1186,469,436
Bragança,9347,8877,529,509,6504,6208,2314,2160
Macedo de Cavaleiros,4957,4691,176,166,3427,3256,1354,1269
Miranda do Douro,2317,2215,71,70,1626,1561,620,584
Mirandela,6956,6604,231,223,4804,4577,1921,1804
Mogadouro,3158,2980,120,118,2159,2048,879,814
Vila Flor,2084,1967,75,75,1469,1385,540,507
Vimioso,1642,1554,63,61,1135,1077,444,416
Vinhais,3652,3458,168,164,2591,2458,893,836
Centro,726014,689795,40219,38816,502495,479792,183300,171187
Oeste,111043,105404,7317,7059,75564,72070,28162,26275
Alcobaça,19291,18374,1597,1555,13011,12430,4683,4389
Alenquer,12081,11436,767,731,8068,7686,3246,3019
Arruda dos Vinhos,3607,3438,173,168,2429,2322,1005,948
Bombarral,4065,3833,230,220,2730,2600,1105,1013
Cadaval,4710,4407,316,304,3171,2988,1223,1115
Caldas da Rainha,15600,14819,955,919,10835,10321,3810,3579
Lourinhã,8043,7650,555,544,5508,5256,1980,1850
Nazaré,5099,4814,325,313,3501,3331,1273,1170
Óbidos,3797,3618,204,198,2611,2496,982,924
Peniche,8917,8520,480,463,6179,5918,2258,2139
Sobral de Monte Agraço,2865,2692,200,187,1892,1793,773,712
Torres Vedras,22968,21803,1515,1457,15629,14929,5824,5417
Região de Aveiro,107479,102442,4172,3966,76434,73297,26873,25179
Águeda,15698,14972,594,564,11500,11044,3604,3364
Albergaria-a-Velha,7203,6851,329,312,5030,4822,1844,1717
Anadia,9674,9146,305,286,6948,6613,2421,2247
Aveiro,20425,19489,694,662,14727,14137,5004,4690
Estarreja,7881,7499,334,319,5407,5167,2140,2013
Ílhavo,10621,10154,415,396,7467,7183,2739,2575
Murtosa,2530,2394,102,92,1666,1582,762,720
Oliveira do Bairro,6565,6255,233,224,4687,4480,1645,1551
Ovar,16460,15766,749,723,11651,11241,4060,3802
Sever do Vouga,4138,3934,167,156,2952,2821,1019,957
Vagos,6284,5982,250,232,4399,4207,1635,1543
Região de Coimbra,141735,134905,7199,6989,99181,94827,35355,33089
Arganil,4562,4290,243,236,3132,2967,1187,1087
Cantanhede,11655,11073,536,519,8173,7792,2946,2762
Coimbra,39361,37608,1743,1682,28537,27405,9081,8521
Condeixa-a-Nova,4491,4281,259,253,3167,3038,1065,990
Figueira da Foz,19750,18801,1023,992,13748,13145,4979,4664
Góis,1790,1688,114,113,1183,1121,493,454
Lousã,5032,4812,349,340,3397,3259,1286,1213
Mealhada,6397,6110,232,223,4560,4368,1605,1519
Mira,3862,3671,167,163,2746,2623,949,885
Miranda do Corvo,4055,3860,273,262,2736,2623,1046,975
Montemor-o-Velho,8010,7590,496,484,5412,5146,2102,1960
Mortágua,3489,3331,114,113,2462,2357,913,861
Oliveira do Hospital,7237,6859,452,441,4928,4687,1857,1731
Pampilhosa da Serra,1808,1688,80,79,1191,1114,537,495
Penacova,4973,4717,286,278,3416,3247,1271,1192
Penela,2077,1969,117,111,1421,1352,539,506
Soure,6879,6522,340,333,4693,4481,1846,1708
Tábua,4215,4050,243,240,2893,2782,1079,1028
Vila Nova de Poiares,2092,1985,132,127,1386,1320,574,538
Região de Leiria,91124,86936,6948,6791,62155,59528,22021,20617
Alvaiázere,2834,2677,185,181,1868,1770,781,726
Ansião,4639,4407,336,331,3090,2938,1213,1138
Batalha,4835,4608,334,326,3376,3232,1125,1050
Castanheira de Pêra,1464,1400,101,100,983,941,380,359
Figueiró dos Vinhos,2419,2250,164,158,1589,1483,666,609
Leiria,35475,34048,2696,2630,24630,23735,8149,7683
Marinha Grande,13082,12486,1236,1210,8909,8540,2937,2736
Pedrógão Grande,1544,1443,111,110,978,914,455,419
Pombal,16843,16026,1215,1194,11260,10758,4368,4074
Porto de Mós,7989,7591,570,551,5472,5217,1947,1823
Viseu Dão Lafões,81514,77327,2896,2733,57515,54855,21103,19739
Aguiar da Beira,2056,1924,104,102,1411,1321,541,501
Carregal do Sal,3313,3170,108,100,2321,2232,884,838
Castro Daire,5609,5318,211,198,3921,3733,1477,1387
Mangualde,6218,5874,184,172,4414,4192,1620,1510
Nelas,4705,4438,165,156,3276,3114,1264,1168
Oliveira de Frades,3101,2944,112,105,2174,2078,815,761
Penalva do Castelo,2670,2522,89,87,1876,1777,705,658
Santa Comba Dão,4022,3823,137,132,2824,2702,1061,989
São Pedro do Sul,5756,5432,200,190,4068,3858,1488,1384
Sátão,3519,3344,132,132,2470,2357,917,855
Tondela,9797,9273,364,343,6882,6537,2551,2393
Vila Nova de Paiva,1542,1456,47,45,1059,1004,436,407
Viseu,25590,24405,931,863,18258,17527,6401,6015
Vouzela,3616,3404,112,108,2561,2423,943,873
Beira Baixa,29847,28215,1368,1322,20628,19584,7851,7309
Castelo Branco,16987,16140,875,851,11807,11261,4305,4028
Idanha-a-Nova,3674,3454,123,115,2543,2406,1008,933
Oleiros,2468,2302,110,107,1664,1557,694,638
Penamacor,1975,1848,68,65,1362,1281,545,502
Proença-a-Nova,3200,3014,137,130,2191,2073,872,811
Vila Velha de Ródão,1543,1457,55,54,1061,1006,427,397
Médio Tejo,82344,78065,6675,6484,54625,51995,21044,19586
Abrantes,14209,13433,1246,1214,9210,8737,3753,3482
Alcanena,5019,4777,396,383,3479,3335,1144,1059
Constância,1150,1092,104,102,740,707,306,283
Entroncamento,5026,4779,393,380,3357,3207,1276,1192
Ferreira do Zêzere,3249,3073,332,326,2056,1939,861,808
Mação,3064,2886,150,145,2074,1964,840,777
Ourém,13260,12594,1162,1127,8857,8446,3241,3021
Sardoal,1517,1426,143,140,960,905,414,381
Sertã,5618,5331,324,308,3719,3543,1575,1480
Tomar,14181,13414,1227,1190,9289,8823,3665,3401
Torres Novas,12409,11799,970,944,8446,8066,2993,2789
Vila de Rei,1471,1380,56,56,1003,944,412,380
Vila Nova da Barquinha,2171,2081,172,169,1435,1379,564,533
Beiras e Serra da Estrela,80928,76501,3644,3472,56393,53636,20891,19393
Almeida,2390,2247,98,91,1664,1570,628,586
Belmonte,2355,2237,124,117,1655,1586,576,534
Celorico da Beira,2387,2259,102,97,1623,1548,662,614
Covilhã,19058,18105,846,804,13467,12880,4745,4421
Figueira de Castelo Rodrigo,1969,1851,74,71,1348,1277,547,503
Fornos de Algodres,1652,1548,80,79,1100,1032,472,437
Fundão,9855,9321,407,380,6794,6466,2654,2475
Gouveia,5567,5267,221,213,3958,3772,1388,1282
Guarda,11482,10893,561,533,7986,7622,2935,2738
Manteigas,1493,1417,68,68,1060,1008,365,341
Mêda,1855,1752,89,88,1238,1171,528,493
Pinhel,3628,3408,173,162,2483,2347,972,899
Sabugal,4257,3916,173,160,2913,2702,1171,1054
Seia,9818,9292,463,445,6959,6628,2396,2219
Trancoso,3162,2988,165,164,2145,2027,852,797
A. M. Lisboa,748929,714059,29328,27970,535752,513685,183849,172404
Alcochete,4343,4135,186,179,3045,2918,1112,1038
Almada,49014,46589,1885,1782,34945,33410,12184,11397
Amadora,47436,45387,1871,1791,34176,32846,11389,10750
Barreiro,25353,24138,1024,965,17974,17215,6355,5958
Cascais,52810,50491,1614,1556,38673,37179,12523,11756
Lisboa,153485,145569,4978,4750,109502,104409,39005,36410
Loures,57161,54591,2140,2044,41016,39398,14005,13149
Mafra,18939,18048,1226,1167,12939,12402,4774,4479
Moita,19455,18526,1109,1063,13285,12724,5061,4739
Montijo,13469,12713,663,630,9264,8785,3542,3298
Odivelas,36022,34622,1458,1388,26157,25262,8407,7972
Oeiras,43872,41986,1194,1140,32585,31379,10093,9467
Palmela,17510,16581,807,774,12330,11737,4373,4070
Seixal,41981,40079,1626,1530,30719,29503,9636,9046
Sesimbra,13384,12743,589,551,9450,9061,3345,3131
Setúbal,35605,33831,1389,1315,25283,24196,8933,8320
Sintra,86288,82632,4061,3902,61149,58854,21078,19876
Vila Franca de Xira,32802,31398,1508,1443,23260,22407,8034,7548
Alentejo,252124,238001,17240,16690,168704,159944,66180,61367
Alentejo Litoral,32016,30284,1229,1174,22221,21119,8566,7991
Alcácer do Sal,4780,4517,173,163,3281,3113,1326,1241
Grândola,4965,4641,169,159,3464,3256,1332,1226
Odemira,8315,7868,385,369,5681,5389,2249,2110
Santiago do Cacém,9929,9417,329,317,7012,6689,2588,2411
Sines,4027,3841,173,166,2783,2672,1071,1003
Baixo Alentejo,41421,38993,2386,2313,27467,25953,11568,10727
Aljustrel,3714,3512,231,224,2477,2353,1006,935
Almodôvar,2690,2547,102,98,1862,1770,726,679
Alvito,882,820,58,57,557,517,267,246
Barrancos,484,439,16,14,326,295,142,130
Beja,10041,9430,615,597,6660,6287,2766,2546
Castro Verde,2466,2344,113,106,1661,1591,692,647
Cuba,1507,1416,91,89,1007,947,409,380
Ferreira do Alentejo,3031,2843,161,155,1996,1881,874,807
Mértola,2866,2685,143,139,1925,1812,798,734
Moura,4646,4404,283,279,2998,2845,1365,1280
Ourique,2051,1931,84,79,1390,1315,577,537
Serpa,5118,4821,358,348,3355,3164,1405,1309
Vidigueira,1925,1801,131,128,1253,1176,541,497
Lezíria do Tejo,81644,77409,6753,6550,53865,51250,21026,19609
Almeirim,7864,7460,674,658,5185,4937,2005,1865
Alpiarça,2841,2700,229,225,1849,1763,763,712
Azambuja,6467,6078,364,354,4382,4138,1721,1586
Benavente,8106,7729,678,653,5288,5053,2140,2023
Cartaxo,7679,7295,611,596,5096,4863,1972,1836
Chamusca,3793,3585,356,344,2451,2323,986,918
Coruche,8185,7706,479,461,5534,5229,2172,2016
Golegã,2161,2034,219,214,1399,1321,543,499
Rio Maior,6910,6569,663,641,4495,4302,1752,1626
Salvaterra de Magos,8122,7728,915,882,5202,4952,2005,1894
Santarém,19516,18525,1565,1522,12984,12369,4967,4634
Alto Alentejo,40773,38261,2378,2276,27481,25943,10914,10042
Alter do Chão,1361,1265,85,80,913,855,363,330
Arronches,1127,1045,60,60,728,684,339,301
Avis,1633,1524,70,67,1167,1097,396,360
Campo Maior,2545,2383,156,152,1708,1613,681,618
Castelo de Vide,1237,1158,54,52,855,801,328,305
Crato,1607,1520,79,77,1081,1022,447,421
Elvas,6343,5918,429,405,4142,3886,1772,1627
Fronteira,1266,1190,73,73,888,835,305,282
Gavião,1843,1726,119,113,1212,1143,512,470
Marvão,1278,1182,47,43,873,814,358,325
Monforte,1174,1066,44,43,793,722,337,301
Nisa,2882,2701,128,125,1960,1840,794,736
Ponte de Sor,6336,6003,492,468,4181,3985,1663,1550
Portalegre,8131,7712,451,432,5643,5394,2037,1886
Sousel,2010,1868,91,86,1337,1252,582,530
Alentejo Central,56270,53054,4494,4377,37670,35679,14106,12998
Alandroal,2338,2171,215,211,1507,1404,616,556
Arraiolos,2625,2455,175,169,1790,1680,660,606
Borba,2977,2805,323,316,1956,1850,698,639
Estremoz,5093,4789,369,359,3415,3219,1309,1211
Évora,16172,15319,1229,1190,11028,10508,3915,3621
Montemor-o-Novo,6432,6008,436,426,4351,4094,1645,1488
Mora,2180,2056,165,161,1492,1417,523,478
Mourão,812,761,77,74,528,495,207,192
Portel,2341,2200,216,210,1531,1450,594,540
Redondo,2411,2262,197,191,1569,1472,645,599
Reguengos de Monsaraz,3746,3495,316,311,2456,2301,974,883
Vendas Novas,4261,4066,294,287,2867,2745,1100,1034
Viana do Alentejo,1882,1785,149,144,1232,1174,501,467
Vila Viçosa,3000,2882,333,328,1948,1870,719,684
Algarve,119620,113482,6957,6619,82250,78443,30413,28420
Albufeira,9121,8716,573,553,6292,6041,2256,2122
Alcoutim,1246,1143,47,46,867,797,332,300
Aljezur,1563,1447,90,84,1060,990,413,373
Castro Marim,2118,2005,75,67,1508,1433,535,505
Faro,16373,15599,867,817,11528,11038,3978,3744
Lagoa,6178,5850,419,406,4194,3988,1565,1456
Lagos,7964,7512,482,460,5422,5153,2060,1899
Loulé,17352,16479,914,865,12012,11465,4426,4149
Monchique,2093,1965,112,106,1465,1383,516,476
Olhão,11650,11059,756,726,7815,7448,3079,2885
Portimão,15889,15123,1088,1043,10989,10515,3812,3565
São Brás de Alportel,2866,2726,153,141,1959,1880,754,705
Silves,10814,10218,692,664,7266,6887,2856,2667
Tavira,7361,6968,318,294,5049,4815,1994,1859
Vila do Bispo,1532,1439,84,77,1044,988,404,374
Vila Real de Santo António,5500,5233,287,270,3780,3622,1433,1341
R. A. Açores,52566,49596,7562,7232,29469,27888,15535,14476
Santa Maria,1047,994,174,166,537,516,336,312
Vila do Porto,1047,994,174,166,537,516,336,312
São Miguel,24732,23316,4132,3948,12816,12102,7784,7266
Lagoa (R.A.A.),2512,2365,441,414,1214,1142,857,809
Nordeste,1031,963,81,77,601,560,349,326
Ponta Delgada,13235,12539,2324,2219,6982,6645,3929,3675
Povoação,1171,1073,156,147,589,539,426,387
Ribeira Grande,5036,4731,900,868,2485,2329,1651,1534
Vila Franca do Campo,1747,1645,230,223,945,887,572,535
Terceira,14276,13493,1726,1663,8636,8195,3914,3635
Angra do Heroísmo,8952,8458,1078,1034,5414,5140,2460,2284
Vila da Praia da Vitória,5324,5035,648,629,3222,3055,1454,1351
Graciosa,1177,1103,129,123,678,636,370,344
Santa Cruz da Graciosa,1177,1103,129,123,678,636,370,344
São Jorge,2329,2189,269,259,1310,1230,750,700
Calheta (R.A.A.),1019,950,87,83,601,556,331,311
Velas,1310,1239,182,176,709,674,419,389
Pico,4531,4270,618,592,2706,2553,1207,1125
Lajes do Pico,1547,1467,155,145,964,919,428,403
Madalena,2031,1899,309,299,1200,1120,522,480
São Roque do Pico,953,904,154,148,542,514,257,242
Faial,3533,3344,409,383,2224,2122,900,839
Horta,3533,3344,409,383,2224,2122,900,839
Flores,862,812,101,94,513,487,248,231
Lajes das Flores,339,319,34,32,201,190,104,97
Santa Cruz das Flores,523,493,67,62,312,297,144,134
Corvo,79,75,4,4,49,47,26,24
Corvo,79,75,4,4,49,47,26,24
R. A. Madeira,70462,66527,6412,6081,44619,42309,19431,18137
Calheta (R.A.M.),3499,3239,277,264,2235,2068,987,907
Câmara de Lobos,8318,7883,1005,961,4888,4639,2425,2283
Funchal,30253,28615,2360,2230,19620,18664,8273,7721
Machico,6427,6103,711,672,4012,3837,1704,1594
Ponta do Sol,2365,2207,185,179,1534,1437,646,591
Porto Moniz,1023,964,64,62,668,629,291,273
Ribeira Brava,4044,3816,434,423,2575,2432,1035,961
Santa Cruz,8846,8322,904,841,5498,5205,2444,2276
Santana,2568,2415,216,204,1597,1505,755,706
São Vicente,1805,1712,148,142,1135,1073,522,497
Porto Santo,1314,1251,108,103,857,820,349,328
