,"Beneficiárias/os, HM, Nº","Beneficiárias/os, H, Nº","Beneficiárias/os, M, Nº","Dias processados, HM, Nº","Dias processados, H, Nº","Dias processados, M, Nº","Valores processados, HM, milhares de euros","Valores processados, H, milhares de euros","Valores processados, M, milhares de euros"
Vendas Novas,187,85,102,14190,2961,11229,386,113,274
Viana do Alentejo,93,44,49,6600,1408,5192,159,49,110
Vila Viçosa,99,43,56,8091,1537,6554,232,59,173
Algarve,7801,3508,4293,586391,112123,474268,15698,3793,11904
Albufeira,783,349,434,58487,10388,48099,1490,339,1151
Alcoutim,18,8,10,1025,252,773,24,7,17
Aljezur,80,36,44,6605,1165,5440,161,33,128
Castro Marim,115,52,63,8928,1951,6977,220,66,154
Faro,1184,544,640,88292,18080,70212,2691,691,2000
Lagoa,385,179,206,28116,5231,22885,701,162,539
Lagos,469,217,252,35438,6404,29034,912,201,711
Loulé,1132,476,656,85582,14747,70835,2236,500,1736
Monchique,58,26,32,4279,754,3525,100,21,79
Olhão,761,350,411,57650,11509,46141,1445,370,1075
Portimão,1231,550,681,93873,17393,76480,2648,610,2039
São Brás de Alportel,160,65,95,12987,2310,10677,363,70,293
Silves,649,304,345,47341,9954,37387,1277,328,949
Tavira,387,179,208,28047,5741,22306,724,195,528
Vila do Bispo,86,37,49,7125,1320,5805,199,57,141
Vila Real de Santo António,303,136,167,22616,4924,17692,507,143,365
R. A. Açores,4421,2042,2379,322747,68670,254077,9431,2503,6927
Santa Maria,99,47,52,6648,1528,5120,166,46,121
Vila do Porto,99,47,52,6648,1528,5120,166,46,121
São Miguel,2641,1226,1415,191276,40129,151147,5476,1492,3984
Lagoa (R.A.A.),291,130,161,21821,4073,17748,558,152,406
Nordeste,55,23,32,3876,659,3217,83,17,66
Ponta Delgada,1324,622,702,97338,21456,75882,3193,906,2287
Povoação,75,31,44,5497,964,4533,143,35,108
Ribeira Grande,737,344,393,52271,10655,41616,1215,305,910
Vila Franca do Campo,159,76,83,10473,2322,8151,282,76,206
Terceira,947,442,505,68754,15598,53156,2202,594,1608
Angra do Heroísmo,601,284,317,43588,9988,33600,1401,354,1047
Vila da Praia da Vitória,346,158,188,25166,5610,19556,800,240,561
Graciosa,83,35,48,6808,1357,5451,148,36,112
Santa Cruz da Graciosa,83,35,48,6808,1357,5451,148,36,112
São Jorge,130,58,72,9770,1881,7889,234,44,191
Calheta (R.A.A.),56,26,30,4028,930,3098,99,21,78
Velas,74,32,42,5742,951,4791,135,22,113
Pico,249,112,137,18886,4014,14872,546,133,413
Lajes do Pico,68,28,40,5209,991,4218,140,37,103
Madalena,126,57,69,9564,2024,7540,267,61,206
São Roque do Pico,55,27,28,4113,999,3114,139,34,105
Faial,216,99,117,15986,3306,12680,535,121,414
Horta,216,99,117,15986,3306,12680,535,121,414
Flores,49,...,...,3896,...,...,102,...,...
Lajes das Flores,23,...,...,...,...,...,55,...,...
Santa Cruz das Flores,26,12,14,…,380,1629,47,12,35
Corvo,7,...,...,723,...,...,22,...,...
Corvo,7,...,...,723,...,...,22,...,...
R. A. Madeira,3632,1703,1929,278861,59502,219359,8738,2280,6458
Calheta (R.A.M.),143,63,80,11604,2021,9583,278,64,214
Câmara de Lobos,528,256,272,40100,9030,31070,983,260,723
Funchal,1486,668,818,114436,23101,91335,4281,1082,3199
Machico,243,122,121,18687,4575,14112,495,145,349
Ponta do Sol,114,52,62,8635,1617,7018,222,51,170
Porto Moniz,32,17,15,2267,491,1776,52,15,37
Ribeira Brava,132,65,67,9501,2074,7427,223,63,160
Santa Cruz,747,352,395,57602,12508,45094,1713,449,1264
Santana,71,36,35,5837,1434,4403,166,58,108
São Vicente,58,29,29,4496,899,3597,110,26,84
Porto Santo,78,43,35,5696,1752,3944,214,67,148
