,"25 - 64 years, MF (N.º)","25 - 64 years, M (N.º)","25 - 64 years, F (N.º)","65 years and over, Total, MF (N.º)","65 years and over, Total, M (N.º)","65 years and over, Total, F (N.º)","65 years and over, 75 years and over, MF (N.º)","65 years and over, 75 years and over, M (N.º)","65 years and over, 75 years and over, F (N.º)"
Arganil,5384,2664,2720,3713,1643,2070,2049,852,1197
Cantanhede,16778,8142,8636,10529,4534,5995,5560,2206,3354
Coimbra,74942,35632,39310,36929,15466,21463,18093,7082,11011
Condeixa-a-Nova,9129,4343,4786,3968,1636,2332,2053,794,1259
Figueira da Foz,29982,14429,15553,17145,7469,9676,8567,3465,5102
Góis,1701,842,859,1440,619,821,833,316,517
Lousã,9141,4407,4734,4002,1775,2227,1995,831,1164
Mealhada,10209,4993,5216,5198,2233,2965,2671,1066,1605
Mira,5968,2919,3049,3787,1625,2162,2016,803,1213
Miranda do Corvo,6250,3102,3148,3291,1426,1865,1715,674,1041
Montemor-o-Velho,12962,6381,6581,6477,2787,3690,3410,1371,2039
Mortágua,4152,2085,2067,3219,1409,1810,1668,705,963
Oliveira do Hospital,9757,4792,4965,5575,2414,3161,2894,1154,1740
Pampilhosa da Serra,1705,870,835,1845,801,1044,1049,399,650
Penacova,6298,3120,3178,4244,1806,2438,2172,848,1324
Penela,2746,1380,1366,1715,753,962,979,398,581
Soure,8092,3980,4112,5797,2448,3349,3133,1223,1910
Tábua,5567,2740,2827,3441,1507,1934,1869,745,1124
Vila Nova de Poiares,3738,1779,1959,1830,800,1030,932,366,566
Região de Leiria,150333,73527,76806,74454,32871,41583,37538,15417,22121
Alvaiázere,2874,1443,1431,2336,956,1380,1293,474,819
Ansião,5602,2789,2813,3792,1624,2168,2119,839,1280
Batalha,8392,4075,4317,3723,1745,1978,1784,797,987
Castanheira de Pêra,1254,621,633,999,427,572,522,190,332
Figueiró dos Vinhos,2465,1231,1234,1850,787,1063,941,349,592
Leiria,69630,33811,35819,30029,13280,16749,14644,6049,8595
Marinha Grande,21146,10367,10779,9447,4280,5167,4490,1975,2515
Pedrógão Grande,1682,835,847,1241,551,690,651,249,402
Pombal,25113,12304,12809,15071,6584,8487,7986,3226,4760
Porto de Mós,12175,6051,6124,5966,2637,3329,3108,1269,1839
Viseu Dão Lafões,125659,60507,65152,73310,31988,41322,37484,15166,22318
Aguiar da Beira,2395,1168,1227,2015,855,1160,1092,433,659
