,"Marriages, Total (N.º)","Marriages, Opposite sex couples, Total (N.º)","Marriages, Opposite sex couples, of which, Only civil (N.º)","Marriages, Opposite sex couples, of which, Catholic (N.º)","Marriages, Same-sex couples, Male, Catholic (N.º)","Marriages, Same-sex couples, Female, Catholic (N.º)","Dissolved marriages, Same-sex couples, Total, Catholic (N.º)","Dissolved marriages, Same-sex couples, by divorce, Catholic (N.º)","Dissolved marriages, Same-sex couples, by death, Catholic (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, MF (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, M (N.º)","Foreign population who has been granted a resident title, Same-sex couples, by death, F (N.º)","Foreign population with resident status, Same-sex couples, by death, MF (N.º)","Foreign population with resident status, Same-sex couples, by death, M (N.º)","Foreign population with resident status, Same-sex couples, by death, F (N.º)"
Viseu Dão Lafões,838,834,523,308,2,2,1992,462,1530,1313,663,650,7014,3570,3444
Aguiar da Beira,29,29,8,21,0,0,55,8,47,2,2,0,45,26,19
Carregal do Sal,26,26,21,5,0,0,58,10,48,36,16,20,237,115,122
Castro Daire,44,43,26,17,0,1,125,33,92,18,7,11,175,84,91
Mangualde,87,87,47,39,0,0,156,36,120,74,30,44,441,225,216
Nelas,47,47,32,15,0,0,110,27,83,43,26,17,294,149,145
Oliveira de Frades,60,60,35,25,0,0,65,12,53,91,56,35,470,297,173
Penalva do Castelo,34,34,9,25,0,0,70,11,59,9,5,4,71,36,35
Santa Comba Dão,51,50,40,10,1,0,91,20,71,48,28,20,326,186,140
São Pedro do Sul,43,42,33,9,0,1,120,24,96,82,50,32,339,177,162
Sátão,23,23,21,2,0,0,86,14,72,17,8,9,117,56,61
Tondela,49,49,36,13,0,0,236,35,201,100,53,47,499,275,224
Vila Nova de Paiva,12,12,9,3,0,0,34,7,27,2,2,0,51,21,30
Viseu,303,302,187,113,1,0,701,210,491,749,359,390,3781,1837,1944
Vouzela,30,30,19,11,0,0,85,15,70,42,21,21,168,86,82
Beira Baixa,240,238,162,76,1,1,712,111,601,825,426,399,4201,2230,1971
Castelo Branco,181,180,133,47,0,1,412,83,329,565,286,279,2597,1347,1250
Idanha-a-Nova,25,24,13,11,1,0,92,10,82,124,68,56,581,317,264
Oleiros,12,12,6,6,0,0,58,2,56,25,17,8,174,109,65
Penamacor,2,2,1,1,0,0,52,3,49,49,26,23,418,216,202
Proença-a-Nova,18,18,9,9,0,0,63,11,52,28,16,12,246,138,108
Vila Velha de Ródão,2,2,0,2,0,0,35,2,33,34,13,21,185,103,82
Médio Tejo,744,742,487,255,1,1,1779,375,1404,1652,888,764,9161,4612,4549
Abrantes,84,84,66,18,0,0,299,57,242,136,74,62,712,372,340
Alcanena,38,38,22,16,0,0,95,23,72,71,43,28,466,228,238
