,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Portalegre,42.2,3.3,6.8,38.4,3,5.8
Sousel,38.5,2.9,5.6,35.5,2.7,5
Alentejo Central,41.2,3.1,6.2,37.3,2.8,5.4
Alandroal,35.7,2.6,5,32.9,2.4,4.7
Arraiolos,37,2.8,5.1,34,2.6,4.6
Borba,37.9,2.8,5.4,34.7,2.7,4.9
Estremoz,38.9,2.9,5.3,35.3,2.7,4.6
Évora,43.3,3.6,7.1,39,3.2,5.9
Montemor-o-Novo,40.4,2.9,5.7,36.4,2.7,5
Mora,38.4,2.6,5,34.9,2.5,4.6
Mourão,//,//,//,//,//,//
Portel,36.6,2.6,5.3,33.7,2.5,4.9
Redondo,38.5,2.6,5.5,35.3,2.5,5
Reguengos de Monsaraz,39.5,2.9,6,36.3,2.7,5.3
Vendas Novas,40.5,3.1,6.7,37.1,2.9,5.9
Viana do Alentejo,37.6,2.9,5.6,34.9,2.7,5.1
Vila Viçosa,37.7,2.8,5.2,34.4,2.6,4.6
Algarve,44.5,3.5,8,40.6,3.3,7
Albufeira,44.8,3.5,7.8,40.9,3.3,7
Alcoutim,//,//,//,//,//,//
Aljezur,44.9,3.6,8.2,41.3,3.3,7.6
Castro Marim,42.7,3.5,7.7,39.3,3.2,7
Faro,46.3,3.9,9.3,41.9,3.5,7.9
Lagoa,44,3.4,7.9,40.1,3.2,7.1
Lagos,44.4,3.5,8,40.4,3.2,7.1
Loulé,45.6,3.5,8.3,41.5,3.3,7.4
Monchique,39,2.8,6.2,36,2.6,5.5
Olhão,42.5,3.4,7.6,39,3.1,6.8
Portimão,44.5,3.6,7.9,40.5,3.3,6.9
São Brás de Alportel,45.2,3.6,8.4,41.4,3.3,7.3
Silves,40.9,3.2,6.9,37.7,3,6.3
Tavira,44.3,3.6,8.1,40.5,3.3,7.2
Vila do Bispo,42.7,3.3,7.5,39,3.1,6.7
Vila Real de Santo António,41.9,3.2,7.2,38.4,3,6.4
R. A. Açores,45.7,3.6,8.4,42.6,3.4,7.6
Santa Maria,53.4,4.1,10.6,49.1,3.8,9.4
Vila do Porto,53.4,4.1,10.6,49.1,3.8,9.4
São Miguel,46.7,3.8,8.8,43.4,3.5,7.9
Lagoa (R.A.A.),48.3,3.6,9.2,44.7,3.5,8.5
Nordeste,40.5,3,6.4,38.5,2.9,6.1
Ponta Delgada,46.5,3.8,8.8,43.1,3.5,7.8
Povoação,43.6,3.6,9,41.6,3.6,8.5
Ribeira Grande,44.2,3.5,8.1,41.6,3.4,7.5
Vila Franca do Campo,45.3,3.5,8.7,42.4,3.4,8.2
Terceira,44.2,3.4,8.1,41.2,3.2,7.3
Angra do Heroísmo,45.2,3.6,8.4,42.1,3.3,7.4
Vila da Praia da Vitória,42,3.3,7.7,39.5,3.1,7
Graciosa,43.6,3.3,7.8,40.9,3.2,7.1
Santa Cruz da Graciosa,43.6,3.3,7.8,40.9,3.2,7.1
São Jorge,41.2,3.2,7.3,39,3.1,6.8
Calheta (R.A.A.),40.9,3.2,7.8,38.9,3.1,7.3
Velas,41.1,3.1,6.9,38.8,3,6.3
Pico,41.8,3.1,7,39.3,3,6.4
Lajes do Pico,40.5,3,6.1,38.3,2.9,5.8
Madalena,41.4,3.1,6.8,38.9,3,6.1
São Roque do Pico,44.1,3.3,8.4,41.3,3.1,7.9
Faial,44.8,3.5,8,41.8,3.3,7.2
Horta,44.8,3.5,8,41.8,3.3,7.2
Flores,44.8,3.5,8.1,42,3.4,7.6
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
