,"Average number of students enrolled by computer, Total (N.º)","Average number of students enrolled by computer, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer, Secondary education, Lower (N.º)","Average number of students enrolled by computer, Secondary education, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Total, Upper (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 1st cycle (N.º)","Average number of students enrolled by computer connected to the internet, Primary education, 2nd cycle (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Lower (N.º)","Average number of students enrolled by computer connected to the internet, Secondary education, Upper (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Vila Verde,3.3,5.1,2.9,2.9,2.9,3.5,6.4,2.9,2.9,2.9
Ave,3.9,4.1,4.1,3.9,3.7,4.2,4.6,4.5,4.2,3.8
Cabeceiras de Basto,5.8,4.4,6,5.9,8.3,5.8,4.4,6,6,8.3
Fafe,4.1,4.9,4,3.7,3.9,4.4,5.6,4.4,4,4
Guimarães,4,4.6,3.4,3.4,4.5,4.4,4.9,3.9,4,4.6
Mondim de Basto,2.4,2.2,2.5,2.5,2.5,2.4,2.3,2.5,2.5,2.5
Póvoa de Lanhoso,3,2.2,4.5,3.9,3,3.1,2.2,4.5,4,3.3
Vieira do Minho,3.2,2.4,3.7,3.7,3.8,3.2,2.4,3.7,3.7,3.8
Vila Nova de Famalicão,4.3,5.3,5,4.6,3.2,4.7,7,5.4,4.8,3.2
Vizela,3.1,2.2,5,4.1,3,3.1,2.2,5,4.1,3
A. M. Porto,4.3,4.7,4.5,4.3,3.8,4.6,5,4.9,4.7,4.1
Arouca,4.7,6.7,3.4,4.4,4.5,4.8,7.3,3.4,4.4,4.5
Espinho,4.7,6.3,4.1,4.9,4.3,4.9,6.5,4.3,5.1,4.4
Gondomar,4,3.6,4.7,4.3,3.9,4.3,3.9,4.8,4.6,4.2
Maia,4.8,4.3,4.6,5.2,5.5,5.4,4.6,5.6,6,5.8
Matosinhos,3.6,4.2,4.2,3.6,2.8,4,5.2,4.5,4,2.9
Oliveira de Azeméis,3.2,4.2,2.8,2.8,3.2,3.3,4.4,2.9,2.9,3.2
Paredes,6,6.8,7.2,5.4,5.3,6.2,6.9,8.3,5.4,5.4
Porto,4.6,5.4,4.7,4.6,4,4.8,5.7,4.8,4.8,4.4
Póvoa de Varzim,6,8.4,5.7,5.6,4.9,6.8,8.9,7.6,6.9,5
Santa Maria da Feira,2.7,2.3,2.8,2.9,3.1,2.9,2.5,3,3.2,3.1
Santo Tirso,3.5,5.4,3.7,4,2.5,4.4,5.5,4,4.8,3.7
São João da Madeira,4.1,3.8,4.7,4.3,3.9,4.1,3.8,4.8,4.4,3.9
Trofa,6.1,5.8,5.1,6,8.1,6.3,6.1,5.3,6,8.1
Vale de Cambra,4.3,9,3.5,3.5,3.6,4.9,9,4.3,4.3,3.7
Valongo,5.3,5.7,5.6,5,4.9,5.7,6.3,6.2,5.4,5
Vila do Conde,5.2,8,4.7,4.7,4,5.4,8.4,5,4.9,4.1
Vila Nova de Gaia,4.6,5.2,5.5,4.4,3.8,5,5.4,5.9,5,4.1
Alto Tâmega,3.1,4.2,2.7,2.8,2.9,3.4,4.4,2.8,3.1,3.2
Boticas,3.2,//,2,2,//,3.4,//,2.1,2.1,//
Chaves,3.7,4.3,3,3.7,3.5,4,4.7,3.2,4.2,3.9
Montalegre,1.8,2.3,1.7,1.7,1.8,2,2.3,1.9,1.9,1.9
Ribeira de Pena,2.9,10.2,2.1,2.1,2.3,3.1,10.2,2.3,2.3,2.5
Valpaços,3.4,6.1,3.1,2.8,2.6,3.8,6.5,3.1,3.3,3.1
Vila Pouca de Aguiar,2.5,2.5,2.5,2.5,2.3,2.6,2.6,2.7,2.7,2.5
Tâmega e Sousa,4.7,5.2,4.4,4.5,4.8,5.1,5.7,4.6,4.7,5.1
Amarante,5.4,10.8,5.1,4.4,4.6,6.6,11.5,6.5,5.5,5.6
Baião,4.8,5.1,4.3,4.3,5.6,5.9,6,5.6,6.2,5.6
Castelo de Paiva,9.2,12,7.6,6.6,13.8,10.9,14,8.8,7.5,18.9
Celorico de Basto,3.8,8.2,4.3,4.3,2.2,4.1,9.4,4.8,4.7,2.3
Cinfães,3.1,8.1,2.5,2.4,2.6,3.1,8.4,2.5,2.4,2.6
Felgueiras,4.9,5.2,5.1,5,4.4,5.2,6.6,5.2,5,4.4
Lousada,6.6,4.3,5.1,8.4,18.2,6.8,4.7,5.1,8.4,18.5
Marco de Canaveses,5.1,8.2,4.8,4.6,4,5.6,10,4.8,4.6,4.7
Paços de Ferreira,4.4,5.1,3.7,3.9,4.7,4.6,5.6,4.1,4.1,4.8
Penafiel,3.9,3.3,3.8,3.8,5.2,3.9,3.4,3.8,3.8,5.2
Resende,3.6,2.1,4,5.2,5.2,3.7,2.2,4,5.4,5.4
Douro,3,4.2,2.8,2.7,2.7,3.3,4.8,3,3,2.9
Alijó,2.3,4.9,1.6,1.7,2.5,2.3,5,1.6,1.7,2.5
Armamar,3.3,3,3.5,3.5,3.5,3.4,3,3.6,3.5,3.6
Carrazeda de Ansiães,1.3,1,1.5,1.5,1.4,1.3,1,1.5,1.5,1.5
Freixo de Espada à Cinta,3.1,12.6,1.8,1.8,//,3.2,14.4,1.9,1.8,//
Lamego,3.2,2.2,3.3,4.1,4,3.3,2.3,3.3,4.2,4.1
Mesão Frio,1.8,2.3,1.6,1.6,1.6,1.8,2.5,1.6,1.6,1.6
Moimenta da Beira,2.7,7.5,2.4,2.3,2.2,2.8,7.9,2.4,2.3,2.2
Murça,2.5,4,2,2,2.4,2.5,4,2,2,2.5
Penedono,1.1,2.6,0.9,0.9,//,1.1,2.6,0.9,0.9,//
Peso da Régua,3.8,8.5,3.3,4.1,2.7,4.6,85.2,3.3,4.6,2.9
Sabrosa,2.6,3.3,2.4,2.4,2.4,21.1,7,91,145,73
Santa Marta de Penaguião,3.2,9.5,2,1.9,//,3.2,9.5,2,1.9,//
São João da Pesqueira,2,5.3,2.5,2.1,1.1,2.2,9.5,2.6,2.2,1.2
Sernancelhe,2.6,4,4.1,4.1,1.5,2.6,4,4.1,4.1,1.5
Tabuaço,1.7,1.7,1.7,1.7,1.7,374,//,//,125,//
Tarouca,2.7,4.9,2.2,2.2,2.2,2.7,4.9,2.2,2.2,2.2
Torre de Moncorvo,2.2,4.4,1.8,1.8,1.8,2.3,4.4,1.8,1.9,1.9
Vila Nova de Foz Côa,1.7,1.8,1.7,1.7,1.7,1.7,1.8,1.7,1.7,1.7
Vila Real,5.3,10.1,6.2,4.5,3.9,5.4,10.3,6.5,4.6,3.9
Terras de Trás-os-Montes,2.5,3.4,2,2.3,2.5,2.8,3.7,2.3,2.5,2.6
Alfândega da Fé,1.8,9,1.3,1.3,1.3,1.8,9,1.3,1.3,1.3
Bragança,2.8,3,2,2.9,3.4,3.2,3.6,2.5,3,3.5
Macedo de Cavaleiros,2.8,2.7,2.9,2.9,2.7,2.9,2.9,3.1,3.1,2.8
Miranda do Douro,1.2,1.8,1.1,1.1,0.9,1.2,1.8,1.1,1.1,0.9
Mirandela,3.5,4,3.8,3.7,3,3.6,4.1,3.8,3.7,3
Mogadouro,1.8,3.2,1.5,1.5,1.5,2.8,3.2,2.6,2.6,2.6
Vila Flor,2,7.5,1.4,1.4,1.4,2,11,1.4,1.4,1.4
Vimioso,1.4,12.8,0.8,0.8,//,1.4,15.4,0.8,0.8,//
Vinhais,3.7,4.7,3.5,3.4,3.4,3.8,4.8,3.5,3.4,3.4
Centro,3.9,4.9,4,3.7,3.4,4.2,5.3,4.2,3.9,3.5
Oeste,4.9,6,5,4.8,3.9,5.1,6.6,5.3,5.1,4.1
Alcobaça,4,5.9,4,4.1,3,4.2,6,4.1,4.1,3.3
Alenquer,6.2,6.8,6.6,6.3,5.2,6.5,7.6,6.7,6.4,5.2
Arruda dos Vinhos,3.5,4.1,4,3.7,2.8,4.2,4.3,5.2,4.8,3.2
Bombarral,4.8,5.5,4.6,4.6,4.6,5,5.5,4.8,4.8,4.8
Cadaval,3.1,3.6,2.9,2.9,2.9,3.3,4.6,2.9,2.9,2.9
Caldas da Rainha,5.2,5.6,8,5.7,4,5.5,6.2,9,6.2,4
Lourinhã,5.6,13.5,5.2,5.1,3,5.7,14.5,5.2,5.1,3
Nazaré,6.5,7.4,6.4,6.9,5.5,7.1,10,6.4,6.9,5.6
