,"Child benefit, Recipients, No.","Child benefit, Descendants or equal status, No.","Child benefit, Value paid, thousand euros","Allowance for assistance by a third party, Recipients, No.","Allowance for assistance by a third party, Descendants or equal status, No.","Allowance for assistance by a third party, Value paid, thousand euros"," Funeral grant, Recipients, No."," Funeral grant, Value paid, thousand euros"
Seixal,13775,20208,14188,143,148,183,83,18
Sesimbra,4722,6999,4640,75,76,98,38,8
Setúbal,10300,15280,10635,137,143,188,87,19
Sintra,36297,53385,38481,443,450,580,205,45
Vila Franca de Xira,11333,16746,11524,175,179,234,73,16
Alentejo,56819,84628,56065,864,892,1157,553,124
Alentejo Litoral,6998,10157,6487,87,88,115,87,19
Alcácer do Sal,833,1208,805,8,8,10,5,1
Grândola,1102,1548,977,18,19,25,12,3
Odemira,1969,2859,1823,18,18,23,13,3
Santiago do Cacém,1890,2788,1753,27,27,36,37,8
Sines,1204,1754,1129,16,16,21,20,4
Baixo Alentejo,9066,14150,9697,142,150,193,83,19
Aljustrel,570,887,593,12,12,16,6,2
Almodôvar,370,540,337,5,5,6,10,2
Alvito,209,316,209,...,...,...,...,...
Barrancos,126,193,128,...,...,...,...,...
Beja,2734,4329,3022,48,48,61,20,4
Castro Verde,417,677,392,5,5,6,11,2
Cuba,354,547,365,5,6,8,...,...
Ferreira do Alentejo,601,915,630,13,13,17,4,1
Mértola,388,557,329,4,4,5,8,2
Moura,1373,2289,1708,23,29,37,5,1
Ourique,315,441,286,3,3,4,...,...
Serpa,1142,1734,1164,9,9,11,10,2
Vidigueira,467,725,531,12,13,18,3,1
Lezíria do Tejo,19806,29862,19434,282,286,371,181,40
Almeirim,2035,2989,1910,19,20,26,17,4
Alpiarça,618,921,596,6,7,9,3,1
Azambuja,1755,2664,1814,45,45,59,11,2
Benavente,2821,4383,2900,45,45,58,28,6
Cartaxo,1965,2917,1880,19,20,26,23,5
Chamusca,656,949,598,7,7,8,7,2
Coruche,1251,1902,1252,19,19,25,10,2
Golegã,422,602,376,3,3,4,3,1
Rio Maior,1882,2881,1843,25,25,32,17,4
Salvaterra de Magos,1809,2697,1781,40,41,55,17,4
Santarém,4592,6957,4482,54,54,68,45,10
Alto Alentejo,9029,13081,9372,131,134,175,81,18
Alter do Chão,253,382,273,...,...,...,...,...
Arronches,189,260,168,...,...,...,...,...
Avis,320,451,339,...,...,...,...,...
Campo Maior,817,1221,869,17,18,24,7,2
Castelo de Vide,222,310,219,...,...,...,...,...
Crato,234,333,236,...,...,...,...,...
Elvas,2202,3295,2549,28,28,36,24,5
Fronteira,215,320,212,4,4,5,0,0
Gavião,207,278,180,4,4,5,...,...
Marvão,221,322,212,8,8,11,...,...
Monforte,274,442,330,5,5,7,0,0
Nisa,364,501,324,6,6,8,8,2
Ponte de Sor,1352,1900,1365,20,22,29,14,3
Portalegre,1814,2588,1757,28,28,37,15,4
Sousel,345,478,339,4,4,5,4,1
