,Total expenditures on sports activities and equipments (Euros),"Current expenditures, Total (Euros)","Current expenditures, of which, Sports activities (Euros)","Current expenditures, of which, Sports associations (Euros)","Current expenditures, of which, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, Total, Construction and maintenance of sports infrastructures (Euros)","Capital expenditures, of which, Sports activities (Euros)","Capital expenditures, of which, Sports associations (Euros)","Capital expenditures, of which, Construction and maintenance of sports infrastructures (Euros)"
Penedono,163391,163391,38081,112815,12495,0,0,0,0
Peso da Régua,487426,487426,0,466926,0,0,0,0,0
Sabrosa,105392,101682,84382,17300,0,3710,1210,2500,0
Santa Marta de Penaguião,453341,387724,387724,0,0,65617,65617,0,0
São João da Pesqueira,86788,86788,86788,0,0,0,0,0,0
Sernancelhe,701217,427690,190083,0,227037,273527,1500,0,2327
Tabuaço,259059,82500,0,82500,0,176559,0,0,0
Tarouca,236327,188104,12600,77770,37472,48223,0,0,35612
Torre de Moncorvo,197833,117833,54583,63250,0,80000,0,80000,0
Vila Nova de Foz Côa,117522,117522,52000,52000,13522,0,0,0,0
Vila Real,1589808,1368817,66434,394443,693996,220991,0,38500,71424
Terras de Trás-os-Montes,4971178,3697727,1455221.0000000002,1154702.9999999998,489060,1273451,9708,45614,69024
Alfândega da Fé,238131,238131,64468,158275,0,0,0,0,0
Bragança,1701799,846530,534109,251121,58116,855269,0,0,0
Macedo de Cavaleiros,444516,444516,239748,80250,68016,0,0,0,0
Miranda do Douro,247092,81860,6860,75000,0,165232,8697,22500,0
Mirandela,643003,580057,240541,291036,2384,62946,1011,0,1230
Mogadouro,728541,650362,188865,65875,215464,78179,0,0,8036
Vila Flor,527445,492818,6987,104114,145080,34627,0,0,29728
Vimioso,115483,92369,29948,61310,0,23114,0,23114,0
Vinhais,325168,271084,143695,67722,0,54084,0,0,30030
Centro,80957710,68729865.99999999,22152612.000000007,17182706.999999996,20954033.999999996,12227843.999999994,274505,2070812,5834775.999999999
Oeste,8917089,7712420,2540710,2443698,2150679,1204669,43222,331083.00000000006,517661
Alcobaça,1013572,751942,61286,385465,239019,261630,0,0,261630
Alenquer,364856,308376,9791,142123,44533,56480,0,0,0
Arruda dos Vinhos,229532,215152,170476,32787,11889,14380,6247,0,0
Bombarral,372077,358923,1257,0,316319,13154,0,0,9649
Cadaval,14000,14000,14000,0,0,0,0,0,0
Caldas da Rainha,1995242,1698592,124097,900997,535089,296650,15925,182511,47531
Lourinhã,486484,375195,91589,230465,28141,111289,0,100000,5655
Nazaré,1543456,1497587,721179,104457,562935,45869,0,6227,38612
Óbidos,518281,518281,483954,34327,0,0,0,0,0
Peniche,866839,733044,263008,171322,216754,133795,21050,9095,27362
Sobral de Monte Agraço,500250,447500,248000,0,196000,52750,0,33250,19500
Torres Vedras,1012500,793828,352073,441755,0,218672,0,0,107722
Região de Aveiro,10966503,9846779,2300552,2875801,3764757.0000000005,1119724,189304,618433,167931
Águeda,1457206,1428133,158753,629398,591855,29073,0,0,29073
Albergaria-a-Velha,1399945,1387364,57523,176387,797973,12581,0,12581,0
Anadia,513683,513683,513683,0,0,0,0,0,0
Aveiro,1583047,1573452,271081,1017029,283887,9595,0,0,8489
Estarreja,1396989,1274257,533965,305620,217132,122732,0,0,6042
Ílhavo,1125224,746436,41190,0,638674,378788,0,378788,0
Murtosa,428623,372432,203644,40228,0,56191,35162,21029,0
Oliveira do Bairro,863761,620072,0,49491,510630,243689,0,174600,69089
Ovar,1124866,1115192,30034,563698,521460,9674,0,6207,3467
Sever do Vouga,350023,265640,21473,93950,122234,84383,0,25228,32895
Vagos,723136,550118,469206,0,80912,173018,154142,0,18876
Região de Coimbra,19769302,17598320.000000007,7370604.999999999,2513954,5685036,2170981.9999999995,17625.999999999996,322881.00000000006,1199692.0000000005
Arganil,687021,674343,479258,64800,130285,12678,0,0,12678
Cantanhede,1260317,1109879,105807,185191,555772,150438,0,120842,3243
Coimbra,6756879,6756879,2958816,0,3537070,0,0,0,0
Condeixa-a-Nova,1397838,779055,97364,337414,344277,618783,0,0,618783
Figueira da Foz,2053780,1428973,542539,201056,362863,624807,12626,0,330637
Góis,179968,151168,28963,19966,88894,28800,0,28800,0
Lousã,1092803,1046252,690693,355559,0,46551,0,15000,20980
Mealhada,651259,651259,487205,164054,0,0,0,0,0
Mira,595021,418048,348076,69972,0,176973,0,4700,45037
Miranda do Corvo,526629,491717,95156,138460,0,34912,0,34912,0
Montemor-o-Velho,784414,689153,155278,59831,0,95261,0,10108,0
Mortágua,810596,727596,324572,6450,327081,83000,5000,78000,0
Oliveira do Hospital,785194,701663,9400,353800,145789,83531,0,30519,35013
Pampilhosa da Serra,465840,453190,360006,71210,21974,12650,0,0,0
Penacova,782535,768256,302400,246867,44538,14279,0,0,14279
Penela,255268,234379,81441,31184,121754,20889,0,0,20889
Soure,185945,99397,4677,94720,0,86548,0,0,17271
Tábua,412279,331397,235488,91170,4739,80882,0,0,80882
Vila Nova de Poiares,85716,85716,63466,22250,0,0,0,0,0
Região de Leiria,7033570,5754112.999999999,1578380,1506711,2098981,1279456.9999999998,0,155389,580493.0000000001
Alvaiázere,199318,78285,9848,57615,0,121033,0,0,0
Ansião,521413,521413,35127,48130,417483,0,0,0,0
Batalha,400489,400489,276501,123988,0,0,0,0,0
Castanheira de Pêra,20008,20008,0,18000,2008,0,0,0,0
Figueiró dos Vinhos,374774,374774,0,0,374774,0,0,0,0
Leiria,2354186,1900766,293428,595222,719472,453420,0,0,437932
Marinha Grande,931773,865327,335839,469154,7068,66446,0,47200,13494
Pedrógão Grande,168230,158300,1384,55150,76682,9930,0,0,9930
Pombal,1370297,877621,396422,49198,313813,492676,0,41500,49874
Porto de Mós,693082,557130,229831,90254,187681,135952,0,66689,69263
Viseu Dão Lafões,10104869.000000002,8170181,2808983,3074712,1540524,1934688,0,9665,1218100
Aguiar da Beira,98890,93890,43890,35000,0,5000,0,0,5000
Carregal do Sal,334825,334825,228223,106602,0,0,0,0,0
Castro Daire,735701,692701,462004,230697,0,43000,0,0,43000
Mangualde,373133,373133,58644,206746,99949,0,0,0,0
Nelas,257777,257777,3160,215500,0,0,0,0,0
Oliveira de Frades,477468,418143,139335,100785,178023,59325,0,0,59325
Penalva do Castelo,432053,420850,105493,147160,92531,11203,0,0,11203
Santa Comba Dão,230803,196435,178312,7293,0,34368,0,0,0
São Pedro do Sul,892895,742720,37349,215341,472947,150175,0,0,41525
Sátão,208697,208697,208697,0,0,0,0,0,0
Tondela,951366,858289,373110,485179,0,93077,0,0,0
Vila Nova de Paiva,244692,244692,182942,61750,0,0,0,0,0
Viseu,3643942,2809404,509958,1149126,611526,834538,0,6850,356860
Vouzela,1222627,518625,277866,113533,85548,704002,0,2815,701187
Beira Baixa,5405158,3730581,1734968,1298223,212433,1674577,0,288306,163684
Castelo Branco,2879392,1733203,675011,520726,210165,1146189,0,259301,28963
Idanha-a-Nova,1046175,742990,380381,267870,2268,303185,0,9250,134721
Oleiros,404533,404533,172702,231831,0,0,0,0,0
Penamacor,497528,297613,150040,147573,0,199915,0,0,0
Proença-a-Nova,457330,432042,252084,130223,0,25288,0,19755,0
Vila Velha de Ródão,120200,120200,104750,0,0,0,0,0,0
Médio Tejo,11342890,9737934.000000002,1674079.9999999998,1557123.9999999998,3984939.000000001,1604956.0000000002,5697.000000000001,149855,1281366.9999999998
Abrantes,3238326,2162009,267338,244502,5069,1076317,0,0,1076317
Alcanena,664514,591089,32726,76279,480866,73425,0,26500,46925
Constância,347493,324844,25958,0,291855,22649,0,0,22649
Entroncamento,638986,621809,4916,69257,439957,17177,0,0,17177
Ferreira do Zêzere,377708,351882,145727,103395,66802,25826,0,3265,0
Mação,127782,118637,21241,97396,0,9145,0,0,0
Ourém,923727,798107,48355,235217,361884,125620,0,107176,18444
Sardoal,352412,253151,220125,33026,0,99261,5697,5000,56030
Sertã,1395883,1330819,216964,255659,737748,65064,0,0,36718
Tomar,1328702,1328702,242885,178838,792501,0,0,0,0
Torres Novas,1383332,1295967,67564,205570,803359,87365,0,7914,4000
Vila de Rei,234029,234029,60242,51135,4898,0,0,0,0
Vila Nova da Barquinha,329996,326889,320039,6850,0,3107,0,0,3107
Beiras e Serra da Estrela,7418328.999999999,6179538.000000001,2144333.9999999995,1912483.9999999995,1516685.0000000002,1238791,18656,195199.99999999997,705848.0000000001
Almeida,798308,538579,409901,87252,41426,259729,0,0,257073
Belmonte,223357,215866,21649,194217,0,7491,0,0,0
Celorico da Beira,133708,129976,25813,36853,56649,3732,0,0,0
Covilhã,860864,860864,0,314067,287236,0,0,0,0
Figueira de Castelo Rodrigo,118935,118935,64784,49460,0,0,0,0,0
Fornos de Algodres,124784,124784,42089,35000,30485,0,0,0,0
Fundão,730747,452126,204559,232800,1979,278621,0,180200,14412
Gouveia,570937,317014,187806,129208,0,253923,18656,0,33757
Guarda,1420613,1205727,900610,207137,97980,214886,0,0,214886
Manteigas,266096,113165,13639,70000,0,152931,0,0,152526
Mêda,100455,100455,0,100455,0,0,0,0,0
Pinhel,253495,253495,85913,0,167582,0,0,0,0
Sabugal,480167,472358,29380,175510,258468,7809,0,0,7809
Seia,879295,855669,120829,153525,367749,23626,0,0,12153
Trancoso,456568,420525,37362,127000,207131,36043,0,15000,13232
A. M. Lisboa,45587401.99999999,36485283,21715636,7384150,4292841.999999999,9102119,318155,4988265,2760127.9999999995
Alcochete,574734,561304,389849,143925,16988,13430,0,0,13430
Almada,3533566,3218649,1262533,148750,1512219,314917,1476,141200,132035
Amadora,1213176,1033245,398565,164341,12187,179931,154257,17471,8203
Barreiro,1176810,1109398,357481,45458,645214,67412,0,67412,0
Cascais,6302461,4775020,4775020,0,0,1527441,1354,219987,1218663
Lisboa,5641043,4857237,867870,3699309,28692,783806,31048,398510,141771
Loures,1694642,1646653,1058732,442889,145032,47989,0,0,47989
Mafra,2329173,2293924,2293924,0,0,35249,0,0,29924
Moita,926807,734889,584425,99100,51364,191918,0,69404,122514
Montijo,471793,464375,7936,82733,43364,7418,2459,0,0
Odivelas,1783055,1499412,981060,284757,178367,283643,0,0,16341
Oeiras,2584292,2119503,300000,1101680,0,464789,0,420002,0
Palmela,417579,250421,161908,33520,0,167158,7964,68110,0
Seixal,7113121,3665996,3251461,414535,0,3447125,0,3257293,189832
Sesimbra,1056067,836934,229473,170560,60330,219133,0,46074,86945
Setúbal,3123511,3047222,2416813,252873,243743,76289,0,0,76289
Sintra,2823751,2421352,2237114,98010,21507,402399,119597,282802,0
Vila Franca de Xira,2821821,1949749,141472,201710,1333835,872072,0,0,676192
Alentejo,33340043.999999993,26989369.999999996,10995585.999999994,6659638.000000002,6417392.000000001,6350674,886856,417322.9999999998,2434347
Alentejo Litoral,5403437,4508448,2058639,1087660,1362149,894989,672268,0,222721
Alcácer do Sal,1123656,1082958,53858,166572,862528,40698,0,0,40698
Grândola,1754686,1185418,728840,250684,205894,569268,569268,0,0
Odemira,605190,502190,225152,277038,0,103000,103000,0,0
Santiago do Cacém,1116995,1025113,508310,290131,226672,91882,0,0,91882
Sines,802910,712769,542479,103235,67055,90141,0,0,90141
Baixo Alentejo,6207539,4982675,1550415.9999999998,1496584.9999999998,773223,1224864,55,116094.99999999997,206126
Aljustrel,827979,815642,495843,125819,72458,12337,0,0,662
Almodôvar,418819,418819,102762,168041,113002,0,0,0,0
Alvito,271164,180830,23591,157239,0,90334,0,1999,0
Barrancos,94280,88880,44880,44000,0,5400,0,0,5400
Beja,1083383,647328,77623,254393,157929,436055,0,0,20625
Castro Verde,655966,511860,168212,168481,111862,144106,0,22273,59994
Cuba,90159,90159,37365,42265,1067,0,0,0,0
Ferreira do Alentejo,175399,175399,2789,53090,44536,0,0,0,0
Mértola,365136,335459,175263,132391,18775,29677,0,11626,12563
Moura,636879,461068,154388,126133,0,175811,0,80197,1685
Ourique,105743,105743,60513,41550,3680,0,0,0,0
Serpa,1002387,682649,128216,130173,142693,319738,0,0,93846
Vidigueira,480245,468839,78971,53010,107221,11406,55,0,11351
Lezíria do Tejo,9488406,7369123,3194750.0000000005,1600680.9999999998,1979548.9999999998,2119283,101300.00000000001,131958.00000000003,1368616.0000000002
Almeirim,1563515,1074276,0,377804,585462,489239,0,0,462836
Alpiarça,330160,326922,57584,32853,236485,3238,0,0,3238
Azambuja,658900,380876,261079,22303,5869,278024,0,0,57422
Benavente,1458126,1415506,758637,328034,309709,42620,0,0,42620
Cartaxo,528371,525067,77831,0,355424,3304,221,0,1607
Chamusca,376163,166512,129882,36630,0,209651,0,95046,0
Coruche,989179,352755,181883,170872,0,636424,101079,23433,395650
Golegã,99082,74375,13179,61196,0,24707,0,0,24707
Rio Maior,955488,955488,255161,55800,462193,0,0,0,0
Salvaterra de Magos,865386,811277,703679,83055,11044,54109,0,13479,12737
Santarém,1664036,1286069,755835,432134,13363,377967,0,0,367799
Alto Alentejo,5528912,4505341,2280334,1301099,594867,1023571,91563,127132,526832
Alter do Chão,210962,204980,8425,35486,114221,5982,5438,0,0
Arronches,229908,136326,14266,122060,0,93582,0,0,81217
Avis,233377,231377,157663,73714,0,2000,0,2000,0
Campo Maior,412544,326619,326619,0,0,85925,85925,0,0
Castelo de Vide,489053,434035,278240,28180,99204,55018,0,0,17519
Crato,213128,184895,82704,102191,0,28233,0,0,27080
Elvas,345872,214217,42458,168690,0,131655,0,0,0
Fronteira,169177,147805,74045,52000,0,21372,0,0,16982
Gavião,38577,36650,36650,0,0,1927,0,1500,0
Marvão,12690,12690,5040,7650,0,0,0,0,0
Monforte,205677,205677,167687,37990,0,0,0,0,0
Nisa,545024,515139,46059,43063,240060,29885,200,0,27081
Ponte de Sor,1268253,1104440,632855,471585,0,163813,0,123632,10107
Portalegre,591285,506311,370782,125580,0,84974,0,0,27641
Sousel,563385,244180,36841,32910,141382,319205,0,0,319205
Alentejo Central,6711750,5623783,1911446.9999999998,1173613,1707604,1087967,21670,42138,110051.99999999999
Alandroal,161188,161188,161188,0,0,0,0,0,0
Arraiolos,447199,271455,51969,58077,3250,175744,0,6349,28946
Borba,157675,152902,41106,10000,84159,4773,0,0,0
Estremoz,232793,232793,111066,121727,0,0,0,0,0
Évora,612712,526850,166842,84803,13456,85862,0,0,0
Montemor-o-Novo,1051415,977518,633418,229794,66054,73897,11267,8789,19510
Mora,224106,206583,86446,26742,63203,17523,0,0,15739
Mourão,236799,213952,0,0,160387,22847,0,0,21498
Portel,646928,455645,74445,69910,196292,191283,529,0,3287
Redondo,233239,223365,72013,109185,13626,9874,9874,0,0
Reguengos de Monsaraz,1193049,1193049,17267,203350,972432,0,0,0,0
Vendas Novas,862526,518950,414349,81051,4823,343576,0,0,0
Viana do Alentejo,332231,284159,17526,112421,103282,48072,0,27000,21072
Vila Viçosa,319890,205374,63812,66553,26640,114516,0,0,0
Algarve,29599223,22893826,7868621,5697111.999999999,5727591.000000001,6705396.999999999,165914.99999999997,385792,1892964
Albufeira,5317553,3533841,812701,1248337,497703,1783712,0,67917,300313
Alcoutim,350515,209367,102303,62500,14628,141148,0,0,108607
Aljezur,434683,421754,97627,27299,260269,12929,0,5599,7330
Castro Marim,373028,341007,184507,156500,0,32021,0,0,32021
Faro,2117147,1288410,32692,415282,637736,828737,0,130377,210903
Lagoa,2893933,2081026,604149,621102,411958,812907,0,46200,262063
Lagos,3078173,2939764,982674,406327,1199567,138409,0,0,75475
Loulé,6052802,4694726,109480,1592757,2107077,1358076,0,0,79130
Monchique,427473,256632,192435,64197,0,170841,0,0,170841
Olhão,836171,625285,363755,261530,0,210886,0,56713,82146
Portimão,1189773,1099464,1099464,0,0,90309,90309,0,0
São Brás de Alportel,1042385,746213,624607,121606,0,296172,0,5000,10112
Silves,1914591,1561060,1208613,276272,45805,353531,25165,25810,272305
Tavira,1151433,818026,30129,423423,302823,333407,0,0,268610
Vila do Bispo,100561,93816,73836,19980,0,6745,6745,0,0
Vila Real de Santo António,2319002,2183435,1349649,0,250025,135567,43696,48176,13108
R. A. Açores,4633824.999999999,2974290,500376,1616418,387221.00000000006,1659535,116957.99999999997,571059.0000000001,379438
Santa Maria,262313,156663,77254,0,28042,105650,0,105650,0
Vila do Porto,262313,156663,77254,0,28042,105650,0,105650,0
São Miguel,2607871,1389690,123924,781267,221840,1218181,78407,298250,295429
Lagoa (R.A.A.),124980,124980,0,124980,0,0,0,0,0
Nordeste,81238,81238,0,75100,0,0,0,0,0
Ponta Delgada,1507157,951246,19249,495242,221840,555911,0,0,236968
Povoação,170251,34844,34844,0,0,135407,78407,57000,0
Ribeira Grande,636656,109793,0,68187,0,526863,0,241250,58461
Vila Franca do Campo,87589,87589,69831,17758,0,0,0,0,0
Terceira,590648,510201,98073,345946,24663,80447,0,11152,69295
Angra do Heroísmo,358946,278499,63605,148712,24663,80447,0,11152,69295
Vila da Praia da Vitória,231702,231702,34468,197234,0,0,0,0,0
Graciosa,232926,175869,0,136298,26277,57057,0,0,11072
Santa Cruz da Graciosa,232926,175869,0,136298,26277,57057,0,0,11072
São Jorge,95678,95678,35057,40071,20550,0,0,0,0
Calheta (R.A.A.),25750,25750,0,5200,20550,0,0,0,0
Velas,69928,69928,35057,34871,0,0,0,0,0
Pico,252975,106473,36389,58390,0,146502,38551,107951,0
Lajes do Pico,102595,12595,11455,1140,0,90000,0,90000,0
Madalena,75179,36628,24934,0,0,38551,38551,0,0
São Roque do Pico,75201,57250,0,57250,0,17951,0,17951,0
Faial,541263,493207,129154,212066,64999,48056,0,48056,0
Horta,541263,493207,129154,212066,64999,48056,0,48056,0
Flores,49401,45759,525,41630,850,3642,0,0,3642
Lajes das Flores,23629,23629,525,19500,850,0,0,0,0
Santa Cruz das Flores,25772,22130,0,22130,0,3642,0,0,3642
Corvo,750,750,0,750,0,0,0,0,0
Corvo,750,750,0,750,0,0,0,0,0
R. A. Madeira,3212947.0000000005,2914767,1226435,1287615,14894,298180,1625,0,106005
Calheta (R.A.M.),296569,296569,0,278950,0,0,0,0,0
Câmara de Lobos,425717,329218,139038,176545,13635,96499,0,0,96499
Funchal,838518,838160,616390,0,0,358,358,0,0
Machico,394110,394110,5649,240975,1259,0,0,0,0
Ponta do Sol,300300,228904,35675,193022,0,71396,0,0,0
Porto Moniz,321584,202430,120690,81740,0,119154,0,0,0
Ribeira Brava,163594,162327,162327,0,0,1267,1267,0,0
Santa Cruz,151314,141808,69623,72185,0,9506,0,0,9506
Santana,94278,94278,0,94278,0,0,0,0,0
São Vicente,199123,199123,68203,130920,0,0,0,0,0
Porto Santo,27840,27840,8840,19000,0,0,0,0,0
