,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Alfândega da Fé,115,67,22,48,24,...,37,10,28,26,...
Bragança,824,376,172,448,169,51,161,123,204,213,72
Macedo de Cavaleiros,281,125,49,156,62,11,80,29,58,69,34
Miranda do Douro,94,34,20,60,25,5,21,15,20,17,16
Mirandela,602,236,75,366,140,20,146,75,138,167,56
Mogadouro,179,90,42,89,31,4,42,28,45,41,19
Vila Flor,153,75,21,78,34,7,43,19,27,34,23
Vimioso,49,16,7,33,14,...,9,13,8,14,...
Vinhais,125,54,22,71,32,10,41,9,29,25,11
Centro,70795,28972,11824,41823,16486,4095,16426,8002,16801,17972,7499
Oeste,13698,5369,2229,8329,3153,870,2855,1562,3394,3514,1503
Alcobaça,1657,599,244,1058,403,101,372,185,383,434,182
Alenquer,2091,913,415,1178,440,188,333,254,585,518,213
Arruda dos Vinhos,435,193,84,242,86,25,99,39,102,130,40
Bombarral,500,180,72,320,114,28,114,61,123,120,54
Cadaval,569,159,69,410,179,37,144,54,106,157,71
Caldas da Rainha,2028,740,284,1288,468,109,456,233,460,552,218
Lourinhã,880,364,151,516,194,55,186,101,211,228,99
Nazaré,688,265,98,423,131,40,164,65,159,178,82
Óbidos,394,133,59,261,89,25,91,42,84,107,45
Peniche,1627,690,272,937,376,84,346,178,419,408,192
Sobral de Monte Agraço,274,97,42,177,76,20,45,36,75,75,23
Torres Vedras,2555,1036,439,1519,597,158,505,314,687,607,284
Região de Aveiro,11894,4908,1989,6986,2769,701,2836,1347,2784,3050,1176
Águeda,1357,500,177,857,331,72,340,144,307,355,139
Albergaria-a-Velha,699,280,109,419,136,38,162,78,163,180,78
Anadia,694,276,107,418,142,28,214,67,147,169,69
Aveiro,2780,1207,481,1573,659,145,590,321,726,736,262
Estarreja,819,340,160,479,217,57,198,86,211,183,84
Ílhavo,1469,637,269,832,310,84,324,168,349,414,130
Murtosa,345,170,81,175,79,34,65,47,88,77,34
Oliveira do Bairro,633,246,105,387,162,34,140,80,127,172,80
Ovar,2266,944,394,1322,512,156,607,250,469,553,231
Sever do Vouga,217,100,35,117,47,10,61,27,39,58,22
Vagos,615,208,71,407,174,43,135,79,158,153,47
Região de Coimbra,12928,5824,2191,7104,2687,694,2981,1521,3098,3324,1310
Arganil,242,99,38,143,49,11,74,30,54,53,20
Cantanhede,922,374,156,548,219,55,236,97,231,221,82
Coimbra,4314,2050,825,2264,880,220,873,562,1120,1117,422
Condeixa-a-Nova,466,187,81,279,94,26,99,53,103,128,57
Figueira da Foz,2388,1191,397,1197,466,111,554,266,551,662,244
Góis,81,37,10,44,14,...,28,8,14,20,...
Lousã,477,188,67,289,114,27,92,50,118,135,55
Mealhada,600,255,92,345,127,28,148,70,133,147,74
Mira,357,157,47,200,64,16,90,32,91,98,30
Miranda do Corvo,284,104,44,180,64,20,61,32,53,85,33
Montemor-o-Velho,790,307,110,483,206,46,172,89,190,210,83
Mortágua,177,73,29,104,48,13,45,21,36,41,21
Oliveira do Hospital,549,251,89,298,115,37,137,71,116,125,63
Pampilhosa da Serra,46,27,7,19,3,...,17,3,13,8,...
Penacova,249,109,49,140,34,17,66,36,52,55,23
Penela,90,40,17,50,20,7,19,11,31,16,6
Soure,404,176,64,228,82,28,120,47,91,86,32
Tábua,308,125,48,183,57,15,92,22,71,74,34
Vila Nova de Poiares,184,74,21,110,31,12,58,21,30,43,20
Região de Leiria,9102,3404,1477,5698,2356,521,1865,1084,2263,2364,1005
Alvaiázere,94,39,19,55,24,7,23,8,23,24,9
Ansião,258,92,40,166,86,17,81,27,44,64,25
Batalha,493,166,76,327,127,35,111,59,103,129,56
Castanheira de Pêra,64,24,7,40,14,5,20,9,12,9,9
Figueiró dos Vinhos,125,55,18,70,32,6,27,11,40,31,10
Leiria,4184,1561,708,2623,1077,235,815,547,1083,1068,436
Marinha Grande,2001,786,342,1215,531,114,347,218,527,563,232
Pedrógão Grande,80,39,15,41,7,3,26,7,16,13,15
Pombal,1100,385,149,715,300,68,251,130,256,276,119
Porto de Mós,703,257,103,446,158,31,164,68,159,187,94
Viseu Dão Lafões,8462,3402,1408,5060,2040,534,2135,960,1896,2115,822
Aguiar da Beira,122,60,25,62,24,3,42,15,26,20,16
Carregal do Sal,277,89,31,188,71,15,69,23,73,68,29
Castro Daire,460,200,82,260,103,28,169,44,74,102,43
Mangualde,666,264,115,402,122,30,199,64,136,161,76
Nelas,502,218,93,284,101,32,138,48,109,132,43
Oliveira de Frades,393,160,59,233,90,26,99,41,92,98,37
Penalva do Castelo,243,90,36,153,53,13,63,19,46,64,38
Santa Comba Dão,317,138,58,179,74,17,76,27,86,74,37
São Pedro do Sul,582,220,73,362,135,47,171,79,113,123,49
Sátão,342,127,54,215,108,27,94,40,70,86,25
Tondela,819,302,135,517,217,61,204,94,191,195,74
Vila Nova de Paiva,167,91,43,76,40,14,46,26,32,33,16
Viseu,3163,1315,556,1848,797,191,661,391,762,863,295
Vouzela,409,128,48,281,105,30,104,49,86,96,44
Beira Baixa,2316,904,350,1412,626,83,685,223,486,580,259
Castelo Branco,1731,652,254,1079,496,53,508,162,358,453,197
Idanha-a-Nova,187,91,34,96,32,8,57,13,40,50,19
Oleiros,57,29,11,28,16,3,15,6,19,8,6
Penamacor,116,39,14,77,28,8,31,13,23,26,15
Proença-a-Nova,143,64,27,79,31,8,52,20,22,26,15
Vila Velha de Ródão,82,29,10,53,23,3,22,9,24,17,7
Médio Tejo,6629,2750,1120,3879,1559,408,1492,738,1557,1670,764
Abrantes,1502,726,281,776,324,76,379,167,340,360,180
Alcanena,419,177,76,242,115,37,94,57,86,103,42
Constância,113,51,18,62,20,...,24,16,34,25,...
Entroncamento,637,246,106,391,165,38,106,69,192,169,63
Ferreira do Zêzere,104,41,16,63,23,9,22,11,24,28,10
Mação,122,70,21,52,26,5,30,20,20,36,11
Ourém,1217,384,165,833,324,96,252,125,289,300,155
Sardoal,116,49,19,67,28,7,28,10,34,24,13
Sertã,259,88,42,171,72,14,67,34,55,52,37
Tomar,919,424,180,495,175,50,218,103,209,228,111
Torres Novas,993,393,162,600,242,55,228,94,220,279,117
Vila de Rei,68,34,11,34,11,...,20,8,13,21,...
Vila Nova da Barquinha,160,67,23,93,34,14,24,24,41,45,12
Beiras e Serra da Estrela,5766,2411,1060,3355,1296,284,1577,567,1323,1355,660
Almeida,124,57,33,67,28,9,46,10,28,16,15
Belmonte,244,89,34,155,42,12,84,18,48,56,26
Celorico da Beira,201,97,43,104,49,11,53,15,52,47,23
Covilhã,1626,710,277,916,331,84,440,144,369,386,203
Figueira de Castelo Rodrigo,112,45,20,67,26,8,30,7,36,25,6
Fornos de Algodres,103,35,26,68,33,12,21,12,28,20,10
Fundão,749,272,113,477,163,38,227,65,161,175,83
Gouveia,262,113,53,149,55,15,56,24,70,66,31
Guarda,1257,522,250,735,314,46,307,157,291,329,127
Manteigas,89,45,22,44,16,9,17,12,20,16,15
Mêda,71,36,14,35,15,5,8,14,20,18,6
Pinhel,165,67,35,98,49,10,44,14,43,33,21
Sabugal,188,74,31,114,34,4,79,17,32,30,26
Seia,456,205,85,251,107,16,145,41,92,101,61
Trancoso,119,44,24,75,34,5,20,17,33,37,7
A. M. Lisboa,117530,53485,20679,64045,23621,7748,22947,15468,31016,29080,11271
Alcochete,728,333,148,395,168,56,131,91,151,223,76
Almada,7228,3188,1157,4040,1476,435,1450,901,1885,1863,694
Amadora,7287,3212,1224,4075,1435,599,1381,1099,2116,1496,596
Barreiro,3653,1709,651,1944,745,260,682,484,920,946,361
Cascais,7673,3371,1271,4302,1570,412,1785,884,1795,1977,820
Lisboa,20621,10529,3945,10092,3723,1109,3710,2819,6247,4939,1797
Loures,8637,3874,1571,4763,1759,617,1739,1140,2325,2013,803
Mafra,2538,1074,445,1464,576,140,509,249,605,751,284
Moita,3342,1559,581,1783,669,241,644,468,924,776,289
Montijo,2495,1171,492,1324,480,180,407,337,689,649,233
Odivelas,6003,2778,1086,3225,1139,452,1013,819,1657,1547,515
Oeiras,5796,2532,953,3264,1233,289,1299,642,1365,1561,640
Palmela,3013,1286,516,1727,661,231,686,349,667,809,271
Seixal,6920,3030,1099,3890,1394,476,1338,959,1796,1677,674
Sesimbra,2131,949,411,1182,451,141,416,264,526,572,212
Setúbal,6095,2930,1097,3165,1259,413,1243,787,1453,1601,598
Sintra,16985,7090,2837,9895,3572,1255,3189,2361,4347,4039,1794
Vila Franca de Xira,6385,2870,1195,3515,1311,442,1325,815,1548,1641,614
Alentejo,28217,12813,5270,15404,5878,1729,6395,3352,6846,6968,2927
Alentejo Litoral,5461,3146,1407,2315,863,320,1024,734,1513,1375,495
Alcácer do Sal,369,141,60,228,94,25,87,45,88,90,34
Grândola,378,167,55,211,80,21,93,42,95,95,32
Odemira,2567,1593,783,974,354,183,296,452,860,607,169
Santiago do Cacém,1173,633,241,540,201,53,329,102,245,315,129
Sines,974,612,268,362,134,38,219,93,225,268,131
Baixo Alentejo,4244,1996,696,2248,837,268,1002,502,1039,967,466
Aljustrel,307,120,39,187,74,30,84,34,73,53,33
Almodôvar,243,123,25,120,52,14,71,28,48,53,29
Alvito,62,29,10,33,13,3,15,6,13,19,6
Barrancos,69,38,17,31,16,7,14,7,19,11,11
Beja,1045,508,218,537,236,62,190,134,289,272,98
Castro Verde,258,125,33,133,59,18,54,39,61,53,33
Cuba,119,47,21,72,23,7,30,12,31,23,16
Ferreira do Alentejo,339,146,50,193,72,16,88,29,96,85,25
Mértola,183,100,35,83,27,6,62,22,39,31,23
Moura,528,261,88,267,82,40,135,49,121,130,53
Ourique,235,107,25,128,35,15,54,37,44,64,21
Serpa,613,278,89,335,103,33,156,75,130,120,99
Vidigueira,243,114,46,129,45,17,49,30,75,53,19
Lezíria do Tejo,9456,3978,1725,5478,2175,585,2249,1037,2160,2400,1025
Almeirim,1039,395,180,644,244,52,250,110,245,270,112
Alpiarça,315,115,50,200,87,17,98,27,66,75,32
Azambuja,951,426,192,525,235,76,196,110,223,246,100
Benavente,1397,592,249,805,327,93,327,175,318,355,129
Cartaxo,961,463,207,498,184,52,213,129,192,263,112
Chamusca,339,125,44,214,79,21,98,28,84,79,29
Coruche,712,254,112,458,158,28,256,60,114,166,88
Golegã,168,69,35,99,49,15,22,19,43,45,24
Rio Maior,636,247,125,389,174,47,109,76,166,164,74
Salvaterra de Magos,1109,439,166,670,248,72,327,84,237,261,128
Santarém,1829,853,365,976,390,112,353,219,472,476,197
Alto Alentejo,3916,1681,629,2235,804,259,981,498,879,900,399
Alter do Chão,110,50,16,60,21,8,22,10,34,28,8
Arronches,71,34,9,37,12,6,22,12,13,13,5
Avis,168,51,21,117,39,25,43,22,27,36,15
Campo Maior,367,178,63,189,79,32,96,41,88,72,38
Castelo de Vide,75,39,11,36,13,...,22,9,20,14,...
Crato,99,43,17,56,17,6,30,11,22,14,16
Elvas,845,353,136,492,181,41,189,102,216,198,99
Fronteira,123,45,21,78,29,6,37,15,28,26,11
Gavião,91,48,15,43,10,5,22,10,20,23,11
Marvão,72,37,11,35,11,6,16,9,16,18,7
Monforte,70,32,11,38,11,...,20,11,10,21,...
Nisa,161,74,28,87,43,10,41,17,38,41,14
Ponte de Sor,692,292,110,400,131,36,188,85,138,164,81
Portalegre,747,327,129,420,162,59,172,112,160,184,60
Sousel,225,78,31,147,45,15,61,32,49,48,20
Alentejo Central,5140,2012,813,3128,1199,297,1139,581,1255,1326,542
Alandroal,173,57,24,116,42,14,50,16,33,42,18
Arraiolos,177,77,31,100,41,10,45,21,47,34,20
Borba,240,79,33,161,58,12,66,22,46,66,28
Estremoz,342,129,63,213,86,11,66,45,100,84,36
Évora,1863,782,303,1081,414,124,340,212,503,508,176
Montemor-o-Novo,389,159,67,230,111,19,89,46,92,95,48
Mora,132,48,15,84,30,9,37,20,25,32,9
Mourão,119,53,21,66,27,14,23,10,27,32,13
Portel,287,110,48,177,71,14,76,35,57,65,40
Redondo,256,76,33,180,68,6,72,20,63,72,23
Reguengos de Monsaraz,412,157,60,255,85,18,103,45,88,112,46
Vendas Novas,343,136,54,207,83,25,60,46,83,87,42
Viana do Alentejo,170,67,22,103,37,10,39,18,45,41,17
Vila Viçosa,237,82,39,155,46,11,73,25,46,56,26
Algarve,32756,14295,4725,18461,5478,2236,6065,4476,8820,7895,3264
Albufeira,6641,3069,951,3572,1035,424,1186,975,1870,1519,667
Alcoutim,42,21,9,21,7,3,7,8,7,14,3
Aljezur,239,115,45,124,42,19,35,34,78,58,15
Castro Marim,312,139,60,173,56,16,75,43,76,74,28
Faro,3322,1497,531,1825,606,228,535,444,973,849,293
Lagoa,1778,751,230,1027,270,140,354,226,445,405,208
Lagos,2141,901,272,1240,335,159,419,275,547,508,233
Loulé,5149,2229,723,2920,849,364,931,731,1407,1238,478
Monchique,177,72,23,105,26,12,44,26,37,37,21
Olhão,1959,802,279,1157,407,120,358,272,526,489,194
Portimão,4985,2172,744,2813,790,335,978,631,1289,1232,520
São Brás de Alportel,376,151,44,225,76,24,64,46,100,107,35
Silves,2736,1158,404,1578,470,187,514,384,716,667,268
Tavira,1256,528,183,728,232,88,262,158,313,303,132
Vila do Bispo,377,165,39,212,57,28,63,59,102,85,40
Vila Real de Santo António,1266,525,188,741,220,89,240,164,334,310,129
R. A. Açores,8676,4348,1961,4328,2004,536,1685,1132,2234,2061,1028
Santa Maria,232,103,62,129,70,18,29,30,62,58,35
Vila do Porto,232,103,62,129,70,18,29,30,62,58,35
São Miguel,5287,2720,1248,2567,1259,329,934,735,1389,1283,617
Lagoa (R.A.A.),573,333,153,240,114,22,109,76,155,137,74
Nordeste,331,178,90,153,83,10,92,27,75,80,47
Ponta Delgada,2145,1049,439,1096,499,155,326,307,563,549,245
Povoação,450,218,122,232,125,16,102,50,112,102,68
Ribeira Grande,1291,713,324,578,297,98,215,195,357,301,125
Vila Franca do Campo,497,229,120,268,141,28,90,80,127,114,58
Terceira,1548,776,305,772,321,106,369,188,411,314,160
Angra do Heroísmo,1052,534,204,518,209,73,254,120,289,207,109
Vila da Praia da Vitória,496,242,101,254,112,33,115,68,122,107,51
Graciosa,185,87,38,98,46,9,48,17,36,54,21
Santa Cruz da Graciosa,185,87,38,98,46,9,48,17,36,54,21
São Jorge,269,143,66,126,59,13,74,24,58,56,44
Calheta (R.A.A.),89,52,25,37,20,7,25,6,22,16,13
Velas,180,91,41,89,39,6,49,18,36,40,31
Pico,528,224,94,304,106,21,105,65,108,152,77
Lajes do Pico,195,90,32,105,42,6,42,28,40,58,21
Madalena,214,85,39,129,35,11,48,23,38,56,38
São Roque do Pico,119,49,23,70,29,4,15,14,30,38,18
Faial,453,227,110,226,91,25,85,61,128,98,56
Horta,453,227,110,226,91,25,85,61,128,98,56
Flores,154,59,34,95,49,...,37,...,36,42,...
Lajes das Flores,73,26,13,47,23,…,22,...,12,23,...
Santa Cruz das Flores,81,33,21,48,26,8,15,6,24,19,9
Corvo,20,9,4,11,3,2,4,...,6,4,…
Corvo,20,9,4,11,3,…,4,...,6,4,...
R. A. Madeira,10645,5045,1769,5600,2025,689,2368,1387,2481,2508,1212
Calheta (R.A.M.),308,143,46,165,62,25,64,34,63,87,35
Câmara de Lobos,1428,650,217,778,267,144,243,236,369,320,116
Funchal,4538,2149,752,2389,876,221,1124,578,1025,1045,545
Machico,990,532,187,458,165,78,249,103,202,231,127
Ponta do Sol,256,112,57,144,56,24,51,34,61,56,30
Porto Moniz,108,41,11,67,23,3,37,8,33,19,8
Ribeira Brava,506,230,81,276,102,40,104,77,113,122,50
Santa Cruz,1778,822,280,956,328,111,322,217,462,459,207
Santana,197,104,41,93,32,19,54,22,39,40,23
São Vicente,121,61,22,60,28,7,35,17,21,27,14
Porto Santo,415,201,75,214,86,17,85,61,93,102,57
