,"Total, N.º","Sexo, H, N.º","Sexo, M, N.º","Idade, Menos de 25 anos, N.º","Idade, 25-39 anos, N.º","Idade, 40-54 anos, N.º","Idade, 55 e mais anos, N.º","Valores processados, 55 e mais anos, milhares de euros"
Sesimbra,1180,500,680,535,171,263,211,1491
Setúbal,3496,1665,1831,1617,581,715,583,4356
Sintra,7098,3019,4079,3292,1073,1402,1331,8357
Vila Franca de Xira,2283,1014,1269,1088,391,433,371,2845
Alentejo,18639,9290,9349,9266,3224,3461,2688,22346
Alentejo Litoral,1419,681,738,553,231,304,331,1721
Alcácer do Sal,140,68,72,62,19,29,30,164
Grândola,269,131,138,110,43,52,64,321
Odemira,317,165,152,91,51,86,89,410
Santiago do Cacém,325,150,175,115,47,69,94,406
Sines,368,167,201,175,71,68,54,420
Baixo Alentejo,5336,2742,2594,2976,903,841,616,6581
Aljustrel,342,180,162,193,59,55,35,464
Almodôvar,100,45,55,46,12,19,23,118
Alvito,60,37,23,33,8,11,8,84
Barrancos,67,30,37,32,8,22,5,67
Beja,1508,782,726,841,277,242,148,1876
Castro Verde,125,66,59,62,27,17,19,157
Cuba,171,93,78,86,30,37,18,191
Ferreira do Alentejo,220,108,112,111,39,34,36,250
Mértola,155,84,71,60,26,36,33,204
Moura,1473,747,726,913,238,191,131,1753
Ourique,70,37,33,20,6,23,21,81
Serpa,735,375,360,405,124,114,92,934
Vidigueira,310,158,152,174,49,40,47,402
Lezíria do Tejo,4426,2177,2249,2067,724,898,737,5152
Almeirim,381,187,194,179,67,74,61,359
Alpiarça,81,42,39,33,15,22,11,60
Azambuja,465,213,252,210,78,77,100,658
Benavente,641,307,334,340,119,99,83,735
Cartaxo,220,88,132,87,27,49,57,260
Chamusca,128,58,70,52,25,25,26,123
Coruche,530,265,265,302,93,83,52,620
Golegã,82,43,39,31,10,25,16,87
Rio Maior,275,124,151,130,37,67,41,261
Salvaterra de Magos,359,181,178,163,56,78,62,378
Santarém,1264,669,595,540,197,299,228,1613
Alto Alentejo,3712,1854,1858,1798,675,696,543,4447
Alter do Chão,137,65,72,65,27,27,18,143
Arronches,29,16,13,12,3,7,7,28
Avis,231,109,122,111,48,45,27,315
Campo Maior,363,197,166,201,78,43,41,446
Castelo de Vide,45,27,18,15,8,11,11,37
Crato,105,57,48,41,17,31,16,124
Elvas,1264,610,654,651,218,224,171,1554
Fronteira,30,14,16,10,4,6,10,40
Gavião,68,38,30,28,14,13,13,90
Marvão,65,37,28,26,10,22,7,71
Monforte,343,176,167,200,74,48,21,384
Nisa,163,85,78,65,20,43,35,211
Ponte de Sor,351,163,188,159,60,70,62,396
Portalegre,374,188,186,142,65,81,86,418
Sousel,144,72,72,72,29,25,18,188
Alentejo Central,3746,1836,1910,1872,691,722,461,4445
Alandroal,43,14,29,15,6,12,10,41
Arraiolos,50,27,23,15,3,23,9,55
Borba,282,131,151,144,50,55,33,347
Estremoz,469,236,233,237,90,87,55,603
Évora,1147,553,594,544,204,228,171,1370
Montemor-o-Novo,183,101,82,83,35,40,25,193
Mora,44,20,24,19,8,10,7,43
Mourão,302,148,154,185,61,43,13,382
Portel,152,82,70,86,28,27,11,195
Redondo,157,68,89,76,26,34,21,174
Reguengos de Monsaraz,454,220,234,234,97,77,46,548
Vendas Novas,196,105,91,107,40,32,17,202
Viana do Alentejo,127,60,67,67,19,19,22,146
Vila Viçosa,140,71,69,60,24,35,21,146
Algarve,10208,5166,5042,4350,1951,2079,1828,12762
Albufeira,1053,561,492,408,261,221,163,1287
Alcoutim,26,15,11,8,3,7,8,31
Aljezur,77,42,35,16,6,26,29,103
Castro Marim,179,90,89,96,33,29,21,217
Faro,1761,887,874,850,358,304,249,2297
Lagoa,581,294,287,270,121,94,96,745
Lagos,504,239,265,197,73,122,112,612
Loulé,1424,715,709,568,275,291,290,1879
Monchique,72,50,22,10,8,17,37,118
Olhão,1039,507,532,455,191,213,180,1246
Portimão,1859,953,906,800,341,397,321,2456
São Brás de Alportel,169,94,75,54,24,41,50,220
Silves,526,236,290,233,91,104,98,549
